"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","EO","15","15","28380","28130"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","G6/G7","10","10","65140","67320"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","SEO/HEO","45","40","40930","42510"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Operational Delivery","SEO/HEO","20","20","37800","35000"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Tax","SEO/HEO","10","10","38860","41780"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","EO","10","10","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","SEO/HEO","20","20","39280","41780"
"In post","2023","Commercial","HM Treasury (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Commercial","G6/G7","15","15","60170","55320"
"In post","2023","Commercial","Health and Safety Executive","Commercial","SEO/HEO","15","15","38300","36130"
"In post","2023","Commercial","Health and Safety Executive","Operational Delivery","AA/AO","10","10","[c]","[c]"
"In post","2023","Commercial","Health and Safety Executive","Operational Delivery","EO","10","10","27930","27320"
"In post","2023","Commercial","Health and Safety Executive","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Commercial","EO","20","20","27770","25880"
"In post","2023","Commercial","Home Office","Commercial","G6/G7","15","15","59510","59400"
"In post","2023","Commercial","Home Office","Commercial","SEO/HEO","85","85","40700","42860"
"In post","2023","Commercial","Home Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Home Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Commercial","G6/G7","15","15","55950","52140"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Institute for Apprenticeships and Technical Education","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Commercial","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Intellectual Property Office","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Maritime and Coastguard Agency","Commercial","SEO/HEO","15","15","38580","39820"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Commercial","G6/G7","10","10","52760","49150"
"In post","2023","Commercial","Met Office","Commercial","SEO/HEO","10","10","38270","40420"
"In post","2023","Commercial","Met Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Other","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Met Office","Other","G6/G7","65","60","49660","47960"
"In post","2023","Commercial","Met Office","Other","SEO/HEO","60","55","35910","37420"
"In post","2023","Commercial","Met Office","Policy","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","Met Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Met Office","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Commercial","AA/AO","40","40","22700","22220"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Commercial","EO","215","210","27830","27140"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Commercial","G6/G7","105","100","56710","55110"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Commercial","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Ministry of Defence (excl. agencies)","Commercial","SEO/HEO","640","620","39100","38020"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Commercial","AA/AO","25","20","21690","21780"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Commercial","EO","50","50","26490","25920"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Commercial","G6/G7","10","10","61160","61390"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Commercial","SEO/HEO","185","180","39240","37680"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Ministry of Justice (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Commercial","G6/G7","10","10","[c]","[c]"
"In post","2023","Commercial","National Crime Agency","Commercial","SEO/HEO","15","15","45040","44140"
"In post","2023","Commercial","National Savings and Investments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Commercial","G6/G7","10","10","55030","53180"
"In post","2023","Commercial","National Savings and Investments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","National Savings and Investments","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Qualifications and Examinations Regulation","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Office of Rail and Road","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Planning Inspectorate","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Queen Elizabeth II Centre","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Registers of Scotland","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scottish Courts and Tribunals Service","Commercial","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Scottish Prison Service","Commercial","AA/AO","45","45","26740","28490"
"In post","2023","Commercial","Scottish Prison Service","Commercial","EO","15","15","34560","34070"
"In post","2023","Commercial","Scottish Prison Service","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Scottish Prison Service","Commercial","SEO/HEO","15","15","44980","42590"
"In post","2023","Commercial","Serious Fraud Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Serious Fraud Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Serious Fraud Office","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Submarine Delivery Agency","Commercial","Unknown","165","160","43020","42620"
"In post","2023","Commercial","The Insolvency Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","The Insolvency Service","Commercial","SEO/HEO","15","15","43390","45030"
"In post","2023","Commercial","The National Archives","Commercial","AA/AO","20","20","23800","23460"
"In post","2023","Commercial","The National Archives","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","The National Archives","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","The National Archives","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Export Finance","Operational Delivery","EO","25","25","32400","32300"
"In post","2023","Commercial","UK Export Finance","Operational Delivery","G6/G7","90","90","62770","60050"
"In post","2023","Commercial","UK Export Finance","Operational Delivery","SCS level","10","10","118720","117760"
"In post","2023","Commercial","UK Export Finance","Operational Delivery","SEO/HEO","95","95","43210","43270"
"In post","2023","Commercial","UK Health Security Agency","Commercial","EO","15","15","28200","27960"
"In post","2023","Commercial","UK Health Security Agency","Commercial","G6/G7","45","45","65390","64460"
"In post","2023","Commercial","UK Health Security Agency","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Health Security Agency","Commercial","SEO/HEO","50","50","37000","37220"
"In post","2023","Commercial","UK Hydrographic Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Hydrographic Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Hydrographic Office","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Space Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Commercial","G6/G7","15","15","57740","56340"
"In post","2023","Commercial","UK Statistics Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","UK Statistics Authority","Commercial","SEO/HEO","15","15","34920","35200"
"In post","2023","Commercial","Valuation Office Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Valuation Office Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Water Services Regulation Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wilton Park","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Active Travel England","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","15","10","38250","36280"
"In post","2023","Communications","Attorney General's Office","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Attorney General's Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Other","G6/G7","10","10","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Building Digital UK","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Communications","G6/G7","45","40","60230","56430"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Communications","SEO/HEO","45","45","39750","41410"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Digital, Data and Technology","SEO/HEO","15","15","40270","41870"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Unknown","EO","10","10","[c]","[c]"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Unknown","G6/G7","40","40","60430","56430"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Unknown","SCS level","15","15","99470","90030"
"In post","2023","Communications","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","40","40","40030","41410"
"In post","2023","Communications","Central Civil Service Fast Stream","Communications","SEO/HEO","10","10","33660","34250"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Charity Commission","Communications","SEO/HEO","15","15","34350","32060"
"In post","2023","Communications","Companies House","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Companies House","Communications","EO","5","5","[c]","[c]"
"In post","2023","Communications","Companies House","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Companies House","Communications","SEO/HEO","15","15","39100","40680"
"In post","2023","Communications","Companies House","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Companies House","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Competition and Markets Authority","Communications","SEO/HEO","15","15","40360","42540"
"In post","2023","Communications","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Commercial Service","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","Communications","Crown Commercial Service","Communications","SEO/HEO","15","15","36360","37230"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Office and Procurator Fiscal Service","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Crown Prosecution Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Prosecution Service","Communications","G6/G7","10","10","61020","55850"
"In post","2023","Communications","Crown Prosecution Service","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Crown Prosecution Service","Communications","SEO/HEO","40","40","39270","40540"
"In post","2023","Communications","Defence Electronics and Components Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Electronics and Components Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Equipment and Support","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Defence Equipment and Support","Communications","G6/G7","10","10","55660","52750"
"In post","2023","Communications","Defence Equipment and Support","Communications","SEO/HEO","25","20","37160","38790"
"In post","2023","Communications","Defence Science and Technology Laboratory","Communications","G6/G7","10","10","[c]","[c]"
"In post","2023","Communications","Defence Science and Technology Laboratory","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","G6/G7","35","30","62430","60170"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","SEO/HEO","65","60","42170","41060"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","G6/G7","15","15","63120","59030"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","SEO/HEO","20","20","40330","38120"
"In post","2023","Communications","Department for Education (excl. agencies)","Communications","AA/AO","20","20","23000","22020"
"In post","2023","Communications","Department for Education (excl. agencies)","Communications","EO","50","45","28610","29530"
"In post","2023","Communications","Department for Education (excl. agencies)","Communications","G6/G7","55","55","58390","55810"
"In post","2023","Communications","Department for Education (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Communications","SEO/HEO","125","120","39070","37870"
"In post","2023","Communications","Department for Education (excl. agencies)","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Education (excl. agencies)","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","EO","15","10","27170","26170"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","G6/G7","65","60","54670","54330"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","SEO/HEO","135","130","36330","37300"
"In post","2023","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Communications","EO","5","5","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Communications","G6/G7","30","30","60310","58630"
"In post","2023","Communications","Department for International Trade","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Communications","SEO/HEO","50","50","39540","41550"
"In post","2023","Communications","Department for International Trade","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for International Trade","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","EO","15","15","29850","29210"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","G6/G7","35","35","58520","55370"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2023","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","SEO/HEO","30","30","39710","40590"
"In post","2023","Communications","Department for Transport (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Communications","G6/G7","25","25","59610","56290"
"In post","2023","Communications","Department for Transport (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Communications","SEO/HEO","30","30","40330","43750"
"In post","2023","Communications","Department for Transport (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Transport (excl. agencies)","Unknown","SEO/HEO","10","10","38840","35400"
"In post","2023","Communications","Department for Work and Pensions (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Department for Work and Pensions (excl. agencies)","Communications","EO","10","5","[c]","[c]"
