"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Male","120","120","28070","28120"
"In post","2023","Asian","Derbyshire and Nottinghamshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6","Female","10","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6","Male","10","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G7","Female","25","25","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G7","Male","30","25","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","HEO","Female","100","95","33900","34700"
"In post","2023","Asian","Derbyshire and Nottinghamshire","HEO","Male","115","110","34850","35000"
"In post","2023","Asian","Derbyshire and Nottinghamshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO","Female","65","65","41800","42140"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO","Male","45","45","42440","42510"
"In post","2023","Asian","Derbyshire and Nottinghamshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Female","35","30","30240","29050"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","AO","Female","10","5","[c]","[c]"
"In post","2023","Asian","Devon","AO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Devon","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","EO","Female","10","5","[c]","[c]"
"In post","2023","Asian","Devon","EO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Devon","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","HEO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Devon","HEO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Devon","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","SEO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Devon","SEO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Devon","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Devon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","EO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","HEO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","AA","Female","5","5","[c]","[c]"
"In post","2023","Asian","East Anglia","AA","Male","10","10","[c]","[c]"
"In post","2023","Asian","East Anglia","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","AO","Female","105","85","22580","22400"
"In post","2023","Asian","East Anglia","AO","Male","65","60","24540","22400"
"In post","2023","Asian","East Anglia","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","EO","Female","60","50","27140","27420"
"In post","2023","Asian","East Anglia","EO","Male","40","40","28140","28080"
"In post","2023","Asian","East Anglia","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","G7","Female","10","10","[c]","[c]"
"In post","2023","Asian","East Anglia","G7","Male","10","10","[c]","[c]"
"In post","2023","Asian","East Anglia","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","HEO","Female","15","15","[c]","[c]"
"In post","2023","Asian","East Anglia","HEO","Male","25","20","[c]","[c]"
"In post","2023","Asian","East Anglia","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","SEO","Female","10","10","[c]","[c]"
"In post","2023","Asian","East Anglia","SEO","Male","20","20","[c]","[c]"
"In post","2023","Asian","East Anglia","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Unknown","Female","10","5","[c]","[c]"
"In post","2023","Asian","East Anglia","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Anglia","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","AO","Female","65","60","22850","22520"
"In post","2023","Asian","East Wales","AO","Male","65","60","23010","22520"
"In post","2023","Asian","East Wales","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","EO","Female","50","45","27430","28120"
"In post","2023","Asian","East Wales","EO","Male","55","55","27890","28120"
"In post","2023","Asian","East Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","G6","Male","5","5","[c]","[c]"
"In post","2023","Asian","East Wales","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","G7","Female","20","20","[c]","[c]"
"In post","2023","Asian","East Wales","G7","Male","35","35","57560","57970"
"In post","2023","Asian","East Wales","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","HEO","Female","50","50","34290","34400"
"In post","2023","Asian","East Wales","HEO","Male","50","50","33940","34610"
"In post","2023","Asian","East Wales","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","SEO","Female","30","30","42300","41240"
"In post","2023","Asian","East Wales","SEO","Male","35","35","42280","41700"
"In post","2023","Asian","East Wales","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Wales","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Asian","East Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","AA","Male","[c]","[c]","[c]","[c]"
