"Status","Year","Organisation","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","Outside London","10","10","36600","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","Outside London","45","40","37820","31050"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","Outside London","55","50","34730","30350"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","455","435","35600","30820"
"In post","2023","Charity Commission","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Communications","London","10","10","51790","52240"
"In post","2023","Charity Commission","Charity Commission","Communications","Outside London","15","15","33020","30230"
"In post","2023","Charity Commission","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Digital, Data and Technology","Outside London","55","55","37310","32990"
"In post","2023","Charity Commission","Charity Commission","Finance","Outside London","10","10","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Human Resources","Outside London","20","20","37160","30170"
"In post","2023","Charity Commission","Charity Commission","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Legal","London","15","15","60000","55870"
"In post","2023","Charity Commission","Charity Commission","Legal","Outside London","10","10","56460","55030"
"In post","2023","Charity Commission","Charity Commission","Operational Delivery","London","45","45","40760","32700"
"In post","2023","Charity Commission","Charity Commission","Operational Delivery","Outside London","280","265","31880","30170"
"In post","2023","Charity Commission","Charity Commission","Policy","London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Policy","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Security","Outside London","[c]","[c]","[c]","[c]"
