"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Cabinet Office (excl. agencies)","London","SEO/HEO","LGBO","100","95","38680","38410"
"In post","2023","Cabinet Office (excl. agencies)","London","SEO/HEO","Undeclared","75","75","40000","41870"
"In post","2023","Cabinet Office (excl. agencies)","London","SEO/HEO","Unknown","190","185","39150","39350"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","AA/AO","Heterosexual / straight","230","210","21760","21720"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","AA/AO","Unknown","55","50","21850","21830"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","EO","Heterosexual / straight","245","225","25720","24860"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","EO","LGBO","40","35","25210","24610"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","EO","Unknown","65","60","25850","25410"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","G6/G7","Heterosexual / straight","400","385","55420","51950"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","G6/G7","LGBO","45","45","53240","51290"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","G6/G7","Undeclared","40","40","55820","51500"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","G6/G7","Unknown","50","45","55040","51290"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SCS level","Heterosexual / straight","55","55","95210","89000"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Heterosexual / straight","695","675","35760","34320"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","LGBO","55","55","34930","33020"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Undeclared","55","55","35540","34320"
"In post","2023","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Unknown","95","90","35600","34320"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","EO","Unknown","30","30","25120","24330"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office (excl. agencies)","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
