"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Project Delivery","FCDO Services","EO","20","20","29260","28540"
"In post","2023","Project Delivery","FCDO Services","G6/G7","20","20","68180","66280"
"In post","2023","Project Delivery","FCDO Services","SEO/HEO","30","30","39500","38150"
"In post","2023","Project Delivery","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Food Standards Agency","EO","10","5","[c]","[c]"
"In post","2023","Project Delivery","Food Standards Agency","G6/G7","20","20","57070","57250"
"In post","2023","Project Delivery","Food Standards Agency","SEO/HEO","15","15","37860","38100"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","20","15","28370","28950"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","EO","60","55","30240","31160"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","525","500","60800","59740"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","50","50","84390","79000"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","340","330","39740","39660"
"In post","2023","Project Delivery","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Actuary's Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Legal Department","G6/G7","10","5","[c]","[c]"
"In post","2023","Project Delivery","Government Legal Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","EO","5","5","[c]","[c]"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","G6/G7","10","10","57840","55900"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","SEO/HEO","20","20","38230","37680"
"In post","2023","Project Delivery","HM Land Registry","AA/AO","30","30","23390","23390"
"In post","2023","Project Delivery","HM Land Registry","EO","20","20","28980","28080"
"In post","2023","Project Delivery","HM Land Registry","G6/G7","25","25","59230","57880"
"In post","2023","Project Delivery","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Land Registry","SEO/HEO","115","115","39770","39520"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","AA/AO","75","65","23280","22520"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","EO","520","475","29570","28130"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","G6/G7","1860","1805","63810","61530"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","SCS level","150","145","86610","80540"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","SEO/HEO","2845","2715","39910","41780"
"In post","2023","Project Delivery","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Treasury (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","Project Delivery","HM Treasury (excl. agencies)","SEO/HEO","10","10","34790","34530"
"In post","2023","Project Delivery","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Health and Safety Executive","EO","15","15","28700","29150"
"In post","2023","Project Delivery","Health and Safety Executive","G6/G7","20","20","57840","56130"
"In post","2023","Project Delivery","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Health and Safety Executive","SEO/HEO","30","25","39430","40790"
"In post","2023","Project Delivery","Home Office","EO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Home Office","G6/G7","25","25","64740","65820"
"In post","2023","Project Delivery","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Home Office","SEO/HEO","25","25","38870","39000"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","G6/G7","25","25","54590","51710"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","SEO/HEO","10","10","36290","37710"
"In post","2023","Project Delivery","Intellectual Property Office","EO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Intellectual Property Office","G6/G7","15","15","59850","59860"
"In post","2023","Project Delivery","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Intellectual Property Office","SEO/HEO","25","25","38470","41240"
"In post","2023","Project Delivery","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","EO","65","65","28360","28220"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","G6/G7","220","210","60750","55320"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","SCS level","95","85","87420","84090"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","245","240","39150","41190"
"In post","2023","Project Delivery","Met Office","AA/AO","35","35","18990","19080"
"In post","2023","Project Delivery","Met Office","EO","30","30","25000","24150"
"In post","2023","Project Delivery","Met Office","G6/G7","155","150","50090","47960"
"In post","2023","Project Delivery","Met Office","SEO/HEO","190","180","36730","37420"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","AA/AO","20","20","22830","22220"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","EO","185","180","27810","27140"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","G6/G7","775","770","59160","56180"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","SCS level","75","75","86710","81870"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","SEO/HEO","1700","1660","39550","41000"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","EO","40","35","27800","27170"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","G6/G7","115","115","57850","55770"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","SEO/HEO","195","190","37900","37680"
"In post","2023","Project Delivery","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","National Crime Agency","EO","20","20","31690","30740"
"In post","2023","Project Delivery","National Crime Agency","G6/G7","15","15","63830","59440"
"In post","2023","Project Delivery","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","National Crime Agency","SEO/HEO","70","65","45030","47380"
"In post","2023","Project Delivery","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","National Savings and Investments","G6/G7","20","20","56920","55590"
"In post","2023","Project Delivery","National Savings and Investments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","National Savings and Investments","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","EO","10","10","29140","29690"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","G6/G7","35","35","55840","55060"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","SEO/HEO","20","20","39450","40000"
"In post","2023","Project Delivery","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","SEO/HEO","15","15","39490","39000"
"In post","2023","Project Delivery","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","SEO/HEO","15","15","46950","49870"
"In post","2023","Project Delivery","Rural Payments Agency","EO","25","25","25820","25920"
"In post","2023","Project Delivery","Rural Payments Agency","G6/G7","40","40","53540","50360"
"In post","2023","Project Delivery","Rural Payments Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Rural Payments Agency","SEO/HEO","95","90","35370","37300"
"In post","2023","Project Delivery","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Scottish Prison Service","G6/G7","10","10","59510","57260"
"In post","2023","Project Delivery","Scottish Prison Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","EO","15","15","26630","25900"
"In post","2023","Project Delivery","Standards and Testing Agency","G6/G7","35","30","56240","53590"
"In post","2023","Project Delivery","Standards and Testing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","SEO/HEO","80","75","38230","37590"
"In post","2023","Project Delivery","Submarine Delivery Agency","Unknown","1710","1670","43280","41200"
"In post","2023","Project Delivery","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","The Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","The Insolvency Service","G6/G7","15","15","57430","55380"
"In post","2023","Project Delivery","The Insolvency Service","SEO/HEO","35","35","39280","41880"
"In post","2023","Project Delivery","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","G6/G7","5","5","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","EO","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","G6/G7","95","95","56620","55120"
"In post","2023","Project Delivery","UK Space Agency","SCS level","5","5","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","SEO/HEO","95","90","38850","41060"
"In post","2023","Project Delivery","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Statistics Authority","EO","10","10","25160","24840"
"In post","2023","Project Delivery","UK Statistics Authority","G6/G7","100","95","54230","51460"
"In post","2023","Project Delivery","UK Statistics Authority","SCS level","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Statistics Authority","SEO/HEO","160","155","35260","37690"
"In post","2023","Project Delivery","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Valuation Office Agency","G6/G7","15","15","62390","58990"
"In post","2023","Project Delivery","Valuation Office Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Valuation Office Agency","SEO/HEO","20","20","36570","35020"
"In post","2023","Project Delivery","Vehicle Certification Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","SEO/HEO","10","10","50340","48660"
"In post","2023","Project Delivery","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","AA/AO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","EO","15","15","26570","26340"
"In post","2023","Project Delivery","Wilton Park","G6/G7","10","5","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","SEO/HEO","10","10","34600","35250"
"In post","2023","Property","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","G6/G7","45","45","57500","56430"
"In post","2023","Property","Cabinet Office (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","SEO/HEO","20","20","36260","36170"
"In post","2023","Property","Central Civil Service Fast Stream","SEO/HEO","40","40","29690","30130"
"In post","2023","Property","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","EO","5","5","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","10","10","57410","55120"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","35","30","21890","22150"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","80","75","26410","25920"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","130","125","55430","54330"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","15","15","88300","84950"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","165","160","35020","37300"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","G6/G7","15","15","61260","60430"
"In post","2023","Property","Department for Transport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","SEO/HEO","15","15","36900","36070"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","EO","25","25","29780","28120"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","G6/G7","90","85","58970","55000"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","SEO/HEO","180","170","39550","38470"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","AA/AO","15","15","22500","22500"
"In post","2023","Property","Driver and Vehicle Licensing Agency","EO","10","10","27110","27070"
"In post","2023","Property","Driver and Vehicle Licensing Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","SEO/HEO","35","30","34280","31940"
"In post","2023","Property","Driver and Vehicle Standards Agency","AA/AO","10","5","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Standards Agency","EO","10","10","27190","27260"
"In post","2023","Property","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Standards Agency","SEO/HEO","30","30","35590","33850"
"In post","2023","Property","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","EO","40","40","30500","29400"
"In post","2023","Property","FCDO Services","G6/G7","55","55","66460","65000"
"In post","2023","Property","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","SEO/HEO","105","105","42830","42890"
"In post","2023","Property","FCDO Services","Unknown","35","35","24380","23800"
"In post","2023","Property","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","Government Legal Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Property Agency","EO","25","25","26020","24820"
"In post","2023","Property","Government Property Agency","G6/G7","200","200","56590","56150"
"In post","2023","Property","Government Property Agency","SCS level","25","25","94970","93000"
"In post","2023","Property","Government Property Agency","SEO/HEO","140","135","37280","38340"
"In post","2023","Property","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","G6/G7","30","30","55680","51770"
"In post","2023","Property","HM Courts and Tribunals Service","SCS level","5","5","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","SEO/HEO","75","75","35990","35410"
"In post","2023","Property","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2023","Property","HM Land Registry","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","HM Land Registry","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","AA/AO","15","15","22800","22520"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","EO","40","40","29170","28130"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","G6/G7","70","70","62000","57970"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","SEO/HEO","135","135","38820","39450"
"In post","2023","Property","Health and Safety Executive","AA/AO","5","5","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Home Office","AA/AO","40","35","21530","19500"
"In post","2023","Property","Home Office","EO","5","5","[c]","[c]"
"In post","2023","Property","Home Office","G6/G7","10","10","61220","59400"
"In post","2023","Property","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Home Office","SEO/HEO","15","15","37590","36310"
"In post","2023","Property","Intellectual Property Office","AA/AO","15","15","23010","23100"
"In post","2023","Property","Intellectual Property Office","EO","5","5","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","EO","10","10","28550","28500"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Met Office","EO","10","5","[c]","[c]"
"In post","2023","Property","Met Office","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","Met Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Ministry of Defence (excl. agencies)","AA/AO","565","545","19670","18830"
"In post","2023","Property","Ministry of Defence (excl. agencies)","EO","280","275","27780","27470"
"In post","2023","Property","Ministry of Defence (excl. agencies)","G6/G7","205","200","57100","56180"
"In post","2023","Property","Ministry of Defence (excl. agencies)","SCS level","15","15","94190","80820"
"In post","2023","Property","Ministry of Defence (excl. agencies)","SEO/HEO","990","965","37970","34740"
"In post","2023","Property","Ministry of Justice (excl. agencies)","AA/AO","45","45","22560","21780"
"In post","2023","Property","Ministry of Justice (excl. agencies)","EO","45","45","27440","25830"
"In post","2023","Property","Ministry of Justice (excl. agencies)","G6/G7","145","140","59060","58100"
"In post","2023","Property","Ministry of Justice (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","Property","Ministry of Justice (excl. agencies)","SEO/HEO","215","210","38820","37870"
"In post","2023","Property","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Crime Agency","EO","5","5","[c]","[c]"
"In post","2023","Property","National Crime Agency","G6/G7","10","10","62320","60690"
"In post","2023","Property","National Crime Agency","SEO/HEO","25","25","44990","42240"
"In post","2023","Property","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Savings and Investments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","EO","5","5","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","G6/G7","5","5","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of the Public Guardian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","Property","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","G6/G7","5","5","[c]","[c]"
