"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Internal Audit","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","SEO/HEO","HEO","15","[c]","33990","33830"
"Leaver CS","2023","Internal Audit","SEO/HEO","SEO","35","[c]","43640","43160"
"Leaver CS","2023","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Legal","AA/AO","AO","180","[c]","22820","22870"
"Leaver CS","2023","Legal","EO","EO","150","[c]","28350","28080"
"Leaver CS","2023","Legal","G6/G7","G6","120","[c]","70600","69300"
"Leaver CS","2023","Legal","G6/G7","G7","295","[c]","56180","55000"
"Leaver CS","2023","Legal","SCS level","SCS level","30","[c]","92120","86050"
"Leaver CS","2023","Legal","SEO/HEO","HEO","50","[c]","37600","35000"
"Leaver CS","2023","Legal","SEO/HEO","SEO","70","[c]","40610","38940"
"Leaver CS","2023","No function","AA/AO","AA","2005","[c]","20210","19860"
"Leaver CS","2023","No function","AA/AO","AO","11640","[c]","22350","21780"
"Leaver CS","2023","No function","EO","EO","7850","[c]","28590","28120"
"Leaver CS","2023","No function","G6/G7","G6","600","[c]","69730","66770"
"Leaver CS","2023","No function","G6/G7","G7","1420","[c]","56570","54620"
"Leaver CS","2023","No function","SCS level","SCS level","345","[c]","97390","91290"
"Leaver CS","2023","No function","SEO/HEO","HEO","2900","[c]","34380","33840"
"Leaver CS","2023","No function","SEO/HEO","SEO","2005","[c]","42440","41660"
"Leaver CS","2023","No function","Unknown","Unknown","1980","[c]","34550","26840"
"Leaver CS","2023","Project Delivery","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2023","Project Delivery","AA/AO","AO","55","[c]","22440","22500"
"Leaver CS","2023","Project Delivery","EO","EO","125","[c]","26720","26900"
"Leaver CS","2023","Project Delivery","G6/G7","G6","130","[c]","69480","68350"
"Leaver CS","2023","Project Delivery","G6/G7","G7","225","[c]","53930","53770"
"Leaver CS","2023","Project Delivery","SCS level","SCS level","35","[c]","99050","91170"
"Leaver CS","2023","Project Delivery","SEO/HEO","HEO","315","[c]","33320","33010"
"Leaver CS","2023","Project Delivery","SEO/HEO","SEO","340","[c]","41860","41200"
"Leaver CS","2023","Project Delivery","Unknown","Unknown","140","[c]","41270","35790"
"Leaver CS","2023","Property","AA/AO","AA","80","[c]","20000","19050"
"Leaver CS","2023","Property","AA/AO","AO","130","[c]","23130","22520"
"Leaver CS","2023","Property","EO","EO","115","[c]","27500","27000"
"Leaver CS","2023","Property","G6/G7","G6","25","[c]","67040","67500"
"Leaver CS","2023","Property","G6/G7","G7","60","[c]","57130","56590"
"Leaver CS","2023","Property","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Property","SEO/HEO","HEO","130","[c]","34500","33990"
"Leaver CS","2023","Property","SEO/HEO","SEO","145","[c]","44690","44710"
"Leaver CS","2023","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","AA/AO","AA","265","[c]","23540","22270"
"Leaver CS","2023","Security","AA/AO","AO","350","[c]","32430","30200"
"Leaver CS","2023","Security","EO","EO","110","[c]","34530","29200"
"Leaver CS","2023","Security","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2023","Security","G6/G7","G7","25","[c]","55560","55110"
"Leaver CS","2023","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Security","SEO/HEO","HEO","105","[c]","39130","34320"
"Leaver CS","2023","Security","SEO/HEO","SEO","60","[c]","44160","43420"
"Leaver CS","2023","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","AA","220","[c]","23110","23340"
"Leaver CS","2023","Unknown","AA/AO","AO","285","[c]","25090","25480"
"Leaver CS","2023","Unknown","EO","EO","495","[c]","28440","29100"
"Leaver CS","2023","Unknown","G6/G7","G6","235","[c]","74690","75480"
"Leaver CS","2023","Unknown","G6/G7","G7","410","[c]","57330","55600"
"Leaver CS","2023","Unknown","SCS level","SCS level","125","[c]","94110","89260"
"Leaver CS","2023","Unknown","SEO/HEO","HEO","520","[c]","35210","34730"
"Leaver CS","2023","Unknown","SEO/HEO","SEO","415","[c]","44950","43760"
"Leaver CS","2023","Unknown","Unknown","Unknown","200","[c]","36780","33730"
"Leaver Dept.","2023","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","EO","EO","35","[c]","28280","27850"
"Leaver Dept.","2023","Analysis","G6/G7","G6","15","[c]","69940","69820"
"Leaver Dept.","2023","Analysis","G6/G7","G7","95","[c]","55630","55020"
"Leaver Dept.","2023","Analysis","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Analysis","SEO/HEO","HEO","265","[c]","33280","33250"
"Leaver Dept.","2023","Analysis","SEO/HEO","SEO","135","[c]","41880","41880"
"Leaver Dept.","2023","Commercial","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","EO","EO","35","[c]","27380","27200"
"Leaver Dept.","2023","Commercial","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Commercial","G6/G7","G7","55","[c]","53410","54940"
"Leaver Dept.","2023","Commercial","SEO/HEO","HEO","70","[c]","32880","32000"
"Leaver Dept.","2023","Commercial","SEO/HEO","SEO","110","[c]","41280","41460"
"Leaver Dept.","2023","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","EO","EO","35","[c]","27880","27950"
"Leaver Dept.","2023","Communications","G6/G7","G6","15","[c]","68880","68720"
"Leaver Dept.","2023","Communications","G6/G7","G7","45","[c]","56250","56390"
"Leaver Dept.","2023","Communications","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Communications","SEO/HEO","HEO","120","[c]","33970","33570"
"Leaver Dept.","2023","Communications","SEO/HEO","SEO","75","[c]","42700","42670"
"Leaver Dept.","2023","Counter Fraud","AA/AO","AO","50","[c]","22860","21690"
"Leaver Dept.","2023","Counter Fraud","EO","EO","185","[c]","29030","28120"
"Leaver Dept.","2023","Counter Fraud","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Counter Fraud","SEO/HEO","HEO","55","[c]","34470","34170"
"Leaver Dept.","2023","Counter Fraud","SEO/HEO","SEO","25","[c]","39880","38470"
"Leaver Dept.","2023","Debt","AA/AO","AO","170","[c]","21620","21690"
"Leaver Dept.","2023","Debt","EO","EO","20","[c]","27860","28120"
"Leaver Dept.","2023","Debt","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","AA/AO","AO","25","[c]","21900","21720"
"Leaver Dept.","2023","Digital, Data & Technology","EO","EO","105","[c]","27610","27170"
"Leaver Dept.","2023","Digital, Data & Technology","G6/G7","G6","40","[c]","68840","67000"
"Leaver Dept.","2023","Digital, Data & Technology","G6/G7","G7","150","[c]","54830","54700"
"Leaver Dept.","2023","Digital, Data & Technology","SCS level","SCS level","20","[c]","86900","85300"
