"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Black","No function","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","No function","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
