"Status","Year","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Companies House","G6/G7","Heterosexual / straight","80","75","57680","55830"
"In post","2023","Companies House","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Companies House","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2023","Companies House","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Companies House","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","Heterosexual / straight","285","270","39520","40500"
"In post","2023","Companies House","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Companies House","SEO/HEO","Undeclared","35","30","40880","40680"
"In post","2023","Companies House","SEO/HEO","Unknown","45","40","39770","40500"
"In post","2023","Competition and Markets Authority","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","Heterosexual / straight","50","50","28730","28760"
"In post","2023","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","G6/G7","Heterosexual / straight","370","355","67330","66340"
"In post","2023","Competition and Markets Authority","G6/G7","LGBO","35","35","66560","61900"
"In post","2023","Competition and Markets Authority","G6/G7","Undeclared","50","50","67970","69920"
"In post","2023","Competition and Markets Authority","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","SCS level","Heterosexual / straight","110","105","108370","102320"
"In post","2023","Competition and Markets Authority","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","185","180","38250","35880"
"In post","2023","Competition and Markets Authority","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2023","Competition and Markets Authority","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","Heterosexual / straight","70","60","21590","21780"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","AA/AO","Unknown","45","45","21650","21780"
"In post","2023","Criminal Injuries Compensation Authority","EO","Heterosexual / straight","60","55","25970","25830"
"In post","2023","Criminal Injuries Compensation Authority","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Criminal Injuries Compensation Authority","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
