"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Other ethnicity","Digital, Data & Technology","Outside London","85","80","42030","39650"
"In post","2023","Other ethnicity","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Finance","London","35","35","48120","44290"
"In post","2023","Other ethnicity","Finance","Outside London","30","25","[c]","[c]"
"In post","2023","Other ethnicity","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Grants Management","Outside London","10","5","[c]","[c]"
"In post","2023","Other ethnicity","Human Resources","London","40","40","43220","35700"
"In post","2023","Other ethnicity","Human Resources","Outside London","35","30","30990","31270"
"In post","2023","Other ethnicity","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Legal","London","80","75","49920","52020"
"In post","2023","Other ethnicity","Legal","Outside London","55","55","46640","52360"
"In post","2023","Other ethnicity","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","No function","London","865","830","41010","35650"
"In post","2023","Other ethnicity","No function","Outside London","915","860","31710","28120"
"In post","2023","Other ethnicity","No function","Overseas","40","40","50890","51420"
"In post","2023","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Project Delivery","London","90","85","56930","54810"
"In post","2023","Other ethnicity","Project Delivery","Outside London","45","40","42310","39890"
"In post","2023","Other ethnicity","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Property","London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Property","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Security","London","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Security","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","London","30","30","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Outside London","65","65","36790","31290"
"In post","2023","Other ethnicity","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","London","120","120","51620","48790"
"In post","2023","Undeclared","Analysis","Outside London","210","205","44130","41510"
"In post","2023","Undeclared","Commercial","London","85","85","61730","60230"
