"Status","Year","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Government Internal Audit Agency","35","30","47390","42930"
"In post","2023","Unknown","Government Legal Department","370","345","57450","59850"
"In post","2023","Unknown","Government Property Agency","40","40","53740","48060"
"In post","2023","Unknown","HM Courts and Tribunals Service","1305","1245","26850","23000"
"In post","2023","Unknown","HM Crown Prosecution Service Inspectorate","15","15","[c]","[c]"
"In post","2023","Unknown","HM Land Registry","1765","1690","29380","28080"
"In post","2023","Unknown","HM Prison and Probation Service","8455","8010","29100","28880"
"In post","2023","Unknown","HM Revenue and Customs (excl. agencies)","18260","17005","31950","28130"
"In post","2023","Unknown","HM Treasury (excl. agencies)","170","165","45840","41740"
"In post","2023","Unknown","Health and Safety Executive","110","110","39020","32800"
"In post","2023","Unknown","Home Office","13605","13165","30190","25880"
"In post","2023","Unknown","Institute for Apprenticeships and Technical Education","70","70","44810","41680"
"In post","2023","Unknown","Intellectual Property Office","445","435","38590","35190"
"In post","2023","Unknown","Legal Aid Agency","100","95","26290","21780"
"In post","2023","Unknown","Maritime and Coastguard Agency","315","310","30350","26960"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","715","700","46950","41480"
"In post","2023","Unknown","Ministry of Defence (excl. agencies)","8520","8245","34930","30200"
"In post","2023","Unknown","Ministry of Justice (excl. agencies)","1315","1295","41800","37680"
"In post","2023","Unknown","National Crime Agency","3760","3670","41670","38790"
"In post","2023","Unknown","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","National Records of Scotland","225","215","36100","31940"
"In post","2023","Unknown","Northern Ireland Office","45","45","48970","43650"
"In post","2023","Unknown","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2023","Unknown","Office for Standards in Education, Children's Services and Skills","160","155","44280","41050"
"In post","2023","Unknown","Office of Gas and Electricity Markets","100","95","47550","45810"
"In post","2023","Unknown","Office of Qualifications and Examinations Regulation","15","15","[c]","[c]"
"In post","2023","Unknown","Office of the Public Guardian","370","345","23180","21780"
"In post","2023","Unknown","Office of the Scottish Charity Regulator","15","15","[c]","[c]"
"In post","2023","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","70","70","49120","52360"
"In post","2023","Unknown","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2023","Unknown","Planning Inspectorate","115","105","42230","41840"
"In post","2023","Unknown","Registers of Scotland","415","390","33610","32510"
"In post","2023","Unknown","Revenue Scotland","30","30","41380","36530"
"In post","2023","Unknown","Royal Fleet Auxiliary","1695","1695","41950","40010"
"In post","2023","Unknown","Rural Payments Agency","665","615","27300","22150"
"In post","2023","Unknown","Scottish Courts and Tribunals Service","1025","915","30100","28540"
"In post","2023","Unknown","Scottish Fiscal Commission","10","10","[c]","[c]"
"In post","2023","Unknown","Scottish Forestry","15","15","[c]","[c]"
"In post","2023","Unknown","Scottish Government (excl. agencies)","3315","3190","45220","41640"
"In post","2023","Unknown","Scottish Housing Regulator","15","15","[c]","[c]"
"In post","2023","Unknown","Scottish Prison Service","4080","3835","34700","37060"
"In post","2023","Unknown","Scottish Public Pensions Agency","215","200","29900","27740"
"In post","2023","Unknown","Serious Fraud Office","70","70","53160","46060"
"In post","2023","Unknown","Social Security Scotland","1955","1860","29870","29100"
"In post","2023","Unknown","Standards and Testing Agency","15","15","[c]","[c]"
"In post","2023","Unknown","Student Awards Agency for Scotland","155","150","30700","25710"
"In post","2023","Unknown","Submarine Delivery Agency","345","335","40160","38320"
"In post","2023","Unknown","Teaching Regulation Agency","20","20","[c]","[c]"
"In post","2023","Unknown","The Insolvency Service","415","400","31670","28130"
"In post","2023","Unknown","The National Archives","200","190","36030","31190"
"In post","2023","Unknown","Transport Scotland","210","205","47850","49500"
"In post","2023","Unknown","UK Debt Management Office","110","105","62300","56630"
"In post","2023","Unknown","UK Health Security Agency","980","925","42810","37060"
"In post","2023","Unknown","UK Hydrographic Office","260","250","36420","34370"
"In post","2023","Unknown","UK Space Agency","125","125","48330","43650"
"In post","2023","Unknown","UK Statistics Authority","2250","2035","34310","31060"
"In post","2023","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Valuation Office Agency","835","805","30710","26890"
"In post","2023","Unknown","Veterinary Medicines Directorate","15","10","[c]","[c]"
"In post","2023","Unknown","Water Services Regulation Authority","25","25","[c]","[c]"
"In post","2023","Unknown","Welsh Government (excl. agencies)","360","340","39400","34520"
"In post","2023","Unknown","Welsh Revenue Authority","80","80","46880","43660"
"In post","2023","Unknown","Wilton Park","15","10","[c]","[c]"
"Leaver CS","2023","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Animal and Plant Health Agency","40","[c]","29670","26070"
"Leaver CS","2023","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Cabinet Office (excl. agencies)","105","[c]","44380","37360"
"Leaver CS","2023","Declared disabled","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Companies House","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Crown Commercial Service","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Crown Office and Procurator Fiscal Service","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Crown Prosecution Service","65","[c]","37440","30560"
"Leaver CS","2023","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Defence Equipment and Support","80","[c]","38660","34320"
"Leaver CS","2023","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","[c]","48520","46710"
"Leaver CS","2023","Declared disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Department for Education (excl. agencies)","45","[c]","38580","37590"
"Leaver CS","2023","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","60","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Department for International Trade","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","40","[c]","39530","37250"
"Leaver CS","2023","Declared disabled","Department for Transport (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Department for Work and Pensions (excl. agencies)","1545","[c]","26940","27570"
"Leaver CS","2023","Declared disabled","Department of Health and Social Care (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Driver and Vehicle Licensing Agency","45","[c]","24650","21840"
"Leaver CS","2023","Declared disabled","Driver and Vehicle Standards Agency","55","[c]","29110","27450"
"Leaver CS","2023","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Education and Skills Funding Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","FCDO Services","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Food Standards Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Forestry and Land Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Government Legal Department","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","HM Courts and Tribunals Service","220","[c]","25370","21780"
"Leaver CS","2023","Declared disabled","HM Land Registry","40","[c]","31100","28080"
"Leaver CS","2023","Declared disabled","HM Prison and Probation Service","845","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","HM Revenue and Customs (excl. agencies)","440","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","HM Treasury (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Health and Safety Executive","35","[c]","36870","31660"
"Leaver CS","2023","Declared disabled","Home Office","210","[c]","32430","27370"
"Leaver CS","2023","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal Aid Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Maritime and Coastguard Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Medicines and Healthcare Products Regulatory Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Met Office","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Ministry of Defence (excl. agencies)","340","[c]","33320","29570"
"Leaver CS","2023","Declared disabled","Ministry of Justice (excl. agencies)","65","[c]","40610","35410"
"Leaver CS","2023","Declared disabled","National Crime Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","National Records of Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office for Standards in Education, Children's Services and Skills","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of Gas and Electricity Markets","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of Rail and Road","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of the Public Guardian","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Planning Inspectorate","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Registers of Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Rural Payments Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Scottish Government (excl. agencies)","40","[c]","46360","38330"
"Leaver CS","2023","Declared disabled","Scottish Prison Service","30","[c]","37380","37060"
"Leaver CS","2023","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Social Security Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Submarine Delivery Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","The Insolvency Service","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","UK Health Security Agency","120","[c]","38460","32890"
"Leaver CS","2023","Declared disabled","UK Hydrographic Office","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","UK Statistics Authority","80","[c]","33460","30510"
"Leaver CS","2023","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Valuation Office Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Welsh Government (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","35","[c]","40550","34500"
"Leaver CS","2023","Declared non-disabled","Animal and Plant Health Agency","190","[c]","31200","26850"
"Leaver CS","2023","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Building Digital UK","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Cabinet Office (excl. agencies)","475","[c]","47680","41870"
"Leaver CS","2023","Declared non-disabled","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","40","[c]","32030","29750"
"Leaver CS","2023","Declared non-disabled","Charity Commission","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Companies House","60","[c]","33780","28070"
"Leaver CS","2023","Declared non-disabled","Competition and Markets Authority","105","[c]","54030","50240"
"Leaver CS","2023","Declared non-disabled","Criminal Injuries Compensation Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Crown Commercial Service","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","105","[c]","33910","24490"
"Leaver CS","2023","Declared non-disabled","Crown Prosecution Service","285","[c]","40460","33360"
"Leaver CS","2023","Declared non-disabled","Defence Electronics and Components Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Defence Equipment and Support","650","[c]","38480","33990"
"Leaver CS","2023","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","395","[c]","48340","46390"
"Leaver CS","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","140","[c]","44970","39620"
"Leaver CS","2023","Declared non-disabled","Department for Education (excl. agencies)","200","[c]","47860","45520"
"Leaver CS","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","360","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Department for International Trade","110","[c]","44230","41300"
"Leaver CS","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","205","[c]","45050","39600"
"Leaver CS","2023","Declared non-disabled","Department for Transport (excl. agencies)","170","[c]","50610","45180"
"Leaver CS","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","5675","[c]","27860","27570"
"Leaver CS","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","80","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Disclosure Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Driver and Vehicle Licensing Agency","385","[c]","25600","22500"
"Leaver CS","2023","Declared non-disabled","Driver and Vehicle Standards Agency","300","[c]","29520","27450"
"Leaver CS","2023","Declared non-disabled","Education Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Education and Skills Funding Agency","40","[c]","48880","43090"
"Leaver CS","2023","Declared non-disabled","Estyn","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","FCDO Services","65","[c]","37830","35300"
"Leaver CS","2023","Declared non-disabled","Food Standards Agency","45","[c]","39060","31260"
"Leaver CS","2023","Declared non-disabled","Food Standards Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Forestry and Land Scotland","100","[c]","33730","29560"
"Leaver CS","2023","Declared non-disabled","Government Actuary's Department","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Government Commercial Organisation","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Government Internal Audit Agency","35","[c]","50090","48780"
"Leaver CS","2023","Declared non-disabled","Government Legal Department","200","[c]","51490","52020"
"Leaver CS","2023","Declared non-disabled","Government Property Agency","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","HM Courts and Tribunals Service","1085","[c]","26290","21780"
"Leaver CS","2023","Declared non-disabled","HM Land Registry","275","[c]","35700","33840"
"Leaver CS","2023","Declared non-disabled","HM Prison and Probation Service","4185","[c]","38240","30880"
"Leaver CS","2023","Declared non-disabled","HM Revenue and Customs (excl. agencies)","2360","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","HM Treasury (excl. agencies)","180","[c]","44610","37900"
"Leaver CS","2023","Declared non-disabled","Health and Safety Executive","160","[c]","44050","41640"
"Leaver CS","2023","Declared non-disabled","Home Office","1225","[c]","34460","28650"
"Leaver CS","2023","Declared non-disabled","Institute for Apprenticeships and Technical Education","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Intellectual Property Office","50","[c]","39430","37640"
"Leaver CS","2023","Declared non-disabled","Legal Aid Agency","50","[c]","30950","26360"
"Leaver CS","2023","Declared non-disabled","Maritime and Coastguard Agency","105","[c]","38270","32540"
"Leaver CS","2023","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","70","[c]","58030","55570"
"Leaver CS","2023","Declared non-disabled","Met Office","150","[c]","36140","35230"
"Leaver CS","2023","Declared non-disabled","Ministry of Defence (excl. agencies)","2030","[c]","33970","30200"
"Leaver CS","2023","Declared non-disabled","Ministry of Justice (excl. agencies)","310","[c]","45610","43410"
"Leaver CS","2023","Declared non-disabled","National Crime Agency","85","[c]","50350","45480"
"Leaver CS","2023","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","National Records of Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","National Savings and Investments","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","200","[c]","55530","52750"
"Leaver CS","2023","Declared non-disabled","Office of Gas and Electricity Markets","225","[c]","45140","39270"
"Leaver CS","2023","Declared non-disabled","Office of Qualifications and Examinations Regulation","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office of the Public Guardian","45","[c]","23800","21780"
"Leaver CS","2023","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Planning Inspectorate","40","[c]","42460","40720"
"Leaver CS","2023","Declared non-disabled","Queen Elizabeth II Centre","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Registers of Scotland","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Rural Payments Agency","190","[c]","24000","22150"
"Leaver CS","2023","Declared non-disabled","Scottish Courts and Tribunals Service","70","[c]","28970","23190"
"Leaver CS","2023","Declared non-disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Scottish Forestry","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Scottish Government (excl. agencies)","220","[c]","46920","42860"
"Leaver CS","2023","Declared non-disabled","Scottish Prison Service","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Serious Fraud Office","35","[c]","45500","41400"
"Leaver CS","2023","Declared non-disabled","Social Security Scotland","50","[c]","31610","29100"
"Leaver CS","2023","Declared non-disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Student Awards Agency for Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Submarine Delivery Agency","120","[c]","42260","36960"
"Leaver CS","2023","Declared non-disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","The Insolvency Service","40","[c]","34760","31620"
"Leaver CS","2023","Declared non-disabled","The National Archives","60","[c]","35190","30600"
"Leaver CS","2023","Declared non-disabled","Transport Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","UK Export Finance","65","[c]","53300","42000"
"Leaver CS","2023","Declared non-disabled","UK Health Security Agency","1065","[c]","37110","33330"
"Leaver CS","2023","Declared non-disabled","UK Hydrographic Office","50","[c]","33210","29290"
"Leaver CS","2023","Declared non-disabled","UK Space Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","UK Statistics Authority","315","[c]","29400","21200"
"Leaver CS","2023","Declared non-disabled","UK Supreme Court","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Valuation Office Agency","155","[c]","37370","34000"
"Leaver CS","2023","Declared non-disabled","Vehicle Certification Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Veterinary Medicines Directorate","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Water Services Regulation Authority","30","[c]","45130","44420"
"Leaver CS","2023","Declared non-disabled","Welsh Government (excl. agencies)","170","[c]","43100","38160"
"Leaver CS","2023","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Wilton Park","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Animal and Plant Health Agency","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Cabinet Office (excl. agencies)","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Crown Prosecution Service","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Defence Electronics and Components Agency","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Defence Equipment and Support","60","[c]","43050","39270"
"Leaver CS","2023","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","25","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Digital, Culture, Media and Sport (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Education (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Transport (excl. agencies)","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Department for Work and Pensions (excl. agencies)","315","[c]","27800","27570"
"Leaver CS","2023","Undeclared","Driver and Vehicle Licensing Agency","50","[c]","23790","22500"
"Leaver CS","2023","Undeclared","Driver and Vehicle Standards Agency","30","[c]","29370","27630"
"Leaver CS","2023","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Food Standards Agency","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Government Commercial Organisation","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Government Legal Department","5","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","HM Courts and Tribunals Service","140","[c]","25650","21780"
"Leaver CS","2023","Undeclared","HM Land Registry","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","HM Prison and Probation Service","625","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","HM Revenue and Customs (excl. agencies)","205","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","HM Treasury (excl. agencies)","55","[c]","36950","32960"
"Leaver CS","2023","Undeclared","Health and Safety Executive","10","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Home Office","60","[c]","35780","29120"
