"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Mixed","Digital, Data & Technology","95","95","34510","33970"
"In post","2023","20-29","Mixed","Finance","50","50","32530","28840"
"In post","2023","20-29","Mixed","Grants Management","5","5","[c]","[c]"
"In post","2023","20-29","Mixed","Human Resources","65","65","34270","32560"
"In post","2023","20-29","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Mixed","Legal","90","85","31630","28200"
"In post","2023","20-29","Mixed","No function","1580","1550","31700","29750"
"In post","2023","20-29","Mixed","Project Delivery","105","100","35100","32500"
"In post","2023","20-29","Mixed","Property","25","25","[c]","[c]"
"In post","2023","20-29","Mixed","Security","20","20","[c]","[c]"
"In post","2023","20-29","Mixed","Unknown","135","135","31660","30130"
"In post","2023","20-29","Other ethnicity","Analysis","25","25","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Commercial","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Communications","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Counter Fraud","15","15","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Debt","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Finance","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Human Resources","10","10","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Legal","30","30","[c]","[c]"
"In post","2023","20-29","Other ethnicity","No function","360","355","33390","31770"
"In post","2023","20-29","Other ethnicity","Project Delivery","25","25","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Analysis","65","65","37800","36320"
"In post","2023","20-29","Undeclared","Commercial","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","Communications","20","20","[c]","[c]"
