"Status","Year","Age","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","South East (England)","325","300","29670","28120"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","South West (England)","150","135","29070","28120"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","Wales","145","135","28410","28120"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","West Midlands (England)","205","190","28960","28120"
"In post","2023","50-59","Counter Fraud","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","200","185","29450","28120"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","South East (England)","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Food Standards Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","East Midlands (England)","185","175","38660","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","East of England","125","115","30630","29730"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","715","695","42500","39790"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","North East (England)","140","135","37300","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","North West (England)","500","480","38490","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","Northern Ireland","140","135","36320","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","Scotland","280","260","36330","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","South East (England)","155","150","36840","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","South West (England)","115","110","39920","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","Wales","120","115","37560","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","West Midlands (England)","180","170","36080","35000"
"In post","2023","50-59","Counter Fraud","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","255","240","37080","35000"
"In post","2023","50-59","Counter Fraud","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Ministry of Justice (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","National Savings and Investments","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Serious Fraud Office","London","70","70","53790","54230"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","London","20","20","44550","44340"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","North West (England)","25","25","42020","40280"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","Scotland","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","50-59","Counter Fraud","The Insolvency Service","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","East Midlands (England)","65","55","23400","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","East of England","55","45","26100","25610"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","North East (England)","110","90","22920","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","North West (England)","95","85","23430","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","Scotland","70","65","23010","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","South West (England)","60","50","22810","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","Wales","25","25","22400","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","West Midlands (England)","170","150","23110","21690"
"In post","2023","50-59","Debt","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","125","110","24390","21690"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","East Midlands (England)","80","75","25020","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","East of England","20","15","26760","28130"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","London","210","195","30520","26920"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","North East (England)","105","95","24940","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","North West (England)","110","105","28380","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","Northern Ireland","5","5","[c]","[c]"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","Scotland","290","260","24900","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","South East (England)","30","25","29880","29730"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","Wales","75","70","26450","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","West Midlands (England)","110","100","25610","22520"
"In post","2023","50-59","Debt","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","100","90","29740","28130"
"In post","2023","50-59","Debt","Health and Safety Executive","North West (England)","5","5","[c]","[c]"
"In post","2023","50-59","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","London","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Animal and Plant Health Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Animal and Plant Health Agency","West Midlands (England)","10","10","31390","30320"
"In post","2023","50-59","Digital, Data & Technology","Building Digital UK","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","105","100","58910","56430"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","North East (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","North West (England)","20","20","55630","51290"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","South West (England)","10","10","58620","51290"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Cabinet Office (excl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Central Civil Service Fast Stream","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","East of England","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Charity Commission","North West (England)","10","10","38390","32180"
"In post","2023","50-59","Digital, Data & Technology","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Companies House","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Companies House","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Companies House","Wales","60","60","42550","40500"
"In post","2023","50-59","Digital, Data & Technology","Companies House","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Commercial Service","North West (England)","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scotland","15","15","47710","42940"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","London","15","15","50780","46200"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","Wales","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Crown Prosecution Service","Yorkshire and The Humber","20","20","39900","39710"
"In post","2023","50-59","Digital, Data & Technology","Defence Electronics and Components Agency","Wales","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","South West (England)","95","95","42560","41810"
"In post","2023","50-59","Digital, Data & Technology","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","30","30","51180","47050"
"In post","2023","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","London","25","25","46190","42320"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","North East (England)","45","45","40030","37590"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","North West (England)","25","25","51230","51360"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","West Midlands (England)","40","40","47730","51360"
"In post","2023","50-59","Digital, Data & Technology","Department for Education (excl. agencies)","Yorkshire and The Humber","40","40","42700","38210"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","10","10","40640","37300"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","London","35","35","46860","43290"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","15","15","43320","38140"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","50","45","46730","49400"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","30","30","47680","49400"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","60","55","48520","49400"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","25","20","44140","49400"
"In post","2023","50-59","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","20","20","47820","49400"
"In post","2023","50-59","Digital, Data & Technology","Department for International Trade","London","20","20","55070","52580"
"In post","2023","50-59","Digital, Data & Technology","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","London","15","15","52750","46920"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","London","20","20","47030","43320"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","South East (England)","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","East Midlands (England)","15","15","30520","28120"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","East of England","15","15","33280","30450"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","London","75","75","46570","43760"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","North East (England)","425","415","45310","38470"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","North West (England)","615","595","46080","40500"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Scotland","25","25","31720","28120"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","South East (England)","10","10","34640","32520"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","South West (England)","15","15","33140","28120"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Wales","20","20","30300","28120"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","West Midlands (England)","25","25","33320","28120"
"In post","2023","50-59","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","195","190","47440","42900"
"In post","2023","50-59","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","London","10","10","50300","50340"
"In post","2023","50-59","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Wales","180","180","47020","42260"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","East Midlands (England)","20","20","41180","42140"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","South West (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","Wales","10","10","37530","39820"
"In post","2023","50-59","Digital, Data & Technology","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","North East (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","West Midlands (England)","15","15","47840","41580"
"In post","2023","50-59","Digital, Data & Technology","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","FCDO Services","South East (England)","35","35","51270","49320"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Food Standards Agency","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","London","35","35","52230","50420"
"In post","2023","50-59","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","50","50","49220","49000"
"In post","2023","50-59","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Government Legal Department","London","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","London","25","25","48350","43650"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","North West (England)","10","10","40900","37680"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","South West (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","East Midlands (England)","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","East of England","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","London","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","North West (England)","15","15","36240","32690"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","South West (England)","150","135","42150","39460"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","West Midlands (England)","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","East Midlands (England)","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","East of England","30","25","41650","42510"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","London","155","155","54350","45950"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","North East (England)","195","190","48770","42510"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","North West (England)","100","95","46080","42510"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Scotland","40","40","43100","42140"
"In post","2023","50-59","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","South East (England)","115","110","45590","42620"
