"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Property","Unknown","15","15","[c]","[c]"
"In post","2023","Black","Psychology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Black","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Science and Engineering","Heterosexual / straight","185","185","39340","37420"
"In post","2023","Black","Science and Engineering","LGBO","5","5","[c]","[c]"
"In post","2023","Black","Science and Engineering","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Science and Engineering","Unknown","20","15","[c]","[c]"
"In post","2023","Black","Security","Heterosexual / straight","135","135","35320","32300"
"In post","2023","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Undeclared","5","5","[c]","[c]"
"In post","2023","Black","Security","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Social Research","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Black","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Statistics","Heterosexual / straight","65","65","40400","39040"
"In post","2023","Black","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Statistics","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Tax","Heterosexual / straight","470","460","35110","34700"
"In post","2023","Black","Tax","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Tax","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","Tax","Unknown","55","55","37320","39110"
"In post","2023","Black","Unknown","Heterosexual / straight","535","525","39370","35000"
"In post","2023","Black","Unknown","LGBO","15","15","[c]","[c]"
"In post","2023","Black","Unknown","Undeclared","35","35","41550","37500"
"In post","2023","Black","Unknown","Unknown","50","45","34980","34370"
"In post","2023","Black","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Commercial","Heterosexual / straight","110","110","47020","40480"
"In post","2023","Mixed","Commercial","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","Commercial","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","Communications","Heterosexual / straight","85","85","45520","40600"
"In post","2023","Mixed","Communications","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Heterosexual / straight","140","135","31990","28130"
"In post","2023","Mixed","Counter Fraud","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Undeclared","20","20","[c]","[c]"
"In post","2023","Mixed","Counter Fraud","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","Digital, Data and Technology","Heterosexual / straight","280","275","43920","41490"
"In post","2023","Mixed","Digital, Data and Technology","LGBO","45","45","46970","44450"
"In post","2023","Mixed","Digital, Data and Technology","Undeclared","30","30","44300","41440"
"In post","2023","Mixed","Digital, Data and Technology","Unknown","30","30","41860","38970"
"In post","2023","Mixed","Economics","Heterosexual / straight","60","55","47690","51360"
"In post","2023","Mixed","Economics","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Finance","Heterosexual / straight","160","155","42870","40570"
"In post","2023","Mixed","Finance","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Finance","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","Finance","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Human Resources","Heterosexual / straight","225","220","41560","38460"
"In post","2023","Mixed","Human Resources","LGBO","20","20","[c]","[c]"
"In post","2023","Mixed","Human Resources","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2023","Mixed","Inspector of Education and Training","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Mixed","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Intelligence Analysis","Heterosexual / straight","35","35","41000","33990"
"In post","2023","Mixed","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Intelligence Analysis","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Mixed","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","International Trade","Heterosexual / straight","55","50","47680","41550"
"In post","2023","Mixed","International Trade","LGBO","5","5","[c]","[c]"
"In post","2023","Mixed","International Trade","Undeclared","5","5","[c]","[c]"
"In post","2023","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Knowledge and Information Management","Heterosexual / straight","30","30","35790","33090"
"In post","2023","Mixed","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Legal","Heterosexual / straight","240","225","54030","54100"
"In post","2023","Mixed","Legal","LGBO","20","20","[c]","[c]"
"In post","2023","Mixed","Legal","Undeclared","25","20","[c]","[c]"
"In post","2023","Mixed","Legal","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","Medicine","Heterosexual / straight","30","30","68380","63700"
"In post","2023","Mixed","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Medicine","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Operational Delivery","Heterosexual / straight","3715","3485","30740","28130"
"In post","2023","Mixed","Operational Delivery","LGBO","420","405","29680","28120"
"In post","2023","Mixed","Operational Delivery","Undeclared","350","315","30740","28120"
"In post","2023","Mixed","Operational Delivery","Unknown","260","235","29790","28120"
"In post","2023","Mixed","Operational Research","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Mixed","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Other","Heterosexual / straight","175","165","33680","29750"
"In post","2023","Mixed","Other","LGBO","15","15","[c]","[c]"
"In post","2023","Mixed","Other","Undeclared","20","15","[c]","[c]"
"In post","2023","Mixed","Other","Unknown","5","5","[c]","[c]"
"In post","2023","Mixed","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Policy","Heterosexual / straight","850","830","48120","45330"
"In post","2023","Mixed","Policy","LGBO","145","145","45270","41060"
"In post","2023","Mixed","Policy","Undeclared","65","65","47170","46240"
"In post","2023","Mixed","Policy","Unknown","45","45","47810","43650"
"In post","2023","Mixed","Project Delivery","Heterosexual / straight","280","270","45100","42010"
"In post","2023","Mixed","Project Delivery","LGBO","35","35","45270","43750"
"In post","2023","Mixed","Project Delivery","Undeclared","25","25","[c]","[c]"
"In post","2023","Mixed","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2023","Mixed","Property","Heterosexual / straight","70","70","35520","33900"
"In post","2023","Mixed","Property","LGBO","5","5","[c]","[c]"
"In post","2023","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Property","Unknown","15","10","[c]","[c]"
"In post","2023","Mixed","Psychology","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Mixed","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Science and Engineering","Heterosexual / straight","170","165","40650","39890"
"In post","2023","Mixed","Science and Engineering","LGBO","20","20","[c]","[c]"
"In post","2023","Mixed","Science and Engineering","Undeclared","15","15","[c]","[c]"
"In post","2023","Mixed","Science and Engineering","Unknown","25","20","[c]","[c]"
"In post","2023","Mixed","Security","Heterosexual / straight","75","75","40350","38020"
"In post","2023","Mixed","Security","LGBO","5","5","[c]","[c]"
"In post","2023","Mixed","Security","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","Security","Unknown","10","10","[c]","[c]"
"In post","2023","Mixed","Social Research","Heterosexual / straight","35","35","45290","44040"
"In post","2023","Mixed","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Statistics","Heterosexual / straight","55","55","44630","41760"
