"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Transport","EO","Unknown","805","780","28260","27190"
"In post","2023","Department for Transport","G6/G7","Heterosexual / straight","1550","1510","61230","57000"
"In post","2023","Department for Transport","G6/G7","LGBO","140","140","59190","55740"
"In post","2023","Department for Transport","G6/G7","Undeclared","215","205","63280","59880"
"In post","2023","Department for Transport","G6/G7","Unknown","325","320","61140","56340"
"In post","2023","Department for Transport","SCS level","Heterosexual / straight","205","195","90580","82170"
"In post","2023","Department for Transport","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Transport","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2023","Department for Transport","SCS level","Unknown","35","35","85740","79800"
"In post","2023","Department for Transport","SEO/HEO","Heterosexual / straight","2935","2860","38070","37350"
"In post","2023","Department for Transport","SEO/HEO","LGBO","195","190","38400","38290"
"In post","2023","Department for Transport","SEO/HEO","Undeclared","525","505","38470","38220"
"In post","2023","Department for Transport","SEO/HEO","Unknown","525","515","38100","36070"
"In post","2023","Department for Work and Pensions","AA/AO","Heterosexual / straight","17300","14960","22010","21690"
"In post","2023","Department for Work and Pensions","AA/AO","LGBO","1080","1010","22040","21690"
"In post","2023","Department for Work and Pensions","AA/AO","Undeclared","2420","2065","22060","21690"
"In post","2023","Department for Work and Pensions","AA/AO","Unknown","5060","4155","22030","21690"
"In post","2023","Department for Work and Pensions","EO","Heterosexual / straight","30950","27825","28800","28120"
"In post","2023","Department for Work and Pensions","EO","LGBO","1895","1805","28720","28120"
"In post","2023","Department for Work and Pensions","EO","Undeclared","3585","3165","28750","28120"
"In post","2023","Department for Work and Pensions","EO","Unknown","6915","5990","28870","28120"
"In post","2023","Department for Work and Pensions","G6/G7","Heterosexual / straight","3265","3140","58490","55250"
"In post","2023","Department for Work and Pensions","G6/G7","LGBO","190","180","58060","55250"
"In post","2023","Department for Work and Pensions","G6/G7","Undeclared","350","335","60260","56960"
"In post","2023","Department for Work and Pensions","G6/G7","Unknown","615","595","59250","55550"
"In post","2023","Department for Work and Pensions","SCS level","Heterosexual / straight","245","235","90430","82980"
"In post","2023","Department for Work and Pensions","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Work and Pensions","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Work and Pensions","SCS level","Unknown","50","45","94880","83390"
"In post","2023","Department for Work and Pensions","SEO/HEO","Heterosexual / straight","10235","9655","37460","34970"
"In post","2023","Department for Work and Pensions","SEO/HEO","LGBO","705","690","36660","34170"
"In post","2023","Department for Work and Pensions","SEO/HEO","Undeclared","1145","1090","38170","36630"
"In post","2023","Department for Work and Pensions","SEO/HEO","Unknown","1735","1645","37750","36690"
"In post","2023","Department of Health and Social Care","AA/AO","Heterosexual / straight","365","325","22850","22820"
"In post","2023","Department of Health and Social Care","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","Department of Health and Social Care","AA/AO","Undeclared","75","70","23080","23110"
