"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared disabled","London","AA","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","London","AO","130","[c]","24750","25480"
"Leaver CS","2023","Declared disabled","London","EO","245","[c]","30690","31060"
"Leaver CS","2023","Declared disabled","London","G6","65","[c]","69390","67620"
"Leaver CS","2023","Declared disabled","London","G7","125","[c]","56760","56340"
"Leaver CS","2023","Declared disabled","London","HEO","150","[c]","35450","34860"
"Leaver CS","2023","Declared disabled","London","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","London","SEO","95","[c]","43610","42980"
"Leaver CS","2023","Declared disabled","London","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Outside London","AA","235","[c]","20530","19930"
"Leaver CS","2023","Declared disabled","Outside London","AO","1520","[c]","22340","21690"
"Leaver CS","2023","Declared disabled","Outside London","EO","1140","[c]","28100","28120"
"Leaver CS","2023","Declared disabled","Outside London","G6","65","[c]","69980","67110"
"Leaver CS","2023","Declared disabled","Outside London","G7","140","[c]","55660","54470"
"Leaver CS","2023","Declared disabled","Outside London","HEO","405","[c]","33860","33990"
"Leaver CS","2023","Declared disabled","Outside London","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Outside London","SEO","280","[c]","42500","41490"
"Leaver CS","2023","Declared disabled","Outside London","Unknown","305","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","London","AA","115","[c]","22790","23000"
"Leaver CS","2023","Declared non-disabled","London","AO","755","[c]","24790","25480"
"Leaver CS","2023","Declared non-disabled","London","EO","1280","[c]","30130","31060"
"Leaver CS","2023","Declared non-disabled","London","G6","425","[c]","69910","68680"
"Leaver CS","2023","Declared non-disabled","London","G7","1020","[c]","56510","55220"
"Leaver CS","2023","Declared non-disabled","London","HEO","970","[c]","35530","35070"
"Leaver CS","2023","Declared non-disabled","London","SCS level","290","[c]","98070","88910"
"Leaver CS","2023","Declared non-disabled","London","SEO","780","[c]","42990","42520"
"Leaver CS","2023","Declared non-disabled","London","Unknown","160","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Outside London","AA","1195","[c]","20720","19930"
"Leaver CS","2023","Declared non-disabled","Outside London","AO","7405","[c]","22340","21690"
"Leaver CS","2023","Declared non-disabled","Outside London","EO","4960","[c]","27910","27570"
"Leaver CS","2023","Declared non-disabled","Outside London","G6","445","[c]","71480","69680"
"Leaver CS","2023","Declared non-disabled","Outside London","G7","1085","[c]","56700","55110"
"Leaver CS","2023","Declared non-disabled","Outside London","HEO","2270","[c]","34160","33710"
"Leaver CS","2023","Declared non-disabled","Outside London","SCS level","145","[c]","101640","96320"
"Leaver CS","2023","Declared non-disabled","Outside London","SEO","1865","[c]","42590","41560"
"Leaver CS","2023","Declared non-disabled","Outside London","Unknown","1015","[c]","41380","34480"
"Leaver CS","2023","Declared non-disabled","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","HEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","AO","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","EO","30","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","HEO","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","London","AA","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","London","AO","90","[c]","24330","24900"
"Leaver CS","2023","Undeclared","London","EO","100","[c]","29860","30410"
"Leaver CS","2023","Undeclared","London","G6","45","[c]","70960","69500"
"Leaver CS","2023","Undeclared","London","G7","85","[c]","56850","55420"
"Leaver CS","2023","Undeclared","London","HEO","90","[c]","35170","34710"
"Leaver CS","2023","Undeclared","London","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","London","SEO","70","[c]","43550","42670"
"Leaver CS","2023","Undeclared","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Outside London","AA","165","[c]","20580","19930"
"Leaver CS","2023","Undeclared","Outside London","AO","700","[c]","23040","21690"
"Leaver CS","2023","Undeclared","Outside London","EO","395","[c]","28100","27570"
"Leaver CS","2023","Undeclared","Outside London","G6","30","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Outside London","G7","90","[c]","55120","54540"
"Leaver CS","2023","Undeclared","Outside London","HEO","195","[c]","34520","34230"
"Leaver CS","2023","Undeclared","Outside London","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Outside London","SEO","190","[c]","42150","41620"
"Leaver CS","2023","Undeclared","Outside London","Unknown","75","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Overseas","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Undeclared","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","London","AA","110","[c]","22600","23500"
"Leaver CS","2023","Unknown","London","AO","515","[c]","24790","25480"
"Leaver CS","2023","Unknown","London","EO","640","[c]","29160","29660"
"Leaver CS","2023","Unknown","London","G6","255","[c]","70310","67620"
"Leaver CS","2023","Unknown","London","G7","530","[c]","57510","55560"
"Leaver CS","2023","Unknown","London","HEO","610","[c]","34240","34020"
"Leaver CS","2023","Unknown","London","SCS level","130","[c]","102320","95000"
"Leaver CS","2023","Unknown","London","SEO","450","[c]","42470","41870"
"Leaver CS","2023","Unknown","London","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Outside London","AA","885","[c]","21550","21380"
"Leaver CS","2023","Unknown","Outside London","AO","3350","[c]","23130","22150"
"Leaver CS","2023","Unknown","Outside London","EO","1615","[c]","28700","27500"
"Leaver CS","2023","Unknown","Outside London","G6","195","[c]","71540","68770"
"Leaver CS","2023","Unknown","Outside London","G7","525","[c]","54910","53640"
"Leaver CS","2023","Unknown","Outside London","HEO","840","[c]","33990","33000"
"Leaver CS","2023","Unknown","Outside London","SCS level","55","[c]","99650","93000"
"Leaver CS","2023","Unknown","Outside London","SEO","665","[c]","41790","40480"
"Leaver CS","2023","Unknown","Outside London","Unknown","475","[c]","34400","32910"
"Leaver CS","2023","Unknown","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","G6","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","G7","20","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","HEO","55","[c]","46450","46130"
"Leaver CS","2023","Unknown","Overseas","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
