"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Caithness and Sutherland, and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Calderdale and Kirklees","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","SEO/HEO","20","20","33640","32490"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","AA/AO","45","40","22120","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","EO","20","20","26020","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","G6/G7","10","10","56430","56940"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","SEO/HEO","25","25","34840","37300"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","EO","15","15","27370","26230"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","SEO/HEO","10","10","33270","32330"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","SEO/HEO","15","10","34910","32250"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","AA/AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","EO","15","15","26040","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","G6/G7","5","5","[c]","[c]"
