"Status","Year","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","55","[c]","39480","31120"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","205","[c]","45810","42120"
"Leaver CS","2023","Department for Education (excl. agencies)","Department for Education","London","145","[c]","45180","41720"
"Leaver CS","2023","Department for Education (excl. agencies)","Department for Education","Outside London","300","[c]","41190","37590"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","250","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","300","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Department for International Trade","London","215","[c]","42100","38160"
"Leaver CS","2023","Department for International Trade","Department for International Trade","Outside London","40","[c]","38090","36250"
"Leaver CS","2023","Department for International Trade","Department for International Trade","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","205","[c]","45690","39600"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","110","[c]","36250","34520"
"Leaver CS","2023","Department for Transport (excl. agencies)","Department for Transport","London","195","[c]","50270","44570"
"Leaver CS","2023","Department for Transport (excl. agencies)","Department for Transport","Outside London","65","[c]","42580","38650"
"Leaver CS","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","1065","[c]","33380","31060"
"Leaver CS","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","7075","[c]","26920","27570"
"Leaver CS","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","65","[c]","26810","27570"
"Leaver CS","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","320","[c]","[c]","[c]"
"Leaver CS","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","135","[c]","[c]","[c]"
"Leaver CS","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2023","Disclosure Scotland","Scottish Government","Outside London","20","[c]","31970","29450"
"Leaver CS","2023","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","600","[c]","24670","22500"
"Leaver CS","2023","Driver and Vehicle Standards Agency","Department for Transport","London","55","[c]","31290","30960"
"Leaver CS","2023","Driver and Vehicle Standards Agency","Department for Transport","Outside London","525","[c]","28430","26960"
"Leaver CS","2023","Education Scotland","Scottish Government","Outside London","20","[c]","60950","70920"
"Leaver CS","2023","Education and Skills Funding Agency","Department for Education","London","10","[c]","60070","55020"
"Leaver CS","2023","Education and Skills Funding Agency","Department for Education","Outside London","55","[c]","42690","38210"
"Leaver CS","2023","Estyn","Estyn","Outside London","15","[c]","46230","30610"
"Leaver CS","2023","FCDO Services","Foreign, Commonwealth and Development Office","London","15","[c]","45220","39110"
"Leaver CS","2023","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","60","[c]","35000","31590"
"Leaver CS","2023","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
