"Status","Year","Age","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Economics","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
