"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Office of Rail and Road","Office of Rail and Road","35","[c]","53470","55410"
"Leaver CS","2023","Office of the Public Guardian","Ministry of Justice","100","[c]","23000","21780"
"Leaver CS","2023","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","15","[c]","36420","29660"
"Leaver CS","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","5","[c]","[c]","[c]"
"Leaver CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","65","[c]","43430","40720"
"Leaver CS","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","10","[c]","[c]","[c]"
"Leaver CS","2023","Registers of Scotland","Scottish Government","45","[c]","37800","37710"
"Leaver CS","2023","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Royal Fleet Auxiliary","Ministry of Defence","200","[c]","36910","34110"
"Leaver CS","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","210","[c]","24290","22150"
"Leaver CS","2023","Scottish Courts and Tribunals Service","Scottish Government","160","[c]","29000","25060"
"Leaver CS","2023","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Scottish Forestry","Scottish Government","15","[c]","40930","40510"
"Leaver CS","2023","Scottish Government (excl. agencies)","Scottish Government","495","[c]","43300","38330"
"Leaver CS","2023","Scottish Prison Service","Scottish Government","405","[c]","33340","37060"
"Leaver CS","2023","Scottish Public Pensions Agency","Scottish Government","10","[c]","[c]","[c]"
"Leaver CS","2023","Serious Fraud Office","Attorney General's Departments","70","[c]","46110","42010"
"Leaver CS","2023","Social Security Scotland","Scottish Government","160","[c]","28980","24890"
"Leaver CS","2023","Standards and Testing Agency","Department for Education","10","[c]","[c]","[c]"
"Leaver CS","2023","Student Awards Agency for Scotland","Scottish Government","30","[c]","24970","22180"
"Leaver CS","2023","Submarine Delivery Agency","Ministry of Defence","170","[c]","41920","38790"
"Leaver CS","2023","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","95","[c]","30630","25060"
"Leaver CS","2023","The National Archives","The National Archives","90","[c]","33050","29840"
"Leaver CS","2023","Transport Scotland","Scottish Government","40","[c]","44510","38330"
"Leaver CS","2023","UK Debt Management Office","HM Treasury","15","[c]","54110","50000"
"Leaver CS","2023","UK Export Finance","UK Export Finance","75","[c]","53250","42000"
"Leaver CS","2023","UK Health Security Agency","Department of Health and Social Care","1920","[c]","40840","36010"
"Leaver CS","2023","UK Hydrographic Office","Ministry of Defence","85","[c]","33670","31090"
"Leaver CS","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","30","[c]","48810","50680"
"Leaver CS","2023","UK Statistics Authority","UK Statistics Authority","695","[c]","29850","23670"
"Leaver CS","2023","UK Supreme Court","UK Supreme Court","20","[c]","36820","37230"
"Leaver CS","2023","Valuation Office Agency","HM Revenue and Customs","265","[c]","35180","29440"
"Leaver CS","2023","Vehicle Certification Agency","Department for Transport","20","[c]","32640","31460"
