"Status","Year","Age","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Finance","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Legal Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Government Legal Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Courts and Tribunals Service","AA/AO","10","10","[c]","[c]"
"In post","2023","50-59","Finance","HM Courts and Tribunals Service","EO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","HM Courts and Tribunals Service","G6/G7","20","20","59940","61530"
"In post","2023","50-59","Finance","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Courts and Tribunals Service","SEO/HEO","20","20","37720","35410"
"In post","2023","50-59","Finance","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Land Registry","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Finance","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Revenue and Customs (excl. agencies)","AA/AO","395","320","22720","22520"
"In post","2023","50-59","Finance","HM Revenue and Customs (excl. agencies)","EO","165","155","29360","28130"
"In post","2023","50-59","Finance","HM Revenue and Customs (excl. agencies)","G6/G7","160","155","63380","62760"
"In post","2023","50-59","Finance","HM Revenue and Customs (excl. agencies)","SCS level","15","15","93430","80970"
"In post","2023","50-59","Finance","HM Revenue and Customs (excl. agencies)","SEO/HEO","325","315","39700","39790"
"In post","2023","50-59","Finance","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","HM Treasury (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Finance","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Health and Safety Executive","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Health and Safety Executive","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Home Office","EO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Home Office","G6/G7","40","40","64010","60300"
"In post","2023","50-59","Finance","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Home Office","SEO/HEO","35","35","40640","39190"
"In post","2023","50-59","Finance","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Intellectual Property Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Intellectual Property Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Medicines and Healthcare Products Regulatory Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Met Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Met Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Ministry of Defence (excl. agencies)","AA/AO","55","50","22630","22220"
"In post","2023","50-59","Finance","Ministry of Defence (excl. agencies)","EO","160","155","28370","27470"
"In post","2023","50-59","Finance","Ministry of Defence (excl. agencies)","G6/G7","90","90","61640","59180"
"In post","2023","50-59","Finance","Ministry of Defence (excl. agencies)","SCS level","20","20","87750","82750"
"In post","2023","50-59","Finance","Ministry of Defence (excl. agencies)","SEO/HEO","260","255","41430","41800"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","EO","25","25","27860","27170"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","G6/G7","50","50","62400","60740"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","SEO/HEO","85","85","40760","41510"
"In post","2023","50-59","Finance","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","National Crime Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","National Crime Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","National Savings and Investments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","National Savings and Investments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","National Savings and Investments","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Queen Elizabeth II Centre","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Courts and Tribunals Service","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Prison Service","AA/AO","15","15","27000","28490"
"In post","2023","50-59","Finance","Scottish Prison Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Prison Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Prison Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Scottish Prison Service","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Serious Fraud Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Serious Fraud Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Submarine Delivery Agency","Unknown","15","15","68260","57430"
"In post","2023","50-59","Finance","The Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","The Insolvency Service","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Finance","The Insolvency Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","The Insolvency Service","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Export Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","UK Health Security Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Health Security Agency","EO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","UK Health Security Agency","G6/G7","15","15","62270","62290"
"In post","2023","50-59","Finance","UK Health Security Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Health Security Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","50-59","Finance","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Hydrographic Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Space Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Space Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Space Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Valuation Office Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Valuation Office Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Valuation Office Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Vehicle Certification Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Vehicle Certification Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Welsh Revenue Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Rural Payments Agency","AA/AO","300","275","22150","22150"
"In post","2023","50-59","Grants Management","Rural Payments Agency","EO","165","155","26310","26390"
"In post","2023","50-59","Grants Management","Rural Payments Agency","G6/G7","35","35","53800","50530"
"In post","2023","50-59","Grants Management","Rural Payments Agency","SCS level","5","5","[c]","[c]"
"In post","2023","50-59","Grants Management","Rural Payments Agency","SEO/HEO","135","130","33620","32090"
"In post","2023","50-59","Human Resources","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Building Digital UK","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Cabinet Office (excl. agencies)","AA/AO","20","20","22050","21720"
"In post","2023","50-59","Human Resources","Cabinet Office (excl. agencies)","EO","25","25","27700","27100"
"In post","2023","50-59","Human Resources","Cabinet Office (excl. agencies)","G6/G7","70","70","58560","56430"
"In post","2023","50-59","Human Resources","Cabinet Office (excl. agencies)","SCS level","15","15","87870","77250"
"In post","2023","50-59","Human Resources","Cabinet Office (excl. agencies)","SEO/HEO","80","80","38520","38460"
"In post","2023","50-59","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Companies House","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Commercial Service","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Office and Procurator Fiscal Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Office and Procurator Fiscal Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Prosecution Service","G6/G7","20","20","58320","56450"
"In post","2023","50-59","Human Resources","Crown Prosecution Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Crown Prosecution Service","SEO/HEO","25","25","36300","35000"
"In post","2023","50-59","Human Resources","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Electronics and Components Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Equipment and Support","AA/AO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Equipment and Support","G6/G7","15","15","59920","62500"
"In post","2023","50-59","Human Resources","Defence Equipment and Support","SCS level","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Equipment and Support","SEO/HEO","15","15","38310","40220"
"In post","2023","50-59","Human Resources","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Defence Science and Technology Laboratory","G6/G7","20","20","52610","49260"
"In post","2023","50-59","Human Resources","Defence Science and Technology Laboratory","SEO/HEO","10","10","33030","30650"
"In post","2023","50-59","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","15","15","61300","60310"
"In post","2023","50-59","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Education (excl. agencies)","G6/G7","10","10","57600","53590"
"In post","2023","50-59","Human Resources","Department for Education (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Education (excl. agencies)","SEO/HEO","15","10","34460","33280"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","10","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","55","55","54430","53850"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","25","25","36360","37710"
"In post","2023","50-59","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for International Trade","G6/G7","10","10","59150","57140"
"In post","2023","50-59","Human Resources","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for International Trade","SEO/HEO","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Transport (excl. agencies)","G6/G7","15","15","59320","56240"
"In post","2023","50-59","Human Resources","Department for Transport (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department for Transport (excl. agencies)","SEO/HEO","10","10","38920","37240"
"In post","2023","50-59","Human Resources","Department for Work and Pensions (excl. agencies)","AA/AO","15","10","22280","21690"
"In post","2023","50-59","Human Resources","Department for Work and Pensions (excl. agencies)","EO","265","250","28800","28120"
"In post","2023","50-59","Human Resources","Department for Work and Pensions (excl. agencies)","G6/G7","105","100","56380","50520"
"In post","2023","50-59","Human Resources","Department for Work and Pensions (excl. agencies)","SEO/HEO","200","190","37100","38470"
"In post","2023","50-59","Human Resources","Department of Health and Social Care (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Department of Health and Social Care (excl. agencies)","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Department of Health and Social Care (excl. agencies)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Licensing Agency","EO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Licensing Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Licensing Agency","SEO/HEO","25","20","35580","32950"
"In post","2023","50-59","Human Resources","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Standards Agency","EO","10","10","30990","32020"
"In post","2023","50-59","Human Resources","Driver and Vehicle Standards Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Driver and Vehicle Standards Agency","SEO/HEO","25","25","37710","39820"
"In post","2023","50-59","Human Resources","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","FCDO Services","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","40","40","63580","60570"
"In post","2023","50-59","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","15","15","95880","84530"
"In post","2023","50-59","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","30","30","41230","40620"
"In post","2023","50-59","Human Resources","Government Actuary's Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Legal Department","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","Government Legal Department","SEO/HEO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Courts and Tribunals Service","G6/G7","15","15","56440","51770"
"In post","2023","50-59","Human Resources","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Courts and Tribunals Service","SEO/HEO","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Land Registry","EO","10","5","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Land Registry","SEO/HEO","15","10","42230","41680"
"In post","2023","50-59","Human Resources","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Prison and Probation Service","G6/G7","15","15","73960","72780"
"In post","2023","50-59","Human Resources","HM Prison and Probation Service","SEO/HEO","30","30","49790","53200"
"In post","2023","50-59","Human Resources","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","HM Revenue and Customs (excl. agencies)","AA/AO","35","30","23060","22520"
"In post","2023","50-59","Human Resources","HM Revenue and Customs (excl. agencies)","EO","75","70","29060","28130"
"In post","2023","50-59","Human Resources","HM Revenue and Customs (excl. agencies)","G6/G7","135","135","63220","58180"
"In post","2023","50-59","Human Resources","HM Revenue and Customs (excl. agencies)","SCS level","15","15","89300","83050"
"In post","2023","50-59","Human Resources","HM Revenue and Customs (excl. agencies)","SEO/HEO","210","195","39310","40700"
"In post","2023","50-59","Human Resources","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
