"Status","Year","Disability","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department for Work and Pensions (excl. agencies)","Security","30","30","31200","28120"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Department of Health and Social Care (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","Driver and Vehicle Licensing Agency","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Driver and Vehicle Standards Agency","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Education and Skills Funding Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","FCDO Services","Security","25","20","[c]","[c]"
"In post","2023","Declared disabled","Security","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Security","35","35","46140","37120"
"In post","2023","Declared disabled","Security","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Government Legal Department","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","HM Revenue and Customs (excl. agencies)","Security","25","25","[c]","[c]"
"In post","2023","Declared disabled","Security","Health and Safety Executive","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Home Office","Security","20","20","[c]","[c]"
"In post","2023","Declared disabled","Security","Intellectual Property Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Legal Aid Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Medicines and Healthcare Products Regulatory Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Met Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Ministry of Defence (excl. agencies)","Security","445","430","32530","27500"
"In post","2023","Declared disabled","Security","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Ministry of Justice (excl. agencies)","Security","15","15","[c]","[c]"
"In post","2023","Declared disabled","Security","National Crime Agency","Security","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Office of the Public Guardian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Planning Inspectorate","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Serious Fraud Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Submarine Delivery Agency","Security","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","The Insolvency Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","UK Space Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","UK Statistics Authority","Security","5","5","[c]","[c]"
"In post","2023","Declared disabled","Security","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Accountant in Bankruptcy","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Building Digital UK","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Central Civil Service Fast Stream","Science and Engineering","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Central Civil Service Fast Stream","Unknown","145","145","30660","30130"
"In post","2023","Declared disabled","Unknown","Crown Prosecution Service","Policy","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Other","70","65","50130","49260"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Defence Science and Technology Laboratory","Science and Engineering","315","305","40520","39890"
"In post","2023","Declared disabled","Unknown","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","Policy","155","145","47160","43760"
"In post","2023","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","55","50","29140","28120"
"In post","2023","Declared disabled","Unknown","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Disclosure Scotland","Unknown","35","30","32370","28420"
"In post","2023","Declared disabled","Unknown","Education Scotland","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Food Standards Scotland","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Forestry and Land Scotland","Unknown","50","50","31900","31180"
"In post","2023","Declared disabled","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Institute for Apprenticeships and Technical Education","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Institute for Apprenticeships and Technical Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Met Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Met Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","National Records of Scotland","Unknown","35","30","37700","34930"
"In post","2023","Declared disabled","Unknown","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of Gas and Electricity Markets","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Revenue Scotland","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Royal Fleet Auxiliary","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scottish Forestry","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scottish Government (excl. agencies)","Unknown","800","765","45490","41640"
"In post","2023","Declared disabled","Unknown","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Scottish Public Pensions Agency","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Social Security Scotland","Unknown","395","370","30390","29100"
"In post","2023","Declared disabled","Unknown","Student Awards Agency for Scotland","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Transport Scotland","Unknown","50","50","43960","42860"
"In post","2023","Declared disabled","Unknown","UK Space Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Human Resources","20","20","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Medicine","20","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Operational Delivery","85","80","40200","30610"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Other","35","30","38080","39690"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Planning","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Policy","100","95","43810","39690"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Social Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Government (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Building Digital UK","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Central Civil Service Fast Stream","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","35","35","38640","31270"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","300","295","34550","30820"
"In post","2023","Declared non-disabled","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Companies House","Statistics","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Competition and Markets Authority","Economics","90","85","64550","59230"
"In post","2023","Declared non-disabled","Analysis","Competition and Markets Authority","Intelligence Analysis","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Operational Research","100","95","46180","49260"
"In post","2023","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","Science and Engineering","410","390","48540","49260"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","100","100","38610","34670"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","55","55","52140","56760"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Economics","45","45","51750","55020"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Operational Research","45","40","51360","51360"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Social Research","65","65","49080","47560"
"In post","2023","Declared non-disabled","Analysis","Department for Education (excl. agencies)","Statistics","160","150","46120","43860"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Economics","60","60","52210","55370"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Policy","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Social Research","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for International Trade","Statistics","35","35","50790","55370"
"In post","2023","Declared non-disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","50","50","49990","54630"
"In post","2023","Declared non-disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","125","120","46860","44180"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Economics","105","105","52820","55740"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Operational Research","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Other","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Social Research","40","35","51880","50700"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Statistics","60","55","46410","43750"
"In post","2023","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Economics","30","30","48560","43760"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Other","35","35","40130","37110"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Policy","155","150","47650","41350"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","40","35","48010","43760"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","175","165","46080","39150"
"In post","2023","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Other","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Driver and Vehicle Standards Agency","Operational Research","30","30","32370","32950"
"In post","2023","Declared non-disabled","Analysis","Education and Skills Funding Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Education and Skills Funding Agency","Statistics","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Food Standards Agency","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Food Standards Agency","Social Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Government Actuary's Department","Other","140","130","75950","70890"
"In post","2023","Declared non-disabled","Analysis","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Government Legal Department","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Operational Delivery","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Courts and Tribunals Service","Statistics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","HM Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
