"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","HM Courts and Tribunals Service","North West (England)","G6","Female","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","G7","Female","40","40","52450","51770"
"In post","2023","HM Courts and Tribunals Service","North West (England)","G7","Male","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","HEO","Female","135","130","31430","31270"
"In post","2023","HM Courts and Tribunals Service","North West (England)","HEO","Male","50","50","31420","31270"
"In post","2023","HM Courts and Tribunals Service","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","SEO","Female","145","130","40190","37680"
"In post","2023","HM Courts and Tribunals Service","North West (England)","SEO","Male","65","65","39700","37680"
"In post","2023","HM Courts and Tribunals Service","North West (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","North West (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","AA","Female","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","AA","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","AO","Female","60","55","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Scotland","AO","Male","40","40","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Scotland","EO","Female","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","EO","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","HEO","Female","15","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","SEO","Female","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Scotland","SEO","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","AA","Female","125","100","20030","19930"
"In post","2023","HM Courts and Tribunals Service","South East (England)","AA","Male","70","60","20020","19930"
"In post","2023","HM Courts and Tribunals Service","South East (England)","AO","Female","430","355","21930","21780"
"In post","2023","HM Courts and Tribunals Service","South East (England)","AO","Male","135","125","21910","21780"
"In post","2023","HM Courts and Tribunals Service","South East (England)","EO","Female","165","150","26150","25830"
"In post","2023","HM Courts and Tribunals Service","South East (England)","EO","Male","65","65","26060","25830"
"In post","2023","HM Courts and Tribunals Service","South East (England)","G6","Female","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","G7","Female","20","20","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","G7","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","HEO","Female","85","80","31720","31270"
"In post","2023","HM Courts and Tribunals Service","South East (England)","HEO","Male","20","20","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","SEO","Female","95","80","41610","41510"
"In post","2023","HM Courts and Tribunals Service","South East (England)","SEO","Male","35","30","42410","41510"
"In post","2023","HM Courts and Tribunals Service","South East (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South East (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","AA","Female","80","60","19930","19930"
"In post","2023","HM Courts and Tribunals Service","South West (England)","AA","Male","55","50","19930","19930"
"In post","2023","HM Courts and Tribunals Service","South West (England)","AO","Female","345","290","21780","21780"
"In post","2023","HM Courts and Tribunals Service","South West (England)","AO","Male","120","110","21780","21780"
"In post","2023","HM Courts and Tribunals Service","South West (England)","EO","Female","125","115","25950","25830"
"In post","2023","HM Courts and Tribunals Service","South West (England)","EO","Male","35","30","25990","25830"
"In post","2023","HM Courts and Tribunals Service","South West (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","G7","Female","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","G7","Male","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","HEO","Female","45","45","31530","31270"
"In post","2023","HM Courts and Tribunals Service","South West (England)","HEO","Male","20","20","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","South West (England)","SEO","Female","60","50","40350","37680"
"In post","2023","HM Courts and Tribunals Service","South West (England)","SEO","Male","30","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","AO","Female","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","AO","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","AA","Female","40","35","19930","19930"
"In post","2023","HM Courts and Tribunals Service","Wales","AA","Male","40","35","19930","19930"
"In post","2023","HM Courts and Tribunals Service","Wales","AO","Female","430","375","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Wales","AO","Male","145","140","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Wales","EO","Female","110","105","25860","25830"
"In post","2023","HM Courts and Tribunals Service","Wales","EO","Male","45","45","25880","25830"
"In post","2023","HM Courts and Tribunals Service","Wales","G6","Female","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","G6","Male","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","G7","Female","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","G7","Male","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","HEO","Female","65","60","31370","31270"
"In post","2023","HM Courts and Tribunals Service","Wales","HEO","Male","20","20","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","SEO","Female","65","55","40380","38920"
"In post","2023","HM Courts and Tribunals Service","Wales","SEO","Male","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Wales","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","AA","Female","100","85","19930","19930"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","AA","Male","50","45","19930","19930"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","AO","Female","870","730","21780","21780"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","AO","Male","370","355","21780","21780"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","EO","Female","230","220","25910","25830"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","EO","Male","90","85","25860","25830"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","G6","Male","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","G7","Female","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","G7","Male","15","15","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","HEO","Female","90","85","31480","31270"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","HEO","Male","40","40","31440","31270"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","SEO","Female","90","85","40710","38450"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","SEO","Male","55","55","40160","37680"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","West Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","AA","Female","115","95","19930","19930"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","AA","Male","25","20","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","AO","Female","450","360","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","AO","Male","135","130","21780","21780"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","EO","Female","150","135","25900","25830"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","EO","Male","45","45","25870","25830"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","G6","Female","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","G7","Female","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","G7","Male","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","HEO","Female","65","60","31400","31270"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","HEO","Male","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","SEO","Female","85","75","40480","37680"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","SEO","Male","25","25","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Yorkshire and The Humber","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","G7","Female","5","5","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","G7","Female","5","5","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Yorkshire and The Humber","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","AO","Female","110","105","23390","23390"
"In post","2023","HM Land Registry","East Midlands (England)","AO","Male","70","70","23390","23390"
"In post","2023","HM Land Registry","East Midlands (England)","EO","Female","235","205","28110","28080"
"In post","2023","HM Land Registry","East Midlands (England)","EO","Male","125","120","28170","28080"
"In post","2023","HM Land Registry","East Midlands (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","G7","Female","25","20","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","G7","Male","20","20","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","HEO","Female","120","105","34850","34850"
"In post","2023","HM Land Registry","East Midlands (England)","HEO","Male","75","65","34920","34850"
"In post","2023","HM Land Registry","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East Midlands (England)","SEO","Female","70","65","41860","40080"
"In post","2023","HM Land Registry","East Midlands (England)","SEO","Male","45","45","42580","41680"
"In post","2023","HM Land Registry","East of England","AO","Female","55","50","23390","23390"
"In post","2023","HM Land Registry","East of England","AO","Male","30","30","23390","23390"
"In post","2023","HM Land Registry","East of England","EO","Female","70","60","28080","28080"
"In post","2023","HM Land Registry","East of England","EO","Male","30","25","[c]","[c]"
"In post","2023","HM Land Registry","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East of England","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East of England","G7","Female","5","5","[c]","[c]"
"In post","2023","HM Land Registry","East of England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","East of England","HEO","Female","45","35","34960","34850"
"In post","2023","HM Land Registry","East of England","HEO","Male","35","30","35480","34850"
"In post","2023","HM Land Registry","East of England","SEO","Female","20","20","[c]","[c]"
"In post","2023","HM Land Registry","East of England","SEO","Male","20","15","[c]","[c]"
"In post","2023","HM Land Registry","London","AO","Female","25","20","[c]","[c]"
"In post","2023","HM Land Registry","London","AO","Male","25","25","[c]","[c]"
"In post","2023","HM Land Registry","London","EO","Female","70","60","31750","31680"
"In post","2023","HM Land Registry","London","EO","Male","40","40","32050","31680"
"In post","2023","HM Land Registry","London","G6","Female","10","10","[c]","[c]"
"In post","2023","HM Land Registry","London","G6","Male","10","10","[c]","[c]"
"In post","2023","HM Land Registry","London","G7","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","London","G7","Male","15","15","[c]","[c]"
"In post","2023","HM Land Registry","London","HEO","Female","60","55","39330","38410"
"In post","2023","HM Land Registry","London","HEO","Male","45","45","39470","38410"
"In post","2023","HM Land Registry","London","SCS level","Female","5","5","[c]","[c]"
"In post","2023","HM Land Registry","London","SCS level","Male","5","5","[c]","[c]"
"In post","2023","HM Land Registry","London","SEO","Female","30","30","45290","43690"
"In post","2023","HM Land Registry","London","SEO","Male","45","40","46500","45150"
"In post","2023","HM Land Registry","North East (England)","AO","Female","150","135","23390","23390"
"In post","2023","HM Land Registry","North East (England)","AO","Male","75","75","23390","23390"
"In post","2023","HM Land Registry","North East (England)","EO","Female","210","190","28080","28080"
"In post","2023","HM Land Registry","North East (England)","EO","Male","95","90","28080","28080"
"In post","2023","HM Land Registry","North East (England)","G7","Female","15","10","[c]","[c]"
"In post","2023","HM Land Registry","North East (England)","G7","Male","5","5","[c]","[c]"
"In post","2023","HM Land Registry","North East (England)","HEO","Female","80","70","34970","34850"
"In post","2023","HM Land Registry","North East (England)","HEO","Male","60","55","35090","34850"
"In post","2023","HM Land Registry","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","North East (England)","SEO","Female","35","30","41190","39520"
"In post","2023","HM Land Registry","North East (England)","SEO","Male","25","25","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","AO","Female","165","150","23390","23390"
"In post","2023","HM Land Registry","North West (England)","AO","Male","110","105","23390","23390"
"In post","2023","HM Land Registry","North West (England)","EO","Female","250","210","28100","28080"
"In post","2023","HM Land Registry","North West (England)","EO","Male","100","95","28130","28080"
"In post","2023","HM Land Registry","North West (England)","G6","Female","10","10","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","G7","Female","20","20","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","G7","Male","10","10","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","HEO","Female","120","100","34890","34850"
"In post","2023","HM Land Registry","North West (England)","HEO","Male","85","75","35070","34850"
"In post","2023","HM Land Registry","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","North West (England)","SEO","Female","55","55","41040","39520"
"In post","2023","HM Land Registry","North West (England)","SEO","Male","55","50","41430","39520"
"In post","2023","HM Land Registry","South West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","AA","Male","20","20","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","AO","Female","190","165","23430","23390"
"In post","2023","HM Land Registry","South West (England)","AO","Male","95","95","23390","23390"
"In post","2023","HM Land Registry","South West (England)","EO","Female","330","275","28550","28080"
"In post","2023","HM Land Registry","South West (England)","EO","Male","170","160","29480","28080"
"In post","2023","HM Land Registry","South West (England)","G6","Female","5","5","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","G7","Female","30","30","58430","57880"
"In post","2023","HM Land Registry","South West (England)","G7","Male","35","35","58230","57880"
"In post","2023","HM Land Registry","South West (England)","HEO","Female","200","170","35690","34850"
"In post","2023","HM Land Registry","South West (England)","HEO","Male","165","150","37350","39460"
"In post","2023","HM Land Registry","South West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","South West (England)","SEO","Female","115","105","43180","41680"
"In post","2023","HM Land Registry","South West (England)","SEO","Male","150","140","44660","44130"
"In post","2023","HM Land Registry","Wales","AO","Female","145","130","23410","23390"
"In post","2023","HM Land Registry","Wales","AO","Male","65","65","23390","23390"
"In post","2023","HM Land Registry","Wales","EO","Female","215","190","28080","28080"
"In post","2023","HM Land Registry","Wales","EO","Male","135","130","28160","28080"
"In post","2023","HM Land Registry","Wales","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Wales","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Wales","G7","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","Wales","G7","Male","10","10","[c]","[c]"
"In post","2023","HM Land Registry","Wales","HEO","Female","105","85","34850","34850"
"In post","2023","HM Land Registry","Wales","HEO","Male","75","65","35100","34850"
"In post","2023","HM Land Registry","Wales","SEO","Female","35","35","42760","40080"
"In post","2023","HM Land Registry","Wales","SEO","Male","45","40","41860","41680"
"In post","2023","HM Land Registry","West Midlands (England)","AO","Female","100","90","23390","23390"
"In post","2023","HM Land Registry","West Midlands (England)","AO","Male","65","65","23390","23390"
"In post","2023","HM Land Registry","West Midlands (England)","EO","Female","160","140","28080","28080"
"In post","2023","HM Land Registry","West Midlands (England)","EO","Male","80","80","28230","28080"
"In post","2023","HM Land Registry","West Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","G7","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","G7","Male","10","10","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","HEO","Female","75","65","35040","34850"
"In post","2023","HM Land Registry","West Midlands (England)","HEO","Male","45","40","35340","34850"
"In post","2023","HM Land Registry","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","West Midlands (England)","SEO","Female","45","40","41670","39520"
"In post","2023","HM Land Registry","West Midlands (England)","SEO","Male","25","20","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","AO","Female","55","50","23390","23390"
"In post","2023","HM Land Registry","Yorkshire and The Humber","AO","Male","40","40","23390","23390"
"In post","2023","HM Land Registry","Yorkshire and The Humber","EO","Female","85","70","28080","28080"
"In post","2023","HM Land Registry","Yorkshire and The Humber","EO","Male","60","60","28160","28080"
"In post","2023","HM Land Registry","Yorkshire and The Humber","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","HEO","Female","45","40","35050","34850"
"In post","2023","HM Land Registry","Yorkshire and The Humber","HEO","Male","30","25","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","SEO","Female","15","15","[c]","[c]"
"In post","2023","HM Land Registry","Yorkshire and The Humber","SEO","Male","20","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","AA","Female","310","285","22870","23230"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","AA","Male","275","260","23210","23230"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","AO","Female","915","845","28470","28880"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","AO","Male","1300","1250","30760","31510"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","EO","Female","270","255","30700","28480"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","EO","Male","415","400","33160","35710"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","G6","Female","15","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","G6","Male","15","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","G7","Female","25","25","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","G7","Male","10","10","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","HEO","Female","245","235","34940","32420"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","HEO","Male","215","200","38420","39720"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","SCS level","Male","5","5","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","SEO","Female","155","150","49150","50350"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","SEO","Male","110","110","52140","53200"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","Unknown","Female","1395","1275","29580","29050"
"In post","2023","HM Prison and Probation Service","East Midlands (England)","Unknown","Male","395","375","30290","29050"
"In post","2023","HM Prison and Probation Service","East of England","AA","Female","365","320","22990","23230"
"In post","2023","HM Prison and Probation Service","East of England","AA","Male","365","335","23150","23230"
"In post","2023","HM Prison and Probation Service","East of England","AO","Female","895","825","28940","28880"
"In post","2023","HM Prison and Probation Service","East of England","AO","Male","1485","1440","31290","32000"
"In post","2023","HM Prison and Probation Service","East of England","EO","Female","230","220","31040","28480"
"In post","2023","HM Prison and Probation Service","East of England","EO","Male","405","390","33940","35710"
"In post","2023","HM Prison and Probation Service","East of England","G6","Female","15","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East of England","G6","Male","15","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East of England","G7","Female","30","30","66000","68140"
"In post","2023","HM Prison and Probation Service","East of England","G7","Male","15","15","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East of England","HEO","Female","235","230","34630","32420"
"In post","2023","HM Prison and Probation Service","East of England","HEO","Male","230","220","38660","39720"
"In post","2023","HM Prison and Probation Service","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East of England","SCS level","Male","10","10","[c]","[c]"
"In post","2023","HM Prison and Probation Service","East of England","SEO","Female","125","120","49740","50350"
"In post","2023","HM Prison and Probation Service","East of England","SEO","Male","120","120","51640","53200"
"In post","2023","HM Prison and Probation Service","East of England","Unknown","Female","1460","1330","29300","26840"
"In post","2023","HM Prison and Probation Service","East of England","Unknown","Male","470","450","29950","26840"
"In post","2023","HM Prison and Probation Service","London","AA","Female","330","305","26620","26630"
"In post","2023","HM Prison and Probation Service","London","AA","Male","275","260","26710","26630"
"In post","2023","HM Prison and Probation Service","London","AO","Female","1000","955","32610","33800"
"In post","2023","HM Prison and Probation Service","London","AO","Male","1325","1295","34600","35030"
"In post","2023","HM Prison and Probation Service","London","EO","Female","425","415","34500","32790"
"In post","2023","HM Prison and Probation Service","London","EO","Male","425","415","37550","39270"
"In post","2023","HM Prison and Probation Service","London","G6","Female","65","65","81580","79330"
"In post","2023","HM Prison and Probation Service","London","G6","Male","45","45","85200","82690"
"In post","2023","HM Prison and Probation Service","London","G7","Female","95","95","66350","65400"
