"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Unknown","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","FCDO Services","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","FCDO Services","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","FCDO Services","SEO/HEO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Agency","EO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Agency","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Scotland","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Food Standards Scotland","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","EO","30","30","30520","29650"
"In post","2023","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","475","455","61490","60080"
"In post","2023","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","80","80","83550","78780"
"In post","2023","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","155","155","40480","40500"
"In post","2023","40-49","Unknown","Forestry and Land Scotland","AA/AO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Forestry and Land Scotland","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Actuary's Department","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Commercial Organisation","G6/G7","55","55","70320","67200"
"In post","2023","40-49","Unknown","Government Commercial Organisation","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Government Commercial Organisation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Internal Audit Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Government Legal Department","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Government Legal Department","G6/G7","75","65","64800","66620"
"In post","2023","40-49","Unknown","Government Legal Department","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Government Legal Department","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Property Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Government Property Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","HM Courts and Tribunals Service","AA/AO","130","120","22520","21780"
"In post","2023","40-49","Unknown","HM Courts and Tribunals Service","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","HM Courts and Tribunals Service","G6/G7","15","10","[c]","[c]"
"In post","2023","40-49","Unknown","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","HM Courts and Tribunals Service","SEO/HEO","30","30","37450","37680"
"In post","2023","40-49","Unknown","HM Crown Prosecution Service Inspectorate","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","HM Land Registry","AA/AO","145","135","23460","23390"
"In post","2023","40-49","Unknown","HM Land Registry","EO","105","100","28550","28080"
"In post","2023","40-49","Unknown","HM Land Registry","G6/G7","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","HM Land Registry","SEO/HEO","50","45","41650","40500"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","AA/AO","560","545","28710","28880"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","EO","60","55","32360","31310"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","G6/G7","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","SEO/HEO","80","75","39680","37130"
"In post","2023","40-49","Unknown","HM Prison and Probation Service","Unknown","580","515","29710","28810"
"In post","2023","40-49","Unknown","HM Revenue and Customs (excl. agencies)","AA/AO","1250","1100","22670","22520"
"In post","2023","40-49","Unknown","HM Revenue and Customs (excl. agencies)","EO","805","760","28730","28130"
"In post","2023","40-49","Unknown","HM Revenue and Customs (excl. agencies)","G6/G7","375","365","62710","57970"
"In post","2023","40-49","Unknown","HM Revenue and Customs (excl. agencies)","SCS level","30","30","90240","83030"
"In post","2023","40-49","Unknown","HM Revenue and Customs (excl. agencies)","SEO/HEO","1215","1180","37920","35000"
"In post","2023","40-49","Unknown","HM Treasury (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","HM Treasury (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","HM Treasury (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","HM Treasury (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Health and Safety Executive","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Home Office","AA/AO","620","580","23180","22400"
"In post","2023","40-49","Unknown","Home Office","EO","1030","995","27060","25880"
"In post","2023","40-49","Unknown","Home Office","G6/G7","265","260","62540","59290"
"In post","2023","40-49","Unknown","Home Office","SCS level","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Home Office","SEO/HEO","335","330","37450","36180"
"In post","2023","40-49","Unknown","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Institute for Apprenticeships and Technical Education","G6/G7","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Intellectual Property Office","AA/AO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Intellectual Property Office","EO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Intellectual Property Office","G6/G7","30","25","[c]","[c]"
"In post","2023","40-49","Unknown","Intellectual Property Office","SEO/HEO","45","45","41490","41640"
"In post","2023","40-49","Unknown","Legal Aid Agency","AA/AO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Legal Aid Agency","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Maritime and Coastguard Agency","AA/AO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Maritime and Coastguard Agency","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Maritime and Coastguard Agency","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Maritime and Coastguard Agency","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","EO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","G6/G7","75","70","58020","55210"
"In post","2023","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","SCS level","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","60","60","39670","41480"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","AA/AO","705","680","26960","22220"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","EO","290","280","29570","27470"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","G6/G7","220","205","67760","64440"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","SCS level","40","35","92220","88670"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","SEO/HEO","610","590","41760","41000"
"In post","2023","40-49","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","EO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","G6/G7","85","85","60810","59070"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","SEO/HEO","105","105","38230","37680"
"In post","2023","40-49","Unknown","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","National Crime Agency","AA/AO","25","20","[c]","[c]"
"In post","2023","40-49","Unknown","National Crime Agency","EO","255","245","35840","36040"
"In post","2023","40-49","Unknown","National Crime Agency","G6/G7","90","90","65280","64520"
"In post","2023","40-49","Unknown","National Crime Agency","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","National Crime Agency","SEO/HEO","400","390","45390","45610"
"In post","2023","40-49","Unknown","National Records of Scotland","AA/AO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","National Records of Scotland","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","National Records of Scotland","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","National Records of Scotland","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","AA/AO","10","5","[c]","[c]"
"In post","2023","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Gas and Electricity Markets","G6/G7","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Gas and Electricity Markets","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Public Guardian","AA/AO","40","35","21780","21780"
"In post","2023","40-49","Unknown","Office of the Public Guardian","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Scottish Charity Regulator","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Scottish Charity Regulator","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Planning Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Planning Inspectorate","G6/G7","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Planning Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Registers of Scotland","AA/AO","40","40","26050","26410"
"In post","2023","40-49","Unknown","Registers of Scotland","EO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Registers of Scotland","SEO/HEO","35","35","42090","39590"
"In post","2023","40-49","Unknown","Revenue Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Revenue Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Revenue Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Revenue Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Royal Fleet Auxiliary","Unknown","320","320","45890","41630"
"In post","2023","40-49","Unknown","Rural Payments Agency","AA/AO","85","70","22120","22150"
"In post","2023","40-49","Unknown","Rural Payments Agency","EO","55","50","26070","25920"
"In post","2023","40-49","Unknown","Rural Payments Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Rural Payments Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Rural Payments Agency","SEO/HEO","45","45","33880","32220"
"In post","2023","40-49","Unknown","Scottish Courts and Tribunals Service","AA/AO","90","80","24480","25060"
"In post","2023","40-49","Unknown","Scottish Courts and Tribunals Service","EO","70","65","31450","31970"
"In post","2023","40-49","Unknown","Scottish Courts and Tribunals Service","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Courts and Tribunals Service","SEO/HEO","55","50","39930","38170"
"In post","2023","40-49","Unknown","Scottish Fiscal Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Fiscal Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Forestry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Forestry","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Forestry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Forestry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Government (excl. agencies)","AA/AO","70","65","28060","26600"
"In post","2023","40-49","Unknown","Scottish Government (excl. agencies)","EO","85","80","31110","31940"
"In post","2023","40-49","Unknown","Scottish Government (excl. agencies)","G6/G7","280","265","66600","65280"
"In post","2023","40-49","Unknown","Scottish Government (excl. agencies)","SCS level","30","30","88750","83530"
"In post","2023","40-49","Unknown","Scottish Government (excl. agencies)","SEO/HEO","365","350","43460","42860"
"In post","2023","40-49","Unknown","Scottish Housing Regulator","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Housing Regulator","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Prison Service","AA/AO","215","200","27110","28490"
"In post","2023","40-49","Unknown","Scottish Prison Service","EO","335","330","36030","37060"
"In post","2023","40-49","Unknown","Scottish Prison Service","G6/G7","35","35","60760","58640"
"In post","2023","40-49","Unknown","Scottish Prison Service","SEO/HEO","105","100","44750","44590"
"In post","2023","40-49","Unknown","Scottish Public Pensions Agency","AA/AO","25","20","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Public Pensions Agency","EO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Public Pensions Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Scottish Public Pensions Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Serious Fraud Office","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Serious Fraud Office","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Social Security Scotland","AA/AO","140","130","22870","22180"
"In post","2023","40-49","Unknown","Social Security Scotland","EO","155","150","29530","29100"
"In post","2023","40-49","Unknown","Social Security Scotland","G6/G7","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","Social Security Scotland","SEO/HEO","100","95","38660","36330"
"In post","2023","40-49","Unknown","Student Awards Agency for Scotland","AA/AO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Student Awards Agency for Scotland","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Student Awards Agency for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Student Awards Agency for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Student Awards Agency for Scotland","SEO/HEO","10","5","[c]","[c]"
"In post","2023","40-49","Unknown","Submarine Delivery Agency","Unknown","65","65","49260","43630"
"In post","2023","40-49","Unknown","Teaching Regulation Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Teaching Regulation Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","The Insolvency Service","AA/AO","30","30","22360","22180"
"In post","2023","40-49","Unknown","The Insolvency Service","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","The Insolvency Service","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","The Insolvency Service","SEO/HEO","40","40","37060","35380"
"In post","2023","40-49","Unknown","The National Archives","AA/AO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","The National Archives","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","The National Archives","SEO/HEO","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Transport Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Transport Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Transport Scotland","G6/G7","30","30","[c]","[c]"
"In post","2023","40-49","Unknown","Transport Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Transport Scotland","SEO/HEO","30","30","46470","49500"
"In post","2023","40-49","Unknown","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","UK Debt Management Office","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Debt Management Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Health Security Agency","AA/AO","10","5","[c]","[c]"
"In post","2023","40-49","Unknown","UK Health Security Agency","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Health Security Agency","G6/G7","85","80","58610","56420"
"In post","2023","40-49","Unknown","UK Health Security Agency","SCS level","15","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Health Security Agency","SEO/HEO","75","70","38190","38490"
"In post","2023","40-49","Unknown","UK Hydrographic Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","UK Hydrographic Office","EO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Hydrographic Office","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Hydrographic Office","SEO/HEO","30","30","38870","34370"
"In post","2023","40-49","Unknown","UK Space Agency","G6/G7","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","UK Space Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","UK Space Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Statistics Authority","AA/AO","90","65","21710","21200"
"In post","2023","40-49","Unknown","UK Statistics Authority","EO","45","40","25220","24840"
"In post","2023","40-49","Unknown","UK Statistics Authority","G6/G7","120","120","55440","52490"
"In post","2023","40-49","Unknown","UK Statistics Authority","SCS level","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","UK Statistics Authority","SEO/HEO","150","145","36540","37760"
"In post","2023","40-49","Unknown","Valuation Office Agency","AA/AO","55","55","22530","22520"
"In post","2023","40-49","Unknown","Valuation Office Agency","EO","35","35","27660","27740"
"In post","2023","40-49","Unknown","Valuation Office Agency","G6/G7","15","10","[c]","[c]"
"In post","2023","40-49","Unknown","Valuation Office Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Valuation Office Agency","SEO/HEO","35","35","38740","38600"
"In post","2023","40-49","Unknown","Veterinary Medicines Directorate","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Veterinary Medicines Directorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Government (excl. agencies)","AA/AO","10","5","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Government (excl. agencies)","EO","15","15","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Government (excl. agencies)","G6/G7","20","20","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Government (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Government (excl. agencies)","SEO/HEO","30","30","41200","39690"
"In post","2023","40-49","Unknown","Welsh Revenue Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Revenue Authority","EO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Revenue Authority","G6/G7","10","10","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Revenue Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Welsh Revenue Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2023","40-49","Unknown","Wilton Park","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Wilton Park","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Wilton Park","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Accountant in Bankruptcy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Active Travel England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Active Travel England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","20","15","[c]","[c]"
"In post","2023","50-59","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","5","5","[c]","[c]"
"In post","2023","50-59","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","40","40","36380","35190"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","AA/AO","50","45","23030","22150"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","EO","40","35","27010","26010"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","SEO/HEO","45","45","35750","37300"
"In post","2023","50-59","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Building Digital UK","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Building Digital UK","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Building Digital UK","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Building Digital UK","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Building Digital UK","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","20","15","[c]","[c]"
"In post","2023","50-59","Declared disabled","Cabinet Office (excl. agencies)","EO","25","25","[c]","[c]"
"In post","2023","50-59","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","65","60","60030","58070"
"In post","2023","50-59","Declared disabled","Cabinet Office (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","50-59","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","70","65","37980","38080"
"In post","2023","50-59","Declared disabled","Central Civil Service Fast Stream","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","5","[c]","[c]"
