"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Work and Pensions (excl. agencies)","Project Delivery","HEO","595","535","35140","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Project Delivery","SCS level","30","30","89460","80880"
"In post","2023","Department for Work and Pensions (excl. agencies)","Project Delivery","SEO","320","300","39620","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","EO","25","20","29910","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","G6","25","25","70750","67360"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","G7","60","60","54080","50160"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","HEO","65","65","36580","34950"
"In post","2023","Department for Work and Pensions (excl. agencies)","Property","SEO","100","95","41760","38760"
"In post","2023","Department for Work and Pensions (excl. agencies)","Psychology","EO","15","15","29580","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Psychology","HEO","35","30","37360","36690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Psychology","SEO","5","5","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","AO","25","20","21840","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","EO","75","70","28330","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","G6","30","30","70120","66860"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","G7","80","75","54850","55080"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","HEO","165","155","35330","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","SCS level","5","5","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Security","SEO","150","140","39590","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Social Research","G7","15","15","57450","58370"
"In post","2023","Department for Work and Pensions (excl. agencies)","Social Research","HEO","10","10","37410","39150"
"In post","2023","Department for Work and Pensions (excl. agencies)","Social Research","SEO","15","15","42670","43760"
"In post","2023","Department for Work and Pensions (excl. agencies)","Statistics","EO","20","15","28440","28210"
"In post","2023","Department for Work and Pensions (excl. agencies)","Statistics","G6","15","15","73060","70570"
"In post","2023","Department for Work and Pensions (excl. agencies)","Statistics","G7","65","60","57790","53640"
"In post","2023","Department for Work and Pensions (excl. agencies)","Statistics","HEO","45","45","35250","34170"
"In post","2023","Department for Work and Pensions (excl. agencies)","Statistics","SEO","65","60","39780","38470"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","AO","120","110","21930","21690"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","EO","160","145","28890","28120"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","G6","15","15","71050","72550"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","G7","30","30","54380","55150"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","HEO","60","60","37690","37110"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","SCS level","5","5","[c]","[c]"
"In post","2023","Department for Work and Pensions (excl. agencies)","Unknown","SEO","35","35","41730","41480"
"In post","2023","Department of Health and Social Care (excl. agencies)","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Commercial","G7","15","15","53010","52800"
"In post","2023","Department of Health and Social Care (excl. agencies)","Commercial","HEO","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Commercial","SEO","30","30","40070","39040"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","G6","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","G7","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Communications","SEO","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","G6","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","G7","25","25","54470","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","SEO","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","G7","15","15","54820","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","HEO","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","EO","15","15","28060","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","G6","15","15","66460","65080"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","G7","35","35","53470","54150"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","HEO","15","15","32490","32710"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","SCS level","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Finance","SEO","20","20","40370","40690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","EO","25","25","26990","26920"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","G6","10","10","67430","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","G7","25","25","54360","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","HEO","15","15","32190","31660"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Human Resources","SEO","10","10","39550","38120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","EO","25","25","28520","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","G6","20","20","72920","69830"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","G7","35","30","54270","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","HEO","20","20","34130","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","SCS level","10","10","105890","106000"
"In post","2023","Department of Health and Social Care (excl. agencies)","Medicine","SEO","20","20","41620","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","EO","20","20","28640","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","G7","15","15","55050","54660"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","HEO","15","15","33430","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Delivery","SEO","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","G7","15","10","55470","54660"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","HEO","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","EO","10","10","27750","28140"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","G6","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","G7","15","15","54120","52810"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","HEO","10","10","32170","30750"
"In post","2023","Department of Health and Social Care (excl. agencies)","Other","SEO","15","15","39940","39410"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","EO","15","15","27650","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","G6","50","45","67860","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","G7","105","105","54170","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","HEO","60","60","33400","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","SCS level","40","40","82170","78430"
"In post","2023","Department of Health and Social Care (excl. agencies)","Policy","SEO","70","65","41280","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","G6","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","G7","20","20","53780","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","HEO","10","10","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Project Delivery","SEO","10","10","41900","41950"
"In post","2023","Department of Health and Social Care (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Property","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Security","G7","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Security","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Security","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Social Research","G7","10","10","55130","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Social Research","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","G6","10","10","68480","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","G7","25","20","52780","51920"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","HEO","10","10","32310","32280"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care (excl. agencies)","Statistics","SEO","15","15","39730","38120"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","AO","40","40","23720","24750"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","EO","240","230","28060","28770"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","G6","345","330","68270","67890"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","G7","735","705","54420","54690"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","HEO","420","410","33600","34190"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","SCS level","175","170","92660","82500"
"In post","2023","Department of Health and Social Care (excl. agencies)","Unknown","SEO","535","515","41210","41950"
"In post","2023","Disclosure Scotland","Unknown","AA","190","180","23980","23340"
"In post","2023","Disclosure Scotland","Unknown","AO","25","25","27530","27740"
"In post","2023","Disclosure Scotland","Unknown","EO","60","55","31820","31940"
"In post","2023","Disclosure Scotland","Unknown","G6","5","5","[c]","[c]"
"In post","2023","Disclosure Scotland","Unknown","G7","15","15","59940","58850"
"In post","2023","Disclosure Scotland","Unknown","HEO","35","35","37070","38330"
"In post","2023","Disclosure Scotland","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Disclosure Scotland","Unknown","SEO","30","30","47240","47860"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","AA","10","10","19000","19000"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","AO","30","25","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","EO","35","30","27220","26960"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","G6","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","G7","15","15","53930","53340"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","HEO","45","45","32330","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Commercial","SEO","35","30","42110","42180"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","AO","15","15","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","EO","25","25","27090","26960"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","HEO","20","20","31970","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Communications","SEO","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","AO","55","50","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","EO","155","150","27580","27190"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","G6","30","30","76140","73540"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","G7","120","115","61490","59970"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","HEO","190","185","35420","32950"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SEO","255","250","45020","42980"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","AA","10","10","19000","19000"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","AO","20","20","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","EO","30","30","27140","27190"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","G7","15","15","54720","54940"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","HEO","30","30","32400","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Finance","SEO","40","40","42390","42050"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","AO","20","20","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","EO","45","40","27180","27260"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","G7","10","10","53700","54190"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","HEO","65","60","32230","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Human Resources","SEO","40","35","40490","40000"
"In post","2023","Driver and Vehicle Licensing Agency","Medicine","G6","40","35","89620","88880"
"In post","2023","Driver and Vehicle Licensing Agency","Medicine","HEO","10","5","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","AA","1065","835","19020","19000"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","AO","2640","2295","22580","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","EO","510","480","27260","27260"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","G6","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","G7","20","20","51470","50740"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","HEO","125","120","32060","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Operational Delivery","SEO","50","45","40620","40000"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","AO","20","15","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","EO","30","30","27200","27300"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","G7","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","HEO","30","30","32640","32670"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Policy","SEO","15","15","40960","41130"
"In post","2023","Driver and Vehicle Licensing Agency","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Project Delivery","EO","30","30","27020","26960"
"In post","2023","Driver and Vehicle Licensing Agency","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Project Delivery","SEO","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Property","AO","15","15","22500","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Property","EO","10","10","27080","26960"
"In post","2023","Driver and Vehicle Licensing Agency","Property","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Property","HEO","25","20","32120","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Property","SEO","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Security","AA","50","50","25370","25650"
"In post","2023","Driver and Vehicle Licensing Agency","Security","AO","20","20","24570","22500"
"In post","2023","Driver and Vehicle Licensing Agency","Security","EO","25","25","27350","27220"
"In post","2023","Driver and Vehicle Licensing Agency","Security","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Security","G7","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Licensing Agency","Security","HEO","25","25","33160","31660"
"In post","2023","Driver and Vehicle Licensing Agency","Security","SEO","15","15","45150","41130"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","EO","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","HEO","15","15","32780","32660"
"In post","2023","Driver and Vehicle Standards Agency","Commercial","SEO","15","15","41660","40820"
"In post","2023","Driver and Vehicle Standards Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Communications","EO","15","10","27950","26960"
"In post","2023","Driver and Vehicle Standards Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Communications","HEO","15","15","32320","32240"
"In post","2023","Driver and Vehicle Standards Agency","Communications","SEO","10","10","40890","40570"
"In post","2023","Driver and Vehicle Standards Agency","Counter Fraud","EO","25","25","28150","27450"
"In post","2023","Driver and Vehicle Standards Agency","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Counter Fraud","HEO","15","15","32300","31660"
"In post","2023","Driver and Vehicle Standards Agency","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","EO","40","35","27110","26960"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","G7","20","20","58530","56430"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","HEO","75","75","32480","31660"
"In post","2023","Driver and Vehicle Standards Agency","Digital, Data and Technology","SEO","55","55","44170","43160"
"In post","2023","Driver and Vehicle Standards Agency","Finance","EO","25","20","27180","27190"
"In post","2023","Driver and Vehicle Standards Agency","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Finance","G7","10","10","53060","53280"
"In post","2023","Driver and Vehicle Standards Agency","Finance","HEO","35","35","33680","33440"
"In post","2023","Driver and Vehicle Standards Agency","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Finance","SEO","25","25","42650","42820"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","AO","10","10","22500","22500"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","EO","30","30","30290","29610"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","G7","10","10","51520","51160"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","HEO","35","35","33880","33850"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Human Resources","SEO","40","40","41220","40780"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","EO","10","10","27400","27450"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","G7","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","HEO","15","15","33380","33660"
"In post","2023","Driver and Vehicle Standards Agency","Knowledge and Information Management","SEO","10","10","42200","41310"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","AA","10","10","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","AO","1080","1010","25520","26140"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","EO","2430","2245","28800","27450"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","G7","30","30","53170","53010"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","HEO","405","400","33870","33080"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Operational Delivery","SEO","80","80","41250","40570"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","AO","15","15","22500","22500"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","EO","10","10","27530","27320"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","HEO","15","15","34430","33850"
"In post","2023","Driver and Vehicle Standards Agency","Operational Research","SEO","5","5","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Driver and Vehicle Standards Agency","Other","HEO","[c]","[c]","[c]","[c]"
