"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Grants Management","SEO/HEO","245","235","33450","31490"
"In post","2023","Declared non-disabled","Human Resources","AA/AO","720","665","22550","22220"
"In post","2023","Declared non-disabled","Human Resources","EO","2180","2065","28540","28120"
"In post","2023","Declared non-disabled","Human Resources","G6/G7","1875","1815","59180","57970"
"In post","2023","Declared non-disabled","Human Resources","SCS level","185","175","90250","82400"
"In post","2023","Declared non-disabled","Human Resources","SEO/HEO","4035","3860","37750","36990"
"In post","2023","Declared non-disabled","Human Resources","Unknown","70","65","40130","38790"
"In post","2023","Declared non-disabled","Internal Audit","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","G6/G7","155","150","58910","57970"
"In post","2023","Declared non-disabled","Internal Audit","SCS level","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","SEO/HEO","285","270","42370","42700"
"In post","2023","Declared non-disabled","Legal","AA/AO","1125","1035","23180","22870"
"In post","2023","Declared non-disabled","Legal","EO","1470","1380","28780","28240"
"In post","2023","Declared non-disabled","Legal","G6/G7","4805","4450","60900","58880"
"In post","2023","Declared non-disabled","Legal","SCS level","375","360","89850","85000"
"In post","2023","Declared non-disabled","Legal","SEO/HEO","1265","1215","37560","36780"
"In post","2023","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","AA/AO","64830","58105","24340","22520"
"In post","2023","Declared non-disabled","No function","EO","58075","53220","28870","28120"
"In post","2023","Declared non-disabled","No function","G6/G7","20030","19385","60890","58740"
"In post","2023","Declared non-disabled","No function","SCS level","2500","2405","89170","80500"
"In post","2023","Declared non-disabled","No function","SEO/HEO","47810","45910","38310","37130"
"In post","2023","Declared non-disabled","No function","Unknown","13605","12730","31000","29050"
"In post","2023","Declared non-disabled","Project Delivery","AA/AO","225","210","22760","22520"
"In post","2023","Declared non-disabled","Project Delivery","EO","1085","1015","28270","28120"
"In post","2023","Declared non-disabled","Project Delivery","G6/G7","4690","4540","60080","57970"
"In post","2023","Declared non-disabled","Project Delivery","SCS level","490","475","93150","86040"
"In post","2023","Declared non-disabled","Project Delivery","SEO/HEO","6505","6235","38610","38790"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","1130","1105","44180","42200"
"In post","2023","Declared non-disabled","Property","AA/AO","930","865","21890","22520"
"In post","2023","Declared non-disabled","Property","EO","990","925","28140","27740"
"In post","2023","Declared non-disabled","Property","G6/G7","1120","1090","58690","57990"
"In post","2023","Declared non-disabled","Property","SCS level","75","75","90300","85410"
"In post","2023","Declared non-disabled","Property","SEO/HEO","2500","2400","38740","38160"
"In post","2023","Declared non-disabled","Property","Unknown","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Security","AA/AO","3040","2955","27870","22220"
"In post","2023","Declared non-disabled","Security","EO","850","825","32390","28190"
"In post","2023","Declared non-disabled","Security","G6/G7","500","495","61510","59290"
"In post","2023","Declared non-disabled","Security","SCS level","50","50","93850","91230"
"In post","2023","Declared non-disabled","Security","SEO/HEO","1355","1320","39780","38460"
"In post","2023","Declared non-disabled","Security","Unknown","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","AA/AO","2345","2210","25610","25620"
"In post","2023","Declared non-disabled","Unknown","EO","2930","2800","30420","30610"
"In post","2023","Declared non-disabled","Unknown","G6/G7","4085","3910","63680","63900"
"In post","2023","Declared non-disabled","Unknown","SCS level","405","395","90820","85200"
"In post","2023","Declared non-disabled","Unknown","SEO/HEO","7080","6790","41490","39890"
"In post","2023","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","AA/AO","10","10","[c]","[c]"
"In post","2023","Undeclared","Analysis","EO","25","25","[c]","[c]"
"In post","2023","Undeclared","Analysis","G6/G7","145","140","60350","58000"
"In post","2023","Undeclared","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Analysis","SEO/HEO","190","185","37730","37690"
"In post","2023","Undeclared","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2023","Undeclared","Commercial","EO","35","35","27800","27400"
"In post","2023","Undeclared","Commercial","G6/G7","165","160","65320","64760"
"In post","2023","Undeclared","Commercial","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Commercial","SEO/HEO","180","175","39420","39250"
"In post","2023","Undeclared","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","AA/AO","15","15","[c]","[c]"
"In post","2023","Undeclared","Communications","EO","35","35","29590","28420"
"In post","2023","Undeclared","Communications","G6/G7","40","40","60530","59590"
"In post","2023","Undeclared","Communications","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","SEO/HEO","105","105","39450","39590"
"In post","2023","Undeclared","Counter Fraud","AA/AO","120","105","23230","22520"
"In post","2023","Undeclared","Counter Fraud","EO","370","345","29230","28130"
"In post","2023","Undeclared","Counter Fraud","G6/G7","105","100","61720","57970"
"In post","2023","Undeclared","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","SEO/HEO","350","340","37920","35330"
"In post","2023","Undeclared","Debt","AA/AO","255","220","22500","22520"
"In post","2023","Undeclared","Debt","EO","70","65","29300","28130"
"In post","2023","Undeclared","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Debt","SEO/HEO","10","10","[c]","[c]"
