"Status","Year","Organisation","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Animal and Plant Health Agency","Cheshire East","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire East","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","15","15","26040","25920"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","HEO","10","10","31080","30320"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO","15","15","40740","38630"
"In post","2023","Animal and Plant Health Agency","Devon CC","AO","110","105","22180","22150"
"In post","2023","Animal and Plant Health Agency","Devon CC","EO","45","45","26270","25920"
"In post","2023","Animal and Plant Health Agency","Devon CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon CC","G7","10","10","51970","49400"
"In post","2023","Animal and Plant Health Agency","Devon CC","HEO","20","20","30810","30320"
"In post","2023","Animal and Plant Health Agency","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon CC","SEO","25","25","40560","38210"
"In post","2023","Animal and Plant Health Agency","Dorset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dorset","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Dumfries and Galloway","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","AO","125","120","22280","22150"
"In post","2023","Animal and Plant Health Agency","East Cumbria","EO","35","30","26380","25920"
"In post","2023","Animal and Plant Health Agency","East Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Cumbria","SEO","15","15","39510","38200"
"In post","2023","Animal and Plant Health Agency","East Kent","EO","25","25","28360","29150"
"In post","2023","Animal and Plant Health Agency","East Kent","HEO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Kent","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Lothian and Midlothian","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","EO","15","15","26990","25920"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","HEO","10","10","31160","30320"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Riding of Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Essex Haven Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","EO","35","35","25990","25920"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","HEO","15","15","30190","30320"
"In post","2023","Animal and Plant Health Agency","Gloucestershire CC","SEO","15","15","38110","37760"
"In post","2023","Animal and Plant Health Agency","Greater Manchester North West","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwent Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","AO","30","25","22150","22150"
"In post","2023","Animal and Plant Health Agency","Gwynedd","EO","15","15","26560","26090"
"In post","2023","Animal and Plant Health Agency","Gwynedd","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","HEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Gwynedd","SEO","10","10","38870","37710"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","EO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","G7","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Harrow and Hillingdon","SEO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","AO","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Heart of Essex","EO","15","15","27650","27950"
