"Status","Year","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Registers of Scotland","10","10","[c]","[c]"
"In post","2023","Unknown","Human Resources","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2023","Unknown","Human Resources","Scottish Prison Service","125","120","37840","37060"
"In post","2023","Unknown","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","The Insolvency Service","5","5","[c]","[c]"
"In post","2023","Unknown","Human Resources","The National Archives","5","5","[c]","[c]"
"In post","2023","Unknown","Human Resources","UK Debt Management Office","5","5","[c]","[c]"
"In post","2023","Unknown","Human Resources","UK Health Security Agency","25","25","[c]","[c]"
"In post","2023","Unknown","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","UK Statistics Authority","65","60","32880","31060"
"In post","2023","Unknown","Human Resources","Valuation Office Agency","10","10","[c]","[c]"
"In post","2023","Unknown","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","44870","41660"
"In post","2023","Unknown","Internal Audit","Government Internal Audit Agency","25","25","[c]","[c]"
"In post","2023","Unknown","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","HM Revenue and Customs (excl. agencies)","10","5","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Ministry of Defence (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","Scottish Prison Service","5","5","[c]","[c]"
"In post","2023","Unknown","Internal Audit","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Attorney General's Office","25","25","[c]","[c]"
"In post","2023","Unknown","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Charity Commission","10","10","[c]","[c]"
"In post","2023","Unknown","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2023","Unknown","Legal","Crown Office and Procurator Fiscal Service","25","25","[c]","[c]"
"In post","2023","Unknown","Legal","Crown Prosecution Service","1385","1325","40400","38760"
"In post","2023","Unknown","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","FCDO Services","10","10","[c]","[c]"
"In post","2023","Unknown","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","55940","56130"
"In post","2023","Unknown","Legal","Government Legal Department","315","295","59580","64100"
"In post","2023","Unknown","Legal","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2023","Unknown","Legal","HM Crown Prosecution Service Inspectorate","15","15","[c]","[c]"
"In post","2023","Unknown","Legal","HM Land Registry","70","65","48070","56190"
"In post","2023","Unknown","Legal","HM Revenue and Customs (excl. agencies)","395","370","40380","35000"
"In post","2023","Unknown","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Intellectual Property Office","5","5","[c]","[c]"
"In post","2023","Unknown","Legal","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Medicines and Healthcare Products Regulatory Agency","50","50","49080","42080"
"In post","2023","Unknown","Legal","Ministry of Defence (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Unknown","Legal","Ministry of Justice (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Unknown","Legal","National Crime Agency","40","40","54030","60340"
"In post","2023","Unknown","Legal","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2023","Unknown","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Office of the Public Guardian","5","5","[c]","[c]"
"In post","2023","Unknown","Legal","Registers of Scotland","5","5","[c]","[c]"
"In post","2023","Unknown","Legal","Scottish Courts and Tribunals Service","25","20","[c]","[c]"
"In post","2023","Unknown","Legal","Scottish Prison Service","10","10","[c]","[c]"
"In post","2023","Unknown","Legal","Serious Fraud Office","15","15","[c]","[c]"
"In post","2023","Unknown","Legal","The Insolvency Service","20","20","[c]","[c]"
"In post","2023","Unknown","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Active Travel England","10","10","[c]","[c]"
"In post","2023","Unknown","No function","Advisory, Conciliation and Arbitration Service","305","275","31480","32110"
"In post","2023","Unknown","No function","Animal and Plant Health Agency","210","200","28460","25340"
"In post","2023","Unknown","No function","Cabinet Office (excl. agencies)","385","380","57370","56430"
"In post","2023","Unknown","No function","Charity Commission","140","135","31070","30170"
"In post","2023","Unknown","No function","Companies House","105","90","25440","23240"
"In post","2023","Unknown","No function","Criminal Injuries Compensation Authority","55","55","26770","21780"
"In post","2023","Unknown","No function","Crown Commercial Service","85","85","40190","39860"
"In post","2023","Unknown","No function","Crown Office and Procurator Fiscal Service","35","30","27600","24490"
"In post","2023","Unknown","No function","Defence Electronics and Components Agency","10","10","[c]","[c]"
"In post","2023","Unknown","No function","Defence Equipment and Support","945","915","33530","32500"
"In post","2023","Unknown","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","905","890","46720","41360"
"In post","2023","Unknown","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","150","145","46050","41740"
"In post","2023","Unknown","No function","Department for Education (excl. agencies)","795","775","40210","37590"
"In post","2023","Unknown","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","460","440","44960","40260"
"In post","2023","Unknown","No function","Department for International Trade","1050","1035","49150","43480"
"In post","2023","Unknown","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","270","265","46240","40390"
"In post","2023","Unknown","No function","Department for Transport (excl. agencies)","475","460","46500","43320"
"In post","2023","Unknown","No function","Department for Work and Pensions (excl. agencies)","1840","1735","27940","28120"
"In post","2023","Unknown","No function","Department of Health and Social Care (excl. agencies)","1910","1845","49520","50830"
"In post","2023","Unknown","No function","Driver and Vehicle Licensing Agency","560","495","22900","22500"
"In post","2023","Unknown","No function","Driver and Vehicle Standards Agency","915","885","27260","27190"
"In post","2023","Unknown","No function","Education and Skills Funding Agency","50","50","33890","30330"
"In post","2023","Unknown","No function","Food Standards Agency","120","115","35360","31260"
"In post","2023","Unknown","No function","Foreign, Commonwealth and Development Office (excl. agencies)","1610","1590","53280","54430"
"In post","2023","Unknown","No function","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Government Internal Audit Agency","10","10","[c]","[c]"
"In post","2023","Unknown","No function","HM Courts and Tribunals Service","1180","1120","25340","21780"
"In post","2023","Unknown","No function","HM Land Registry","1345","1280","26260","23390"
"In post","2023","Unknown","No function","HM Prison and Probation Service","8435","7995","29080","28880"
"In post","2023","Unknown","No function","HM Revenue and Customs (excl. agencies)","10690","9855","29420","27890"
"In post","2023","Unknown","No function","HM Treasury (excl. agencies)","120","120","47760","51360"
"In post","2023","Unknown","No function","Health and Safety Executive","75","75","36660","32800"
"In post","2023","Unknown","No function","Home Office","12345","11920","28870","25880"
"In post","2023","Unknown","No function","Intellectual Property Office","265","255","34640","28390"
"In post","2023","Unknown","No function","Legal Aid Agency","95","90","25880","21780"
"In post","2023","Unknown","No function","Maritime and Coastguard Agency","275","265","29590","26780"
"In post","2023","Unknown","No function","Ministry of Defence (excl. agencies)","3400","3220","33510","27080"
"In post","2023","Unknown","No function","Ministry of Justice (excl. agencies)","485","480","40970","36210"
"In post","2023","Unknown","No function","National Crime Agency","3200","3125","41230","38640"
"In post","2023","Unknown","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Office for Standards in Education, Children's Services and Skills","115","105","46350","52750"
"In post","2023","Unknown","No function","Office of Gas and Electricity Markets","45","45","44730","41550"
"In post","2023","Unknown","No function","Office of Qualifications and Examinations Regulation","15","15","[c]","[c]"
"In post","2023","Unknown","No function","Office of the Public Guardian","365","340","23110","21780"
"In post","2023","Unknown","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","10","10","[c]","[c]"
"In post","2023","Unknown","No function","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2023","Unknown","No function","Planning Inspectorate","100","90","43480","41840"
"In post","2023","Unknown","No function","Registers of Scotland","360","340","32380","32510"
"In post","2023","Unknown","No function","Scottish Courts and Tribunals Service","920","815","28780","25060"
"In post","2023","Unknown","No function","Scottish Prison Service","3525","3300","34410","37060"
"In post","2023","Unknown","No function","Serious Fraud Office","5","5","[c]","[c]"
"In post","2023","Unknown","No function","Teaching Regulation Agency","20","20","[c]","[c]"
"In post","2023","Unknown","No function","The Insolvency Service","280","265","26410","22180"
"In post","2023","Unknown","No function","The National Archives","125","120","34010","29840"
"In post","2023","Unknown","No function","UK Debt Management Office","25","25","[c]","[c]"
"In post","2023","Unknown","No function","UK Health Security Agency","785","735","42390","37060"
"In post","2023","Unknown","No function","UK Hydrographic Office","185","175","33740","29880"
"In post","2023","Unknown","No function","UK Statistics Authority","1005","830","27280","21200"
"In post","2023","Unknown","No function","Veterinary Medicines Directorate","15","10","[c]","[c]"
"In post","2023","Unknown","No function","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2023","Unknown","No function","Welsh Revenue Authority","35","35","43690","39690"
"In post","2023","Unknown","Project Delivery","Active Travel England","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Advisory, Conciliation and Arbitration Service","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Animal and Plant Health Agency","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Building Digital UK","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Cabinet Office (excl. agencies)","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Central Civil Service Fast Stream","185","185","30680","30130"
"In post","2023","Unknown","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Competition and Markets Authority","50","50","73820","69190"
"In post","2023","Unknown","Project Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Defence Equipment and Support","245","235","39150","38790"
"In post","2023","Unknown","Project Delivery","Defence Science and Technology Laboratory","370","360","37490","36940"
"In post","2023","Unknown","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Department for Education (excl. agencies)","250","250","45390","51360"
"In post","2023","Unknown","Project Delivery","Department for International Trade","35","35","47100","41750"
"In post","2023","Unknown","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Department for Transport (excl. agencies)","65","65","50620","45700"
"In post","2023","Unknown","Project Delivery","Department for Work and Pensions (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Department of Health and Social Care (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","FCDO Services","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Food Standards Agency","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","610","585","51610","53500"
"In post","2023","Unknown","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","HM Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","HM Land Registry","70","65","36110","39490"
"In post","2023","Unknown","Project Delivery","HM Revenue and Customs (excl. agencies)","1055","1010","46190","42140"
"In post","2023","Unknown","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Home Office","20","20","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Institute for Apprenticeships and Technical Education","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Intellectual Property Office","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Medicines and Healthcare Products Regulatory Agency","380","370","49540","42060"
"In post","2023","Unknown","Project Delivery","Ministry of Defence (excl. agencies)","550","540","44760","41000"
"In post","2023","Unknown","Project Delivery","Ministry of Justice (excl. agencies)","60","60","40050","35410"
"In post","2023","Unknown","Project Delivery","National Crime Agency","65","65","45750","47380"
"In post","2023","Unknown","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Rural Payments Agency","50","45","39730","37300"
"In post","2023","Unknown","Project Delivery","Scottish Prison Service","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Standards and Testing Agency","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Submarine Delivery Agency","290","280","39930","34000"
"In post","2023","Unknown","Project Delivery","The Insolvency Service","15","15","[c]","[c]"
"In post","2023","Unknown","Project Delivery","UK Debt Management Office","5","5","[c]","[c]"
"In post","2023","Unknown","Project Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","UK Space Agency","100","100","48440","43650"
"In post","2023","Unknown","Project Delivery","UK Statistics Authority","95","95","41880","37760"
"In post","2023","Unknown","Project Delivery","Valuation Office Agency","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Wilton Park","5","5","[c]","[c]"
"In post","2023","Unknown","Property","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Central Civil Service Fast Stream","25","25","[c]","[c]"
"In post","2023","Unknown","Property","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","35","35","37160","30320"
"In post","2023","Unknown","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Department for Transport (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Unknown","Property","Department for Work and Pensions (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Property","Department of Health and Social Care (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Unknown","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","FCDO Services","40","40","33610","29400"
"In post","2023","Unknown","Property","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Government Property Agency","40","40","53740","48060"
"In post","2023","Unknown","Property","HM Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2023","Unknown","Property","HM Land Registry","5","5","[c]","[c]"
"In post","2023","Unknown","Property","HM Revenue and Customs (excl. agencies)","75","70","40250","35000"
"In post","2023","Unknown","Property","Home Office","10","10","[c]","[c]"
"In post","2023","Unknown","Property","Intellectual Property Office","5","5","[c]","[c]"
"In post","2023","Unknown","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Medicines and Healthcare Products Regulatory Agency","20","20","[c]","[c]"
"In post","2023","Unknown","Property","Ministry of Defence (excl. agencies)","500","485","30400","27080"
"In post","2023","Unknown","Property","Ministry of Justice (excl. agencies)","55","55","41540","41180"
"In post","2023","Unknown","Property","National Crime Agency","20","20","[c]","[c]"
"In post","2023","Unknown","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Registers of Scotland","5","5","[c]","[c]"
"In post","2023","Unknown","Property","Scottish Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2023","Unknown","Property","Scottish Prison Service","210","205","33930","32930"
"In post","2023","Unknown","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","The National Archives","10","5","[c]","[c]"
"In post","2023","Unknown","Property","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Property","Valuation Office Agency","780","750","29720","26020"
"In post","2023","Unknown","Property","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Cabinet Office (excl. agencies)","220","210","30390","27110"
"In post","2023","Unknown","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Defence Equipment and Support","5","5","[c]","[c]"
"In post","2023","Unknown","Security","Defence Science and Technology Laboratory","35","35","40250","39890"
"In post","2023","Unknown","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Unknown","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Department for Transport (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Security","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Unknown","Security","Department of Health and Social Care (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Security","Driver and Vehicle Licensing Agency","15","15","[c]","[c]"
"In post","2023","Unknown","Security","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","FCDO Services","30","30","34080","31790"
"In post","2023","Unknown","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Foreign, Commonwealth and Development Office (excl. agencies)","155","155","47060","43000"
"In post","2023","Unknown","Security","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","HM Revenue and Customs (excl. agencies)","60","55","44650","42510"
"In post","2023","Unknown","Security","Home Office","50","50","40840","38280"
"In post","2023","Unknown","Security","Intellectual Property Office","5","5","[c]","[c]"
"In post","2023","Unknown","Security","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Ministry of Defence (excl. agencies)","1930","1900","32140","27500"
"In post","2023","Unknown","Security","Ministry of Justice (excl. agencies)","20","20","[c]","[c]"
"In post","2023","Unknown","Security","National Crime Agency","70","70","42300","38970"
"In post","2023","Unknown","Security","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Submarine Delivery Agency","5","5","[c]","[c]"
"In post","2023","Unknown","Security","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","UK Statistics Authority","20","20","[c]","[c]"
"In post","2023","Unknown","Unknown","Accountant in Bankruptcy","50","45","32300","29100"
"In post","2023","Unknown","Unknown","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Central Civil Service Fast Stream","680","680","30630","30130"
"In post","2023","Unknown","Unknown","Crown Prosecution Service","20","20","[c]","[c]"
"In post","2023","Unknown","Unknown","Defence Science and Technology Laboratory","745","725","38470","36940"
"In post","2023","Unknown","Unknown","Department for International Trade","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","110","105","41250","38470"
"In post","2023","Unknown","Unknown","Department of Health and Social Care (excl. agencies)","35","35","46360","41950"
"In post","2023","Unknown","Unknown","Disclosure Scotland","170","160","30110","24890"
"In post","2023","Unknown","Unknown","Education Scotland","190","185","57330","64560"
"In post","2023","Unknown","Unknown","FCDO Services","20","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Food Standards Scotland","135","130","39080","34730"
"In post","2023","Unknown","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","50930","53500"
"In post","2023","Unknown","Unknown","Forestry and Land Scotland","65","65","30480","29560"
"In post","2023","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Unknown","Unknown","Institute for Apprenticeships and Technical Education","45","40","46420","41840"
"In post","2023","Unknown","Unknown","Medicines and Healthcare Products Regulatory Agency","45","45","48200","50340"
"In post","2023","Unknown","Unknown","Ministry of Defence (excl. agencies)","35","35","36640","36460"
"In post","2023","Unknown","Unknown","National Records of Scotland","225","215","36100","31940"
"In post","2023","Unknown","Unknown","Northern Ireland Office","35","35","52420","43650"
"In post","2023","Unknown","Unknown","Office of Gas and Electricity Markets","15","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Office of the Scottish Charity Regulator","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","55","55","49630","52360"
"In post","2023","Unknown","Unknown","Revenue Scotland","30","30","41380","36530"
"In post","2023","Unknown","Unknown","Royal Fleet Auxiliary","1695","1695","41950","40010"
"In post","2023","Unknown","Unknown","Scottish Fiscal Commission","10","10","[c]","[c]"
"In post","2023","Unknown","Unknown","Scottish Forestry","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Scottish Government (excl. agencies)","3315","3190","45220","41640"
"In post","2023","Unknown","Unknown","Scottish Housing Regulator","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Scottish Prison Service","15","15","[c]","[c]"
"In post","2023","Unknown","Unknown","Scottish Public Pensions Agency","215","200","29900","27740"
"In post","2023","Unknown","Unknown","Social Security Scotland","1955","1860","29870","29100"
"In post","2023","Unknown","Unknown","Student Awards Agency for Scotland","155","150","30700","25710"
"In post","2023","Unknown","Unknown","Transport Scotland","210","205","47850","49500"
"In post","2023","Unknown","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Welsh Government (excl. agencies)","360","340","39400","34520"
"In post","2023","Unknown","Unknown","Welsh Revenue Authority","5","5","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Analysis","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
