"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","G6/G7","260","250","64130","65280"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","SEO/HEO","630","600","40100","38470"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","AA/AO","65","60","23420","21690"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","EO","90","80","29470","28120"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","SEO/HEO","30","30","36390","34970"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","AA/AO","45","40","24500","22200"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","EO","55","50","30000","28120"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","SEO/HEO","50","45","45540","39740"
"In post","2023","Declared disabled","Scotland","Southern Scotland","AA/AO","190","160","23100","22520"
"In post","2023","Declared disabled","Scotland","Southern Scotland","EO","180","155","28760","28120"
"In post","2023","Declared disabled","Scotland","Southern Scotland","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Southern Scotland","SEO/HEO","95","90","37390","35000"
"In post","2023","Declared disabled","Scotland","West Central Scotland","AA/AO","845","740","22880","22080"
"In post","2023","Declared disabled","Scotland","West Central Scotland","EO","720","650","29060","28120"
"In post","2023","Declared disabled","Scotland","West Central Scotland","G6/G7","150","145","60510","57970"
"In post","2023","Declared disabled","Scotland","West Central Scotland","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Scotland","West Central Scotland","SEO/HEO","520","495","38530","36540"
"In post","2023","Declared disabled","Scotland","West Central Scotland","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","315","295","26970","25340"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","315","295","30300","28540"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","70","65","61320","58880"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","280","265","39050","37520"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","130","125","31780","29050"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","AA/AO","530","450","23180","21780"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","EO","440","400","28220","28120"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","G6/G7","265","250","56040","52490"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","SEO/HEO","610","580","36970","35230"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","Unknown","120","110","29650","29050"
"In post","2023","Declared disabled","South East (England)","Kent","AA/AO","340","310","25790","25610"
"In post","2023","Declared disabled","South East (England)","Kent","EO","415","380","30020","31280"
"In post","2023","Declared disabled","South East (England)","Kent","G6/G7","35","35","63140","59040"
"In post","2023","Declared disabled","South East (England)","Kent","SCS level","[c]","[c]","[c]","[c]"
