"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Scotland","EO","Male","6525","6245","30930","29100"
"In post","2023","Scotland","G6","Female","1125","1060","74410","74000"
"In post","2023","Scotland","G6","Male","970","950","74090","74000"
"In post","2023","Scotland","G7","Female","2385","2250","58050","56870"
"In post","2023","Scotland","G7","Male","1965","1925","58780","57970"
"In post","2023","Scotland","HEO","Female","4685","4425","35580","34730"
"In post","2023","Scotland","HEO","Male","4110","3995","36640","35000"
"In post","2023","Scotland","SCS level","Female","205","195","88280","85200"
"In post","2023","Scotland","SCS level","Male","220","215","91170","85200"
"In post","2023","Scotland","SEO","Female","3000","2840","45060","42860"
"In post","2023","Scotland","SEO","Male","2795","2710","46770","44890"
"In post","2023","Scotland","Unknown","Female","35","35","34940","32500"
"In post","2023","Scotland","Unknown","Male","80","75","46640","46000"
"In post","2023","South East (England)","AA","Female","1135","945","21950","21380"
"In post","2023","South East (England)","AA","Male","1285","1215","22290","21380"
"In post","2023","South East (England)","AO","Female","5355","4705","24990","22930"
"In post","2023","South East (England)","AO","Male","5155","4875","28420","26920"
"In post","2023","South East (England)","EO","Female","6460","5810","28830","28120"
"In post","2023","South East (England)","EO","Male","5690","5445","29730","28120"
"In post","2023","South East (England)","G6","Female","390","365","71410","68000"
"In post","2023","South East (England)","G6","Male","525","505","71610","68880"
"In post","2023","South East (England)","G7","Female","1395","1315","55860","54450"
"In post","2023","South East (England)","G7","Male","1815","1755","56510","55170"
"In post","2023","South East (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","South East (England)","HEO","Female","3345","3160","34340","33990"
"In post","2023","South East (England)","HEO","Male","3145","3055","35350","34300"
"In post","2023","South East (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","South East (England)","SCS level","Female","120","115","93640","90970"
"In post","2023","South East (England)","SCS level","Male","125","120","96710","91360"
"In post","2023","South East (England)","SEO","Female","2220","2110","42400","41200"
"In post","2023","South East (England)","SEO","Male","2305","2245","43220","41800"
"In post","2023","South East (England)","Unknown","Female","1920","1760","30220","29050"
"In post","2023","South East (England)","Unknown","Male","635","600","31030","26840"
"In post","2023","South West (England)","AA","Female","610","540","21610","21380"
"In post","2023","South West (England)","AA","Male","1020","975","21920","21380"
"In post","2023","South West (England)","AO","Female","4395","3855","23250","22220"
"In post","2023","South West (England)","AO","Male","3690","3565","25710","22520"
"In post","2023","South West (England)","EO","Female","4855","4290","27830","28120"
"In post","2023","South West (England)","EO","Male","3915","3765","28570","28120"
"In post","2023","South West (England)","G6","Female","675","635","68540","66520"
"In post","2023","South West (England)","G6","Male","1125","1085","69360","69000"
"In post","2023","South West (England)","G7","Female","2400","2260","53250","51870"
"In post","2023","South West (England)","G7","Male","3445","3365","54030","54440"
"In post","2023","South West (England)","HEO","Female","4340","4030","33280","33710"
"In post","2023","South West (England)","HEO","Male","4495","4390","34030","33990"
"In post","2023","South West (England)","SCS level","Female","135","130","93650","88100"
"In post","2023","South West (England)","SCS level","Male","245","240","100230","93710"
"In post","2023","South West (England)","SEO","Female","3580","3360","41220","41000"
"In post","2023","South West (England)","SEO","Male","4955","4835","42330","41800"
"In post","2023","South West (England)","Unknown","Female","1850","1685","32530","30810"
"In post","2023","South West (England)","Unknown","Male","1660","1615","41190","38290"
"In post","2023","Unknown","AA","Female","15","15","[c]","[c]"
"In post","2023","Unknown","AA","Male","15","15","[c]","[c]"
"In post","2023","Unknown","AO","Female","90","85","23000","21780"
"In post","2023","Unknown","AO","Male","75","70","24360","22000"
"In post","2023","Unknown","EO","Female","180","165","28250","28120"
"In post","2023","Unknown","EO","Male","200","185","27900","27650"
"In post","2023","Unknown","G6","Female","20","20","[c]","[c]"
"In post","2023","Unknown","G6","Male","15","15","[c]","[c]"
"In post","2023","Unknown","G7","Female","45","45","54360","53590"
"In post","2023","Unknown","G7","Male","50","45","58730","57030"
"In post","2023","Unknown","HEO","Female","85","80","36100","34170"
"In post","2023","Unknown","HEO","Male","80","75","39920","39270"
"In post","2023","Unknown","SCS level","Female","10","10","[c]","[c]"
