"Status","Year","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Finance","20","20","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Human Resources","20","20","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Legal","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Medicine","20","15","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Operational Delivery","85","80","40200","30610"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Other","35","30","38080","39690"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Planning","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Policy","100","95","43810","39690"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Property","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Social Research","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","Unknown","65","60","35800","31940"
"In post","2023","Declared non-disabled","Active Travel England","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Planning","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Project Delivery","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Communications","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","30","30","49420","49240"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Human Resources","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","315","290","34050","32110"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Policy","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Commercial","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Operational Delivery","1520","1450","29160","25920"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Other","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Project Delivery","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Science and Engineering","435","415","33200","29080"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Veterinarian","260","250","43610","39360"
"In post","2023","Declared non-disabled","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Legal","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","Policy","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Human Resources","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Operational Research","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","Other","35","35","43140","35620"
"In post","2023","Declared non-disabled","Building Digital UK","Project Delivery","90","90","49720","53030"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Commercial","115","110","58770","56220"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Communications","95","95","49990","41870"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Counter Fraud","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","745","730","52720","56430"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Economics","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Finance","80","80","59670","44290"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Human Resources","595","570","43340","38460"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Knowledge and Information Management","40","40","39650","35650"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Legal","55","50","84130","81600"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Policy","240","235","50800","51290"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Project Delivery","60","60","56010","54220"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Property","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Psychology","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Security","235","225","41370","34320"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Statistics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","1585","1545","46400","41740"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Commercial","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","Unknown","40","40","30470","30130"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","40","40","33980","30350"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Finance","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","35","35","38640","31270"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","40","35","34530","30350"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","305","295","34500","30820"
"In post","2023","Declared non-disabled","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Communications","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Digital, Data and Technology","30","30","38900","30510"
"In post","2023","Declared non-disabled","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Human Resources","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Legal","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Operational Delivery","165","160","35110","30170"
"In post","2023","Declared non-disabled","Charity Commission","Policy","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Communications","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Counter Fraud","115","110","26910","25610"
"In post","2023","Declared non-disabled","Companies House","Digital, Data and Technology","180","175","41110","38000"
"In post","2023","Declared non-disabled","Companies House","Finance","55","50","32460","28070"
"In post","2023","Declared non-disabled","Companies House","Human Resources","45","40","38940","35000"
"In post","2023","Declared non-disabled","Companies House","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Legal","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Operational Delivery","310","285","26920","23240"
"In post","2023","Declared non-disabled","Companies House","Other","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Policy","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Project Delivery","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Property","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","Statistics","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Commercial","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Communications","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Corporate Finance","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Digital, Data and Technology","60","60","55820","55130"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Economics","90","85","64550","59230"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Human Resources","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Intelligence Analysis","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Legal","120","115","73030","73510"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Policy","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Project Delivery","360","345","60630","57540"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Operational Delivery","170","160","29510","25830"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Commercial","125","120","37470","39860"
"In post","2023","Declared non-disabled","Crown Commercial Service","Communications","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Digital, Data and Technology","35","35","42670","40450"
"In post","2023","Declared non-disabled","Crown Commercial Service","Finance","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Human Resources","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Operational Delivery","75","75","44470","40750"
"In post","2023","Declared non-disabled","Crown Commercial Service","Policy","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Project Delivery","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Communications","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","55","55","45270","39730"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Finance","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Human Resources","40","40","37660","33920"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Legal","605","570","62540","58850"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","1390","1305","29600","28700"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Policy","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Commercial","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Communications","40","40","44570","41340"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Digital, Data and Technology","85","85","42660","38940"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Finance","120","110","31820","28200"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Human Resources","105","100","40060","33780"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Internal Audit","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Knowledge and Information Management","45","45","42070","38940"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Legal","2235","2075","56910","56450"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Operational Delivery","2180","2025","28220","26900"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Other","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Policy","60","60","51410","53950"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Project Delivery","55","50","39150","38940"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Property","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","Security","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Commercial","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Finance","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Human Resources","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Medicine","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Operational Delivery","45","40","30960","27250"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Other","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Project Delivery","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Property","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","Science and Engineering","135","130","27180","28710"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Commercial","615","580","41960","42620"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Communications","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Digital, Data and Technology","270","265","40620","38570"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Finance","315","305","42060","33890"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Human Resources","140","135","41390","38790"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Operational Delivery","1775","1715","34460","31920"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Other","825","770","38430","33530"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Project Delivery","1575","1515","43350","40860"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Science and Engineering","1830","1785","42880","43330"
"In post","2023","Declared non-disabled","Defence Equipment and Support","Security","50","50","38350","38790"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Commercial","35","35","34300","30650"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Communications","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Finance","40","40","43420","49260"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Human Resources","60","55","41860","44120"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Intelligence Analysis","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Knowledge and Information Management","30","30","41430","39890"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Legal","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Operational Delivery","230","215","44600","45690"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Operational Research","155","150","46190","49260"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Other","265","260","53270","49260"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Project Delivery","245","230","41740","39890"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Psychology","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Science and Engineering","1370","1315","45160","49260"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","Security","45","45","41410","39890"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","60","60","50390","46410"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","95","95","49160","45250"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","170","170","47700","40740"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","130","125","53800","55350"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","110","105","50580","53680"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","400","390","49020","46510"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","3250","3170","51950","54710"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","70","70","52010","54920"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","40","35","56980","58760"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","55","55","52140","56760"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","60","60","54100","53030"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Human Resources","45","45","45510","37460"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Operational Research","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Other","45","45","33170","28190"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","835","815","50010","53030"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","90","90","51430","53030"
