"Status","Year","Age","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","585","575","40730","37300"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","145","140","30760","27470"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","410","405","50030","51770"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice","Operational Delivery","20","20","42160","37680"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","75","70","46950","45500"
"In post","2023","40-49","Digital, Data & Technology","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","40","35","48380","41050"
"In post","2023","40-49","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","40","40","50170","46160"
"In post","2023","40-49","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Scottish Government","Digital, Data and Technology","65","65","45370","42640"
"In post","2023","40-49","Digital, Data & Technology","The National Archives","Digital, Data and Technology","40","35","45030","46310"
"In post","2023","40-49","Digital, Data & Technology","The National Archives","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","UK Export Finance","Digital, Data and Technology","15","15","57620","54250"
"In post","2023","40-49","Digital, Data & Technology","UK Statistics Authority","Digital, Data and Technology","225","225","47440","51460"
"In post","2023","40-49","Digital, Data & Technology","Water Services Regulation Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Attorney General's Departments","Finance","40","40","36950","32460"
"In post","2023","40-49","Finance","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Cabinet Office","Finance","25","25","48130","48690"
"In post","2023","40-49","Finance","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Chancellor's other departments","Finance","10","10","51470","47790"
"In post","2023","40-49","Finance","Charity Commission","Finance","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Business, Energy and Industrial Strategy","Finance","95","90","46330","44370"
"In post","2023","40-49","Finance","Department for Digital, Culture, Media and Sport","Finance","20","20","59560","58830"
"In post","2023","40-49","Finance","Department for Education","Counter Fraud","10","10","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Finance","170","160","48990","44030"
"In post","2023","40-49","Finance","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Education","Statistics","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Department for Environment, Food and Rural Affairs","Finance","145","140","46120","49400"
"In post","2023","40-49","Finance","Department for International Trade","Finance","20","20","55040","55430"
"In post","2023","40-49","Finance","Department for Levelling Up, Housing and Communities","Finance","45","40","52940","51600"
"In post","2023","40-49","Finance","Department for Transport","Finance","125","120","44180","41110"
"In post","2023","40-49","Finance","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Work and Pensions","Commercial","180","175","39880","38470"
"In post","2023","40-49","Finance","Department for Work and Pensions","Finance","275","260","41870","38470"
"In post","2023","40-49","Finance","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department for Work and Pensions","Security","85","85","44240","38470"
"In post","2023","40-49","Finance","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Finance","75","75","45930","43230"
"In post","2023","40-49","Finance","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Planning","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Department of Health and Social Care","Unknown","20","15","56530","54690"
"In post","2023","40-49","Finance","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Food Standards Agency","Finance","15","15","49620","52330"
"In post","2023","40-49","Finance","Foreign, Commonwealth and Development Office","Finance","135","130","46420","41010"
"In post","2023","40-49","Finance","HM Land Registry","Finance","20","20","58720","57880"
"In post","2023","40-49","Finance","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","HM Revenue and Customs","Finance","310","290","46920","42510"
"In post","2023","40-49","Finance","HM Revenue and Customs","Operational Delivery","290","265","30700","28130"
"In post","2023","40-49","Finance","HM Revenue and Customs","Tax","40","35","37710","34550"
"In post","2023","40-49","Finance","HM Revenue and Customs","Unknown","55","55","50130","43420"
"In post","2023","40-49","Finance","HM Treasury","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","HM Treasury","Finance","25","25","58680","55720"
"In post","2023","40-49","Finance","Home Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Home Office","Finance","60","55","50720","46910"
"In post","2023","40-49","Finance","Home Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Home Office","Other","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Ministry of Defence","Finance","510","490","43600","41200"
"In post","2023","40-49","Finance","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Ministry of Justice","Finance","200","195","46290","41510"
"In post","2023","40-49","Finance","Ministry of Justice","Operational Delivery","20","20","32380","27090"
"In post","2023","40-49","Finance","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","National Crime Agency","Finance","10","10","42870","38640"
"In post","2023","40-49","Finance","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office for Standards in Education, Children's Services and Skills","Finance","10","10","[c]","[c]"
"In post","2023","40-49","Finance","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of Gas and Electricity Markets","Finance","10","10","53490","52590"
"In post","2023","40-49","Finance","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Office of the Secretary of State for Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Scottish Government","Finance","35","35","40710","40080"
"In post","2023","40-49","Finance","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","UK Export Finance","Finance","10","10","[c]","[c]"
"In post","2023","40-49","Finance","UK Export Finance","Operational Delivery","5","5","[c]","[c]"
"In post","2023","40-49","Finance","UK Statistics Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","UK Statistics Authority","Finance","20","20","44880","51060"
"In post","2023","40-49","Finance","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Water Services Regulation Authority","Finance","10","10","72670","66390"
"In post","2023","40-49","Finance","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","Department for Environment, Food and Rural Affairs","Operational Delivery","760","690","26350","22150"
"In post","2023","40-49","Grants Management","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Grants Management","Home Office","Policy","10","10","58030","59290"
"In post","2023","40-49","Grants Management","The National Archives","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Attorney General's Departments","Human Resources","55","55","43330","38940"
"In post","2023","40-49","Human Resources","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Digital, Data and Technology","10","10","40010","33980"
"In post","2023","40-49","Human Resources","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Human Resources","205","190","43630","40620"
"In post","2023","40-49","Human Resources","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Cabinet Office","Unknown","35","35","48440","43330"
"In post","2023","40-49","Human Resources","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Competition and Markets Authority","Human Resources","15","15","53500","54180"
"In post","2023","40-49","Human Resources","Department for Business, Energy and Industrial Strategy","Human Resources","115","105","45470","41540"
"In post","2023","40-49","Human Resources","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Digital, Culture, Media and Sport","Human Resources","10","10","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Education","Human Resources","45","40","45870","38430"
"In post","2023","40-49","Human Resources","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Environment, Food and Rural Affairs","Human Resources","105","100","44940","40260"
"In post","2023","40-49","Human Resources","Department for International Trade","Human Resources","20","20","49060","55370"
"In post","2023","40-49","Human Resources","Department for Levelling Up, Housing and Communities","Human Resources","20","20","40030","35260"
"In post","2023","40-49","Human Resources","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Transport","Human Resources","105","100","37850","34230"
"In post","2023","40-49","Human Resources","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Department for Work and Pensions","Human Resources","180","175","42940","39150"
"In post","2023","40-49","Human Resources","Department for Work and Pensions","Operational Delivery","205","195","33100","28120"
"In post","2023","40-49","Human Resources","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department of Health and Social Care","Human Resources","55","50","47120","42340"
"In post","2023","40-49","Human Resources","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Food Standards Agency","Human Resources","20","15","39860","32450"
"In post","2023","40-49","Human Resources","Foreign, Commonwealth and Development Office","Human Resources","90","85","48280","41680"
"In post","2023","40-49","Human Resources","HM Land Registry","Human Resources","35","35","43720","39520"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","Human Resources","220","210","45570","41780"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","Operational Delivery","60","55","35200","34700"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","Tax","40","35","39540","35110"
"In post","2023","40-49","Human Resources","HM Revenue and Customs","Unknown","35","35","50670","45170"
"In post","2023","40-49","Human Resources","HM Treasury","Human Resources","30","25","49300","51180"
"In post","2023","40-49","Human Resources","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Home Office","Human Resources","135","130","49780","43790"
"In post","2023","40-49","Human Resources","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Home Office","Project Delivery","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Ministry of Defence","Human Resources","970","940","38700","34280"
"In post","2023","40-49","Human Resources","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Ministry of Justice","Human Resources","390","385","42960","37870"
"In post","2023","40-49","Human Resources","Ministry of Justice","Operational Delivery","25","25","38020","38670"
"In post","2023","40-49","Human Resources","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","National Crime Agency","Human Resources","55","50","44610","42240"
"In post","2023","40-49","Human Resources","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Office for Standards in Education, Children's Services and Skills","Human Resources","20","20","47120","40850"
"In post","2023","40-49","Human Resources","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Office of Gas and Electricity Markets","Human Resources","10","10","49720","44740"
"In post","2023","40-49","Human Resources","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Scottish Government","Human Resources","70","65","39820","39360"
"In post","2023","40-49","Human Resources","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","UK Export Finance","Human Resources","5","5","[c]","[c]"
"In post","2023","40-49","Human Resources","UK Statistics Authority","Human Resources","45","45","40710","32710"
"In post","2023","40-49","Human Resources","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Human Resources","Water Services Regulation Authority","Human Resources","10","5","[c]","[c]"
"In post","2023","40-49","Human Resources","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","Department for Transport","Internal Audit","5","5","[c]","[c]"
"In post","2023","40-49","Internal Audit","Food Standards Agency","Internal Audit","5","5","[c]","[c]"
"In post","2023","40-49","Internal Audit","Foreign, Commonwealth and Development Office","Internal Audit","20","20","48840","44220"
"In post","2023","40-49","Internal Audit","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","HM Revenue and Customs","Internal Audit","15","15","50570","49540"
"In post","2023","40-49","Internal Audit","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","HM Treasury","Internal Audit","90","85","52680","50780"
"In post","2023","40-49","Internal Audit","Ministry of Defence","Internal Audit","20","20","35650","33990"
"In post","2023","40-49","Internal Audit","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Internal Audit","Ministry of Justice","Internal Audit","20","20","52370","52660"
"In post","2023","40-49","Internal Audit","Scottish Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Finance","20","20","25590","24480"
"In post","2023","40-49","Legal","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Legal","1725","1580","59270","58670"
"In post","2023","40-49","Legal","Attorney General's Departments","Operational Delivery","715","650","29950","28150"
"In post","2023","40-49","Legal","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Policy","20","20","53850","57510"
"In post","2023","40-49","Legal","Attorney General's Departments","Project Delivery","10","10","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Cabinet Office","Legal","15","15","83530","81600"
"In post","2023","40-49","Legal","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Charity Commission","Legal","10","10","[c]","[c]"
"In post","2023","40-49","Legal","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Competition and Markets Authority","Legal","35","35","90270","84240"
"In post","2023","40-49","Legal","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Department for Business, Energy and Industrial Strategy","Legal","40","40","52190","47890"
"In post","2023","40-49","Legal","Department for Education","Legal","25","25","63910","63220"
"In post","2023","40-49","Legal","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Department for Work and Pensions","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","40-49","Legal","Department for Work and Pensions","Legal","15","15","54180","57570"
"In post","2023","40-49","Legal","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Department of Health and Social Care","Legal","10","10","47520","41740"
"In post","2023","40-49","Legal","Department of Health and Social Care","Operational Delivery","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Department of Health and Social Care","Other","10","10","52130","51050"
"In post","2023","40-49","Legal","Department of Health and Social Care","Policy","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Food Standards Agency","Legal","10","10","[c]","[c]"
"In post","2023","40-49","Legal","Foreign, Commonwealth and Development Office","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Foreign, Commonwealth and Development Office","Legal","30","30","68520","71310"
"In post","2023","40-49","Legal","HM Land Registry","Legal","60","60","55360","61730"
"In post","2023","40-49","Legal","HM Revenue and Customs","Legal","130","120","55540","57970"
"In post","2023","40-49","Legal","HM Revenue and Customs","Operational Delivery","85","80","30420","28130"
"In post","2023","40-49","Legal","HM Revenue and Customs","Other","10","10","[c]","[c]"
"In post","2023","40-49","Legal","HM Revenue and Customs","Tax","85","80","43790","42330"
"In post","2023","40-49","Legal","HM Revenue and Customs","Unknown","45","45","56440","60350"
"In post","2023","40-49","Legal","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Ministry of Defence","Legal","15","15","68770","72050"
"In post","2023","40-49","Legal","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Ministry of Justice","Legal","20","20","40510","37680"
"In post","2023","40-49","Legal","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","National Crime Agency","Legal","15","15","65900","63040"
"In post","2023","40-49","Legal","Office for Standards in Education, Children's Services and Skills","Legal","10","10","65110","64680"
"In post","2023","40-49","Legal","Office of Gas and Electricity Markets","Legal","25","20","67990","68370"
"In post","2023","40-49","Legal","Office of Qualifications and Examinations Regulation","Legal","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Office of Rail and Road","Legal","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Scottish Government","Legal","185","175","65510","65280"
"In post","2023","40-49","Legal","Scottish Government","Policy","5","5","[c]","[c]"
"In post","2023","40-49","Legal","The National Archives","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","UK Export Finance","Legal","10","10","83400","84560"
"In post","2023","40-49","Legal","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Legal","Water Services Regulation Authority","Legal","5","5","[c]","[c]"
"In post","2023","40-49","Legal","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Attorney General's Departments","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","40-49","No function","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Communications","5","5","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Digital, Data and Technology","35","35","54450","52460"
"In post","2023","40-49","No function","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Human Resources","15","10","56990","56430"
"In post","2023","40-49","No function","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Operational Delivery","35","35","46800","52770"
"In post","2023","40-49","No function","Cabinet Office","Policy","40","40","58850","58070"
"In post","2023","40-49","No function","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Security","25","25","65130","66780"
"In post","2023","40-49","No function","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Cabinet Office","Unknown","220","215","60890","60890"
"In post","2023","40-49","No function","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Chancellor's other departments","Other","15","15","63990","64260"
"In post","2023","40-49","No function","Charity Commission","Operational Delivery","80","75","36410","30170"
"In post","2023","40-49","No function","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Economics","15","15","64800","66980"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Operational Delivery","865","810","33750","28720"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Other","15","15","52060","54260"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Policy","875","835","58240","55720"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Project Delivery","15","15","49100","51990"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Science and Engineering","125","115","56470","61980"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","40-49","No function","Department for Digital, Culture, Media and Sport","Communications","5","5","[c]","[c]"
