"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","UK Hydrographic Office","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","UK Hydrographic Office","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","UK Space Agency","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","AA/AO","AA","35","20","20370","20150"
"In post","2023","Declared disabled","UK Statistics Authority","AA/AO","AO","115","85","21450","21200"
"In post","2023","Declared disabled","UK Statistics Authority","EO","EO","85","80","25700","24840"
"In post","2023","Declared disabled","UK Statistics Authority","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","G6/G7","G7","75","70","52820","51460"
"In post","2023","Declared disabled","UK Statistics Authority","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","UK Statistics Authority","SEO/HEO","HEO","155","150","31900","31560"
"In post","2023","Declared disabled","UK Statistics Authority","SEO/HEO","SEO","140","135","39220","39300"
"In post","2023","Declared disabled","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","AA/AO","AO","80","75","22760","22520"
"In post","2023","Declared disabled","Valuation Office Agency","EO","EO","65","60","28250","27810"
"In post","2023","Declared disabled","Valuation Office Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","G6/G7","G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Valuation Office Agency","SEO/HEO","HEO","70","70","34200","34440"
"In post","2023","Declared disabled","Valuation Office Agency","SEO/HEO","SEO","45","45","45500","46380"
"In post","2023","Declared disabled","Vehicle Certification Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Vehicle Certification Agency","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Veterinary Medicines Directorate","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","AA/AO","AO","65","60","25060","25620"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","EO","EO","70","65","29880","30610"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","G6/G7","G7","40","40","61510","63900"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","SEO/HEO","HEO","100","90","38330","39690"
"In post","2023","Declared disabled","Welsh Government (excl. agencies)","SEO/HEO","SEO","55","50","47450","49370"
"In post","2023","Declared disabled","Welsh Revenue Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Welsh Revenue Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wilton Park","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","AA/AO","AA","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","EO","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Accountant in Bankruptcy","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Active Travel England","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","EO","EO","105","100","25850","25160"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G7","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","160","145","33530","32110"
"In post","2023","Declared non-disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","80","75","44250","44080"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","AA/AO","AO","640","600","22980","22150"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","EO","EO","635","610","27340","25990"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","G6/G7","G6","60","55","62740","61990"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","G6/G7","G7","165","160","52270","51300"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","SEO/HEO","HEO","385","375","31920","30990"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","SEO/HEO","SEO","390","370","39740","38210"
"In post","2023","Declared non-disabled","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","EO","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","G6/G7","G7","70","70","53850","53030"
"In post","2023","Declared non-disabled","Building Digital UK","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Building Digital UK","SEO/HEO","HEO","55","55","35160","35040"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","AA/AO","AO","250","235","22660","21720"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","EO","EO","450","430","27190","27430"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","G6/G7","G6","425","420","67090","66530"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","G6/G7","G7","1120","1090","56180","56430"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","SCS level","SCS level","315","305","95290","86460"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","SEO/HEO","HEO","760","740","34690","34950"
"In post","2023","Declared non-disabled","Cabinet Office (excl. agencies)","SEO/HEO","SEO","590","580","41020","41870"
"In post","2023","Declared non-disabled","Central Civil Service Fast Stream","SEO/HEO","HEO","85","85","30580","30130"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","110","105","25990","25920"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","65","65","50130","49400"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","135","125","30520","30350"
"In post","2023","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","115","110","37870","37310"
"In post","2023","Declared non-disabled","Charity Commission","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","EO","EO","50","45","25480","25300"
"In post","2023","Declared non-disabled","Charity Commission","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","G6/G7","G7","35","35","53280","52240"
"In post","2023","Declared non-disabled","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Charity Commission","SEO/HEO","HEO","90","90","30380","30170"
"In post","2023","Declared non-disabled","Charity Commission","SEO/HEO","SEO","55","50","39210","38800"
"In post","2023","Declared non-disabled","Companies House","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","AA/AO","AO","255","230","22540","23240"
"In post","2023","Declared non-disabled","Companies House","EO","EO","210","195","27640","26060"
"In post","2023","Declared non-disabled","Companies House","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","G6/G7","G7","55","50","54080","50930"
"In post","2023","Declared non-disabled","Companies House","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Companies House","SEO/HEO","HEO","145","140","36310","37350"
"In post","2023","Declared non-disabled","Companies House","SEO/HEO","SEO","125","120","44120","42990"
"In post","2023","Declared non-disabled","Competition and Markets Authority","AA/AO","AO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Competition and Markets Authority","EO","EO","50","45","28630","28760"
"In post","2023","Declared non-disabled","Competition and Markets Authority","G6/G7","G6","185","175","77010","76720"
"In post","2023","Declared non-disabled","Competition and Markets Authority","G6/G7","G7","215","210","58340","57540"
"In post","2023","Declared non-disabled","Competition and Markets Authority","SCS level","SCS level","100","95","108120","102320"
"In post","2023","Declared non-disabled","Competition and Markets Authority","SEO/HEO","HEO","130","130","35280","34110"
"In post","2023","Declared non-disabled","Competition and Markets Authority","SEO/HEO","SEO","60","55","44710","43560"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","AA/AO","AO","50","45","21780","21780"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","EO","EO","50","45","25960","25830"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","G6/G7","G7","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","SEO/HEO","HEO","45","45","31690","31270"
"In post","2023","Declared non-disabled","Criminal Injuries Compensation Authority","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","EO","EO","35","35","26590","26410"
"In post","2023","Declared non-disabled","Crown Commercial Service","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","G6/G7","G7","55","55","52480","52990"
"In post","2023","Declared non-disabled","Crown Commercial Service","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Commercial Service","SEO/HEO","HEO","80","75","32230","32110"
"In post","2023","Declared non-disabled","Crown Commercial Service","SEO/HEO","SEO","90","85","40380","40620"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","AA/AO","AO","670","615","24010","24490"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","EO","EO","375","365","30230","29450"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","G6/G7","G6","195","185","74170","74000"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","G6/G7","G7","445","420","56730","52360"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","HEO","385","370","36160","36330"
"In post","2023","Declared non-disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","SEO","65","65","45620","43440"
"In post","2023","Declared non-disabled","Crown Prosecution Service","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Crown Prosecution Service","AA/AO","AO","1005","920","23150","22870"
"In post","2023","Declared non-disabled","Crown Prosecution Service","EO","EO","1050","980","28550","28850"
"In post","2023","Declared non-disabled","Crown Prosecution Service","G6/G7","G6","185","185","75440","73000"
"In post","2023","Declared non-disabled","Crown Prosecution Service","G6/G7","G7","1895","1745","57680","56450"
"In post","2023","Declared non-disabled","Crown Prosecution Service","SCS level","SCS level","75","70","93650","87560"
"In post","2023","Declared non-disabled","Crown Prosecution Service","SEO/HEO","HEO","440","420","33420","33300"
"In post","2023","Declared non-disabled","Crown Prosecution Service","SEO/HEO","SEO","335","325","40320","40080"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","AA/AO","AA","30","30","17880","18640"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","AA/AO","AO","35","35","22620","22210"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","EO","EO","120","120","29080","28710"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","SEO/HEO","HEO","40","40","35170","34680"
"In post","2023","Declared non-disabled","Defence Electronics and Components Agency","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Equipment and Support","AA/AO","AO","905","860","22680","21630"
"In post","2023","Declared non-disabled","Defence Equipment and Support","EO","EO","530","510","27390","26860"
"In post","2023","Declared non-disabled","Defence Equipment and Support","G6/G7","G6","360","345","70280","70710"
"In post","2023","Declared non-disabled","Defence Equipment and Support","G6/G7","G7","1085","1050","54430","54510"
"In post","2023","Declared non-disabled","Defence Equipment and Support","SCS level","SCS level","90","90","103480","95320"
"In post","2023","Declared non-disabled","Defence Equipment and Support","SEO/HEO","HEO","2040","1955","33100","32500"
"In post","2023","Declared non-disabled","Defence Equipment and Support","SEO/HEO","SEO","2405","2330","42350","42620"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","EO","EO","105","95","24780","24630"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","G6/G7","G6","145","135","72020","70550"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","G6/G7","G7","1210","1155","52320","49260"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","SEO/HEO","HEO","430","415","30550","30650"
"In post","2023","Declared non-disabled","Defence Science and Technology Laboratory","SEO/HEO","SEO","620","600","39670","39890"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","AO","35","35","25040","25900"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","EO","250","240","28400","28720"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G6","600","575","68540","66790"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","G7","1555","1520","56310","55120"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","SCS level","265","255","83820","77210"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","HEO","700","690","35140","34670"
"In post","2023","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","SEO","970","955","42520","41360"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","EO","90","90","28180","27780"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G6","160","155","65290","64260"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","G6/G7","G7","470","460","54810","53030"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","SCS level","SCS level","95","90","86070","78350"
"In post","2023","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","SEO/HEO","HEO","450","445","36980","35620"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","AA/AO","AO","40","35","23170","22020"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","EO","EO","280","265","28000","26940"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","G6/G7","G6","645","615","66290","65780"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","G6/G7","G7","1305","1255","53820","52150"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","SCS level","SCS level","200","190","83500","76510"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","SEO/HEO","HEO","670","645","32480","31200"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","SEO/HEO","SEO","1160","1115","40090","38210"
"In post","2023","Declared non-disabled","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","AO","85","80","23470","22150"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","EO","365","350","27210","26070"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G6","450","435","62610","63200"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","G7","1270","1225","51950","50350"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","SCS level","160","155","83660","78260"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","HEO","925","900","32050","30940"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","SEO","1220","1175","38970","37810"
"In post","2023","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for International Trade","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Department for International Trade","EO","EO","145","145","29270","29280"
"In post","2023","Declared non-disabled","Department for International Trade","G6/G7","G6","180","175","67690","65980"
"In post","2023","Declared non-disabled","Department for International Trade","G6/G7","G7","500","495","56340","55500"
"In post","2023","Declared non-disabled","Department for International Trade","SCS level","SCS level","95","95","86860","78300"
"In post","2023","Declared non-disabled","Department for International Trade","SEO/HEO","HEO","365","360","35020","35010"
"In post","2023","Declared non-disabled","Department for International Trade","SEO/HEO","SEO","480","470","42180","41550"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","AO","35","30","26100","26100"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","EO","150","145","29120","28850"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G6","310","300","65700","64970"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","G7","760","745","54330","54630"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","SCS level","135","130","85550","78430"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","HEO","455","440","33620","33880"
"In post","2023","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","SEO","480","470","40470","40610"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","AA/AO","AO","70","60","28240","26510"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","EO","EO","200","195","30270","30920"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","G6/G7","G6","345","335","70360","68150"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","G6/G7","G7","775","760","57810","55740"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","SCS level","SCS level","200","190","90170","81450"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","HEO","460","445","35780","35760"
"In post","2023","Declared non-disabled","Department for Transport (excl. agencies)","SEO/HEO","SEO","470","460","43870","43750"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AA","170","135","21310","21250"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","AA/AO","AO","18130","15555","22030","21690"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","EO","EO","30595","27375","28810","28120"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G6","810","780","70340","68060"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","G6/G7","G7","2165","2080","53600","50950"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SCS level","SCS level","210","205","89350","81480"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","HEO","6370","6000","35140","34170"
"In post","2023","Declared non-disabled","Department for Work and Pensions (excl. agencies)","SEO/HEO","SEO","2965","2835","40110","38470"
"In post","2023","Declared non-disabled","Department of Health and Social Care (excl. agencies)","AA/AO","AO","10","10","[c]","[c]"
