"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Clackmannanshire and Fife","EO","80","70","31430","28120"
"In post","2023","Declared disabled","Clackmannanshire and Fife","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Clackmannanshire and Fife","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Clackmannanshire and Fife","SEO/HEO","30","30","38950","35020"
"In post","2023","Declared disabled","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Conwy and Denbighshire","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Conwy and Denbighshire","EO","30","30","28400","28120"
"In post","2023","Declared disabled","Conwy and Denbighshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Conwy and Denbighshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Conwy and Denbighshire","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Conwy and Denbighshire","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","AA/AO","105","90","21870","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","EO","85","75","28020","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","SEO/HEO","40","35","36470","34170"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Coventry","AA/AO","45","35","21860","21690"
"In post","2023","Declared disabled","Coventry","EO","70","60","27800","28080"
"In post","2023","Declared disabled","Coventry","G6/G7","50","50","53560","51710"
"In post","2023","Declared disabled","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Coventry","SEO/HEO","115","105","35300","34850"
"In post","2023","Declared disabled","Coventry","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Croydon","AA/AO","185","170","26200","26400"
"In post","2023","Declared disabled","Croydon","EO","285","265","31130","30410"
"In post","2023","Declared disabled","Croydon","G6/G7","170","165","66780","65230"
"In post","2023","Declared disabled","Croydon","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Croydon","SEO/HEO","395","375","41460","41020"
"In post","2023","Declared disabled","Croydon","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Darlington","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Darlington","EO","45","40","26620","26940"
"In post","2023","Declared disabled","Darlington","G6/G7","45","45","56820","52150"
"In post","2023","Declared disabled","Darlington","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Darlington","SEO/HEO","80","80","34680","33900"
"In post","2023","Declared disabled","Darlington","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Derby","AA/AO","80","70","22070","21690"
"In post","2023","Declared disabled","Derby","EO","55","50","28350","28120"
"In post","2023","Declared disabled","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derby","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Derby","Unknown","45","40","29460","26840"
"In post","2023","Declared disabled","Derry City and Strabane","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derry City and Strabane","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derry City and Strabane","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Devon CC","AA/AO","255","215","23490","21820"
"In post","2023","Declared disabled","Devon CC","EO","225","200","28280","28120"
"In post","2023","Declared disabled","Devon CC","G6/G7","65","65","54110","49280"
"In post","2023","Declared disabled","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Devon CC","SEO/HEO","220","205","37000","37300"
