"Status","Year","Age","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Berkshire","Female","195","190","28910","28200"
"In post","2023","20-29","Berkshire","Male","185","185","30890","29480"
"In post","2023","20-29","Bexley and Greenwich","Female","175","175","31430","32110"
"In post","2023","20-29","Bexley and Greenwich","Male","115","115","32630","33240"
"In post","2023","20-29","Birmingham","Female","1540","1490","27730","26330"
"In post","2023","20-29","Birmingham","Male","1145","1130","28390","27890"
"In post","2023","20-29","Blackburn with Darwen","Female","35","30","25420","24570"
"In post","2023","20-29","Blackburn with Darwen","Male","10","10","[c]","[c]"
"In post","2023","20-29","Blackpool","Female","335","325","26620","28120"
"In post","2023","20-29","Blackpool","Male","280","280","26590","28120"
"In post","2023","20-29","Bournemouth, Christchurch and Poole","Female","55","55","25680","24570"
"In post","2023","20-29","Bournemouth, Christchurch and Poole","Male","25","25","[c]","[c]"
"In post","2023","20-29","Bradford","Female","315","300","24470","22520"
"In post","2023","20-29","Bradford","Male","280","275","24100","22520"
"In post","2023","20-29","Breckland and South Norfolk","Female","40","40","29010","28880"
"In post","2023","20-29","Breckland and South Norfolk","Male","45","45","29050","28880"
"In post","2023","20-29","Brent","Female","60","60","31120","32520"
"In post","2023","20-29","Brent","Male","40","40","32440","32420"
"In post","2023","20-29","Bridgend and Neath Port Talbot","Female","60","60","26290","24570"
"In post","2023","20-29","Bridgend and Neath Port Talbot","Male","25","25","[c]","[c]"
"In post","2023","20-29","Brighton and Hove","Female","70","65","27480","28120"
"In post","2023","20-29","Brighton and Hove","Male","20","20","[c]","[c]"
"In post","2023","20-29","Bristol, City of","Female","730","720","30110","28130"
"In post","2023","20-29","Bristol, City of","Male","505","505","31370","28880"
"In post","2023","20-29","Bromley","Female","45","45","30680","32520"
"In post","2023","20-29","Bromley","Male","20","15","[c]","[c]"
"In post","2023","20-29","Buckinghamshire","Female","155","155","30400","29470"
"In post","2023","20-29","Buckinghamshire","Male","85","85","31080","31100"
"In post","2023","20-29","Caithness and Sutherland, and Ross and Cromarty","Female","10","10","[c]","[c]"
"In post","2023","20-29","Caithness and Sutherland, and Ross and Cromarty","Male","15","15","[c]","[c]"
"In post","2023","20-29","Calderdale and Kirklees","Female","85","85","26520","28120"
"In post","2023","20-29","Calderdale and Kirklees","Male","35","35","27750","28120"
"In post","2023","20-29","Cambridgeshire CC","Female","215","215","29060","28120"
"In post","2023","20-29","Cambridgeshire CC","Male","245","240","29680","28880"
"In post","2023","20-29","Camden and City of London","Female","150","150","31540","29660"
"In post","2023","20-29","Camden and City of London","Male","125","125","35640","32520"
"In post","2023","20-29","Cardiff and Vale of Glamorgan","Female","1000","985","28850","27890"
"In post","2023","20-29","Cardiff and Vale of Glamorgan","Male","885","875","28850","27890"
"In post","2023","20-29","Causeway Coast and Glens","Female","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Causeway Coast and Glens","Male","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Central Bedfordshire","Female","20","20","[c]","[c]"
"In post","2023","20-29","Central Bedfordshire","Male","20","20","[c]","[c]"
"In post","2023","20-29","Central Hampshire","Female","320","315","31190","30650"
"In post","2023","20-29","Central Hampshire","Male","450","450","31800","30650"
"In post","2023","20-29","Central Valleys","Female","250","245","27900","28120"
"In post","2023","20-29","Central Valleys","Male","155","155","27410","28120"
"In post","2023","20-29","Cheshire East","Female","120","115","27510","28680"
"In post","2023","20-29","Cheshire East","Male","70","70","27440","27140"
"In post","2023","20-29","Cheshire West and Chester","Female","45","45","24930","23640"
"In post","2023","20-29","Cheshire West and Chester","Male","20","20","[c]","[c]"
"In post","2023","20-29","Chorley and West Lancashire","Female","175","170","28650","28880"
"In post","2023","20-29","Chorley and West Lancashire","Male","110","110","29890","29890"
"In post","2023","20-29","City of Edinburgh","Female","1355","1340","31960","29450"
"In post","2023","20-29","City of Edinburgh","Male","1005","1000","31830","29450"
"In post","2023","20-29","Clackmannanshire and Fife","Female","80","75","29140","28490"
"In post","2023","20-29","Clackmannanshire and Fife","Male","55","55","28350","27000"
"In post","2023","20-29","Conwy and Denbighshire","Female","50","50","26650","24570"
