"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","Counter Fraud","Finance","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Intelligence Analysis","40","40","43300","39790"
"In post","2023","50-59","Counter Fraud","Knowledge and Information Management","10","10","52620","51210"
"In post","2023","50-59","Counter Fraud","Legal","650","620","36840","35000"
"In post","2023","50-59","Counter Fraud","Operational Delivery","1105","1030","34930","34170"
"In post","2023","50-59","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Other","105","100","43260","36990"
"In post","2023","50-59","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","Tax","490","470","44310","42060"
"In post","2023","50-59","Counter Fraud","Unknown","40","35","39770","35000"
"In post","2023","50-59","Debt","Operational Delivery","1055","960","27340","22520"
"In post","2023","50-59","Debt","Other","780","675","23470","21690"
"In post","2023","50-59","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Debt","Tax","85","85","24950","22520"
"In post","2023","50-59","Debt","Unknown","15","15","26240","27650"
"In post","2023","50-59","Digital, Data & Technology","Commercial","10","5","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Digital, Data and Technology","5640","5515","46540","42510"
"In post","2023","50-59","Digital, Data & Technology","Finance","40","40","39700","37680"
"In post","2023","50-59","Digital, Data & Technology","Human Resources","10","10","47940","43320"
"In post","2023","50-59","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Knowledge and Information Management","370","360","33680","29570"
"In post","2023","50-59","Digital, Data & Technology","Operational Delivery","255","245","41000","39650"
"In post","2023","50-59","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Other","65","65","39880","37420"
"In post","2023","50-59","Digital, Data & Technology","Policy","20","20","62820","64000"
"In post","2023","50-59","Digital, Data & Technology","Project Delivery","70","70","45410","41440"
"In post","2023","50-59","Digital, Data & Technology","Science and Engineering","125","110","46120","46100"
"In post","2023","50-59","Digital, Data & Technology","Security","15","15","50270","50160"
"In post","2023","50-59","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data & Technology","Tax","30","30","45770","42330"
"In post","2023","50-59","Digital, Data & Technology","Unknown","225","220","53400","46480"
"In post","2023","50-59","Finance","Commercial","285","270","38930","38470"
"In post","2023","50-59","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Corporate Finance","15","15","64030","57360"
"In post","2023","50-59","Finance","Counter Fraud","15","15","45970","42590"
"In post","2023","50-59","Finance","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Finance","2675","2590","45160","41780"
"In post","2023","50-59","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Operational Delivery","650","565","28930","22520"
"In post","2023","50-59","Finance","Other","10","10","[c]","[c]"
"In post","2023","50-59","Finance","Policy","5","5","[c]","[c]"
"In post","2023","50-59","Finance","Project Delivery","15","15","54840","53420"
"In post","2023","50-59","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Security","140","135","45660","38470"
"In post","2023","50-59","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Tax","25","25","40970","42510"
"In post","2023","50-59","Finance","Unknown","85","85","49610","44360"
"In post","2023","50-59","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Operational Delivery","635","590","27690","25920"
"In post","2023","50-59","Grants Management","Policy","10","10","[c]","[c]"
"In post","2023","50-59","Grants Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Grants Management","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Digital, Data and Technology","10","10","43640","38460"
"In post","2023","50-59","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Human Resources","3815","3710","41890","37300"
"In post","2023","50-59","Human Resources","Knowledge and Information Management","10","10","43950","47680"
"In post","2023","50-59","Human Resources","Operational Delivery","475","450","33770","28120"
"In post","2023","50-59","Human Resources","Other","20","20","40410","41110"
"In post","2023","50-59","Human Resources","Planning","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Policy","15","15","49960","46610"
"In post","2023","50-59","Human Resources","Project Delivery","15","15","51740","52960"
"In post","2023","50-59","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Tax","55","50","41420","35150"
"In post","2023","50-59","Human Resources","Unknown","80","75","46810","42050"
"In post","2023","50-59","Internal Audit","Internal Audit","270","265","51600","48380"
"In post","2023","50-59","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Legal","Finance","20","20","27000","27150"
"In post","2023","50-59","Legal","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Legal","Knowledge and Information Management","35","35","42900","34170"
"In post","2023","50-59","Legal","Legal","2130","1995","62560","61510"
"In post","2023","50-59","Legal","Operational Delivery","1195","1105","30780","28850"
"In post","2023","50-59","Legal","Other","25","25","66370","65720"
"In post","2023","50-59","Legal","Policy","45","45","56270","51940"
"In post","2023","50-59","Legal","Project Delivery","10","10","48230","35550"
"In post","2023","50-59","Legal","Property","10","10","[c]","[c]"
"In post","2023","50-59","Legal","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Legal","Security","5","5","[c]","[c]"
"In post","2023","50-59","Legal","Tax","100","95","45990","42510"
"In post","2023","50-59","Legal","Unknown","40","35","51390","35000"
"In post","2023","50-59","No function","Commercial","165","165","55910","53200"
"In post","2023","50-59","No function","Communications","35","30","47940","44570"
"In post","2023","50-59","No function","Corporate Finance","5","5","[c]","[c]"
"In post","2023","50-59","No function","Counter Fraud","55","50","28890","26380"
"In post","2023","50-59","No function","Digital, Data and Technology","210","205","57760","59290"
"In post","2023","50-59","No function","Economics","20","20","68220","61840"
"In post","2023","50-59","No function","Finance","50","50","41440","38780"
"In post","2023","50-59","No function","Geography","100","95","33630","34370"
"In post","2023","50-59","No function","Human Resources","75","75","41200","36180"
"In post","2023","50-59","No function","Inspector of Education and Training","415","405","67750","72470"
"In post","2023","50-59","No function","Intelligence Analysis","755","730","33550","30470"
"In post","2023","50-59","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","50-59","No function","International Trade","400","390","52120","46460"
"In post","2023","50-59","No function","Knowledge and Information Management","240","230","35820","34170"
"In post","2023","50-59","No function","Legal","405","370","49590","47100"
"In post","2023","50-59","No function","Medicine","655","585","63320","48270"
"In post","2023","50-59","No function","Operational Delivery","72145","66515","30680","28120"
"In post","2023","50-59","No function","Operational Research","15","15","30960","22520"
"In post","2023","50-59","No function","Other","3075","2965","32660","28120"
"In post","2023","50-59","No function","Planning","35","35","49440","48140"
"In post","2023","50-59","No function","Planning Inspectors","145","130","61650","60050"
"In post","2023","50-59","No function","Policy","4390","4285","52390","50240"
"In post","2023","50-59","No function","Project Delivery","460","450","49640","44520"
"In post","2023","50-59","No function","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","No function","Psychology","155","145","42910","32420"
"In post","2023","50-59","No function","Science and Engineering","2105","2050","44180","43360"
"In post","2023","50-59","No function","Security","20","20","55550","46180"
"In post","2023","50-59","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","No function","Statistics","5","5","[c]","[c]"
"In post","2023","50-59","No function","Tax","3105","2970","41270","36990"
"In post","2023","50-59","No function","Unknown","1065","1030","50430","41950"
"In post","2023","50-59","No function","Veterinarian","90","90","48710","50810"
"In post","2023","50-59","Project Delivery","Commercial","10","10","104130","107710"
"In post","2023","50-59","Project Delivery","Communications","5","5","[c]","[c]"
"In post","2023","50-59","Project Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Project Delivery","Digital, Data and Technology","15","15","58510","59820"
"In post","2023","50-59","Project Delivery","Finance","20","20","92040","72300"
"In post","2023","50-59","Project Delivery","Human Resources","5","5","[c]","[c]"
"In post","2023","50-59","Project Delivery","Inspector of Education and Training","40","40","77810","78500"
"In post","2023","50-59","Project Delivery","Knowledge and Information Management","15","15","45310","44120"
"In post","2023","50-59","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Project Delivery","Medicine","15","15","81880","80970"
"In post","2023","50-59","Project Delivery","Operational Delivery","455","440","41560","38070"
"In post","2023","50-59","Project Delivery","Operational Research","25","25","55470","49260"
"In post","2023","50-59","Project Delivery","Other","70","65","43870","42140"
"In post","2023","50-59","Project Delivery","Policy","550","530","58660","58920"
"In post","2023","50-59","Project Delivery","Project Delivery","4430","4320","49490","43760"
"In post","2023","50-59","Project Delivery","Property","10","10","[c]","[c]"
"In post","2023","50-59","Project Delivery","Science and Engineering","315","310","55560","48420"
"In post","2023","50-59","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Project Delivery","Tax","215","205","37720","35070"
"In post","2023","50-59","Project Delivery","Unknown","60","55","61410","54680"
"In post","2023","50-59","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Property","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","50-59","Property","Finance","25","25","45290","40170"
"In post","2023","50-59","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Property","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Property","Operational Delivery","400","385","35970","32260"
"In post","2023","50-59","Property","Other","90","90","35200","31490"
"In post","2023","50-59","Property","Policy","10","10","60110","66080"
"In post","2023","50-59","Property","Project Delivery","30","30","55100","54240"
"In post","2023","50-59","Property","Property","2395","2320","40560","36920"
"In post","2023","50-59","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Property","Security","5","5","[c]","[c]"
"In post","2023","50-59","Property","Unknown","30","25","46800","51230"
"In post","2023","50-59","Security","Digital, Data and Technology","10","10","60520","55460"
"In post","2023","50-59","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Security","Human Resources","10","10","[c]","[c]"
"In post","2023","50-59","Security","Intelligence Analysis","25","25","52810","52730"
"In post","2023","50-59","Security","Knowledge and Information Management","25","25","39190","37680"
"In post","2023","50-59","Security","Operational Delivery","10","10","42380","40210"
"In post","2023","50-59","Security","Other","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Security","Policy","10","10","55500","50290"
"In post","2023","50-59","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Security","Security","3120","3075","35480","33420"
"In post","2023","50-59","Security","Unknown","160","150","33910","27110"
"In post","2023","50-59","Unknown","Communications","30","30","42450","39690"
"In post","2023","50-59","Unknown","Digital, Data and Technology","50","50","43350","39690"
"In post","2023","50-59","Unknown","Economics","10","10","55910","63900"
"In post","2023","50-59","Unknown","Finance","110","105","49070","49370"
"In post","2023","50-59","Unknown","Human Resources","60","60","41460","39690"
"In post","2023","50-59","Unknown","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2023","50-59","Unknown","Internal Audit","5","5","[c]","[c]"
"In post","2023","50-59","Unknown","Knowledge and Information Management","40","40","39980","39690"
"In post","2023","50-59","Unknown","Legal","40","35","63770","63900"
"In post","2023","50-59","Unknown","Medicine","50","50","57460","63900"
"In post","2023","50-59","Unknown","Operational Delivery","570","545","45090","39690"
"In post","2023","50-59","Unknown","Other","780","770","49840","46130"
"In post","2023","50-59","Unknown","Planning","25","25","54160","56450"
"In post","2023","50-59","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Unknown","Policy","740","715","49650","49370"
"In post","2023","50-59","Unknown","Project Delivery","55","50","51960","49370"
"In post","2023","50-59","Unknown","Property","25","25","46560","49370"
"In post","2023","50-59","Unknown","Psychology","5","5","[c]","[c]"
"In post","2023","50-59","Unknown","Science and Engineering","375","365","47330","49260"
"In post","2023","50-59","Unknown","Security","10","10","[c]","[c]"
"In post","2023","50-59","Unknown","Social Research","15","15","51560","49370"
"In post","2023","50-59","Unknown","Statistics","10","10","44560","42830"
"In post","2023","50-59","Unknown","Unknown","4210","4055","46550","41500"
"In post","2023","60-64","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Economics","10","10","63680","62410"
"In post","2023","60-64","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Intelligence Analysis","10","10","47340","48190"
"In post","2023","60-64","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Operational Delivery","35","30","32680","31270"
"In post","2023","60-64","Analysis","Operational Research","20","15","46450","49260"
"In post","2023","60-64","Analysis","Other","20","15","49200","41480"
"In post","2023","60-64","Analysis","Policy","5","5","[c]","[c]"
"In post","2023","60-64","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Science and Engineering","70","60","49100","49260"
"In post","2023","60-64","Analysis","Social Research","15","15","53480","53190"
"In post","2023","60-64","Analysis","Statistics","55","50","45760","41800"
"In post","2023","60-64","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Commercial","355","315","49390","42820"
"In post","2023","60-64","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Operational Delivery","30","25","53760","52000"
"In post","2023","60-64","Commercial","Other","10","10","[c]","[c]"
"In post","2023","60-64","Commercial","Policy","5","5","[c]","[c]"
"In post","2023","60-64","Commercial","Project Delivery","5","5","[c]","[c]"
"In post","2023","60-64","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","Communications","155","140","41600","37300"
"In post","2023","60-64","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","Knowledge and Information Management","10","10","34130","32520"
"In post","2023","60-64","Communications","Operational Delivery","5","5","[c]","[c]"
"In post","2023","60-64","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","Unknown","5","5","[c]","[c]"
"In post","2023","60-64","Counter Fraud","Counter Fraud","1005","770","31030","28120"
"In post","2023","60-64","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Counter Fraud","Intelligence Analysis","10","5","[c]","[c]"
"In post","2023","60-64","Counter Fraud","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","60-64","Counter Fraud","Legal","145","120","36110","34370"
"In post","2023","60-64","Counter Fraud","Operational Delivery","325","255","32230","29730"
"In post","2023","60-64","Counter Fraud","Other","40","30","42370","36990"
"In post","2023","60-64","Counter Fraud","Tax","190","145","44290","42060"
"In post","2023","60-64","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Debt","Operational Delivery","430","345","26840","22520"
"In post","2023","60-64","Debt","Other","310","245","23680","21690"
"In post","2023","60-64","Debt","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Debt","Tax","20","20","24730","22520"
"In post","2023","60-64","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Digital, Data and Technology","1240","1100","43290","39460"
"In post","2023","60-64","Digital, Data & Technology","Finance","20","15","36790","34170"
"In post","2023","60-64","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Knowledge and Information Management","130","125","32170","27470"
"In post","2023","60-64","Digital, Data & Technology","Operational Delivery","60","50","38410","37840"
"In post","2023","60-64","Digital, Data & Technology","Other","10","10","33710","34710"
"In post","2023","60-64","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Project Delivery","15","10","47370","43210"
"In post","2023","60-64","Digital, Data & Technology","Science and Engineering","30","30","45910","41140"
"In post","2023","60-64","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Tax","5","5","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Unknown","50","50","49880","44930"
"In post","2023","60-64","Finance","Commercial","70","55","38330","38470"
"In post","2023","60-64","Finance","Corporate Finance","10","5","[c]","[c]"
"In post","2023","60-64","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Finance","640","560","41910","38470"
"In post","2023","60-64","Finance","Operational Delivery","210","160","25900","22520"
"In post","2023","60-64","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Security","40","30","44410","39170"
"In post","2023","60-64","Finance","Tax","5","5","[c]","[c]"
"In post","2023","60-64","Finance","Unknown","10","10","43970","39110"
"In post","2023","60-64","Grants Management","Operational Delivery","195","165","26170","22150"
"In post","2023","60-64","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Human Resources","1075","975","37630","34300"
"In post","2023","60-64","Human Resources","Operational Delivery","150","125","33110","28120"
"In post","2023","60-64","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Tax","20","15","42460","39110"
"In post","2023","60-64","Human Resources","Unknown","20","15","50340","43710"
"In post","2023","60-64","Internal Audit","Internal Audit","85","70","48280","46290"
"In post","2023","60-64","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Legal","Finance","10","10","[c]","[c]"
"In post","2023","60-64","Legal","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Legal","Knowledge and Information Management","20","15","40630","36320"
"In post","2023","60-64","Legal","Legal","465","395","63280","63500"
"In post","2023","60-64","Legal","Operational Delivery","280","235","28320","28130"
"In post","2023","60-64","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Legal","Policy","5","5","[c]","[c]"
"In post","2023","60-64","Legal","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Legal","Tax","25","20","45510","42510"
"In post","2023","60-64","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Commercial","25","25","53310","50510"
"In post","2023","60-64","No function","Communications","5","5","[c]","[c]"
"In post","2023","60-64","No function","Counter Fraud","30","25","30690","26380"
"In post","2023","60-64","No function","Digital, Data and Technology","45","40","56480","52060"
"In post","2023","60-64","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Finance","15","10","36260","36290"
"In post","2023","60-64","No function","Geography","35","25","34190","34370"
"In post","2023","60-64","No function","Human Resources","20","15","35860","32810"
"In post","2023","60-64","No function","Inspector of Education and Training","85","80","72530","77470"
"In post","2023","60-64","No function","Intelligence Analysis","185","155","33290","30420"
"In post","2023","60-64","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","International Trade","95","90","52660","46140"
"In post","2023","60-64","No function","Knowledge and Information Management","70","60","34260","31450"
"In post","2023","60-64","No function","Legal","115","95","51490","47100"
"In post","2023","60-64","No function","Medicine","200","175","65600","47670"
"In post","2023","60-64","No function","Operational Delivery","24520","19680","28750","27650"
"In post","2023","60-64","No function","Operational Research","5","5","[c]","[c]"
"In post","2023","60-64","No function","Other","1105","1000","29360","26030"
"In post","2023","60-64","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Planning Inspectors","40","35","63590","60050"
"In post","2023","60-64","No function","Policy","830","770","49840","44640"
"In post","2023","60-64","No function","Project Delivery","85","80","49380","43480"
"In post","2023","60-64","No function","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Psychology","25","25","36060","28480"
"In post","2023","60-64","No function","Science and Engineering","765","705","41870","40310"
"In post","2023","60-64","No function","Security","5","5","[c]","[c]"
"In post","2023","60-64","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","No function","Tax","880","695","40760","36990"
"In post","2023","60-64","No function","Unknown","235","215","48750","38460"
"In post","2023","60-64","No function","Veterinarian","25","20","47530","51760"
"In post","2023","60-64","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","60-64","Project Delivery","Finance","5","5","[c]","[c]"
"In post","2023","60-64","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Inspector of Education and Training","10","5","[c]","[c]"
"In post","2023","60-64","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2023","60-64","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Operational Delivery","115","105","42040","39500"
"In post","2023","60-64","Project Delivery","Operational Research","5","5","[c]","[c]"
"In post","2023","60-64","Project Delivery","Other","20","15","39240","36990"
"In post","2023","60-64","Project Delivery","Policy","140","120","57820","57970"
"In post","2023","60-64","Project Delivery","Project Delivery","985","835","45800","42060"
"In post","2023","60-64","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Project Delivery","Science and Engineering","100","85","52010","48480"
"In post","2023","60-64","Project Delivery","Tax","70","55","36250","35070"
"In post","2023","60-64","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2023","60-64","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Property","Operational Delivery","125","110","30100","23100"
"In post","2023","60-64","Property","Other","40","35","35320","30200"
"In post","2023","60-64","Property","Project Delivery","5","5","[c]","[c]"
"In post","2023","60-64","Property","Property","810","715","36960","34300"
"In post","2023","60-64","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Property","Unknown","5","5","[c]","[c]"
"In post","2023","60-64","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","60-64","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Policy","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Security","905","825","30590","24430"
"In post","2023","60-64","Security","Unknown","40","35","27650","25290"
"In post","2023","60-64","Unknown","Communications","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Digital, Data and Technology","15","15","42040","39690"
"In post","2023","60-64","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Finance","25","20","43080","39690"
"In post","2023","60-64","Unknown","Human Resources","15","15","33530","27890"
"In post","2023","60-64","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Knowledge and Information Management","10","10","36430","30610"
"In post","2023","60-64","Unknown","Legal","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Medicine","15","15","55890","49370"
"In post","2023","60-64","Unknown","Operational Delivery","180","155","41910","39690"
"In post","2023","60-64","Unknown","Other","230","215","46640","42760"
"In post","2023","60-64","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Policy","195","170","47690","43760"
"In post","2023","60-64","Unknown","Project Delivery","10","10","[c]","[c]"
"In post","2023","60-64","Unknown","Property","5","5","[c]","[c]"
"In post","2023","60-64","Unknown","Science and Engineering","95","75","47120","49260"
"In post","2023","60-64","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Unknown","980","870","42160","36940"
"In post","2023","60-64","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Economics","5","5","[c]","[c]"
"In post","2023","65+","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Operational Delivery","20","15","28410","28420"
"In post","2023","65+","Analysis","Operational Research","10","5","[c]","[c]"
"In post","2023","65+","Analysis","Other","10","10","62890","43850"
"In post","2023","65+","Analysis","Planning","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Science and Engineering","25","15","48440","49260"
"In post","2023","65+","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","Statistics","25","20","48730","39400"
"In post","2023","65+","Commercial","Commercial","85","75","46830","43330"
"In post","2023","65+","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","Operational Delivery","10","10","54010","51720"
"In post","2023","65+","Commercial","Other","5","5","[c]","[c]"
"In post","2023","65+","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","Communications","40","35","36100","33990"
"In post","2023","65+","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Counter Fraud","Counter Fraud","355","240","30490","28120"
"In post","2023","65+","Counter Fraud","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
