"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Home Office","London","SEO/HEO","4925","4795","40130","38840"
"In post","2023","Home Office","London","Unknown","40","35","[c]","[c]"
"In post","2023","Home Office","Outside London","AA/AO","7445","6710","22260","22400"
"In post","2023","Home Office","Outside London","EO","12850","11990","26600","25880"
"In post","2023","Home Office","Outside London","G6/G7","1450","1420","57960","54260"
"In post","2023","Home Office","Outside London","SCS level","60","60","88920","82500"
"In post","2023","Home Office","Outside London","SEO/HEO","6350","6130","35100","32310"
"In post","2023","Home Office","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Home Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Home Office","Overseas","EO","15","15","27070","26810"
"In post","2023","Home Office","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2023","Home Office","Overseas","SCS level","5","5","[c]","[c]"
"In post","2023","Home Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Home Office","Overseas","Unknown","125","125","[c]","[c]"
"In post","2023","Home Office","Unknown","AA/AO","20","20","22400","22400"
"In post","2023","Home Office","Unknown","EO","165","140","28210","26780"
"In post","2023","Home Office","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Home Office","Unknown","SEO/HEO","15","15","37270","35200"
"In post","2023","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","London","EO","5","5","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","London","G6/G7","65","60","59210","55560"
"In post","2023","Institute for Apprenticeships and Technical Education","London","SCS level","10","10","95690","87140"
"In post","2023","Institute for Apprenticeships and Technical Education","London","SEO/HEO","30","30","40030","41680"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","G6/G7","115","110","53680","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Outside London","SEO/HEO","100","95","36290","37710"
"In post","2023","Intellectual Property Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Intellectual Property Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Intellectual Property Office","London","G6/G7","25","20","65400","63910"
"In post","2023","Intellectual Property Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Intellectual Property Office","London","SEO/HEO","30","30","42690","45040"
"In post","2023","Intellectual Property Office","Outside London","AA/AO","195","175","22940","23100"
"In post","2023","Intellectual Property Office","Outside London","EO","440","415","26920","25040"
"In post","2023","Intellectual Property Office","Outside London","G6/G7","395","375","62530","61980"
"In post","2023","Intellectual Property Office","Outside London","SCS level","20","20","78070","75670"
"In post","2023","Intellectual Property Office","Outside London","SEO/HEO","585","560","40400","41590"
"In post","2023","Legal Aid Agency","London","AA/AO","15","15","25280","25480"
"In post","2023","Legal Aid Agency","London","EO","25","25","30570","30880"
"In post","2023","Legal Aid Agency","London","G6/G7","40","40","63010","58990"
"In post","2023","Legal Aid Agency","London","SCS level","5","5","[c]","[c]"
"In post","2023","Legal Aid Agency","London","SEO/HEO","65","60","43020","43650"
"In post","2023","Legal Aid Agency","Outside London","AA/AO","420","375","21680","21780"
"In post","2023","Legal Aid Agency","Outside London","EO","315","295","26050","25830"
"In post","2023","Legal Aid Agency","Outside London","G6/G7","60","60","59330","56130"
"In post","2023","Legal Aid Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Outside London","SEO/HEO","235","225","35440","33800"
"In post","2023","Legal Aid Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","London","EO","5","5","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","Outside London","AA/AO","240","225","22580","22500"
"In post","2023","Maritime and Coastguard Agency","Outside London","EO","230","225","27200","26960"
"In post","2023","Maritime and Coastguard Agency","Outside London","G6/G7","170","165","56750","57000"
"In post","2023","Maritime and Coastguard Agency","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","Outside London","SEO/HEO","540","530","37340","36970"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","AA/AO","15","15","24060","24520"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","EO","135","130","28440","28220"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","G6/G7","280","275","60690","55290"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","SCS level","105","100","86930","83000"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","London","SEO/HEO","315","310","38860","41190"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","EO","35","35","28240","28500"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","G6/G7","130","130","59830","55240"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","SCS level","20","20","87040","88210"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Outside London","SEO/HEO","135","130","39780","41190"
"In post","2023","Met Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Met Office","London","G6/G7","10","10","50950","47960"
"In post","2023","Met Office","London","SEO/HEO","20","20","34930","33910"
"In post","2023","Met Office","Outside London","AA/AO","135","135","20070","20660"
"In post","2023","Met Office","Outside London","EO","215","205","25880","26100"
"In post","2023","Met Office","Outside London","G6/G7","645","610","51560","48080"
"In post","2023","Met Office","Outside London","SCS level","10","10","105630","96010"
"In post","2023","Met Office","Outside London","SEO/HEO","1230","1160","37100","37420"
"In post","2023","Met Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Met Office","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Met Office","Overseas","SEO/HEO","25","25","36000","37420"
"In post","2023","Ministry of Defence (excl. agencies)","London","AA/AO","680","660","27080","26560"
"In post","2023","Ministry of Defence (excl. agencies)","London","EO","520","510","31920","31020"
"In post","2023","Ministry of Defence (excl. agencies)","London","G6/G7","860","845","63370","61440"
"In post","2023","Ministry of Defence (excl. agencies)","London","SCS level","195","190","92740","82920"
"In post","2023","Ministry of Defence (excl. agencies)","London","SEO/HEO","1815","1785","42940","45130"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","AA/AO","13170","12610","24500","22220"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","EO","6295","6115","29180","27470"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","G6/G7","2540","2430","62100","56730"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","SCS level","190","180","91360","85790"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","SEO/HEO","10295","9995","38550","36830"
"In post","2023","Ministry of Defence (excl. agencies)","Outside London","Unknown","65","60","45290","40000"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","AA/AO","30","30","33360","31870"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","EO","110","110","39430","37380"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","G6/G7","105","105","82410","81690"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","SCS level","10","10","[c]","[c]"
"In post","2023","Ministry of Defence (excl. agencies)","Overseas","SEO/HEO","420","415","53900","53740"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","AA/AO","15","15","22170","22220"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","Ministry of Defence (excl. agencies)","Unknown","SEO/HEO","15","15","47130","48540"
"In post","2023","Ministry of Justice (excl. agencies)","London","AA/AO","120","115","25320","25480"
"In post","2023","Ministry of Justice (excl. agencies)","London","EO","470","460","29870","29660"
"In post","2023","Ministry of Justice (excl. agencies)","London","G6/G7","1330","1290","61470","60150"
"In post","2023","Ministry of Justice (excl. agencies)","London","SCS level","135","130","89170","82450"
"In post","2023","Ministry of Justice (excl. agencies)","London","SEO/HEO","2025","1980","40640","43650"
"In post","2023","Ministry of Justice (excl. agencies)","London","Unknown","15","15","39970","35030"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","AA/AO","195","180","21830","21780"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","EO","360","345","26210","25830"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","G6/G7","720","705","56950","54870"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","SCS level","30","30","89130","82700"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","SEO/HEO","1685","1645","35830","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Outside London","Unknown","35","30","36890","37990"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","Unknown","SEO/HEO","10","10","37790","38050"
"In post","2023","National Crime Agency","London","AA/AO","70","65","28310","26550"
"In post","2023","National Crime Agency","London","EO","560","550","38280","38790"
"In post","2023","National Crime Agency","London","G6/G7","200","195","68510","67680"
"In post","2023","National Crime Agency","London","SCS level","25","25","108730","96240"
"In post","2023","National Crime Agency","London","SEO/HEO","710","700","47800","49200"
"In post","2023","National Crime Agency","Outside London","AA/AO","145","130","24990","24390"
"In post","2023","National Crime Agency","Outside London","EO","1825","1770","35540","36040"
"In post","2023","National Crime Agency","Outside London","G6/G7","205","200","64400","62890"
"In post","2023","National Crime Agency","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","National Crime Agency","Outside London","SEO/HEO","1585","1550","44330","45610"
"In post","2023","National Crime Agency","Overseas","EO","5","5","[c]","[c]"
"In post","2023","National Crime Agency","Overseas","G6/G7","15","15","66720","67840"
"In post","2023","National Crime Agency","Overseas","SEO/HEO","105","105","46260","47380"
"In post","2023","National Crime Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","National Crime Agency","Unknown","EO","15","15","36150","36950"
"In post","2023","National Crime Agency","Unknown","G6/G7","10","10","64290","67160"
"In post","2023","National Crime Agency","Unknown","SEO/HEO","80","75","47640","47380"
"In post","2023","National Infrastructure Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","London","G6/G7","30","25","59380","55080"
"In post","2023","National Infrastructure Commission","London","SCS level","5","5","[c]","[c]"
"In post","2023","National Infrastructure Commission","London","SEO/HEO","10","10","36070","33250"
"In post","2023","National Infrastructure Commission","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","Outside London","AA/AO","150","140","25100","24890"
"In post","2023","National Records of Scotland","Outside London","EO","70","65","31860","31940"
"In post","2023","National Records of Scotland","Outside London","G6/G7","55","55","66820","65280"
"In post","2023","National Records of Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","National Records of Scotland","Outside London","SEO/HEO","180","170","41950","41640"
"In post","2023","National Savings and Investments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","London","EO","15","10","30290","30790"
"In post","2023","National Savings and Investments","London","G6/G7","65","65","61070","58510"
"In post","2023","National Savings and Investments","London","SCS level","15","15","106870","106590"
"In post","2023","National Savings and Investments","London","SEO/HEO","55","55","42680","44040"
"In post","2023","National Savings and Investments","Outside London","EO","10","10","[c]","[c]"
"In post","2023","National Savings and Investments","Outside London","G6/G7","25","25","56580","53760"
"In post","2023","National Savings and Investments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","Outside London","SEO/HEO","30","30","42010","42220"
"In post","2023","Northern Ireland Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","London","EO","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","London","G6/G7","30","30","58340","56080"
"In post","2023","Northern Ireland Office","London","SCS level","15","15","91400","78840"
"In post","2023","Northern Ireland Office","London","SEO/HEO","35","35","41110","43650"
"In post","2023","Northern Ireland Office","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","Outside London","G6/G7","15","15","53650","51770"
"In post","2023","Northern Ireland Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Outside London","SEO/HEO","50","50","36040","37680"
"In post","2023","Office for Budget Responsibility","London","EO","5","5","[c]","[c]"
"In post","2023","Office for Budget Responsibility","London","G6/G7","25","25","60830","56660"
"In post","2023","Office for Budget Responsibility","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office for Budget Responsibility","London","SEO/HEO","15","15","38480","39000"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","EO","35","35","30120","30340"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","G6/G7","120","115","71980","72470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","SCS level","10","10","115950","114620"
"In post","2023","Office for Standards in Education, Children's Services and Skills","London","SEO/HEO","140","140","43640","44250"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","AA/AO","200","180","22340","22490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","EO","185","175","27050","27140"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","G6/G7","600","595","75440","77470"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","SCS level","20","20","105170","96320"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Outside London","SEO/HEO","720","695","44820","47750"
"In post","2023","Office of Gas and Electricity Markets","London","AA/AO","15","15","22900","22370"
"In post","2023","Office of Gas and Electricity Markets","London","EO","175","170","28080","26910"
"In post","2023","Office of Gas and Electricity Markets","London","G6/G7","405","400","61080","60000"
"In post","2023","Office of Gas and Electricity Markets","London","SCS level","50","50","100070","92820"
"In post","2023","Office of Gas and Electricity Markets","London","SEO/HEO","220","220","38330","37500"
"In post","2023","Office of Gas and Electricity Markets","Outside London","AA/AO","25","25","21000","20970"
"In post","2023","Office of Gas and Electricity Markets","Outside London","EO","210","205","25040","24510"
"In post","2023","Office of Gas and Electricity Markets","Outside London","G6/G7","255","250","55300","55000"
"In post","2023","Office of Gas and Electricity Markets","Outside London","SCS level","10","10","89060","86350"
"In post","2023","Office of Gas and Electricity Markets","Outside London","SEO/HEO","190","190","34780","33150"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","EO","25","25","24750","24000"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","G6/G7","125","120","53990","50050"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","SCS level","20","20","93430","87430"
"In post","2023","Office of Qualifications and Examinations Regulation","Outside London","SEO/HEO","170","160","36530","37590"
"In post","2023","Office of Rail and Road","London","AA/AO","10","10","24590","24210"
"In post","2023","Office of Rail and Road","London","EO","20","20","31780","30720"
"In post","2023","Office of Rail and Road","London","G6/G7","110","105","64600","63240"
"In post","2023","Office of Rail and Road","London","SCS level","15","15","109240","98510"
"In post","2023","Office of Rail and Road","London","SEO/HEO","50","50","41660","43520"
"In post","2023","Office of Rail and Road","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Office of Rail and Road","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Office of Rail and Road","Outside London","G6/G7","100","95","60330","60320"
"In post","2023","Office of Rail and Road","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Office of Rail and Road","Outside London","SEO/HEO","45","45","38370","39430"
"In post","2023","Office of the Public Guardian","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","Outside London","AA/AO","1015","925","21770","21780"
"In post","2023","Office of the Public Guardian","Outside London","EO","425","410","25870","25830"
"In post","2023","Office of the Public Guardian","Outside London","G6/G7","20","20","54200","51770"
"In post","2023","Office of the Public Guardian","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Public Guardian","Outside London","SEO/HEO","175","170","33330","31270"
"In post","2023","Office of the Public Guardian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","EO","15","15","30490","29450"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Scottish Charity Regulator","Outside London","SEO/HEO","15","15","41420","40590"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","EO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","G6/G7","15","15","59640","56320"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","SEO/HEO","15","15","39000","35410"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","AA/AO","10","10","24210","24890"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","G6/G7","40","40","62450","63190"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","SEO/HEO","20","20","43820","42860"
"In post","2023","Office of the Secretary of State for Wales","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","SEO/HEO","10","10","34640","33390"
"In post","2023","Planning Inspectorate","London","G6/G7","30","25","61320","60050"
"In post","2023","Planning Inspectorate","Outside London","AA/AO","145","130","22240","21960"
"In post","2023","Planning Inspectorate","Outside London","EO","85","80","27100","26590"
"In post","2023","Planning Inspectorate","Outside London","G6/G7","465","420","59390","60050"
"In post","2023","Planning Inspectorate","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Planning Inspectorate","Outside London","SEO/HEO","155","145","36440","33450"
"In post","2023","Queen Elizabeth II Centre","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","London","EO","10","10","30320","30000"
"In post","2023","Queen Elizabeth II Centre","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Queen Elizabeth II Centre","London","SEO/HEO","25","25","41460","40800"
"In post","2023","Registers of Scotland","Outside London","AA/AO","350","330","26130","26410"
"In post","2023","Registers of Scotland","Outside London","EO","360","340","32190","32510"
"In post","2023","Registers of Scotland","Outside London","G6/G7","70","70","64870","65100"
"In post","2023","Registers of Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Registers of Scotland","Outside London","SEO/HEO","405","395","41920","39590"
"In post","2023","Revenue Scotland","Outside London","AA/AO","10","10","25680","25710"
"In post","2023","Revenue Scotland","Outside London","EO","20","20","30710","30440"
"In post","2023","Revenue Scotland","Outside London","G6/G7","20","20","66060","65280"
"In post","2023","Revenue Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Revenue Scotland","Outside London","SEO/HEO","35","35","41750","38330"
"In post","2023","Royal Fleet Auxiliary","Unknown","Unknown","1695","1695","41950","40010"
"In post","2023","Rural Payments Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Rural Payments Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Rural Payments Agency","Outside London","AA/AO","1425","1300","22130","22150"
"In post","2023","Rural Payments Agency","Outside London","EO","700","655","26090","25920"
"In post","2023","Rural Payments Agency","Outside London","G6/G7","125","120","53220","50360"
"In post","2023","Rural Payments Agency","Outside London","SCS level","10","10","81580","75130"
"In post","2023","Rural Payments Agency","Outside London","SEO/HEO","550","520","33630","31740"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","AA/AO","990","870","23760","23190"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","EO","530","495","30980","31970"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","G6/G7","80","75","61250","62340"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Scottish Courts and Tribunals Service","Outside London","SEO/HEO","360","340","40400","38170"
"In post","2023","Scottish Fiscal Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Fiscal Commission","Outside London","SEO/HEO","15","15","41710","41640"
"In post","2023","Scottish Forestry","Outside London","AA/AO","50","50","26550","26220"
"In post","2023","Scottish Forestry","Outside London","EO","60","60","32840","32220"
"In post","2023","Scottish Forestry","Outside London","G6/G7","20","20","62880","62270"
"In post","2023","Scottish Forestry","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Forestry","Outside London","SEO/HEO","85","80","42860","41500"
"In post","2023","Scottish Government (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","Outside London","AA/AO","920","880","26530","26600"
"In post","2023","Scottish Government (excl. agencies)","Outside London","EO","1210","1160","30970","30440"
"In post","2023","Scottish Government (excl. agencies)","Outside London","G6/G7","2545","2435","66320","65280"
"In post","2023","Scottish Government (excl. agencies)","Outside London","SCS level","230","220","91220","85200"
"In post","2023","Scottish Government (excl. agencies)","Outside London","SEO/HEO","4235","4070","42040","41640"
"In post","2023","Scottish Government (excl. agencies)","Overseas","G6/G7","10","10","84510","84250"
"In post","2023","Scottish Government (excl. agencies)","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government (excl. agencies)","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Outside London","G6/G7","25","25","67830","65280"
"In post","2023","Scottish Housing Regulator","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Housing Regulator","Outside London","SEO/HEO","25","25","44500","49860"
"In post","2023","Scottish Prison Service","Outside London","AA/AO","1560","1475","26620","26930"
"In post","2023","Scottish Prison Service","Outside London","EO","2150","2030","36120","37060"
"In post","2023","Scottish Prison Service","Outside London","G6/G7","145","140","64490","59140"
"In post","2023","Scottish Prison Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Prison Service","Outside London","SEO/HEO","680","610","44410","42590"
"In post","2023","Scottish Public Pensions Agency","Outside London","AA/AO","195","185","26800","26600"
"In post","2023","Scottish Public Pensions Agency","Outside London","EO","85","80","30720","30440"
"In post","2023","Scottish Public Pensions Agency","Outside London","G6/G7","20","20","63340","65280"
"In post","2023","Scottish Public Pensions Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Public Pensions Agency","Outside London","SEO/HEO","65","65","39590","38330"
"In post","2023","Serious Fraud Office","London","AA/AO","10","10","24290","24940"
"In post","2023","Serious Fraud Office","London","EO","75","75","28390","27280"
"In post","2023","Serious Fraud Office","London","G6/G7","180","175","63140","60630"
"In post","2023","Serious Fraud Office","London","SCS level","15","15","102770","90000"
"In post","2023","Serious Fraud Office","London","SEO/HEO","175","175","39720","40000"
"In post","2023","Social Security Scotland","Outside London","AA/AO","1365","1285","23180","22180"
"In post","2023","Social Security Scotland","Outside London","EO","1515","1465","29610","29100"
"In post","2023","Social Security Scotland","Outside London","G6/G7","205","200","65330","65280"
"In post","2023","Social Security Scotland","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Social Security Scotland","Outside London","SEO/HEO","940","905","38800","37830"
"In post","2023","Standards and Testing Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Standards and Testing Agency","London","G6/G7","10","10","60430","56040"
"In post","2023","Standards and Testing Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Standards and Testing Agency","London","SEO/HEO","25","25","43180","46600"
"In post","2023","Standards and Testing Agency","Outside London","EO","10","10","26300","25900"
"In post","2023","Standards and Testing Agency","Outside London","G6/G7","20","20","53960","51780"
"In post","2023","Standards and Testing Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Standards and Testing Agency","Outside London","SEO/HEO","55","50","35980","37590"
"In post","2023","Student Awards Agency for Scotland","Outside London","AA/AO","115","110","23970","24890"
"In post","2023","Student Awards Agency for Scotland","Outside London","EO","65","65","31130","30440"
"In post","2023","Student Awards Agency for Scotland","Outside London","G6/G7","15","15","67720","67780"
"In post","2023","Student Awards Agency for Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Student Awards Agency for Scotland","Outside London","SEO/HEO","65","65","42420","41640"
"In post","2023","Submarine Delivery Agency","Outside London","Unknown","2065","2010","43210","41200"
"In post","2023","Submarine Delivery Agency","Overseas","Unknown","25","25","52350","43590"
"In post","2023","Teaching Regulation Agency","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Teaching Regulation Agency","Outside London","EO","30","30","26340","25900"
"In post","2023","Teaching Regulation Agency","Outside London","G6/G7","5","5","[c]","[c]"
