"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Commercial","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","40-49","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Crown Commercial Service","Cabinet Office","80","75","39180","40450"
"In post","2023","40-49","Commercial","Crown Prosecution Service","Attorney General's Departments","10","10","45840","39510"
"In post","2023","40-49","Commercial","Defence Electronics and Components Agency","Ministry of Defence","10","10","31740","34680"
"In post","2023","40-49","Commercial","Defence Equipment and Support","Ministry of Defence","220","210","45870","43400"
"In post","2023","40-49","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","20","15","34100","36210"
"In post","2023","40-49","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Department for Education (excl. agencies)","Department for Education","85","85","44650","41590"
"In post","2023","40-49","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","50","50","36510","37300"
"In post","2023","40-49","Commercial","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Department for Transport (excl. agencies)","Department for Transport","35","35","58800","56340"
"In post","2023","40-49","Commercial","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","40-49","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","20","20","45510","41950"
"In post","2023","40-49","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","65","60","36150","32950"
"In post","2023","40-49","Commercial","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","20","20","49550","45370"
"In post","2023","40-49","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","15","15","45540","44450"
"In post","2023","40-49","Commercial","Government Commercial Organisation","Cabinet Office","510","505","75520","69150"
"In post","2023","40-49","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","30","30","40350","42100"
"In post","2023","40-49","Commercial","Health and Safety Executive","Department for Work and Pensions","15","15","42940","42680"
"In post","2023","40-49","Commercial","Home Office","Home Office","35","35","42020","43210"
"In post","2023","40-49","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","40-49","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","50","45","47210","47960"
"In post","2023","40-49","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","200","190","39430","38680"
"In post","2023","40-49","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","50","50","36000","35410"
"In post","2023","40-49","Commercial","National Crime Agency","National Crime Agency","10","10","[c]","[c]"
"In post","2023","40-49","Commercial","National Savings and Investments","Chancellor's other departments","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Scottish Prison Service","Scottish Government","20","15","32760","28490"
"In post","2023","40-49","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Submarine Delivery Agency","Ministry of Defence","35","30","45340","42620"
"In post","2023","40-49","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2023","40-49","Commercial","UK Export Finance","UK Export Finance","45","45","60480","61670"
"In post","2023","40-49","Commercial","UK Health Security Agency","Department of Health and Social Care","30","30","51080","52220"
"In post","2023","40-49","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","UK Statistics Authority","UK Statistics Authority","15","15","46560","51460"
"In post","2023","40-49","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Cabinet Office (excl. agencies)","Cabinet Office","45","40","62260","56430"
"In post","2023","40-49","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Charity Commission","Charity Commission","10","10","51600","52240"
"In post","2023","40-49","Communications","Companies House","Department for Business, Energy and Industrial Strategy","10","10","44270","43330"
"In post","2023","40-49","Communications","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2023","40-49","Communications","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Crown Prosecution Service","Attorney General's Departments","15","15","48120","43010"
"In post","2023","40-49","Communications","Defence Equipment and Support","Ministry of Defence","10","10","44230","39850"
"In post","2023","40-49","Communications","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","20","15","51170","49050"
"In post","2023","40-49","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","40-49","Communications","Department for Education (excl. agencies)","Department for Education","65","60","47770","43860"
"In post","2023","40-49","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","65","60","46860","41630"
"In post","2023","40-49","Communications","Department for International Trade","Department for International Trade","20","20","62400","59170"
"In post","2023","40-49","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","20","20","59950","54630"
"In post","2023","40-49","Communications","Department for Transport (excl. agencies)","Department for Transport","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","65","60","47410","43760"
"In post","2023","40-49","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","10","55760","54690"
"In post","2023","40-49","Communications","Driver and Vehicle Licensing Agency","Department for Transport","20","20","31460","27450"
"In post","2023","40-49","Communications","Driver and Vehicle Standards Agency","Department for Transport","15","15","38910","39630"
"In post","2023","40-49","Communications","Education and Skills Funding Agency","Department for Education","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Food Standards Agency","Food Standards Agency","15","15","50220","41970"
"In post","2023","40-49","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","25","25","54930","51400"
"In post","2023","40-49","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2023","40-49","Communications","HM Prison and Probation Service","Ministry of Justice","15","15","51740","51940"
"In post","2023","40-49","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","65","65","53160","52600"
"In post","2023","40-49","Communications","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Health and Safety Executive","Department for Work and Pensions","15","15","48670","40840"
"In post","2023","40-49","Communications","Home Office","Home Office","20","20","55300","56770"
"In post","2023","40-49","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","43940","41240"
"In post","2023","40-49","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","20","20","47560","41480"
"In post","2023","40-49","Communications","Met Office","Department for Business, Energy and Industrial Strategy","10","5","[c]","[c]"
"In post","2023","40-49","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","110","105","38740","34300"
"In post","2023","40-49","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","45","45","53380","48070"
"In post","2023","40-49","Communications","National Crime Agency","National Crime Agency","15","15","49860","47900"
"In post","2023","40-49","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","National Savings and Investments","Chancellor's other departments","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","10","10","59620","64680"
"In post","2023","40-49","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","25","25","56550","52280"
"In post","2023","40-49","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Office of Rail and Road","Office of Rail and Road","10","10","49170","45710"
"In post","2023","40-49","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","40-49","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","20","15","34190","31110"
"In post","2023","40-49","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2023","40-49","Communications","UK Export Finance","UK Export Finance","15","15","62190","63110"
"In post","2023","40-49","Communications","UK Health Security Agency","Department of Health and Social Care","25","25","53190","50080"
"In post","2023","40-49","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","UK Statistics Authority","UK Statistics Authority","25","20","47490","38990"
"In post","2023","40-49","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Valuation Office Agency","HM Revenue and Customs","10","10","47830","39830"
"In post","2023","40-49","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","40","40","53670","56430"
"In post","2023","40-49","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","40","35","28110","25610"
"In post","2023","40-49","Counter Fraud","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1330","1235","29670","28120"
"In post","2023","40-49","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2190","2100","37820","35000"
"In post","2023","40-49","Counter Fraud","Home Office","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Ministry of Defence (excl. agencies)","Ministry of Defence","5","5","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Counter Fraud","Serious Fraud Office","Attorney General's Departments","50","50","49890","43230"
"In post","2023","40-49","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","85","85","39860","40280"
"In post","2023","40-49","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","555","475","23380","21690"
"In post","2023","40-49","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","900","820","25890","22520"
"In post","2023","40-49","Debt","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","20","20","52720","51810"
"In post","2023","40-49","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","10","10","34460","30480"
"In post","2023","40-49","Digital, Data & Technology","Building Digital UK","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","340","330","56840","56430"
"In post","2023","40-49","Digital, Data & Technology","Central Civil Service Fast Stream","Cabinet Office","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","15","15","37440","37310"
"In post","2023","40-49","Digital, Data & Technology","Charity Commission","Charity Commission","25","25","40690","38800"
"In post","2023","40-49","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","70","70","41670","39250"
"In post","2023","40-49","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","15","15","66820","70120"
"In post","2023","40-49","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","35","35","51360","52990"
"In post","2023","40-49","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","20","20","50460","48440"
"In post","2023","40-49","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","65","65","43110","39510"
"In post","2023","40-49","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","105","100","41660","38790"
"In post","2023","40-49","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","35","35","49440","48500"
"In post","2023","40-49","Digital, Data & Technology","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","275","265","46560","44980"
"In post","2023","40-49","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","295","285","46110","49400"
"In post","2023","40-49","Digital, Data & Technology","Department for International Trade","Department for International Trade","45","45","56440","52220"
"In post","2023","40-49","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","45","40","56690","54630"
"In post","2023","40-49","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","35","35","47460","43320"
"In post","2023","40-49","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1155","1125","46370","40950"
"In post","2023","40-49","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","54350","54670"
"In post","2023","40-49","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","245","240","44980","42050"
"In post","2023","40-49","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","60","60","41560","39630"
"In post","2023","40-49","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","35","30","46960","51360"
"In post","2023","40-49","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","20","20","50090","47200"
"In post","2023","40-49","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","15","15","44260","41160"
"In post","2023","40-49","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","100","95","48540","45230"
"In post","2023","40-49","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","10","10","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","105","105","42830","37680"
"In post","2023","40-49","Digital, Data & Technology","HM Land Registry","HM Land Registry","185","180","42960","41680"
"In post","2023","40-49","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","990","970","46490","42140"
"In post","2023","40-49","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","10","10","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","20","20","42360","40790"
"In post","2023","40-49","Digital, Data & Technology","Home Office","Home Office","440","435","51150","46660"
"In post","2023","40-49","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","10","10","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","75","75","52190","49670"
"In post","2023","40-49","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","20","20","37890","33850"
"In post","2023","40-49","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","25","25","58230","54720"
"In post","2023","40-49","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","380","355","42460","40040"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","560","545","37410","34300"
"In post","2023","40-49","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","330","325","51970","52930"
"In post","2023","40-49","Digital, Data & Technology","National Crime Agency","National Crime Agency","75","70","46950","45500"
"In post","2023","40-49","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","40","35","48380","41050"
"In post","2023","40-49","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","40","40","50170","46160"
"In post","2023","40-49","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","10","10","46800","43820"
"In post","2023","40-49","Digital, Data & Technology","Registers of Scotland","Scottish Government","20","20","45320","42350"
"In post","2023","40-49","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","20","20","41900","39370"
"In post","2023","40-49","Digital, Data & Technology","Scottish Prison Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","15","15","51660","46860"
"In post","2023","40-49","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","15","15","35950","33990"
"In post","2023","40-49","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","20","20","49740","46580"
"In post","2023","40-49","Digital, Data & Technology","The National Archives","The National Archives","40","40","44540","45900"
"In post","2023","40-49","Digital, Data & Technology","UK Debt Management Office","HM Treasury","10","10","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","UK Export Finance","UK Export Finance","15","15","57620","54250"
"In post","2023","40-49","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","85","80","53440","52000"
"In post","2023","40-49","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","55","55","48520","45890"
"In post","2023","40-49","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","225","225","47440","51460"
"In post","2023","40-49","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","40-49","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","5","[c]","[c]"
"In post","2023","40-49","Finance","Cabinet Office (excl. agencies)","Cabinet Office","25","25","48640","51290"
"In post","2023","40-49","Finance","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Companies House","Department for Business, Energy and Industrial Strategy","20","15","36230","31350"
"In post","2023","40-49","Finance","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Crown Commercial Service","Cabinet Office","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Crown Office and Procurator Fiscal Service","Scottish Government","5","5","[c]","[c]"
"In post","2023","40-49","Finance","Crown Prosecution Service","Attorney General's Departments","30","30","34780","32000"
"In post","2023","40-49","Finance","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","Defence Equipment and Support","Ministry of Defence","90","85","49270","44230"
"In post","2023","40-49","Finance","Defence Science and Technology Laboratory","Ministry of Defence","20","15","46100","46630"
"In post","2023","40-49","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","40","40","56670","59620"
"In post","2023","40-49","Finance","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","20","20","59560","58830"
"In post","2023","40-49","Finance","Department for Education (excl. agencies)","Department for Education","125","120","49230","44410"
"In post","2023","40-49","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","140","135","46440","49400"
"In post","2023","40-49","Finance","Department for International Trade","Department for International Trade","20","20","55040","55430"
"In post","2023","40-49","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","40","35","54240","54630"
"In post","2023","40-49","Finance","Department for Transport (excl. agencies)","Department for Transport","35","35","56010","55340"
"In post","2023","40-49","Finance","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","535","510","41400","38470"
"In post","2023","40-49","Finance","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","40","40","53440","52780"
"In post","2023","40-49","Finance","Driver and Vehicle Licensing Agency","Department for Transport","40","35","38150","39630"
"In post","2023","40-49","Finance","Driver and Vehicle Standards Agency","Department for Transport","40","35","37960","33510"
"In post","2023","40-49","Finance","Education and Skills Funding Agency","Department for Education","65","65","48400","43790"
"In post","2023","40-49","Finance","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Finance","FCDO Services","Foreign, Commonwealth and Development Office","10","10","45380","36730"
"In post","2023","40-49","Finance","Food Standards Agency","Food Standards Agency","15","15","49620","52330"
"In post","2023","40-49","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","125","120","46310","41250"
"In post","2023","40-49","Finance","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
