"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Ministry of Defence","Durham","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Ealing","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","East Ayrshire and North Ayrshire mainland","Female","60","55","27370","23430"
"In post","2023","Ministry of Defence","East Ayrshire and North Ayrshire mainland","Male","225","220","29220","28600"
"In post","2023","Ministry of Defence","East Cumbria","Female","35","35","24560","22220"
"In post","2023","Ministry of Defence","East Cumbria","Male","110","105","26590","22360"
"In post","2023","Ministry of Defence","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","400","380","31480","27140"
"In post","2023","Ministry of Defence","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","1230","1200","34870","33990"
"In post","2023","Ministry of Defence","East Kent","Female","40","40","31060","24680"
"In post","2023","Ministry of Defence","East Kent","Male","75","75","27850","27470"
"In post","2023","Ministry of Defence","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Merseyside","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","East Merseyside","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","East Riding of Yorkshire","Female","100","95","25580","22330"
"In post","2023","Ministry of Defence","East Riding of Yorkshire","Male","355","345","29350","27470"
"In post","2023","Ministry of Defence","East Surrey","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","East Sussex CC","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Essex Haven Gateway","Female","105","100","31460","27470"
"In post","2023","Ministry of Defence","Essex Haven Gateway","Male","110","110","33800","28680"
"In post","2023","Ministry of Defence","Falkirk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Fermanagh and Omagh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Fermanagh and Omagh","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Flintshire and Wrexham","Female","90","85","31190","27250"
"In post","2023","Ministry of Defence","Flintshire and Wrexham","Male","360","350","30670","30060"
"In post","2023","Ministry of Defence","Glasgow City","Female","500","465","27520","22330"
"In post","2023","Ministry of Defence","Glasgow City","Male","440","430","30850","27140"
"In post","2023","Ministry of Defence","Gloucestershire CC","Female","155","150","30300","27300"
"In post","2023","Ministry of Defence","Gloucestershire CC","Male","180","175","34250","31470"
"In post","2023","Ministry of Defence","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester North East","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Greater Manchester South West","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Gwent Valleys","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Gwent Valleys","Male","10","5","[c]","[c]"
"In post","2023","Ministry of Defence","Gwynedd","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Gwynedd","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Hackney and Newham","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Haringey and Islington","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Harrow and Hillingdon","Female","120","115","32120","27200"
"In post","2023","Ministry of Defence","Harrow and Hillingdon","Male","205","205","31840","27200"
"In post","2023","Ministry of Defence","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Hartlepool and Stockton-on-Tees","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Heart of Essex","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Herefordshire, County of","Female","145","140","27150","22220"
"In post","2023","Ministry of Defence","Herefordshire, County of","Male","175","175","29780","27110"
"In post","2023","Ministry of Defence","Hertfordshire CC","Female","245","240","42760","38680"
"In post","2023","Ministry of Defence","Hertfordshire CC","Male","230","230","44260","42750"
"In post","2023","Ministry of Defence","Hounslow and Richmond upon Thames","Female","85","80","33910","32250"
"In post","2023","Ministry of Defence","Hounslow and Richmond upon Thames","Male","165","160","33660","30220"
"In post","2023","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","145","140","28000","22220"
"In post","2023","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","185","180","26580","22220"
"In post","2023","Ministry of Defence","Isle of Anglesey","Female","40","40","27520","22330"
"In post","2023","Ministry of Defence","Isle of Anglesey","Male","50","45","29790","27470"
"In post","2023","Ministry of Defence","Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","Female","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Kingston upon Hull, City of","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Kingston upon Hull, City of","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Lancaster and Wyre","Female","365","330","28980","27470"
"In post","2023","Ministry of Defence","Lancaster and Wyre","Male","185","180","31820","27470"
"In post","2023","Ministry of Defence","Leeds","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Leeds","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Leicestershire CC and Rutland","Female","115","110","26200","22220"
"In post","2023","Ministry of Defence","Leicestershire CC and Rutland","Male","55","55","28880","27300"
"In post","2023","Ministry of Defence","Lewisham and Southwark","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Lewisham and Southwark","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Lincolnshire CC","Female","525","500","28320","22330"
"In post","2023","Ministry of Defence","Lincolnshire CC","Male","560","550","31620","29270"
"In post","2023","Ministry of Defence","Lisburn and Castlereagh","Female","135","130","28030","22970"
"In post","2023","Ministry of Defence","Lisburn and Castlereagh","Male","185","180","30780","24180"
"In post","2023","Ministry of Defence","Liverpool","Female","160","145","27970","22330"
"In post","2023","Ministry of Defence","Liverpool","Male","165","160","29780","27140"
"In post","2023","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Manchester","Female","40","35","32150","33540"
"In post","2023","Ministry of Defence","Manchester","Male","70","65","40560","41200"
"In post","2023","Ministry of Defence","Medway","Female","60","55","28710","24710"
"In post","2023","Ministry of Defence","Medway","Male","40","35","29760","27110"
"In post","2023","Ministry of Defence","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Merton, Kingston upon Thames and Sutton","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Mid Kent","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Mid Kent","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Mid Lancashire","Female","65","60","31120","23360"
"In post","2023","Ministry of Defence","Mid Lancashire","Male","65","60","32150","27750"
"In post","2023","Ministry of Defence","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Monmouthshire and Newport","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Monmouthshire and Newport","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Newry, Mourne and Down","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Newry, Mourne and Down","Male","60","60","22620","22130"
"In post","2023","Ministry of Defence","North Hampshire","Female","280","265","32360","27470"
"In post","2023","Ministry of Defence","North Hampshire","Male","225","220","33900","33990"
"In post","2023","Ministry of Defence","North Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","North Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","North Nottinghamshire","Male","45","45","33700","33290"
"In post","2023","Ministry of Defence","North Yorkshire CC","Female","495","465","31150","27140"
"In post","2023","Ministry of Defence","North Yorkshire CC","Male","725","710","31350","27740"
"In post","2023","Ministry of Defence","North and North East Lincolnshire","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","North and North East Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","North and West Norfolk","Female","150","140","26360","22220"
"In post","2023","Ministry of Defence","North and West Norfolk","Male","240","235","31570","31920"
"In post","2023","Ministry of Defence","Northumberland","Female","55","50","27070","24120"
"In post","2023","Ministry of Defence","Northumberland","Male","55","50","29730","22220"
"In post","2023","Ministry of Defence","Norwich and East Norfolk","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Nottingham","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Orkney Islands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Orkney Islands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Overseas","Female","345","340","53850","52700"
"In post","2023","Ministry of Defence","Overseas","Male","400","400","57140","54580"
"In post","2023","Ministry of Defence","Oxfordshire CC","Female","490","460","33270","27850"
"In post","2023","Ministry of Defence","Oxfordshire CC","Male","420","415","33790","33000"
"In post","2023","Ministry of Defence","Perth and Kinross, and Stirling","Female","50","45","33370","29100"
"In post","2023","Ministry of Defence","Perth and Kinross, and Stirling","Male","45","45","33620","27300"
"In post","2023","Ministry of Defence","Peterborough","Female","75","70","25010","22220"
"In post","2023","Ministry of Defence","Peterborough","Male","75","70","27730","22220"
"In post","2023","Ministry of Defence","Plymouth","Female","315","300","32040","27470"
"In post","2023","Ministry of Defence","Plymouth","Male","755","735","35700","33410"
"In post","2023","Ministry of Defence","Portsmouth","Female","805","770","34510","33830"
"In post","2023","Ministry of Defence","Portsmouth","Male","1050","1025","36530","34300"
"In post","2023","Ministry of Defence","Powys","Female","90","85","28360","25490"
"In post","2023","Ministry of Defence","Powys","Male","150","145","25790","22220"
"In post","2023","Ministry of Defence","Redbridge and Waltham Forest","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Sandwell","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Sandwell","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Sefton","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Sefton","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Sheffield","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Sheffield","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Shropshire","Female","210","200","29380","25880"
"In post","2023","Ministry of Defence","Shropshire","Male","330","325","31220","30470"
"In post","2023","Ministry of Defence","Solihull","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Solihull","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Somerset CC","Female","595","550","34220","33370"
"In post","2023","Ministry of Defence","Somerset CC","Male","980","950","36730","34370"
"In post","2023","Ministry of Defence","South Ayrshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","South Ayrshire","Male","20","20","[c]","[c]"
"In post","2023","Ministry of Defence","South Hampshire","Female","275","255","32010","27740"
"In post","2023","Ministry of Defence","South Hampshire","Male","580","570","32150","30650"
"In post","2023","Ministry of Defence","South Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","South Lanarkshire","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","South Nottinghamshire","Female","180","165","34310","32930"
"In post","2023","Ministry of Defence","South Nottinghamshire","Male","95","90","30540","25950"
"In post","2023","Ministry of Defence","South Teesside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","South Teesside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","South West Wales","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","South West Wales","Male","40","35","25470","21380"
"In post","2023","Ministry of Defence","Southampton","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Southampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Southend-on-Sea","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Southend-on-Sea","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Staffordshire CC","Female","620","585","36720","33990"
"In post","2023","Ministry of Defence","Staffordshire CC","Male","490","485","38330","34140"
"In post","2023","Ministry of Defence","Stoke-on-Trent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Stoke-on-Trent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Suffolk CC","Female","315","305","26830","22330"
"In post","2023","Ministry of Defence","Suffolk CC","Male","345","340","28380","25160"
"In post","2023","Ministry of Defence","Sunderland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Sunderland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Swansea","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Swindon","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Telford and Wrekin","Female","145","135","33040","27500"
"In post","2023","Ministry of Defence","Telford and Wrekin","Male","155","150","32770","30820"
"In post","2023","Ministry of Defence","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Tower Hamlets","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Tower Hamlets","Male","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","Tyneside","Female","30","30","23850","22220"
"In post","2023","Ministry of Defence","Tyneside","Male","45","45","22530","21380"
"In post","2023","Ministry of Defence","Unknown","Female","185","185","37460","36860"
"In post","2023","Ministry of Defence","Unknown","Male","1550","1550","42450","40530"
"In post","2023","Ministry of Defence","Wakefield","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Wakefield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Walsall","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Walsall","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Wandsworth","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Wandsworth","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Warrington","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Warrington","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Warwickshire CC","Female","65","65","26560","22960"
"In post","2023","Ministry of Defence","Warwickshire CC","Male","170","170","26520","22220"
"In post","2023","Ministry of Defence","West Cumbria","Female","70","65","35690","32500"
"In post","2023","Ministry of Defence","West Cumbria","Male","185","180","44460","42620"
"In post","2023","Ministry of Defence","West Essex","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","West Essex","Male","30","30","23140","18830"
"In post","2023","Ministry of Defence","West Kent","Female","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","West Kent","Male","25","25","[c]","[c]"
"In post","2023","Ministry of Defence","West Lothian","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","West Lothian","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","West Northamptonshire","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","West Northamptonshire","Male","40","40","34390","34300"
"In post","2023","Ministry of Defence","West Surrey","Female","120","110","31350","24370"
"In post","2023","Ministry of Defence","West Surrey","Male","80","80","25970","22220"
"In post","2023","Ministry of Defence","West Sussex (South West)","Female","15","15","[c]","[c]"
"In post","2023","Ministry of Defence","West Sussex (South West)","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","Westminster","Female","1410","1380","48290","45750"
"In post","2023","Ministry of Defence","Westminster","Male","1865","1845","48690","45750"
"In post","2023","Ministry of Defence","Wiltshire","Female","2940","2770","37260","34300"
"In post","2023","Ministry of Defence","Wiltshire","Male","3515","3450","41200","39890"
"In post","2023","Ministry of Defence","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Wirral","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Wolverhampton","Male","5","5","[c]","[c]"
"In post","2023","Ministry of Defence","Worcestershire CC","Female","20","15","[c]","[c]"
"In post","2023","Ministry of Defence","Worcestershire CC","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Defence","York","Female","80","75","30970","27470"
"In post","2023","Ministry of Defence","York","Male","110","110","30880","27140"
"In post","2023","Ministry of Justice","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Barking & Dagenham and Havering","Female","105","95","32150","29300"
"In post","2023","Ministry of Justice","Barking & Dagenham and Havering","Male","35","35","33560","29120"
"In post","2023","Ministry of Justice","Barnet","Female","90","80","32970","29660"
"In post","2023","Ministry of Justice","Barnet","Male","40","35","30490","28580"
"In post","2023","Ministry of Justice","Barnsley, Doncaster and Rotherham","Female","935","860","29860","28480"
"In post","2023","Ministry of Justice","Barnsley, Doncaster and Rotherham","Male","760","720","33340","32060"
"In post","2023","Ministry of Justice","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","500","435","31900","29890"
"In post","2023","Ministry of Justice","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","315","295","34520","32920"
"In post","2023","Ministry of Justice","Bedford","Female","285","270","29630","29050"
"In post","2023","Ministry of Justice","Bedford","Male","205","200","33780","30880"
"In post","2023","Ministry of Justice","Berkshire","Female","285","265","29820","26840"
"In post","2023","Ministry of Justice","Berkshire","Male","105","100","30520","25300"
"In post","2023","Ministry of Justice","Bexley and Greenwich","Female","570","540","32840","31310"
"In post","2023","Ministry of Justice","Bexley and Greenwich","Male","625","615","35930","35640"
"In post","2023","Ministry of Justice","Birmingham","Female","2280","2080","27470","24570"
"In post","2023","Ministry of Justice","Birmingham","Male","1520","1465","28750","25830"
"In post","2023","Ministry of Justice","Blackburn with Darwen","Female","110","105","28560","24570"
"In post","2023","Ministry of Justice","Blackburn with Darwen","Male","40","40","29340","25830"
"In post","2023","Ministry of Justice","Blackpool","Female","130","120","28810","26840"
"In post","2023","Ministry of Justice","Blackpool","Male","40","35","31130","29050"
"In post","2023","Ministry of Justice","Bournemouth, Christchurch and Poole","Female","210","185","28580","25300"
"In post","2023","Ministry of Justice","Bournemouth, Christchurch and Poole","Male","75","70","30440","25830"
"In post","2023","Ministry of Justice","Bradford","Female","310","285","27150","24570"
"In post","2023","Ministry of Justice","Bradford","Male","150","140","29300","26840"
"In post","2023","Ministry of Justice","Breckland and South Norfolk","Female","185","170","29600","28480"
"In post","2023","Ministry of Justice","Breckland and South Norfolk","Male","250","240","32400","31510"
"In post","2023","Ministry of Justice","Brent","Female","140","125","31280","27640"
"In post","2023","Ministry of Justice","Brent","Male","50","45","30890","27640"
"In post","2023","Ministry of Justice","Bridgend and Neath Port Talbot","Female","180","170","27520","24100"
"In post","2023","Ministry of Justice","Bridgend and Neath Port Talbot","Male","60","60","30400","25270"
"In post","2023","Ministry of Justice","Brighton and Hove","Female","225","200","32330","29050"
"In post","2023","Ministry of Justice","Brighton and Hove","Male","95","90","32090","26520"
"In post","2023","Ministry of Justice","Bristol, City of","Female","550","505","28880","25830"
"In post","2023","Ministry of Justice","Bristol, City of","Male","405","385","30330","28880"
"In post","2023","Ministry of Justice","Bromley","Female","205","185","31790","27640"
"In post","2023","Ministry of Justice","Bromley","Male","70","65","30430","27640"
"In post","2023","Ministry of Justice","Buckinghamshire","Female","375","345","32460","31980"
"In post","2023","Ministry of Justice","Buckinghamshire","Male","360","345","34190","33910"
"In post","2023","Ministry of Justice","Calderdale and Kirklees","Female","230","205","29120","26300"
"In post","2023","Ministry of Justice","Calderdale and Kirklees","Male","60","55","29160","26840"
"In post","2023","Ministry of Justice","Cambridgeshire CC","Female","625","580","30400","28480"
"In post","2023","Ministry of Justice","Cambridgeshire CC","Male","730","690","32530","32060"
"In post","2023","Ministry of Justice","Camden and City of London","Female","540","505","30950","25480"
"In post","2023","Ministry of Justice","Camden and City of London","Male","340","335","29830","25480"
"In post","2023","Ministry of Justice","Cardiff and Vale of Glamorgan","Female","755","710","31770","28880"
"In post","2023","Ministry of Justice","Cardiff and Vale of Glamorgan","Male","590","570","32890","31270"
"In post","2023","Ministry of Justice","Central Hampshire","Female","215","205","30860","30880"
"In post","2023","Ministry of Justice","Central Hampshire","Male","235","225","33440","31890"
"In post","2023","Ministry of Justice","Central Valleys","Female","185","170","29080","25830"
"In post","2023","Ministry of Justice","Central Valleys","Male","55","55","32580","29050"
"In post","2023","Ministry of Justice","Cheshire East","Female","310","295","31510","28880"
"In post","2023","Ministry of Justice","Cheshire East","Male","165","155","31960","29890"
"In post","2023","Ministry of Justice","Cheshire West and Chester","Female","175","160","28540","26730"
"In post","2023","Ministry of Justice","Cheshire West and Chester","Male","50","45","30750","26840"
"In post","2023","Ministry of Justice","Chorley and West Lancashire","Female","645","600","30960","28880"
"In post","2023","Ministry of Justice","Chorley and West Lancashire","Male","675","625","33130","32060"
"In post","2023","Ministry of Justice","City of Edinburgh","Female","10","10","[c]","[c]"
"In post","2023","Ministry of Justice","City of Edinburgh","Male","10","10","[c]","[c]"
"In post","2023","Ministry of Justice","Conwy and Denbighshire","Female","110","105","29660","25300"
"In post","2023","Ministry of Justice","Conwy and Denbighshire","Male","30","30","29440","25830"
"In post","2023","Ministry of Justice","Cornwall and Isles of Scilly","Female","140","120","28100","25300"
"In post","2023","Ministry of Justice","Cornwall and Isles of Scilly","Male","55","50","31380","26500"
"In post","2023","Ministry of Justice","Coventry","Female","150","135","28170","24110"
"In post","2023","Ministry of Justice","Coventry","Male","50","50","28480","25300"
"In post","2023","Ministry of Justice","Croydon","Female","745","710","37820","32890"
"In post","2023","Ministry of Justice","Croydon","Male","315","305","41140","35260"
"In post","2023","Ministry of Justice","Darlington","Female","105","95","27550","23640"
"In post","2023","Ministry of Justice","Darlington","Male","40","40","32800","26840"
"In post","2023","Ministry of Justice","Derby","Female","300","265","27620","24570"
"In post","2023","Ministry of Justice","Derby","Male","80","80","30440","26840"
"In post","2023","Ministry of Justice","Devon CC","Female","545","495","30860","28880"
"In post","2023","Ministry of Justice","Devon CC","Male","745","700","32590","31780"
"In post","2023","Ministry of Justice","Dorset","Female","450","410","30190","28680"
"In post","2023","Ministry of Justice","Dorset","Male","590","560","32100","31510"
"In post","2023","Ministry of Justice","Dudley","Female","90","80","29540","26840"
"In post","2023","Ministry of Justice","Dudley","Male","25","25","[c]","[c]"
"In post","2023","Ministry of Justice","Durham","Female","1210","1125","31060","30410"
"In post","2023","Ministry of Justice","Durham","Male","1335","1240","32990","32060"
"In post","2023","Ministry of Justice","Ealing","Female","45","45","34690","34820"
"In post","2023","Ministry of Justice","Ealing","Male","30","25","[c]","[c]"
"In post","2023","Ministry of Justice","East Cumbria","Female","120","110","30610","26840"
"In post","2023","Ministry of Justice","East Cumbria","Male","45","40","30370","28360"
"In post","2023","Ministry of Justice","East Derbyshire","Female","75","65","28230","26840"
"In post","2023","Ministry of Justice","East Derbyshire","Male","30","30","[c]","[c]"
"In post","2023","Ministry of Justice","East Kent","Female","185","170","29430","25830"
"In post","2023","Ministry of Justice","East Kent","Male","65","60","31610","27000"
"In post","2023","Ministry of Justice","East Lancashire","Female","145","130","28100","25300"
"In post","2023","Ministry of Justice","East Lancashire","Male","45","40","29930","26840"
"In post","2023","Ministry of Justice","East Merseyside","Female","290","270","30630","26840"
"In post","2023","Ministry of Justice","East Merseyside","Male","85","80","32990","28480"
"In post","2023","Ministry of Justice","East Riding of Yorkshire","Female","540","495","29970","28880"
"In post","2023","Ministry of Justice","East Riding of Yorkshire","Male","725","680","32700","32060"
"In post","2023","Ministry of Justice","East Surrey","Female","420","395","35060","34110"
"In post","2023","Ministry of Justice","East Surrey","Male","420","400","35390","35810"
"In post","2023","Ministry of Justice","East Sussex CC","Female","285","260","29610","28480"
"In post","2023","Ministry of Justice","East Sussex CC","Male","260","250","31700","29890"
"In post","2023","Ministry of Justice","Enfield","Female","45","40","31380","27640"
"In post","2023","Ministry of Justice","Enfield","Male","25","25","[c]","[c]"
"In post","2023","Ministry of Justice","Essex Haven Gateway","Female","95","90","32550","29050"
"In post","2023","Ministry of Justice","Essex Haven Gateway","Male","35","35","33170","26840"
