"Status","Year","Age","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Department for Work and Pensions","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Other","Heterosexual / straight","815","725","28820","28120"
"In post","2023","40-49","Department for Work and Pensions","Other","LGBO","45","45","30190","28120"
"In post","2023","40-49","Department for Work and Pensions","Other","Undeclared","80","75","28080","26890"
"In post","2023","40-49","Department for Work and Pensions","Other","Unknown","145","120","27630","21690"
"In post","2023","40-49","Department for Work and Pensions","Policy","Heterosexual / straight","185","175","52040","50160"
"In post","2023","40-49","Department for Work and Pensions","Policy","LGBO","20","20","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Policy","Undeclared","20","20","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Policy","Unknown","30","30","51670","46960"
"In post","2023","40-49","Department for Work and Pensions","Project Delivery","Heterosexual / straight","280","265","40510","38470"
"In post","2023","40-49","Department for Work and Pensions","Project Delivery","LGBO","20","20","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Project Delivery","Unknown","45","40","39000","34170"
"In post","2023","40-49","Department for Work and Pensions","Property","Heterosexual / straight","50","50","44020","38760"
"In post","2023","40-49","Department for Work and Pensions","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Property","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Psychology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Psychology","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Science and Engineering","Heterosexual / straight","70","65","43040","40840"
"In post","2023","40-49","Department for Work and Pensions","Science and Engineering","LGBO","5","5","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Science and Engineering","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Security","Heterosexual / straight","90","85","40640","38470"
"In post","2023","40-49","Department for Work and Pensions","Security","LGBO","10","10","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Security","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Security","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Social Research","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Statistics","Heterosexual / straight","45","35","52400","53190"
"In post","2023","40-49","Department for Work and Pensions","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Statistics","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Unknown","Heterosexual / straight","65","60","34890","28120"
"In post","2023","40-49","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Unknown","Undeclared","10","5","[c]","[c]"
"In post","2023","40-49","Department for Work and Pensions","Unknown","Unknown","25","20","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Commercial","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Communications","Heterosexual / straight","35","35","46810","41890"
"In post","2023","40-49","Department of Health and Social Care","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Digital, Data and Technology","Heterosexual / straight","65","65","55130","54090"
"In post","2023","40-49","Department of Health and Social Care","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Digital, Data and Technology","Unknown","40","40","51180","52700"
"In post","2023","40-49","Department of Health and Social Care","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Finance","Heterosexual / straight","60","60","47840","44080"
"In post","2023","40-49","Department of Health and Social Care","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Finance","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Finance","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Human Resources","Heterosexual / straight","45","45","47720","42480"
"In post","2023","40-49","Department of Health and Social Care","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Medicine","Heterosexual / straight","130","115","77880","81980"
"In post","2023","40-49","Department of Health and Social Care","Medicine","LGBO","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Medicine","Undeclared","25","25","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Medicine","Unknown","30","25","84790","87660"
"In post","2023","40-49","Department of Health and Social Care","Operational Delivery","Heterosexual / straight","405","385","46140","42650"
"In post","2023","40-49","Department of Health and Social Care","Operational Delivery","LGBO","25","20","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Operational Delivery","Undeclared","55","55","45090","41330"
"In post","2023","40-49","Department of Health and Social Care","Operational Delivery","Unknown","245","235","46820","43660"
"In post","2023","40-49","Department of Health and Social Care","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Other","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Other","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Policy","Heterosexual / straight","70","65","56320","54690"
"In post","2023","40-49","Department of Health and Social Care","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Property","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Science and Engineering","Heterosexual / straight","270","260","48200","46520"
"In post","2023","40-49","Department of Health and Social Care","Science and Engineering","LGBO","15","15","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Science and Engineering","Undeclared","60","55","50580","49590"
"In post","2023","40-49","Department of Health and Social Care","Science and Engineering","Unknown","150","140","46550","44580"
"In post","2023","40-49","Department of Health and Social Care","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Social Research","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Statistics","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Department of Health and Social Care","Unknown","Heterosexual / straight","295","275","55880","54690"
"In post","2023","40-49","Department of Health and Social Care","Unknown","LGBO","30","30","65200","63960"
"In post","2023","40-49","Department of Health and Social Care","Unknown","Undeclared","165","155","54430","54690"
"In post","2023","40-49","Estyn","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Inspector of Education and Training","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Estyn","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Estyn","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Estyn","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Finance","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Operational Delivery","Heterosexual / straight","105","100","38360","37720"
"In post","2023","40-49","Food Standards Agency","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Operational Delivery","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Operational Delivery","Unknown","35","35","29870","28090"
"In post","2023","40-49","Food Standards Agency","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Policy","Heterosexual / straight","70","70","43650","39490"
"In post","2023","40-49","Food Standards Agency","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Policy","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Policy","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Science and Engineering","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Veterinarian","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Food Standards Agency","Veterinarian","Undeclared","5","5","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Commercial","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Communications","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Communications","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Heterosexual / straight","70","70","48520","44560"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","50","45","49140","47170"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Finance","Heterosexual / straight","90","90","44670","39550"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Finance","Unknown","40","40","49040","49960"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Human Resources","Heterosexual / straight","65","65","47490","40750"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Human Resources","Unknown","25","25","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Intelligence Analysis","Heterosexual / straight","30","30","56130","58970"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Intelligence Analysis","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Internal Audit","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Legal","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Operational Delivery","Heterosexual / straight","35","35","44340","39220"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Other","Heterosexual / straight","30","30","45950","38310"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Other","Unknown","15","15","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Policy","Heterosexual / straight","795","775","58350","58720"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Policy","LGBO","50","50","59390","61020"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Policy","Unknown","340","330","58480","59160"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Project Delivery","Heterosexual / straight","100","95","57650","59930"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Project Delivery","LGBO","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Project Delivery","Unknown","40","35","56500","54820"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Property","Heterosexual / straight","35","35","49490","46300"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Property","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Security","Heterosexual / straight","115","115","45380","39140"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Security","LGBO","10","10","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Security","Undeclared","5","5","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Security","Unknown","30","30","50290","43970"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","30","30","55710","57420"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Foreign, Commonwealth and Development Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Digital, Data and Technology","Heterosexual / straight","115","110","44370","44130"
"In post","2023","40-49","HM Land Registry","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Digital, Data and Technology","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Digital, Data and Technology","Unknown","50","50","41030","39460"
"In post","2023","40-49","HM Land Registry","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Finance","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Human Resources","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Legal","Heterosexual / straight","45","40","56710","61730"
"In post","2023","40-49","HM Land Registry","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","HM Land Registry","Legal","Undeclared","5","5","[c]","[c]"
