"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Competition and Markets Authority","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","Heterosexual / straight","55","50","65740","62360"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","Heterosexual / straight","30","30","38090","35600"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Competition and Markets Authority","Outside London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","Heterosexual / straight","75","70","25720","25810"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","Unknown","40","35","25200","25810"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","EO","Heterosexual / straight","235","230","29640","28740"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","EO","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","EO","Undeclared","25","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","EO","Unknown","50","50","29090","28720"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","Heterosexual / straight","1930","1875","60380","58620"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","LGBO","200","195","59360","55520"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","Undeclared","255","250","61110","59000"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","Unknown","270","265","59180","55350"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","Heterosexual / straight","255","240","85760","78440"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","Unknown","30","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Heterosexual / straight","1540","1515","40180","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","LGBO","195","190","39920","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Undeclared","210","210","40010","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Unknown","340","340","39890","41060"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Heterosexual / straight","730","670","22140","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","LGBO","65","65","21630","21380"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Undeclared","80","70","21820","21880"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Unknown","370","325","22360","22180"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","Heterosexual / straight","955","900","26550","25610"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","LGBO","90","85","26250","25500"
