"Status","Year","Age","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","90","[c]","27110","27420"
"Leaver CS","2023","20-29","Cheshire","Outside London","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cheshire","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cheshire","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cheshire","Outside London","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cornwall and Isles of Scilly","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cumbria","Outside London","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cumbria","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Cumbria","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","140","[c]","26730","26900"
"Leaver CS","2023","20-29","Derbyshire and Nottinghamshire","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Derbyshire and Nottinghamshire","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Derbyshire and Nottinghamshire","Outside London","Unknown","120","[c]","24580","21780"
"Leaver CS","2023","20-29","Devon","Outside London","Heterosexual / straight","100","[c]","26160","24570"
"Leaver CS","2023","20-29","Devon","Outside London","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Devon","Outside London","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Devon","Outside London","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Dorset and Somerset","Outside London","Heterosexual / straight","55","[c]","26750","26350"
"Leaver CS","2023","20-29","Dorset and Somerset","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Dorset and Somerset","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Dorset and Somerset","Outside London","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Anglia","Outside London","Heterosexual / straight","170","[c]","26070","26010"
"Leaver CS","2023","20-29","East Anglia","Outside London","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Anglia","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Anglia","Outside London","Unknown","65","[c]","24510","22400"
"Leaver CS","2023","20-29","East Wales","Outside London","Heterosexual / straight","210","[c]","25120","21840"
"Leaver CS","2023","20-29","East Wales","Outside London","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Wales","Outside London","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Wales","Outside London","Unknown","165","[c]","26230","24030"
"Leaver CS","2023","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","60","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Eastern Scotland","Outside London","Heterosexual / straight","95","[c]","27190","24490"
"Leaver CS","2023","20-29","Eastern Scotland","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Eastern Scotland","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Eastern Scotland","Outside London","Unknown","195","[c]","26890","24710"
"Leaver CS","2023","20-29","Essex","Outside London","Heterosexual / straight","70","[c]","27870","29290"
"Leaver CS","2023","20-29","Essex","Outside London","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Essex","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Essex","Outside London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","460","[c]","28100","27570"
"Leaver CS","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","80","[c]","28320","27570"
"Leaver CS","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","35","[c]","26100","25220"
"Leaver CS","2023","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","250","[c]","26550","23490"
"Leaver CS","2023","20-29","Greater Manchester","Outside London","Heterosexual / straight","210","[c]","26530","24390"
"Leaver CS","2023","20-29","Greater Manchester","Outside London","LGBO","40","[c]","27710","27570"
"Leaver CS","2023","20-29","Greater Manchester","Outside London","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Greater Manchester","Outside London","Unknown","230","[c]","24240","21780"
"Leaver CS","2023","20-29","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","130","[c]","25730","24840"
"Leaver CS","2023","20-29","Hampshire and Isle of Wight","Outside London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Hampshire and Isle of Wight","Outside London","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Hampshire and Isle of Wight","Outside London","Unknown","135","[c]","26310","24630"
"Leaver CS","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","55","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Highlands and Islands","Outside London","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Highlands and Islands","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Highlands and Islands","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Inner London - East","London","Heterosexual / straight","320","[c]","32970","31060"
"Leaver CS","2023","20-29","Inner London - East","London","LGBO","45","[c]","33670","32520"
"Leaver CS","2023","20-29","Inner London - East","London","Undeclared","40","[c]","34370","31700"
"Leaver CS","2023","20-29","Inner London - East","London","Unknown","155","[c]","32420","30980"
"Leaver CS","2023","20-29","Inner London - West","London","Heterosexual / straight","1085","[c]","34930","33570"
"Leaver CS","2023","20-29","Inner London - West","London","LGBO","200","[c]","36860","34260"
"Leaver CS","2023","20-29","Inner London - West","London","Undeclared","190","[c]","34260","33210"
"Leaver CS","2023","20-29","Inner London - West","London","Unknown","705","[c]","32940","30440"
"Leaver CS","2023","20-29","Kent","Outside London","Heterosexual / straight","110","[c]","27190","25900"
"Leaver CS","2023","20-29","Kent","Outside London","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Kent","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Kent","Outside London","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lancashire","Outside London","Heterosexual / straight","105","[c]","24790","21690"
"Leaver CS","2023","20-29","Lancashire","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lancashire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lancashire","Outside London","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","Heterosexual / straight","120","[c]","23840","22310"
"Leaver CS","2023","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","70","[c]","21960","21780"
"Leaver CS","2023","20-29","Lincolnshire","Outside London","Heterosexual / straight","40","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lincolnshire","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Lincolnshire","Outside London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Merseyside","Outside London","Heterosexual / straight","115","[c]","25450","22400"
"Leaver CS","2023","20-29","Merseyside","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Merseyside","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Merseyside","Outside London","Unknown","170","[c]","23920","22400"
"Leaver CS","2023","20-29","North Eastern Scotland","Outside London","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Eastern Scotland","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Yorkshire","Outside London","Heterosexual / straight","45","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Yorkshire","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Yorkshire","Outside London","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","North Yorkshire","Outside London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northern Ireland","Outside London","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northern Ireland","Outside London","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northumberland, and Tyne and Wear","Outside London","Heterosexual / straight","110","[c]","24320","21690"
"Leaver CS","2023","20-29","Northumberland, and Tyne and Wear","Outside London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northumberland, and Tyne and Wear","Outside London","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Northumberland, and Tyne and Wear","Outside London","Unknown","160","[c]","24010","22280"
"Leaver CS","2023","20-29","Outer London - East and North East","London","Heterosexual / straight","100","[c]","29940","31060"
"Leaver CS","2023","20-29","Outer London - East and North East","London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outer London - East and North East","London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outer London - East and North East","London","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outer London - South","London","Heterosexual / straight","85","[c]","33880","31680"
"Leaver CS","2023","20-29","Outer London - South","London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outer London - South","London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Outer London - South","London","Unknown","100","[c]","30890","29890"
"Leaver CS","2023","20-29","Outer London - West and North West","London","Heterosexual / straight","195","[c]","29610","29890"
"Leaver CS","2023","20-29","Outer London - West and North West","London","LGBO","25","[c]","[c]","[c]"
