"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","SEO","65","60","43070","43250"
"In post","2023","Analysis","Department for International Trade","London","EO","25","25","29440","29280"
"In post","2023","Analysis","Department for International Trade","London","G6","30","25","68200","67010"
"In post","2023","Analysis","Department for International Trade","London","G7","95","95","56740","55500"
"In post","2023","Analysis","Department for International Trade","London","HEO","60","60","35190","35010"
"In post","2023","Analysis","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","London","SEO","30","30","43160","41800"
"In post","2023","Analysis","Department for International Trade","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","North East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","15","15","30070","28850"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6","25","25","68510","67830"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G7","80","80","56390","54630"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","HEO","55","55","33710","34000"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO","20","20","43330","44180"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","EO","20","20","31880","31070"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","G6","40","40","69050","68020"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","G7","130","130","56680","55740"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","HEO","65","60","34820","35400"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","SCS level","10","10","78740","78980"
"In post","2023","Analysis","Department for Transport (excl. agencies)","London","SEO","50","50","43750","43750"
"In post","2023","Analysis","Department for Transport (excl. agencies)","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","EO","10","10","32520","32520"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","G6","15","15","77540","76510"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","G7","70","65","60340","58370"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","HEO","80","75","38660","39150"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","London","SEO","40","40","44760","43760"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","G7","30","30","54570","53190"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","HEO","25","25","34800","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","SEO","30","30","39060","38470"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","HEO","25","25","34550","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","SEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","HEO","15","10","34400","34170"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Work and Pensions (excl. agencies)","South West (England)","HEO","[c]","[c]","[c]","[c]"
