"Status","Year","Age","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","London","745","725","52220","46470"
"In post","2023","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","6670","6435","35470","33990"
"In post","2023","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","195","195","59030","57060"
"In post","2023","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","10","10","47110","48540"
"In post","2023","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","London","975","940","52080","48070"
"In post","2023","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","820","805","41630","37680"
"In post","2023","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","10","10","[c]","[c]"
"In post","2023","40-49","National Crime Agency","National Crime Agency","London","390","375","49760","49200"
"In post","2023","40-49","National Crime Agency","National Crime Agency","Outside London","895","860","42590","40770"
"In post","2023","40-49","National Crime Agency","National Crime Agency","Overseas","35","35","48610","47380"
"In post","2023","40-49","National Crime Agency","National Crime Agency","Unknown","25","20","47170","47380"
"In post","2023","40-49","National Infrastructure Commission","HM Treasury","London","10","10","70150","70010"
"In post","2023","40-49","National Records of Scotland","Scottish Government","Outside London","105","100","42310","38330"
"In post","2023","40-49","National Savings and Investments","Chancellor's other departments","London","55","55","57910","55180"
"In post","2023","40-49","National Savings and Investments","Chancellor's other departments","Outside London","15","15","47850","47500"
"In post","2023","40-49","Northern Ireland Office","Northern Ireland Office","London","20","15","63470","61800"
"In post","2023","40-49","Northern Ireland Office","Northern Ireland Office","Outside London","20","20","41230","37680"
"In post","2023","40-49","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","90","85","60600","64680"
"In post","2023","40-49","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","550","535","54520","52750"
"In post","2023","40-49","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","190","185","59410","60000"
"In post","2023","40-49","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","170","170","44870","43650"
"In post","2023","40-49","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","125","120","51620","48060"
"In post","2023","40-49","Office of Rail and Road","Office of Rail and Road","London","70","65","63540","62000"
"In post","2023","40-49","Office of Rail and Road","Office of Rail and Road","Outside London","55","55","55140","53540"
"In post","2023","40-49","Office of the Public Guardian","Ministry of Justice","Outside London","315","285","25100","21780"
"In post","2023","40-49","Office of the Scottish Charity Regulator","Scottish Government","Outside London","15","15","38310","34120"
"In post","2023","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","10","5","[c]","[c]"
"In post","2023","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","15","15","61430","65280"
"In post","2023","40-49","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","5","5","[c]","[c]"
"In post","2023","40-49","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","5","5","[c]","[c]"
"In post","2023","40-49","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","270","255","46540","48660"
"In post","2023","40-49","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","10","10","[c]","[c]"
"In post","2023","40-49","Registers of Scotland","Scottish Government","Outside London","310","305","37820","32510"
"In post","2023","40-49","Revenue Scotland","Scottish Government","Outside London","25","25","43720","38330"
"In post","2023","40-49","Royal Fleet Auxiliary","Ministry of Defence","Unknown","320","320","45890","41630"
"In post","2023","40-49","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","860","780","27490","25920"
"In post","2023","40-49","Scottish Courts and Tribunals Service","Scottish Government","Outside London","405","375","32890","31970"
"In post","2023","40-49","Scottish Fiscal Commission","Scottish Government","Outside London","10","5","[c]","[c]"
"In post","2023","40-49","Scottish Forestry","Scottish Government","Outside London","65","65","38970","38530"
"In post","2023","40-49","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Scottish Government (excl. agencies)","Scottish Government","Outside London","2390","2275","52730","49860"
"In post","2023","40-49","Scottish Government (excl. agencies)","Scottish Government","Overseas","5","5","[c]","[c]"
"In post","2023","40-49","Scottish Housing Regulator","Scottish Government","Outside London","15","15","58290","65280"
"In post","2023","40-49","Scottish Prison Service","Scottish Government","Outside London","780","760","36060","37060"
"In post","2023","40-49","Scottish Public Pensions Agency","Scottish Government","Outside London","80","75","34690","29450"
"In post","2023","40-49","Serious Fraud Office","Attorney General's Departments","London","105","105","51410","54230"
"In post","2023","40-49","Social Security Scotland","Scottish Government","Outside London","980","940","33660","29450"
"In post","2023","40-49","Standards and Testing Agency","Department for Education","London","10","10","[c]","[c]"
"In post","2023","40-49","Standards and Testing Agency","Department for Education","Outside London","30","25","40090","37590"
"In post","2023","40-49","Student Awards Agency for Scotland","Scottish Government","Outside London","60","60","39800","36940"
"In post","2023","40-49","Submarine Delivery Agency","Ministry of Defence","Outside London","420","410","47410","43400"
"In post","2023","40-49","Submarine Delivery Agency","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Teaching Regulation Agency","Department for Education","Outside London","10","10","36200","34270"
"In post","2023","40-49","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","95","90","42450","39840"
"In post","2023","40-49","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","420","400","35460","34870"
"In post","2023","40-49","The National Archives","The National Archives","London","150","140","40900","36940"
"In post","2023","40-49","The National Archives","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Transport Scotland","Scottish Government","Outside London","155","150","54960","54860"
"In post","2023","40-49","UK Debt Management Office","HM Treasury","London","25","25","64320","58760"
"In post","2023","40-49","UK Export Finance","UK Export Finance","London","115","110","62310","61190"
"In post","2023","40-49","UK Export Finance","UK Export Finance","Outside London","5","5","[c]","[c]"
"In post","2023","40-49","UK Health Security Agency","Department of Health and Social Care","London","540","520","54180","53400"
"In post","2023","40-49","UK Health Security Agency","Department of Health and Social Care","Outside London","875","830","48240","42730"
"In post","2023","40-49","UK Hydrographic Office","Ministry of Defence","Outside London","220","210","40660","34370"
"In post","2023","40-49","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","30","30","56290","55120"
"In post","2023","40-49","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","20","20","48710","50680"
"In post","2023","40-49","UK Statistics Authority","UK Statistics Authority","London","55","55","59000","54540"
"In post","2023","40-49","UK Statistics Authority","UK Statistics Authority","Outside London","1155","1065","39920","37760"
"In post","2023","40-49","UK Supreme Court","UK Supreme Court","London","10","10","47100","39700"
"In post","2023","40-49","Valuation Office Agency","HM Revenue and Customs","London","140","135","46300","40190"
"In post","2023","40-49","Valuation Office Agency","HM Revenue and Customs","Outside London","720","680","35500","32260"
"In post","2023","40-49","Vehicle Certification Agency","Department for Transport","Outside London","35","35","34210","34620"
"In post","2023","40-49","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","55","55","47460","54330"
"In post","2023","40-49","Water Services Regulation Authority","Water Services Regulation Authority","London","25","25","70670","73780"
"In post","2023","40-49","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","70","65","57250","52660"
"In post","2023","40-49","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Government (excl. agencies)","Welsh Government","Outside London","1780","1695","46360","41700"
"In post","2023","40-49","Welsh Government (excl. agencies)","Welsh Government","Overseas","5","5","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Welsh Government","Outside London","25","25","51730","49370"
"In post","2023","40-49","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","20","20","38780","29580"
"In post","2023","50-59","Accountant in Bankruptcy","Scottish Government","Outside London","25","20","43190","38330"
"In post","2023","50-59","Active Travel England","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Active Travel England","Department for Transport","Outside London","5","5","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","60","60","43540","39360"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","255","240","34290","32350"
"In post","2023","50-59","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","15","15","44330","33590"
"In post","2023","50-59","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","765","735","32560","29080"
"In post","2023","50-59","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Department for Digital, Culture, Media and Sport","London","25","25","56370","56910"
"In post","2023","50-59","Building Digital UK","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Cabinet Office","London","545","535","60070","56430"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","520","495","41240","34320"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","20","20","41800","35570"
"In post","2023","50-59","Central Civil Service Fast Stream","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Central Civil Service Fast Stream","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","130","125","41540","37310"
"In post","2023","50-59","Charity Commission","Charity Commission","London","15","15","39730","38800"
"In post","2023","50-59","Charity Commission","Charity Commission","Outside London","100","95","34710","30170"
"In post","2023","50-59","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","320","300","33590","28070"
"In post","2023","50-59","Competition and Markets Authority","Competition and Markets Authority","London","145","140","71170","65460"
"In post","2023","50-59","Competition and Markets Authority","Competition and Markets Authority","Outside London","15","15","50380","55130"
"In post","2023","50-59","Criminal Injuries Compensation Authority","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","85","80","28690","25830"
"In post","2023","50-59","Crown Commercial Service","Cabinet Office","London","10","10","68010","63380"
"In post","2023","50-59","Crown Commercial Service","Cabinet Office","Outside London","160","155","44250","40620"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","570","530","41140","33920"
"In post","2023","50-59","Crown Prosecution Service","Attorney General's Departments","London","540","515","50850","54100"
"In post","2023","50-59","Crown Prosecution Service","Attorney General's Departments","Outside London","1765","1645","44910","49050"
"In post","2023","50-59","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Ministry of Defence","Outside London","190","185","32980","30740"
"In post","2023","50-59","Defence Equipment and Support","Ministry of Defence","London","65","60","31530","29250"
"In post","2023","50-59","Defence Equipment and Support","Ministry of Defence","Outside London","2875","2800","43710","42270"
"In post","2023","50-59","Defence Equipment and Support","Ministry of Defence","Overseas","10","10","60740","58890"
"In post","2023","50-59","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","1090","1060","48800","49260"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","690","675","55080","55350"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","225","220","51420","50680"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","London","130","125","53610","53130"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Outside London","15","10","51510","48010"
"In post","2023","50-59","Department for Education (excl. agencies)","Department for Education","London","395","380","53280","55020"
"In post","2023","50-59","Department for Education (excl. agencies)","Department for Education","Outside London","1145","1105","46050","43630"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","440","430","48780","43750"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","955","930","44330","39950"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Department for International Trade","London","380","375","52700","55370"
"In post","2023","50-59","Department for International Trade","Department for International Trade","Outside London","185","175","46410","43850"
"In post","2023","50-59","Department for International Trade","Department for International Trade","Overseas","25","25","64630","62230"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","315","310","53000","54630"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","235","230","44630","41720"
"In post","2023","50-59","Department for Transport (excl. agencies)","Department for Transport","London","550","535","55160","55190"
"In post","2023","50-59","Department for Transport (excl. agencies)","Department for Transport","Outside London","160","155","54990","50340"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","2955","2770","35980","32520"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","26475","23915","29160","28120"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","110","105","35550","28120"
"In post","2023","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","385","375","56930","54690"
"In post","2023","50-59","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","320","305","52490","50830"
"In post","2023","50-59","Disclosure Scotland","Scottish Government","Outside London","60","55","34550","27740"
"In post","2023","50-59","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","1435","1295","28980","22500"
"In post","2023","50-59","Driver and Vehicle Standards Agency","Department for Transport","London","150","145","32940","31450"
"In post","2023","50-59","Driver and Vehicle Standards Agency","Department for Transport","Outside London","1620","1570","30690","27450"
"In post","2023","50-59","Education Scotland","Scottish Government","Outside London","135","130","66240","70920"
"In post","2023","50-59","Education and Skills Funding Agency","Department for Education","London","25","25","50450","44960"
"In post","2023","50-59","Education and Skills Funding Agency","Department for Education","Outside London","175","170","44060","38210"
"In post","2023","50-59","Estyn","Estyn","Outside London","50","50","71840","78500"
"In post","2023","50-59","FCDO Services","Foreign, Commonwealth and Development Office","London","60","60","47630","42730"
"In post","2023","50-59","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","220","215","47460","44390"
"In post","2023","50-59","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","40","40","44280","44200"
"In post","2023","50-59","Food Standards Agency","Food Standards Agency","London","50","50","47110","41780"
"In post","2023","50-59","Food Standards Agency","Food Standards Agency","Outside London","420","410","37760","31730"
"In post","2023","50-59","Food Standards Scotland","Scottish Government","Outside London","75","70","43740","34730"
"In post","2023","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","940","920","57170","58940"
"In post","2023","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","285","275","43870","39660"
"In post","2023","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","485","485","59700","58510"
"In post","2023","50-59","Forestry and Land Scotland","Scottish Government","Outside London","300","295","36430","33260"
"In post","2023","50-59","Government Actuary's Department","Chancellor's other departments","London","20","20","88440","84350"
"In post","2023","50-59","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Government Commercial Organisation","Cabinet Office","London","215","215","84880","69870"
"In post","2023","50-59","Government Commercial Organisation","Cabinet Office","Outside London","275","275","75720","68840"
"In post","2023","50-59","Government Internal Audit Agency","HM Treasury","London","65","65","55370","54090"
"In post","2023","50-59","Government Internal Audit Agency","HM Treasury","Outside London","105","100","51950","48780"
"In post","2023","50-59","Government Internal Audit Agency","HM Treasury","Unknown","10","10","46650","46370"
"In post","2023","50-59","Government Legal Department","Attorney General's Departments","London","510","480","63400","67670"
"In post","2023","50-59","Government Legal Department","Attorney General's Departments","Outside London","40","35","61950","63130"
"In post","2023","50-59","Government Property Agency","Cabinet Office","London","30","30","58190","56150"
"In post","2023","50-59","Government Property Agency","Cabinet Office","Outside London","75","75","53890","51020"
"In post","2023","50-59","HM Courts and Tribunals Service","Ministry of Justice","London","1130","1070","33500","29660"
"In post","2023","50-59","HM Courts and Tribunals Service","Ministry of Justice","Outside London","3835","3465","27240","21780"
"In post","2023","50-59","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2023","50-59","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","5","5","[c]","[c]"
"In post","2023","50-59","HM Land Registry","HM Land Registry","London","130","125","44830","38410"
"In post","2023","50-59","HM Land Registry","HM Land Registry","Outside London","2280","2065","33170","28080"
"In post","2023","50-59","HM Prison and Probation Service","Ministry of Justice","London","1725","1680","39740","36020"
"In post","2023","50-59","HM Prison and Probation Service","Ministry of Justice","Outside London","13815","13045","33480","32420"
"In post","2023","50-59","HM Prison and Probation Service","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","3090","2980","47590","42060"
"In post","2023","50-59","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","15365","14195","35290","29730"
"In post","2023","50-59","HM Treasury (excl. agencies)","HM Treasury","London","105","105","52730","54090"
"In post","2023","50-59","HM Treasury (excl. agencies)","HM Treasury","Outside London","40","40","38040","30510"
"In post","2023","50-59","Health and Safety Executive","Department for Work and Pensions","London","40","40","52920","47260"
"In post","2023","50-59","Health and Safety Executive","Department for Work and Pensions","Outside London","990","935","46210","45300"
"In post","2023","50-59","Home Office","Home Office","London","3635","3485","41580","36180"
"In post","2023","50-59","Home Office","Home Office","Outside London","6805","6350","30590","26780"
"In post","2023","50-59","Home Office","Home Office","Overseas","35","35","[c]","[c]"
"In post","2023","50-59","Home Office","Home Office","Unknown","75","65","30490","27650"
"In post","2023","50-59","Institute for Apprenticeships and Technical Education","Department for Education","London","30","30","65570","64430"
"In post","2023","50-59","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","45","45","47830","51460"
"In post","2023","50-59","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","10","10","57420","61660"
"In post","2023","50-59","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","355","340","44250","41470"
"In post","2023","50-59","Legal Aid Agency","Ministry of Justice","London","45","45","50650","48070"
"In post","2023","50-59","Legal Aid Agency","Ministry of Justice","Outside London","250","235","31230","25830"
"In post","2023","50-59","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Maritime and Coastguard Agency","Department for Transport","Outside London","290","280","37800","32950"
"In post","2023","50-59","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","175","170","56770","54090"
"In post","2023","50-59","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","100","100","52800","46550"
"In post","2023","50-59","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","545","525","44460","42460"
"In post","2023","50-59","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","London","1100","1085","44510","39130"
"In post","2023","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","12000","11710","33440","28550"
"In post","2023","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","220","215","54500","51860"
"In post","2023","50-59","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Ministry of Justice (excl. agencies)","Ministry of Justice","London","815","800","49110","44650"
"In post","2023","50-59","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","740","720","42050","38550"
"In post","2023","50-59","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","National Crime Agency","National Crime Agency","London","390","385","51760","48210"
"In post","2023","50-59","National Crime Agency","National Crime Agency","Outside London","1110","1085","43020","41890"
"In post","2023","50-59","National Crime Agency","National Crime Agency","Overseas","55","55","50070","47390"
"In post","2023","50-59","National Crime Agency","National Crime Agency","Unknown","55","55","48320","47950"
"In post","2023","50-59","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","National Records of Scotland","Scottish Government","Outside London","135","130","39880","34730"
"In post","2023","50-59","National Savings and Investments","Chancellor's other departments","London","40","40","61450","54820"
"In post","2023","50-59","National Savings and Investments","Chancellor's other departments","Outside London","20","20","51330","45690"
"In post","2023","50-59","Northern Ireland Office","Northern Ireland Office","London","10","10","54270","43650"
"In post","2023","50-59","Northern Ireland Office","Northern Ireland Office","Outside London","20","20","38760","37680"
"In post","2023","50-59","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","100","100","56940","52750"
"In post","2023","50-59","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","520","510","59600","52750"
"In post","2023","50-59","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","115","115","62880","60850"
"In post","2023","50-59","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","80","75","44230","43240"
"In post","2023","50-59","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","65","60","45930","39920"
"In post","2023","50-59","Office of Rail and Road","Office of Rail and Road","London","50","45","64680","61950"
"In post","2023","50-59","Office of Rail and Road","Office of Rail and Road","Outside London","40","35","61780","60320"
"In post","2023","50-59","Office of the Public Guardian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Office of the Public Guardian","Ministry of Justice","Outside London","270","255","26910","25830"
"In post","2023","50-59","Office of the Scottish Charity Regulator","Scottish Government","Outside London","15","10","47450","34730"
"In post","2023","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","20","20","60160","63190"
"In post","2023","50-59","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","5","5","[c]","[c]"
"In post","2023","50-59","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","10","5","[c]","[c]"
"In post","2023","50-59","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","250","225","49630","48660"
"In post","2023","50-59","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","10","10","47330","43690"
"In post","2023","50-59","Registers of Scotland","Scottish Government","Outside London","370","350","37400","32510"
"In post","2023","50-59","Revenue Scotland","Scottish Government","Outside London","20","20","52470","44890"
"In post","2023","50-59","Royal Fleet Auxiliary","Ministry of Defence","Unknown","440","440","47400","43120"
"In post","2023","50-59","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","700","650","28870","25920"
"In post","2023","50-59","Scottish Courts and Tribunals Service","Scottish Government","Outside London","560","505","31830","25060"
"In post","2023","50-59","Scottish Fiscal Commission","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Scottish Forestry","Scottish Government","Outside London","75","70","41470","38530"
"In post","2023","50-59","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Scottish Government (excl. agencies)","Scottish Government","Outside London","2105","2030","52720","49860"
"In post","2023","50-59","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Scottish Housing Regulator","Scottish Government","Outside London","20","20","61700","65280"
"In post","2023","50-59","Scottish Prison Service","Scottish Government","Outside London","1345","1295","38350","37060"
"In post","2023","50-59","Scottish Public Pensions Agency","Scottish Government","Outside London","105","100","32820","27740"
"In post","2023","50-59","Serious Fraud Office","Attorney General's Departments","London","130","130","54490","54230"
"In post","2023","50-59","Social Security Scotland","Scottish Government","Outside London","805","760","33500","29450"
"In post","2023","50-59","Standards and Testing Agency","Department for Education","London","5","5","[c]","[c]"
"In post","2023","50-59","Standards and Testing Agency","Department for Education","Outside London","15","15","45320","37830"
"In post","2023","50-59","Student Awards Agency for Scotland","Scottish Government","Outside London","55","55","37670","30440"
"In post","2023","50-59","Submarine Delivery Agency","Ministry of Defence","Outside London","495","485","52180","48020"
"In post","2023","50-59","Submarine Delivery Agency","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2023","50-59","Teaching Regulation Agency","Department for Education","Outside London","15","15","34460","30330"
"In post","2023","50-59","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","120","115","44780","39670"
"In post","2023","50-59","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","385","370","36020","34350"
"In post","2023","50-59","The National Archives","The National Archives","London","150","145","40800","36680"
"In post","2023","50-59","The National Archives","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Transport Scotland","Scottish Government","Outside London","130","130","54670","49860"
"In post","2023","50-59","UK Debt Management Office","HM Treasury","London","30","30","73220","66530"
"In post","2023","50-59","UK Export Finance","UK Export Finance","London","110","110","61400","54870"
"In post","2023","50-59","UK Export Finance","UK Export Finance","Outside London","10","10","[c]","[c]"
"In post","2023","50-59","UK Health Security Agency","Department of Health and Social Care","London","410","390","56660","53400"
"In post","2023","50-59","UK Health Security Agency","Department of Health and Social Care","Outside London","735","700","51780","49500"
"In post","2023","50-59","UK Hydrographic Office","Ministry of Defence","Outside London","225","215","40530","34370"
"In post","2023","50-59","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","15","15","58820","55350"
"In post","2023","50-59","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","30","30","49160","50680"
"In post","2023","50-59","UK Statistics Authority","UK Statistics Authority","London","35","35","63890","58430"
"In post","2023","50-59","UK Statistics Authority","UK Statistics Authority","Outside London","1225","1060","34630","31060"
"In post","2023","50-59","UK Supreme Court","UK Supreme Court","London","15","15","39170","30520"
"In post","2023","50-59","Valuation Office Agency","HM Revenue and Customs","London","220","210","45230","39140"
"In post","2023","50-59","Valuation Office Agency","HM Revenue and Customs","Outside London","985","930","37840","33960"
