"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","HM Treasury","Female","Undeclared","145","140","45260","42700"
"In post","2023","HM Treasury","Female","Unknown","60","55","50480","42090"
"In post","2023","HM Treasury","Male","Heterosexual / straight","985","970","49810","53550"
"In post","2023","HM Treasury","Male","LGBO","125","125","47700","43850"
"In post","2023","HM Treasury","Male","Undeclared","165","160","48280","46370"
"In post","2023","HM Treasury","Male","Unknown","100","100","63880","60140"
"In post","2023","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Home Office","Female","Heterosexual / straight","14455","13090","33720","29890"
"In post","2023","Home Office","Female","LGBO","605","585","33860","27650"
"In post","2023","Home Office","Female","Undeclared","1755","1560","33190","29890"
"In post","2023","Home Office","Female","Unknown","5620","5380","29290","25880"
"In post","2023","Home Office","Male","Heterosexual / straight","12900","12435","34710","30040"
"In post","2023","Home Office","Male","LGBO","760","740","35950","32000"
"In post","2023","Home Office","Male","Undeclared","1940","1830","35740","31950"
"In post","2023","Home Office","Male","Unknown","5095","4965","30310","25880"
"In post","2023","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Female","Heterosexual / straight","17680","16685","35190","32930"
"In post","2023","Ministry of Defence","Female","LGBO","675","660","34580","32520"
"In post","2023","Ministry of Defence","Female","Undeclared","2030","1920","35560","33830"
"In post","2023","Ministry of Defence","Female","Unknown","3180","3010","35440","31920"
"In post","2023","Ministry of Defence","Male","Heterosexual / straight","24385","23910","38020","34300"
"In post","2023","Ministry of Defence","Male","LGBO","735","725","37420","34640"
"In post","2023","Ministry of Defence","Male","Undeclared","3340","3245","38440","35570"
"In post","2023","Ministry of Defence","Male","Unknown","6155","6080","38240","35460"
"In post","2023","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Female","Heterosexual / straight","38220","35200","31440","28880"
"In post","2023","Ministry of Justice","Female","LGBO","3270","3175","31650","30410"
"In post","2023","Ministry of Justice","Female","Undeclared","3800","3460","31810","29050"
"In post","2023","Ministry of Justice","Female","Unknown","7835","7235","29990","28880"
"In post","2023","Ministry of Justice","Male","Heterosexual / straight","27095","26065","33740","32060"
"In post","2023","Ministry of Justice","Male","LGBO","1705","1660","34010","31270"
"In post","2023","Ministry of Justice","Male","Undeclared","3005","2845","34820","32920"
"In post","2023","Ministry of Justice","Male","Unknown","6950","6540","31760","30440"
"In post","2023","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","National Crime Agency","Female","Heterosexual / straight","2010","1920","40570","38640"
"In post","2023","National Crime Agency","Female","LGBO","140","135","39350","38310"
"In post","2023","National Crime Agency","Female","Undeclared","135","130","40720","38640"
"In post","2023","National Crime Agency","Female","Unknown","245","230","41440","39930"
"In post","2023","National Crime Agency","Male","Heterosexual / straight","2340","2310","44520","42110"
"In post","2023","National Crime Agency","Male","LGBO","95","95","42190","38640"
"In post","2023","National Crime Agency","Male","Undeclared","215","215","42530","41380"
"In post","2023","National Crime Agency","Male","Unknown","385","380","45260","42450"
"In post","2023","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Female","Heterosexual / straight","60","55","47210","38540"
"In post","2023","Northern Ireland Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Northern Ireland Office","Male","Heterosexual / straight","45","45","47080","43650"
"In post","2023","Northern Ireland Office","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Northern Ireland Office","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Female","Heterosexual / straight","1190","1140","51920","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Female","LGBO","70","70","51410","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Female","Undeclared","65","65","49290","44250"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Female","Unknown","70","60","43000","33130"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Male","Heterosexual / straight","495","490","56000","52750"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Male","LGBO","75","75","50540","40650"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Male","Undeclared","35","35","49140","41050"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Male","Unknown","30","30","42750","34490"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office for Standards in Education, Children's Services and Skills","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of Gas and Electricity Markets","Female","Heterosexual / straight","470","460","43980","41650"
"In post","2023","Office of Gas and Electricity Markets","Female","LGBO","50","50","35820","33400"
"In post","2023","Office of Gas and Electricity Markets","Female","Undeclared","40","40","40410","36650"
"In post","2023","Office of Gas and Electricity Markets","Female","Unknown","160","155","51020","46590"
"In post","2023","Office of Gas and Electricity Markets","Male","Heterosexual / straight","500","500","44700","40500"
"In post","2023","Office of Gas and Electricity Markets","Male","LGBO","80","80","38840","33000"
"In post","2023","Office of Gas and Electricity Markets","Male","Undeclared","55","55","50090","48730"
"In post","2023","Office of Gas and Electricity Markets","Male","Unknown","200","200","52570","48090"
"In post","2023","Office of Gas and Electricity Markets","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Office of Gas and Electricity Markets","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Office of Qualifications and Examinations Regulation","Female","Heterosexual / straight","180","170","42160","39140"
