"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","65+","Finance","Heterosexual / straight","195","160","35830","33750"
"In post","2023","65+","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Finance","Undeclared","45","35","35900","34640"
"In post","2023","65+","Finance","Unknown","55","40","32650","26920"
"In post","2023","65+","Grants Management","Heterosexual / straight","40","35","23920","22150"
"In post","2023","65+","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Grants Management","Undeclared","15","10","[c]","[c]"
"In post","2023","65+","Grants Management","Unknown","10","10","[c]","[c]"
"In post","2023","65+","Human Resources","Heterosexual / straight","290","240","34460","32480"
"In post","2023","65+","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2023","65+","Human Resources","Undeclared","55","45","33930","32540"
"In post","2023","65+","Human Resources","Unknown","30","25","32130","29730"
"In post","2023","65+","Internal Audit","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","65+","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Legal","Heterosexual / straight","165","120","49200","54730"
"In post","2023","65+","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Legal","Undeclared","20","15","[c]","[c]"
"In post","2023","65+","Legal","Unknown","80","60","49740","56450"
"In post","2023","65+","No function","Heterosexual / straight","6555","5025","29790","26880"
"In post","2023","65+","No function","LGBO","160","130","31580","28120"
"In post","2023","65+","No function","Undeclared","1180","860","30760","27450"
"In post","2023","65+","No function","Unknown","1760","1275","30030","26940"
"In post","2023","65+","Project Delivery","Heterosexual / straight","295","235","48120","42510"
"In post","2023","65+","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Project Delivery","Undeclared","35","30","51310","42510"
"In post","2023","65+","Project Delivery","Unknown","65","50","48890","42060"
"In post","2023","65+","Property","Heterosexual / straight","260","230","35540","33990"
"In post","2023","65+","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Property","Undeclared","45","35","34420","32580"
"In post","2023","65+","Property","Unknown","80","65","31880","27810"
"In post","2023","65+","Security","Heterosexual / straight","265","225","28630","23500"
"In post","2023","65+","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","65+","Security","Undeclared","45","40","31490","26400"
"In post","2023","65+","Security","Unknown","25","20","[c]","[c]"
"In post","2023","65+","Unknown","Heterosexual / straight","335","265","43640","39690"
"In post","2023","65+","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","45","35","48900","39690"
"In post","2023","65+","Unknown","Unknown","205","175","40810","33690"
"In post","2023","Unknown","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Unknown","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","No function","Unknown","10","10","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Debt","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Legal","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","No function","Unknown","70","[c]","21630","21780"
"Leaver CS","2023","16-19","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Analysis","Heterosexual / straight","200","[c]","30580","27850"
"Leaver CS","2023","20-29","Analysis","LGBO","40","[c]","30750","27850"
"Leaver CS","2023","20-29","Analysis","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Analysis","Unknown","220","[c]","27480","26250"
"Leaver CS","2023","20-29","Commercial","Heterosexual / straight","75","[c]","33140","32150"
"Leaver CS","2023","20-29","Commercial","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Commercial","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Commercial","Unknown","55","[c]","36930","29480"
"Leaver CS","2023","20-29","Communications","Heterosexual / straight","85","[c]","33110","33210"
"Leaver CS","2023","20-29","Communications","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Communications","Unknown","40","[c]","32840","31900"
"Leaver CS","2023","20-29","Counter Fraud","Heterosexual / straight","55","[c]","28230","28120"
"Leaver CS","2023","20-29","Counter Fraud","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Counter Fraud","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Counter Fraud","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Debt","Heterosexual / straight","35","[c]","22200","21690"
"Leaver CS","2023","20-29","Debt","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Debt","Unknown","185","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Digital, Data & Technology","Heterosexual / straight","230","[c]","33780","32390"
"Leaver CS","2023","20-29","Digital, Data & Technology","LGBO","55","[c]","33120","32710"
"Leaver CS","2023","20-29","Digital, Data & Technology","Undeclared","30","[c]","32650","32000"
"Leaver CS","2023","20-29","Digital, Data & Technology","Unknown","180","[c]","33180","31270"
"Leaver CS","2023","20-29","Finance","Heterosexual / straight","90","[c]","31540","29400"
"Leaver CS","2023","20-29","Finance","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Finance","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Finance","Unknown","65","[c]","30410","29320"
"Leaver CS","2023","20-29","Grants Management","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Grants Management","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Human Resources","Heterosexual / straight","115","[c]","27950","24860"
"Leaver CS","2023","20-29","Human Resources","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Human Resources","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Human Resources","Unknown","55","[c]","24930","22860"
"Leaver CS","2023","20-29","Internal Audit","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Legal","Heterosexual / straight","145","[c]","28440","25600"
"Leaver CS","2023","20-29","Legal","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Legal","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Legal","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","20-29","No function","Heterosexual / straight","3990","[c]","28080","27140"
"Leaver CS","2023","20-29","No function","LGBO","660","[c]","28760","27570"
"Leaver CS","2023","20-29","No function","Undeclared","355","[c]","28710","27320"
"Leaver CS","2023","20-29","No function","Unknown","2765","[c]","26990","24710"
"Leaver CS","2023","20-29","Project Delivery","Heterosexual / straight","190","[c]","31920","31920"
"Leaver CS","2023","20-29","Project Delivery","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Project Delivery","Unknown","80","[c]","31360","30650"
"Leaver CS","2023","20-29","Property","Heterosexual / straight","60","[c]","30040","27690"
"Leaver CS","2023","20-29","Property","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Property","Unknown","55","[c]","28330","26030"
"Leaver CS","2023","20-29","Security","Heterosexual / straight","90","[c]","27210","27350"
"Leaver CS","2023","20-29","Security","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Security","Unknown","75","[c]","27370","27350"
"Leaver CS","2023","20-29","Unknown","Heterosexual / straight","285","[c]","28860","26910"
"Leaver CS","2023","20-29","Unknown","LGBO","55","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Undeclared","100","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Unknown","320","[c]","27410","28000"
"Leaver CS","2023","30-39","Analysis","Heterosexual / straight","90","[c]","46390","43170"
"Leaver CS","2023","30-39","Analysis","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Analysis","Unknown","70","[c]","40860","39890"
"Leaver CS","2023","30-39","Commercial","Heterosexual / straight","85","[c]","42880","41250"
"Leaver CS","2023","30-39","Commercial","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Commercial","Unknown","60","[c]","53280","51290"
"Leaver CS","2023","30-39","Communications","Heterosexual / straight","90","[c]","44490","42750"
"Leaver CS","2023","30-39","Communications","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Communications","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Heterosexual / straight","35","[c]","33080","29500"
"Leaver CS","2023","30-39","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Counter Fraud","Unknown","75","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Debt","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Debt","Unknown","105","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Digital, Data & Technology","Heterosexual / straight","355","[c]","45520","43040"
"Leaver CS","2023","30-39","Digital, Data & Technology","LGBO","50","[c]","44050","40600"
"Leaver CS","2023","30-39","Digital, Data & Technology","Undeclared","40","[c]","43660","41080"
"Leaver CS","2023","30-39","Digital, Data & Technology","Unknown","195","[c]","45920","43650"
"Leaver CS","2023","30-39","Finance","Heterosexual / straight","80","[c]","43100","41200"
"Leaver CS","2023","30-39","Finance","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Finance","Unknown","60","[c]","40990","35360"
"Leaver CS","2023","30-39","Grants Management","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Grants Management","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Heterosexual / straight","170","[c]","35050","31270"
"Leaver CS","2023","30-39","Human Resources","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Human Resources","Unknown","60","[c]","34880","31780"
"Leaver CS","2023","30-39","Internal Audit","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Legal","Heterosexual / straight","135","[c]","47540","51550"
"Leaver CS","2023","30-39","Legal","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Legal","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Legal","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2023","30-39","No function","Heterosexual / straight","3465","[c]","33500","29290"
"Leaver CS","2023","30-39","No function","LGBO","395","[c]","34730","29660"
"Leaver CS","2023","30-39","No function","Undeclared","330","[c]","34070","29660"
"Leaver CS","2023","30-39","No function","Unknown","1785","[c]","32920","28120"
"Leaver CS","2023","30-39","Project Delivery","Heterosexual / straight","205","[c]","42880","41060"
"Leaver CS","2023","30-39","Project Delivery","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Project Delivery","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Project Delivery","Unknown","65","[c]","40520","38790"
"Leaver CS","2023","30-39","Property","Heterosexual / straight","60","[c]","36900","33660"
"Leaver CS","2023","30-39","Property","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Property","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Property","Unknown","35","[c]","35520","33150"
"Leaver CS","2023","30-39","Security","Heterosexual / straight","85","[c]","32860","30560"
"Leaver CS","2023","30-39","Security","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Security","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Security","Unknown","45","[c]","32920","27500"
"Leaver CS","2023","30-39","Unknown","Heterosexual / straight","250","[c]","38730","34730"
"Leaver CS","2023","30-39","Unknown","LGBO","55","[c]","41010","38330"
"Leaver CS","2023","30-39","Unknown","Undeclared","85","[c]","[c]","[c]"
"Leaver CS","2023","30-39","Unknown","Unknown","235","[c]","38540","34730"
"Leaver CS","2023","40-49","Analysis","Heterosexual / straight","35","[c]","56190","48050"
"Leaver CS","2023","40-49","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Analysis","Unknown","35","[c]","44940","49260"
"Leaver CS","2023","40-49","Commercial","Heterosexual / straight","50","[c]","52270","46920"
"Leaver CS","2023","40-49","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Commercial","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Commercial","Unknown","65","[c]","73500","70000"
"Leaver CS","2023","40-49","Communications","Heterosexual / straight","60","[c]","55910","51780"
"Leaver CS","2023","40-49","Communications","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Communications","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Communications","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Counter Fraud","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Counter Fraud","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Counter Fraud","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Debt","Heterosexual / straight","30","[c]","22050","21690"
"Leaver CS","2023","40-49","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Debt","Unknown","75","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Digital, Data & Technology","Heterosexual / straight","260","[c]","51810","48540"
"Leaver CS","2023","40-49","Digital, Data & Technology","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Digital, Data & Technology","Undeclared","35","[c]","50920","51010"
"Leaver CS","2023","40-49","Digital, Data & Technology","Unknown","110","[c]","50660","50160"
"Leaver CS","2023","40-49","Finance","Heterosexual / straight","65","[c]","46020","42100"
"Leaver CS","2023","40-49","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Finance","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Finance","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Grants Management","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Grants Management","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Human Resources","Heterosexual / straight","155","[c]","40470","33630"
"Leaver CS","2023","40-49","Human Resources","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Human Resources","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Human Resources","Unknown","40","[c]","46060","43690"
"Leaver CS","2023","40-49","Internal Audit","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Legal","Heterosexual / straight","120","[c]","53150","54100"
"Leaver CS","2023","40-49","Legal","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Legal","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Legal","Unknown","45","[c]","54410","56450"
"Leaver CS","2023","40-49","No function","Heterosexual / straight","2595","[c]","34370","28120"
"Leaver CS","2023","40-49","No function","LGBO","175","[c]","37590","29590"
"Leaver CS","2023","40-49","No function","Undeclared","280","[c]","35060","28950"
"Leaver CS","2023","40-49","No function","Unknown","1200","[c]","34830","27570"
"Leaver CS","2023","40-49","Project Delivery","Heterosexual / straight","130","[c]","51130","47960"
"Leaver CS","2023","40-49","Project Delivery","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Project Delivery","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Project Delivery","Unknown","50","[c]","46500","49260"
"Leaver CS","2023","40-49","Property","Heterosexual / straight","50","[c]","37080","33990"
"Leaver CS","2023","40-49","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Property","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Property","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Security","Heterosexual / straight","70","[c]","32110","27500"
"Leaver CS","2023","40-49","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Security","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Security","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Heterosexual / straight","205","[c]","49130","41560"
"Leaver CS","2023","40-49","Unknown","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Undeclared","60","[c]","[c]","[c]"
"Leaver CS","2023","40-49","Unknown","Unknown","130","[c]","41710","36330"
"Leaver CS","2023","50-59","Analysis","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Analysis","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Analysis","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Commercial","Heterosexual / straight","55","[c]","57120","43300"
"Leaver CS","2023","50-59","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Commercial","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Commercial","Unknown","45","[c]","75710","70000"
"Leaver CS","2023","50-59","Communications","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Communications","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Communications","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Counter Fraud","Heterosexual / straight","60","[c]","30800","27840"
"Leaver CS","2023","50-59","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Counter Fraud","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Counter Fraud","Unknown","120","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Debt","Heterosexual / straight","35","[c]","23240","21690"
"Leaver CS","2023","50-59","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Debt","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Debt","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Digital, Data & Technology","Heterosexual / straight","205","[c]","48100","43390"
"Leaver CS","2023","50-59","Digital, Data & Technology","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Digital, Data & Technology","Undeclared","30","[c]","46860","45980"
"Leaver CS","2023","50-59","Digital, Data & Technology","Unknown","105","[c]","50610","51080"
"Leaver CS","2023","50-59","Finance","Heterosexual / straight","85","[c]","45270","40070"
"Leaver CS","2023","50-59","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Finance","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Finance","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Grants Management","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Grants Management","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Human Resources","Heterosexual / straight","230","[c]","38510","33000"
"Leaver CS","2023","50-59","Human Resources","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Human Resources","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Human Resources","Unknown","60","[c]","43030","40530"
"Leaver CS","2023","50-59","Internal Audit","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Legal","Heterosexual / straight","95","[c]","50570","54250"
"Leaver CS","2023","50-59","Legal","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Legal","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Legal","Unknown","45","[c]","52870","56450"
"Leaver CS","2023","50-59","No function","Heterosexual / straight","3310","[c]","33550","28080"
"Leaver CS","2023","50-59","No function","LGBO","150","[c]","36540","28040"
"Leaver CS","2023","50-59","No function","Undeclared","460","[c]","32830","28120"
"Leaver CS","2023","50-59","No function","Unknown","1620","[c]","32180","26780"
"Leaver CS","2023","50-59","Project Delivery","Heterosexual / straight","125","[c]","50770","43850"
"Leaver CS","2023","50-59","Project Delivery","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Project Delivery","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Project Delivery","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Property","Heterosexual / straight","85","[c]","41170","34300"
"Leaver CS","2023","50-59","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Property","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Property","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Security","Heterosexual / straight","170","[c]","36680","34650"
"Leaver CS","2023","50-59","Security","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Security","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","50-59","Security","Unknown","45","[c]","30350","27500"
