"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Project Delivery","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","Unknown","20","20","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Rural Payments Agency","Heterosexual / straight","110","100","39430","37300"
"In post","2023","Project Delivery","Rural Payments Agency","LGBO","10","10","[c]","[c]"
"In post","2023","Project Delivery","Rural Payments Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Project Delivery","Rural Payments Agency","Unknown","40","35","39990","37300"
"In post","2023","Project Delivery","Scottish Prison Service","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Project Delivery","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Scottish Prison Service","Unknown","5","5","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Heterosexual / straight","110","105","42570","38390"
"In post","2023","Project Delivery","Standards and Testing Agency","LGBO","5","5","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Submarine Delivery Agency","Heterosexual / straight","1330","1300","43850","41800"
"In post","2023","Project Delivery","Submarine Delivery Agency","LGBO","45","45","36370","32550"
"In post","2023","Project Delivery","Submarine Delivery Agency","Undeclared","155","145","47790","44550"
"In post","2023","Project Delivery","Submarine Delivery Agency","Unknown","180","180","36980","33000"
"In post","2023","Project Delivery","The Insolvency Service","Heterosexual / straight","40","40","44760","44640"
"In post","2023","Project Delivery","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","The Insolvency Service","Unknown","15","15","[c]","[c]"
"In post","2023","Project Delivery","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Debt Management Office","Unknown","5","5","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","Heterosexual / straight","115","115","48350","43650"
"In post","2023","Project Delivery","UK Space Agency","LGBO","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Space Agency","Unknown","70","70","47370","47300"
"In post","2023","Project Delivery","UK Statistics Authority","Heterosexual / straight","210","205","42690","37760"
"In post","2023","Project Delivery","UK Statistics Authority","LGBO","15","15","[c]","[c]"
"In post","2023","Project Delivery","UK Statistics Authority","Undeclared","10","10","[c]","[c]"
"In post","2023","Project Delivery","UK Statistics Authority","Unknown","40","40","42920","37760"
"In post","2023","Project Delivery","Valuation Office Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Project Delivery","Valuation Office Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Valuation Office Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Project Delivery","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","Heterosexual / straight","35","30","38480","31620"
"In post","2023","Project Delivery","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Heterosexual / straight","65","60","55570","54100"
"In post","2023","Property","Cabinet Office (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Central Civil Service Fast Stream","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Central Civil Service Fast Stream","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Central Civil Service Fast Stream","Unknown","35","35","29650","28840"
"In post","2023","Property","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Property","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","Undeclared","10","10","[c]","[c]"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","340","330","40690","37300"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","35","35","35980","30320"
"In post","2023","Property","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","Undeclared","5","5","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","240","225","44530","39770"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","Unknown","40","40","44210","38470"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","Undeclared","5","5","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Heterosexual / straight","55","50","31940","31660"
"In post","2023","Property","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Undeclared","10","5","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Standards Agency","Heterosexual / straight","40","40","34590","31940"
"In post","2023","Property","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Standards Agency","Undeclared","5","5","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","Heterosexual / straight","175","175","44110","42150"
"In post","2023","Property","FCDO Services","LGBO","5","5","[c]","[c]"
"In post","2023","Property","FCDO Services","Undeclared","20","20","[c]","[c]"
"In post","2023","Property","FCDO Services","Unknown","35","35","38230","38340"
"In post","2023","Property","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Property Agency","Heterosexual / straight","320","315","50010","51020"
"In post","2023","Property","Government Property Agency","LGBO","20","20","[c]","[c]"
"In post","2023","Property","Government Property Agency","Undeclared","15","15","[c]","[c]"
"In post","2023","Property","Government Property Agency","Unknown","40","40","55130","51020"
"In post","2023","Property","HM Courts and Tribunals Service","Heterosexual / straight","95","95","42870","37680"
"In post","2023","Property","HM Courts and Tribunals Service","LGBO","5","5","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Undeclared","5","5","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2023","Property","HM Land Registry","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Property","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","160","155","45620","42140"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","Unknown","85","80","39350","35000"
"In post","2023","Property","Health and Safety Executive","Heterosexual / straight","15","10","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Home Office","Heterosexual / straight","60","55","31410","23500"
"In post","2023","Property","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Home Office","Undeclared","10","5","[c]","[c]"
"In post","2023","Property","Home Office","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","Unknown","15","15","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Met Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Property","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Ministry of Defence (excl. agencies)","Heterosexual / straight","1570","1530","34480","34300"
"In post","2023","Property","Ministry of Defence (excl. agencies)","LGBO","35","35","36290","34300"
"In post","2023","Property","Ministry of Defence (excl. agencies)","Undeclared","175","165","35290","34300"
"In post","2023","Property","Ministry of Defence (excl. agencies)","Unknown","275","265","29040","23020"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Heterosexual / straight","330","320","43610","41510"
"In post","2023","Property","Ministry of Justice (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Undeclared","30","30","46340","41510"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Unknown","85","80","39910","37680"
"In post","2023","Property","National Crime Agency","Heterosexual / straight","35","35","46180","41490"
"In post","2023","Property","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Crime Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Property","National Savings and Investments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Planning Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Property","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2023","Property","Scottish Prison Service","Heterosexual / straight","70","70","38250","37150"
"In post","2023","Property","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Scottish Prison Service","Unknown","160","155","32720","31490"
"In post","2023","Property","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","The National Archives","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Property","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Health Security Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Property","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Health Security Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Property","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Statistics Authority","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Property","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Valuation Office Agency","Heterosexual / straight","2200","2055","36490","32590"
"In post","2023","Property","Valuation Office Agency","LGBO","135","130","32600","27740"
"In post","2023","Property","Valuation Office Agency","Undeclared","320","290","37870","34440"
"In post","2023","Property","Valuation Office Agency","Unknown","1010","955","31290","27740"
"In post","2023","Property","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Property","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Property","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Heterosexual / straight","695","660","34850","33020"
"In post","2023","Security","Cabinet Office (excl. agencies)","LGBO","65","65","31610","27110"
"In post","2023","Security","Cabinet Office (excl. agencies)","Undeclared","75","70","36430","34320"
"In post","2023","Security","Cabinet Office (excl. agencies)","Unknown","215","205","30190","27110"
"In post","2023","Security","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Security","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Crown Office and Procurator Fiscal Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Equipment and Support","Heterosexual / straight","55","55","37550","38790"
"In post","2023","Security","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Equipment and Support","Undeclared","5","5","[c]","[c]"
"In post","2023","Security","Defence Equipment and Support","Unknown","5","5","[c]","[c]"
"In post","2023","Security","Defence Science and Technology Laboratory","Heterosexual / straight","75","70","38260","39890"
"In post","2023","Security","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Science and Technology Laboratory","Unknown","30","30","44150","46690"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Education (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Security","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for International Trade","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Security","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for International Trade","Unknown","5","5","[c]","[c]"
"In post","2023","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Transport (excl. agencies)","Heterosexual / straight","75","75","49400","45180"
"In post","2023","Security","Department for Transport (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Security","Department for Transport (excl. agencies)","Undeclared","20","15","[c]","[c]"
"In post","2023","Security","Department for Transport (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","100","95","32890","28120"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","Undeclared","20","15","[c]","[c]"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","Unknown","25","20","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","40","40","46540","38120"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Undeclared","15","15","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Licensing Agency","Heterosexual / straight","75","75","29850","26870"
"In post","2023","Security","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Licensing Agency","Undeclared","30","25","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Licensing Agency","Unknown","15","15","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Standards Agency","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Standards Agency","Undeclared","5","5","[c]","[c]"
"In post","2023","Security","Driver and Vehicle Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2023","Security","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Security","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Security","FCDO Services","Heterosexual / straight","245","235","37290","35250"
"In post","2023","Security","FCDO Services","LGBO","10","10","[c]","[c]"
"In post","2023","Security","FCDO Services","Undeclared","30","30","40800","38920"
