"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","50-59","No function","SEO/HEO","Male","9560","9400","40300","39450"
"In post","2023","50-59","No function","Unknown","Female","3325","3100","32090","29050"
"In post","2023","50-59","No function","Unknown","Male","1515","1435","33060","29050"
"In post","2023","50-59","Project Delivery","AA/AO","Female","70","60","23180","22520"
"In post","2023","50-59","Project Delivery","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","50-59","Project Delivery","EO","Female","295","270","28660","28130"
"In post","2023","50-59","Project Delivery","EO","Male","160","155","29110","28130"
"In post","2023","50-59","Project Delivery","G6/G7","Female","1055","1025","60990","58120"
"In post","2023","50-59","Project Delivery","G6/G7","Male","1315","1300","61470","58860"
"In post","2023","50-59","Project Delivery","SCS level","Female","130","125","93220","85760"
"In post","2023","50-59","Project Delivery","SCS level","Male","170","170","96220","88410"
"In post","2023","50-59","Project Delivery","SEO/HEO","Female","1445","1380","38840","39110"
"In post","2023","50-59","Project Delivery","SEO/HEO","Male","1210","1190","39990","41000"
"In post","2023","50-59","Project Delivery","Unknown","Female","105","100","44770","41000"
"In post","2023","50-59","Project Delivery","Unknown","Male","290","285","55440","54810"
"In post","2023","50-59","Property","AA/AO","Female","245","220","22230","22520"
"In post","2023","50-59","Property","AA/AO","Male","295","295","22340","22520"
"In post","2023","50-59","Property","EO","Female","265","245","28590","27810"
"In post","2023","50-59","Property","EO","Male","225","220","28630","27810"
"In post","2023","50-59","Property","G6/G7","Female","235","230","58900","57670"
"In post","2023","50-59","Property","G6/G7","Male","420","415","60270","59290"
"In post","2023","50-59","Property","SCS level","Female","20","20","[c]","[c]"
"In post","2023","50-59","Property","SCS level","Male","45","45","96780","90920"
"In post","2023","50-59","Property","SEO/HEO","Female","525","500","38660","37680"
"In post","2023","50-59","Property","SEO/HEO","Male","725","720","40110","40250"
"In post","2023","50-59","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Security","AA/AO","Female","300","290","24940","22130"
"In post","2023","50-59","Security","AA/AO","Male","1535","1520","29200","22880"
"In post","2023","50-59","Security","EO","Female","150","145","29600","28120"
"In post","2023","50-59","Security","EO","Male","345","340","37070","33450"
"In post","2023","50-59","Security","G6/G7","Female","90","85","59410","57970"
"In post","2023","50-59","Security","G6/G7","Male","190","185","63610","61100"
"In post","2023","50-59","Security","SCS level","Female","15","15","[c]","[c]"
"In post","2023","50-59","Security","SCS level","Male","20","20","[c]","[c]"
"In post","2023","50-59","Security","SEO/HEO","Female","255","245","38820","37850"
"In post","2023","50-59","Security","SEO/HEO","Male","465","460","43110","40700"
"In post","2023","50-59","Security","Unknown","Female","5","5","[c]","[c]"
"In post","2023","50-59","Security","Unknown","Male","10","10","[c]","[c]"
"In post","2023","50-59","Unknown","AA/AO","Female","565","515","25110","25620"
"In post","2023","50-59","Unknown","AA/AO","Male","415","405","26460","25620"
"In post","2023","50-59","Unknown","EO","Female","580","550","30290","30440"
"In post","2023","50-59","Unknown","EO","Male","440","435","31530","30610"
"In post","2023","50-59","Unknown","G6/G7","Female","1010","965","66380","65280"
"In post","2023","50-59","Unknown","G6/G7","Male","1010","1000","64790","63900"
"In post","2023","50-59","Unknown","SCS level","Female","115","115","91720","85200"
"In post","2023","50-59","Unknown","SCS level","Male","135","135","95810","85200"
"In post","2023","50-59","Unknown","SEO/HEO","Female","1425","1350","42880","41640"
"In post","2023","50-59","Unknown","SEO/HEO","Male","1095","1080","43260","41640"
"In post","2023","50-59","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2023","50-59","Unknown","Unknown","Male","430","430","47600","43140"
"In post","2023","60-64","Analysis","AA/AO","Female","10","5","[c]","[c]"
"In post","2023","60-64","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","EO","Female","15","10","[c]","[c]"
"In post","2023","60-64","Analysis","EO","Male","15","15","[c]","[c]"
"In post","2023","60-64","Analysis","G6/G7","Female","20","20","[c]","[c]"
"In post","2023","60-64","Analysis","G6/G7","Male","95","85","59050","56850"
"In post","2023","60-64","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Analysis","SEO/HEO","Female","35","30","39550","39790"
"In post","2023","60-64","Analysis","SEO/HEO","Male","65","60","38790","39510"
"In post","2023","60-64","Commercial","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","60-64","Commercial","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","60-64","Commercial","EO","Female","25","20","[c]","[c]"
"In post","2023","60-64","Commercial","EO","Male","20","15","[c]","[c]"
"In post","2023","60-64","Commercial","G6/G7","Female","40","35","60860","57490"
"In post","2023","60-64","Commercial","G6/G7","Male","80","70","67620","68460"
"In post","2023","60-64","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Commercial","SCS level","Male","20","20","[c]","[c]"
"In post","2023","60-64","Commercial","SEO/HEO","Female","90","80","39230","40450"
"In post","2023","60-64","Commercial","SEO/HEO","Male","105","95","40560","40810"
"In post","2023","60-64","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2023","60-64","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","60-64","Communications","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","60-64","Communications","EO","Female","20","20","[c]","[c]"
"In post","2023","60-64","Communications","EO","Male","30","25","[c]","[c]"
"In post","2023","60-64","Communications","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","60-64","Communications","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","60-64","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","SEO/HEO","Female","45","40","40110","39790"
"In post","2023","60-64","Communications","SEO/HEO","Male","35","35","39910","41040"
"In post","2023","60-64","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Counter Fraud","AA/AO","Female","210","155","23200","22520"
"In post","2023","60-64","Counter Fraud","AA/AO","Male","110","95","23310","22520"
"In post","2023","60-64","Counter Fraud","EO","Female","475","355","29330","28130"
"In post","2023","60-64","Counter Fraud","EO","Male","315","250","29170","28120"
"In post","2023","60-64","Counter Fraud","G6/G7","Female","35","30","64180","63380"
"In post","2023","60-64","Counter Fraud","G6/G7","Male","85","65","64390","61590"
"In post","2023","60-64","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Counter Fraud","SEO/HEO","Female","235","185","38110","36990"
"In post","2023","60-64","Counter Fraud","SEO/HEO","Male","250","205","39280","38570"
"In post","2023","60-64","Debt","AA/AO","Female","380","290","22820","22520"
"In post","2023","60-64","Debt","AA/AO","Male","160","145","22650","22520"
"In post","2023","60-64","Debt","EO","Female","95","75","29640","28130"
"In post","2023","60-64","Debt","EO","Male","70","60","30050","29730"
"In post","2023","60-64","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Debt","SEO/HEO","Female","30","25","38460","36990"
"In post","2023","60-64","Debt","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","AA/AO","Female","50","45","23200","22280"
"In post","2023","60-64","Digital, Data & Technology","AA/AO","Male","50","50","23210","22220"
"In post","2023","60-64","Digital, Data & Technology","EO","Female","115","90","28850","28120"
"In post","2023","60-64","Digital, Data & Technology","EO","Male","180","155","29000","28120"
"In post","2023","60-64","Digital, Data & Technology","G6/G7","Female","110","95","59140","57970"
"In post","2023","60-64","Digital, Data & Technology","G6/G7","Male","280","260","60330","59290"
"In post","2023","60-64","Digital, Data & Technology","SCS level","Female","5","5","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","SCS level","Male","15","15","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","SEO/HEO","Female","245","215","38250","38470"
"In post","2023","60-64","Digital, Data & Technology","SEO/HEO","Male","510","460","39980","39460"
"In post","2023","60-64","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2023","60-64","Finance","AA/AO","Female","200","150","22720","22520"
"In post","2023","60-64","Finance","AA/AO","Male","60","50","22680","22520"
"In post","2023","60-64","Finance","EO","Female","110","95","28950","28120"
"In post","2023","60-64","Finance","EO","Male","50","45","29160","29520"
"In post","2023","60-64","Finance","G6/G7","Female","65","60","59940","58850"
"In post","2023","60-64","Finance","G6/G7","Male","80","70","61220","59180"
"In post","2023","60-64","Finance","SCS level","Female","10","10","[c]","[c]"
"In post","2023","60-64","Finance","SCS level","Male","15","10","[c]","[c]"
"In post","2023","60-64","Finance","SEO/HEO","Female","205","175","38840","38470"
"In post","2023","60-64","Finance","SEO/HEO","Male","195","175","41830","41510"
"In post","2023","60-64","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","AA/AO","Female","65","55","22120","22150"
"In post","2023","60-64","Grants Management","AA/AO","Male","45","40","22150","22150"
"In post","2023","60-64","Grants Management","EO","Female","35","30","26330","26280"
"In post","2023","60-64","Grants Management","EO","Male","15","15","[c]","[c]"
"In post","2023","60-64","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Grants Management","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","60-64","Grants Management","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2023","60-64","Human Resources","AA/AO","Female","100","90","22710","22220"
"In post","2023","60-64","Human Resources","AA/AO","Male","25","20","[c]","[c]"
"In post","2023","60-64","Human Resources","EO","Female","150","125","28670","28120"
"In post","2023","60-64","Human Resources","EO","Male","275","260","29910","29570"
"In post","2023","60-64","Human Resources","G6/G7","Female","100","90","58890","56990"
"In post","2023","60-64","Human Resources","G6/G7","Male","55","50","62790","61350"
"In post","2023","60-64","Human Resources","SCS level","Female","10","10","[c]","[c]"
"In post","2023","60-64","Human Resources","SCS level","Male","5","5","[c]","[c]"
"In post","2023","60-64","Human Resources","SEO/HEO","Female","260","220","38380","37590"
"In post","2023","60-64","Human Resources","SEO/HEO","Male","290","265","38880","36990"
"In post","2023","60-64","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2023","60-64","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","60-64","Internal Audit","G6/G7","Male","15","10","[c]","[c]"
"In post","2023","60-64","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Internal Audit","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","60-64","Internal Audit","SEO/HEO","Male","30","20","[c]","[c]"
"In post","2023","60-64","Legal","AA/AO","Female","95","80","23660","22870"
"In post","2023","60-64","Legal","AA/AO","Male","50","45","23750","22870"
"In post","2023","60-64","Legal","EO","Female","105","80","29410","28850"
"In post","2023","60-64","Legal","EO","Male","30","25","[c]","[c]"
"In post","2023","60-64","Legal","G6/G7","Female","200","165","63580","63370"
"In post","2023","60-64","Legal","G6/G7","Male","205","175","65240","65280"
"In post","2023","60-64","Legal","SCS level","Female","20","20","[c]","[c]"
"In post","2023","60-64","Legal","SCS level","Male","15","15","[c]","[c]"
"In post","2023","60-64","Legal","SEO/HEO","Female","50","40","38100","35240"
"In post","2023","60-64","Legal","SEO/HEO","Male","50","40","39050","38210"
"In post","2023","60-64","No function","AA/AO","Female","7430","5760","22700","22220"
"In post","2023","60-64","No function","AA/AO","Male","4710","4005","24240","22520"
"In post","2023","60-64","No function","EO","Female","5235","4050","28840","28120"
"In post","2023","60-64","No function","EO","Male","3795","3115","29930","28120"
"In post","2023","60-64","No function","G6/G7","Female","610","545","63030","60570"
"In post","2023","60-64","No function","G6/G7","Male","930","825","64880","62170"
"In post","2023","60-64","No function","SCS level","Female","75","70","109750","102000"
"In post","2023","60-64","No function","SCS level","Male","145","135","103410","98070"
"In post","2023","60-64","No function","SEO/HEO","Female","2210","1820","38210","36630"
"In post","2023","60-64","No function","SEO/HEO","Male","2635","2255","40460","39150"
"In post","2023","60-64","No function","Unknown","Female","1050","915","31250","29050"
"In post","2023","60-64","No function","Unknown","Male","640","560","33090","29050"
"In post","2023","60-64","Project Delivery","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","60-64","Project Delivery","AA/AO","Male","15","10","[c]","[c]"
"In post","2023","60-64","Project Delivery","EO","Female","95","80","29240","28130"
"In post","2023","60-64","Project Delivery","EO","Male","50","40","29620","29730"
"In post","2023","60-64","Project Delivery","G6/G7","Female","160","135","61510","60910"
"In post","2023","60-64","Project Delivery","G6/G7","Male","260","230","61960","59890"
"In post","2023","60-64","Project Delivery","SCS level","Female","15","10","[c]","[c]"
"In post","2023","60-64","Project Delivery","SCS level","Male","25","20","[c]","[c]"
"In post","2023","60-64","Project Delivery","SEO/HEO","Female","345","285","38500","38470"
"In post","2023","60-64","Project Delivery","SEO/HEO","Male","365","315","40390","41000"
"In post","2023","60-64","Project Delivery","Unknown","Female","20","20","[c]","[c]"
"In post","2023","60-64","Project Delivery","Unknown","Male","110","100","51800","47040"
"In post","2023","60-64","Property","AA/AO","Female","115","100","22100","22520"
"In post","2023","60-64","Property","AA/AO","Male","160","150","21870","20310"
"In post","2023","60-64","Property","EO","Female","100","85","28610","27810"
"In post","2023","60-64","Property","EO","Male","85","75","29140","27810"
"In post","2023","60-64","Property","G6/G7","Female","30","25","[c]","[c]"
"In post","2023","60-64","Property","G6/G7","Male","115","100","60480","59290"
"In post","2023","60-64","Property","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Property","SCS level","Male","10","5","[c]","[c]"
"In post","2023","60-64","Property","SEO/HEO","Female","125","105","38820","37740"
"In post","2023","60-64","Property","SEO/HEO","Male","255","225","39900","39140"
"In post","2023","60-64","Security","AA/AO","Female","75","65","22940","21830"
"In post","2023","60-64","Security","AA/AO","Male","560","510","25720","21380"
"In post","2023","60-64","Security","EO","Female","45","35","29130","27720"
"In post","2023","60-64","Security","EO","Male","65","60","33470","28250"
"In post","2023","60-64","Security","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","60-64","Security","G6/G7","Male","30","25","[c]","[c]"
"In post","2023","60-64","Security","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","SEO/HEO","Female","40","35","39330","38030"
"In post","2023","60-64","Security","SEO/HEO","Male","135","130","40520","38190"
"In post","2023","60-64","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","AA/AO","Female","195","170","25270","25620"
"In post","2023","60-64","Unknown","AA/AO","Male","175","160","27300","26220"
"In post","2023","60-64","Unknown","EO","Female","155","140","30660","30610"
"In post","2023","60-64","Unknown","EO","Male","130","120","31930","31940"
"In post","2023","60-64","Unknown","G6/G7","Female","140","115","66170","65280"
"In post","2023","60-64","Unknown","G6/G7","Male","230","195","64760","63900"
"In post","2023","60-64","Unknown","SCS level","Female","20","15","[c]","[c]"
"In post","2023","60-64","Unknown","SCS level","Male","30","30","94200","85200"
"In post","2023","60-64","Unknown","SEO/HEO","Female","285","240","42600","39690"
"In post","2023","60-64","Unknown","SEO/HEO","Male","320","285","43590","41640"
"In post","2023","60-64","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","60-64","Unknown","Unknown","Male","130","130","45460","41200"
"In post","2023","65+","Analysis","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","65+","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","EO","Female","15","10","[c]","[c]"
"In post","2023","65+","Analysis","EO","Male","10","5","[c]","[c]"
"In post","2023","65+","Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","G6/G7","Male","30","20","[c]","[c]"
"In post","2023","65+","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Analysis","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2023","65+","Analysis","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2023","65+","Commercial","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","65+","Commercial","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","65+","Commercial","EO","Female","5","5","[c]","[c]"
"In post","2023","65+","Commercial","EO","Male","10","5","[c]","[c]"
"In post","2023","65+","Commercial","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","65+","Commercial","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","65+","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","65+","Commercial","SEO/HEO","Male","30","25","[c]","[c]"
"In post","2023","65+","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","EO","Female","5","5","[c]","[c]"
"In post","2023","65+","Communications","EO","Male","5","5","[c]","[c]"
"In post","2023","65+","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Communications","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","65+","Communications","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","65+","Counter Fraud","AA/AO","Female","100","65","23510","22520"
"In post","2023","65+","Counter Fraud","AA/AO","Male","40","35","23420","22520"
"In post","2023","65+","Counter Fraud","EO","Female","130","85","29370","28120"
"In post","2023","65+","Counter Fraud","EO","Male","125","85","29450","28120"
"In post","2023","65+","Counter Fraud","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","65+","Counter Fraud","G6/G7","Male","20","15","[c]","[c]"
"In post","2023","65+","Counter Fraud","SEO/HEO","Female","40","25","37770","36990"
"In post","2023","65+","Counter Fraud","SEO/HEO","Male","80","55","40010","39060"
"In post","2023","65+","Debt","AA/AO","Female","110","75","23300","22520"
"In post","2023","65+","Debt","AA/AO","Male","75","55","23170","22520"
"In post","2023","65+","Debt","EO","Female","20","15","[c]","[c]"
"In post","2023","65+","Debt","EO","Male","20","15","[c]","[c]"
"In post","2023","65+","Debt","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","65+","Debt","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","AA/AO","Female","20","20","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","EO","Female","40","30","28630","28120"
"In post","2023","65+","Digital, Data & Technology","EO","Male","55","45","29440","29570"
"In post","2023","65+","Digital, Data & Technology","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","G6/G7","Male","75","65","59140","59220"
"In post","2023","65+","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","SEO/HEO","Female","50","45","37900","36960"
"In post","2023","65+","Digital, Data & Technology","SEO/HEO","Male","155","130","41010","40090"
"In post","2023","65+","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Finance","AA/AO","Female","60","45","23120","22520"
"In post","2023","65+","Finance","AA/AO","Male","35","30","23320","22520"
"In post","2023","65+","Finance","EO","Female","50","40","29090","28860"
"In post","2023","65+","Finance","EO","Male","20","15","[c]","[c]"
"In post","2023","65+","Finance","G6/G7","Female","10","5","[c]","[c]"
"In post","2023","65+","Finance","G6/G7","Male","20","15","[c]","[c]"
"In post","2023","65+","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Finance","SEO/HEO","Female","45","40","38700","38210"
"In post","2023","65+","Finance","SEO/HEO","Male","60","50","41830","41650"
"In post","2023","65+","Grants Management","AA/AO","Female","30","25","22150","22150"
"In post","2023","65+","Grants Management","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","65+","Grants Management","EO","Female","10","5","[c]","[c]"
"In post","2023","65+","Grants Management","EO","Male","10","5","[c]","[c]"
"In post","2023","65+","Grants Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Grants Management","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","65+","Human Resources","AA/AO","Female","45","35","22840","22330"
"In post","2023","65+","Human Resources","AA/AO","Male","20","15","[c]","[c]"
"In post","2023","65+","Human Resources","EO","Female","50","40","28190","28120"
"In post","2023","65+","Human Resources","EO","Male","95","85","30430","29730"
"In post","2023","65+","Human Resources","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","65+","Human Resources","G6/G7","Male","15","10","[c]","[c]"
"In post","2023","65+","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Human Resources","SEO/HEO","Female","55","40","39890","40350"
"In post","2023","65+","Human Resources","SEO/HEO","Male","85","75","38180","36920"
"In post","2023","65+","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Internal Audit","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","65+","Legal","AA/AO","Female","30","20","23880","24430"
"In post","2023","65+","Legal","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","65+","Legal","EO","Female","25","20","[c]","[c]"
"In post","2023","65+","Legal","EO","Male","20","15","[c]","[c]"
"In post","2023","65+","Legal","G6/G7","Female","50","35","65010","63500"
"In post","2023","65+","Legal","G6/G7","Male","95","70","63580","62130"
"In post","2023","65+","Legal","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Legal","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Legal","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2023","65+","Legal","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","65+","No function","AA/AO","Female","2600","1900","22830","22220"
"In post","2023","65+","No function","AA/AO","Male","2010","1600","23520","22500"
"In post","2023","65+","No function","EO","Female","1430","1020","29140","28120"
"In post","2023","65+","No function","EO","Male","1230","910","29680","28120"
"In post","2023","65+","No function","G6/G7","Female","125","105","63090","59800"
"In post","2023","65+","No function","G6/G7","Male","280","220","66640","63720"
"In post","2023","65+","No function","SCS level","Female","15","15","[c]","[c]"
"In post","2023","65+","No function","SCS level","Male","35","30","127640","119130"
"In post","2023","65+","No function","SEO/HEO","Female","435","330","38190","36800"
"In post","2023","65+","No function","SEO/HEO","Male","870","685","40930","39300"
"In post","2023","65+","No function","Unknown","Female","380","285","30810","29050"
"In post","2023","65+","No function","Unknown","Male","245","195","32600","29050"
"In post","2023","65+","Project Delivery","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","65+","Project Delivery","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","65+","Project Delivery","EO","Female","25","20","[c]","[c]"
"In post","2023","65+","Project Delivery","EO","Male","20","15","[c]","[c]"
"In post","2023","65+","Project Delivery","G6/G7","Female","25","20","[c]","[c]"
"In post","2023","65+","Project Delivery","G6/G7","Male","80","65","64200","63510"
"In post","2023","65+","Project Delivery","SCS level","Female","5","5","[c]","[c]"
"In post","2023","65+","Project Delivery","SCS level","Male","10","10","[c]","[c]"
"In post","2023","65+","Project Delivery","SEO/HEO","Female","60","45","38220","37600"
"In post","2023","65+","Project Delivery","SEO/HEO","Male","115","95","41370","41740"
"In post","2023","65+","Project Delivery","Unknown","Female","5","5","[c]","[c]"
"In post","2023","65+","Project Delivery","Unknown","Male","35","30","49360","44230"
"In post","2023","65+","Property","AA/AO","Female","35","30","21600","21990"
"In post","2023","65+","Property","AA/AO","Male","95","85","20850","18830"
"In post","2023","65+","Property","EO","Female","35","25","28910","27810"
"In post","2023","65+","Property","EO","Male","40","35","29090","27810"
"In post","2023","65+","Property","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","65+","Property","G6/G7","Male","35","30","60950","60000"
"In post","2023","65+","Property","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Property","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Property","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2023","65+","Property","SEO/HEO","Male","115","95","41580","41800"
"In post","2023","65+","Security","AA/AO","Female","30","25","23450","22310"
"In post","2023","65+","Security","AA/AO","Male","200","175","24950","21690"
"In post","2023","65+","Security","EO","Female","10","10","[c]","[c]"
"In post","2023","65+","Security","EO","Male","25","25","[c]","[c]"
"In post","2023","65+","Security","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Security","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","65+","Security","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2023","65+","Security","SEO/HEO","Male","40","35","41440","38590"
"In post","2023","65+","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","65+","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","AA/AO","Female","85","70","25740","25620"
