"Status","Year","Age","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Knowledge and Information Management","London","Unknown","20","20","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Outside London","Heterosexual / straight","105","105","28750","27470"
"In post","2023","20-29","Knowledge and Information Management","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Outside London","Unknown","30","30","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","London","Heterosexual / straight","310","310","39410","34540"
"In post","2023","20-29","Legal","London","LGBO","35","35","44030","45230"
"In post","2023","20-29","Legal","London","Undeclared","35","35","40690","45170"
"In post","2023","20-29","Legal","London","Unknown","80","80","39440","35410"
"In post","2023","20-29","Legal","Outside London","Heterosexual / straight","450","445","39520","37830"
"In post","2023","20-29","Legal","Outside London","LGBO","50","50","36880","32460"
"In post","2023","20-29","Legal","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2023","20-29","Legal","Outside London","Unknown","130","130","33070","28920"
"In post","2023","20-29","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","20-29","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","London","Undeclared","5","5","[c]","[c]"
"In post","2023","20-29","Medicine","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","Outside London","Heterosexual / straight","60","60","32590","30840"
"In post","2023","20-29","Medicine","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","20-29","Medicine","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","Outside London","Unknown","40","35","32870","32930"
"In post","2023","20-29","Medicine","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","London","Heterosexual / straight","3335","3295","32700","32520"
"In post","2023","20-29","Operational Delivery","London","LGBO","360","355","34330","32520"
"In post","2023","20-29","Operational Delivery","London","Undeclared","275","270","33780","32520"
"In post","2023","20-29","Operational Delivery","London","Unknown","1790","1765","31320","29750"
"In post","2023","20-29","Operational Delivery","Outside London","Heterosexual / straight","21225","20765","26780","25880"
"In post","2023","20-29","Operational Delivery","Outside London","LGBO","2855","2810","26240","24840"
"In post","2023","20-29","Operational Delivery","Outside London","Undeclared","1325","1295","26470","25340"
"In post","2023","20-29","Operational Delivery","Outside London","Unknown","10250","10015","25610","24710"
"In post","2023","20-29","Operational Delivery","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Unknown","Heterosexual / straight","45","45","25940","25810"
"In post","2023","20-29","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Operational Delivery","Unknown","Unknown","35","30","24670","22400"
"In post","2023","20-29","Operational Research","London","Heterosexual / straight","85","85","43420","41190"
"In post","2023","20-29","Operational Research","London","LGBO","15","15","[c]","[c]"
"In post","2023","20-29","Operational Research","London","Undeclared","10","10","[c]","[c]"
"In post","2023","20-29","Operational Research","London","Unknown","35","35","40280","36800"
"In post","2023","20-29","Operational Research","Outside London","Heterosexual / straight","120","120","34680","33950"
