"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","G6/G7","G6","15","10","71580","70920"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","G6/G7","G7","30","25","58210","54870"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Scotland","Outside London","SEO/HEO","SEO","15","15","48190","49860"
"In post","2023","Office of the Secretary of State for Wales","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Office of the Secretary of State for Wales","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","Outside London","AA/AO","AA","2770","2550","23290","22920"
"In post","2023","Scottish Government","Outside London","AA/AO","AO","4585","4320","26370","25710"
"In post","2023","Scottish Government","Outside London","EO","EO","7035","6715","32400","31940"
"In post","2023","Scottish Government","Outside London","G6/G7","G6","1530","1475","76340","79110"
"In post","2023","Scottish Government","Outside London","G6/G7","G7","2890","2770","59990","58850"
"In post","2023","Scottish Government","Outside London","SCS level","SCS level","305","295","90950","85200"
"In post","2023","Scottish Government","Outside London","SEO/HEO","HEO","4750","4550","37270","37940"
"In post","2023","Scottish Government","Outside London","SEO/HEO","SEO","3720","3545","47050","48140"
"In post","2023","Scottish Government","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Scottish Government","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Scottish Government","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Scottish Government","Overseas","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","The National Archives","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","The National Archives","London","AA/AO","AO","85","75","23520","23460"
"In post","2023","The National Archives","London","EO","EO","75","70","26410","25680"
"In post","2023","The National Archives","London","G6/G7","G6","30","30","62690","60680"
"In post","2023","The National Archives","London","G6/G7","G7","75","75","50520","48960"
"In post","2023","The National Archives","London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","The National Archives","London","SEO/HEO","HEO","155","150","32020","30600"
"In post","2023","The National Archives","London","SEO/HEO","SEO","150","150","41630","40420"
"In post","2023","The National Archives","Outside London","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","UK Export Finance","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","London","EO","EO","65","60","32380","32300"
"In post","2023","UK Export Finance","London","G6/G7","G6","65","65","78220","77520"
"In post","2023","UK Export Finance","London","G6/G7","G7","120","115","60350","59840"
"In post","2023","UK Export Finance","London","SCS level","SCS level","35","35","112620","103480"
"In post","2023","UK Export Finance","London","SEO/HEO","HEO","80","80","36260","35200"
"In post","2023","UK Export Finance","London","SEO/HEO","SEO","135","130","46600","45130"
"In post","2023","UK Export Finance","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","UK Export Finance","Outside London","G6/G7","G7","20","20","53500","52000"
"In post","2023","UK Statistics Authority","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Statistics Authority","London","EO","EO","10","10","28710","27700"
"In post","2023","UK Statistics Authority","London","G6/G7","G6","30","25","66170","65230"
"In post","2023","UK Statistics Authority","London","G6/G7","G7","60","55","56800","54540"
"In post","2023","UK Statistics Authority","London","SCS level","SCS level","30","30","91580","82290"
"In post","2023","UK Statistics Authority","London","SEO/HEO","HEO","100","100","34270","34560"
"In post","2023","UK Statistics Authority","London","SEO/HEO","SEO","85","85","41890","42190"
"In post","2023","UK Statistics Authority","Outside London","AA/AO","AA","295","175","20850","20150"
"In post","2023","UK Statistics Authority","Outside London","AA/AO","AO","1215","900","21610","21200"
"In post","2023","UK Statistics Authority","Outside London","EO","EO","705","650","25360","24840"
"In post","2023","UK Statistics Authority","Outside London","G6/G7","G6","215","205","63090","61240"
"In post","2023","UK Statistics Authority","Outside London","G6/G7","G7","915","885","52790","51460"
"In post","2023","UK Statistics Authority","Outside London","SCS level","SCS level","65","60","83650","74810"
"In post","2023","UK Statistics Authority","Outside London","SEO/HEO","HEO","1210","1160","31600","31560"
"In post","2023","UK Statistics Authority","Outside London","SEO/HEO","SEO","1200","1155","38780","38510"
"In post","2023","UK Supreme Court","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","London","EO","EO","20","20","27900","27880"
"In post","2023","UK Supreme Court","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","London","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","UK Supreme Court","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","UK Supreme Court","London","SEO/HEO","SEO","15","15","37280","37230"
"In post","2023","Water Services Regulation Authority","London","EO","EO","15","15","30610","29000"
"In post","2023","Water Services Regulation Authority","London","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Water Services Regulation Authority","London","G6/G7","G7","20","20","74290","75000"
"In post","2023","Water Services Regulation Authority","London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Water Services Regulation Authority","London","SEO/HEO","HEO","20","20","43520","45530"
"In post","2023","Water Services Regulation Authority","London","SEO/HEO","SEO","10","10","62270","63100"
"In post","2023","Water Services Regulation Authority","Outside London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Water Services Regulation Authority","Outside London","EO","EO","30","25","30320","30000"
"In post","2023","Water Services Regulation Authority","Outside London","G6/G7","G6","15","15","96180","91380"
"In post","2023","Water Services Regulation Authority","Outside London","G6/G7","G7","25","25","73360","72940"
"In post","2023","Water Services Regulation Authority","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Water Services Regulation Authority","Outside London","SEO/HEO","HEO","75","75","42480","41950"
"In post","2023","Water Services Regulation Authority","Outside London","SEO/HEO","SEO","35","35","57860","58000"
"In post","2023","Welsh Government","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","Outside London","AA/AO","AO","845","775","25130","25620"
"In post","2023","Welsh Government","Outside London","EO","EO","1075","1015","29860","30610"
"In post","2023","Welsh Government","Outside London","G6/G7","G6","230","220","75030","76990"
"In post","2023","Welsh Government","Outside London","G6/G7","G7","940","895","61960","63900"
"In post","2023","Welsh Government","Outside London","SCS level","SCS level","190","180","90150","81600"
"In post","2023","Welsh Government","Outside London","SEO/HEO","HEO","1465","1380","38440","39690"
"In post","2023","Welsh Government","Outside London","SEO/HEO","SEO","1285","1230","47740","49370"
"In post","2023","Welsh Government","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Welsh Government","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Welsh Government","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","London","AA/AO","AO","60","[c]","23970","24480"
"Leaver CS","2023","Attorney General's Departments","London","EO","EO","80","[c]","28500","28060"
"Leaver CS","2023","Attorney General's Departments","London","G6/G7","G6","80","[c]","69410","67650"
"Leaver CS","2023","Attorney General's Departments","London","G6/G7","G7","130","[c]","55270","52790"
"Leaver CS","2023","Attorney General's Departments","London","SCS level","SCS level","20","[c]","89850","85660"
"Leaver CS","2023","Attorney General's Departments","London","SEO/HEO","HEO","35","[c]","36810","34500"
"Leaver CS","2023","Attorney General's Departments","London","SEO/HEO","SEO","30","[c]","41930","41400"
"Leaver CS","2023","Attorney General's Departments","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","Outside London","AA/AO","AO","110","[c]","22330","22870"
"Leaver CS","2023","Attorney General's Departments","Outside London","EO","EO","55","[c]","28000","28060"
"Leaver CS","2023","Attorney General's Departments","Outside London","G6/G7","G6","15","[c]","71850","73160"
"Leaver CS","2023","Attorney General's Departments","Outside London","G6/G7","G7","120","[c]","56610","56450"
"Leaver CS","2023","Attorney General's Departments","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","Outside London","SEO/HEO","HEO","25","[c]","33380","33300"
"Leaver CS","2023","Attorney General's Departments","Outside London","SEO/HEO","SEO","35","[c]","39550","38760"
"Leaver CS","2023","Cabinet Office","London","AA/AO","AO","45","[c]","19640","18300"
"Leaver CS","2023","Cabinet Office","London","EO","EO","60","[c]","28140","28370"
"Leaver CS","2023","Cabinet Office","London","G6/G7","G6","85","[c]","70260","67000"
"Leaver CS","2023","Cabinet Office","London","G6/G7","G7","215","[c]","58540","56430"
"Leaver CS","2023","Cabinet Office","London","SCS level","SCS level","65","[c]","110690","97900"
"Leaver CS","2023","Cabinet Office","London","SEO/HEO","HEO","165","[c]","33200","34250"
"Leaver CS","2023","Cabinet Office","London","SEO/HEO","SEO","70","[c]","42080","41870"
"Leaver CS","2023","Cabinet Office","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Outside London","AA/AO","AO","65","[c]","21030","21170"
"Leaver CS","2023","Cabinet Office","Outside London","EO","EO","55","[c]","25320","24860"
"Leaver CS","2023","Cabinet Office","Outside London","G6/G7","G6","30","[c]","69930","65870"
"Leaver CS","2023","Cabinet Office","Outside London","G6/G7","G7","80","[c]","57580","55650"
"Leaver CS","2023","Cabinet Office","Outside London","SCS level","SCS level","15","[c]","112690","113020"
"Leaver CS","2023","Cabinet Office","Outside London","SEO/HEO","HEO","95","[c]","32910","33020"
"Leaver CS","2023","Cabinet Office","Outside London","SEO/HEO","SEO","60","[c]","38910","38460"
"Leaver CS","2023","Cabinet Office","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","Unknown","SEO/HEO","HEO","20","[c]","30250","29250"
"Leaver CS","2023","Chancellor's other departments","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","London","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","London","G6/G7","G6","10","[c]","89570","82800"
"Leaver CS","2023","Chancellor's other departments","London","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","London","SEO/HEO","HEO","20","[c]","37410","37690"
"Leaver CS","2023","Chancellor's other departments","London","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","London","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","Outside London","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","Outside London","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","Outside London","SEO/HEO","HEO","15","[c]","29510","29860"
"Leaver CS","2023","Charity Commission","Outside London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","London","AA/AO","AO","10","[c]","23300","23200"
"Leaver CS","2023","Competition and Markets Authority","London","EO","EO","10","[c]","28010","27550"
"Leaver CS","2023","Competition and Markets Authority","London","G6/G7","G6","25","[c]","75450","74960"
"Leaver CS","2023","Competition and Markets Authority","London","G6/G7","G7","25","[c]","56670","55860"
"Leaver CS","2023","Competition and Markets Authority","London","SCS level","SCS level","10","[c]","119760","102080"
"Leaver CS","2023","Competition and Markets Authority","London","SEO/HEO","HEO","20","[c]","35550","34620"
"Leaver CS","2023","Competition and Markets Authority","London","SEO/HEO","SEO","15","[c]","44020","43560"
"Leaver CS","2023","Competition and Markets Authority","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","Outside London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","AA/AO","AO","25","[c]","24890","24900"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","EO","EO","35","[c]","28380","27680"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","G6","65","[c]","67070","65390"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","G6/G7","G7","160","[c]","54250","53600"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","SCS level","SCS level","40","[c]","84040","75810"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","HEO","115","[c]","33860","33570"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","SEO","130","[c]","40780","40050"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","AA","20","[c]","18990","19080"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","AO","105","[c]","21760","21780"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","EO","EO","115","[c]","26330","25160"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","G6","25","[c]","65850","64470"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","G7","70","[c]","52080","50680"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","HEO","120","[c]","33430","32730"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","SEO","100","[c]","42120","42220"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","EO","EO","20","[c]","27230","26180"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","G6","25","[c]","65560","64790"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","G6/G7","G7","80","[c]","54560","53030"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","London","SEO/HEO","HEO","100","[c]","35620","35040"
"Leaver CS","2023","Department for Education","London","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","London","EO","EO","30","[c]","25860","29530"
"Leaver CS","2023","Department for Education","London","G6/G7","G6","20","[c]","69380","69400"
"Leaver CS","2023","Department for Education","London","G6/G7","G7","35","[c]","57500","55380"
"Leaver CS","2023","Department for Education","London","SCS level","SCS level","10","[c]","99250","99930"
"Leaver CS","2023","Department for Education","London","SEO/HEO","HEO","25","[c]","31170","34030"
"Leaver CS","2023","Department for Education","London","SEO/HEO","SEO","40","[c]","43580","42170"
"Leaver CS","2023","Department for Education","Outside London","AA/AO","AO","10","[c]","22290","22020"
"Leaver CS","2023","Department for Education","Outside London","EO","EO","50","[c]","24670","25900"
"Leaver CS","2023","Department for Education","Outside London","G6/G7","G6","30","[c]","66060","63510"
"Leaver CS","2023","Department for Education","Outside London","G6/G7","G7","85","[c]","53030","51640"
"Leaver CS","2023","Department for Education","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","Outside London","SEO/HEO","HEO","80","[c]","31510","30330"
"Leaver CS","2023","Department for Education","Outside London","SEO/HEO","SEO","110","[c]","39210","37650"
"Leaver CS","2023","Department for Education","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","AA/AO","AO","35","[c]","22970","22150"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","EO","EO","80","[c]","27020","27100"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","G6/G7","G7","40","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","SCS level","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","SEO/HEO","HEO","70","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","SEO/HEO","SEO","45","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","AO","245","[c]","22150","22150"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","EO","EO","185","[c]","26070","25920"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","G7","90","[c]","53020","52790"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","HEO","125","[c]","31240","30430"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","SEO","135","[c]","39420","38230"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","London","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","London","EO","EO","55","[c]","23540","26250"
"Leaver CS","2023","Department for International Trade","London","G6/G7","G6","15","[c]","66530","65820"
"Leaver CS","2023","Department for International Trade","London","G6/G7","G7","65","[c]","54630","54750"
"Leaver CS","2023","Department for International Trade","London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","London","SEO/HEO","HEO","35","[c]","33110","32120"
"Leaver CS","2023","Department for International Trade","London","SEO/HEO","SEO","35","[c]","40240","38770"
"Leaver CS","2023","Department for International Trade","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Outside London","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Outside London","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Outside London","SEO/HEO","HEO","10","[c]","30620","30270"
"Leaver CS","2023","Department for International Trade","Outside London","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","AA/AO","AO","15","[c]","26710","26870"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","EO","EO","25","[c]","29110","28850"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","G6/G7","G6","20","[c]","66310","65480"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","G6/G7","G7","45","[c]","54270","53870"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","SCS level","SCS level","20","[c]","89830","78690"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","SEO/HEO","HEO","55","[c]","33790","33210"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","London","SEO/HEO","SEO","30","[c]","41350","40800"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","AA","15","[c]","18300","18300"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","AO","20","[c]","21480","21960"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","EO","EO","20","[c]","26050","25940"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","G6","20","[c]","64250","60050"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","G7","35","[c]","49860","49180"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","HEO","30","[c]","31840","31290"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","SEO","35","[c]","38710","38110"
"Leaver CS","2023","Department for Transport","London","AA/AO","AO","15","[c]","27880","26510"
"Leaver CS","2023","Department for Transport","London","EO","EO","65","[c]","30720","30920"
"Leaver CS","2023","Department for Transport","London","G6/G7","G6","25","[c]","70150","69460"
"Leaver CS","2023","Department for Transport","London","G6/G7","G7","60","[c]","56940","55940"
"Leaver CS","2023","Department for Transport","London","SCS level","SCS level","15","[c]","88480","81400"
"Leaver CS","2023","Department for Transport","London","SEO/HEO","HEO","40","[c]","35410","35760"
"Leaver CS","2023","Department for Transport","London","SEO/HEO","SEO","40","[c]","43760","43750"
"Leaver CS","2023","Department for Transport","Outside London","AA/AO","AA","150","[c]","18910","19000"
"Leaver CS","2023","Department for Transport","Outside London","AA/AO","AO","560","[c]","22950","22500"
"Leaver CS","2023","Department for Transport","Outside London","EO","EO","395","[c]","27460","26960"
"Leaver CS","2023","Department for Transport","Outside London","G6/G7","G6","20","[c]","81000","73920"
"Leaver CS","2023","Department for Transport","Outside London","G6/G7","G7","55","[c]","55550","54000"
"Leaver CS","2023","Department for Transport","Outside London","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","Outside London","SEO/HEO","HEO","120","[c]","32350","31660"
"Leaver CS","2023","Department for Transport","Outside London","SEO/HEO","SEO","95","[c]","42690","41960"
"Leaver CS","2023","Department for Work and Pensions","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","London","AA/AO","AO","175","[c]","25180","25610"
"Leaver CS","2023","Department for Work and Pensions","London","EO","EO","735","[c]","31350","31060"
"Leaver CS","2023","Department for Work and Pensions","London","G6/G7","G6","10","[c]","73320","73450"
"Leaver CS","2023","Department for Work and Pensions","London","G6/G7","G7","40","[c]","57450","56050"
"Leaver CS","2023","Department for Work and Pensions","London","SCS level","SCS level","10","[c]","102380","103550"
