"Status","Year","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Government Internal Audit Agency","HM Treasury","Project Delivery","10","10","53760","51350"
"In post","2023","Government Legal Department","Attorney General's Departments","Communications","10","10","42880","36430"
"In post","2023","Government Legal Department","Attorney General's Departments","Digital, Data and Technology","15","15","64030","69800"
"In post","2023","Government Legal Department","Attorney General's Departments","Finance","45","45","40690","31640"
"In post","2023","Government Legal Department","Attorney General's Departments","Human Resources","75","75","41720","36050"
"In post","2023","Government Legal Department","Attorney General's Departments","Knowledge and Information Management","20","20","49120","52560"
"In post","2023","Government Legal Department","Attorney General's Departments","Legal","2125","1970","60380","62350"
"In post","2023","Government Legal Department","Attorney General's Departments","Operational Delivery","325","310","33050","28540"
"In post","2023","Government Legal Department","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Government Legal Department","Attorney General's Departments","Policy","15","15","46590","38860"
"In post","2023","Government Legal Department","Attorney General's Departments","Project Delivery","20","15","54040","52790"
"In post","2023","Government Legal Department","Attorney General's Departments","Property","5","5","[c]","[c]"
"In post","2023","Government Legal Department","Attorney General's Departments","Security","10","10","41080","35260"
"In post","2023","Government Legal Department","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Government Property Agency","Cabinet Office","Communications","5","5","[c]","[c]"
"In post","2023","Government Property Agency","Cabinet Office","Digital, Data and Technology","30","30","54420","55000"
"In post","2023","Government Property Agency","Cabinet Office","Finance","70","65","44720","40000"
"In post","2023","Government Property Agency","Cabinet Office","Human Resources","15","15","40590","38330"
"In post","2023","Government Property Agency","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Government Property Agency","Cabinet Office","Other","15","15","54100","38340"
"In post","2023","Government Property Agency","Cabinet Office","Project Delivery","40","40","54730","56070"
"In post","2023","Government Property Agency","Cabinet Office","Property","215","210","50910","51020"
"In post","2023","Government Property Agency","Cabinet Office","Security","5","5","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Communications","35","35","41700","37680"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Digital, Data and Technology","330","325","41690","37680"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Finance","125","120","43750","43380"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Human Resources","80","75","42350","37680"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Knowledge and Information Management","15","10","34920","31270"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Legal","1130","1025","44290","43650"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","13910","12515","25610","21780"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Operational Research","10","10","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Planning","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Policy","25","25","43610","37680"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","45","45","43930","38920"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Property","95","95","43440","37680"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Statistics","10","10","44500","43650"
"In post","2023","HM Courts and Tribunals Service","Ministry of Justice","Unknown","15","15","44560","38460"
"In post","2023","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","20","20","70360","64580"
"In post","2023","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Operational Delivery","5","5","[c]","[c]"
"In post","2023","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","HM Land Registry","HM Land Registry","Commercial","20","20","45870","39520"
"In post","2023","HM Land Registry","HM Land Registry","Communications","30","30","41430","38410"
"In post","2023","HM Land Registry","HM Land Registry","Counter Fraud","5","5","[c]","[c]"
"In post","2023","HM Land Registry","HM Land Registry","Digital, Data and Technology","700","665","39580","39460"
"In post","2023","HM Land Registry","HM Land Registry","Economics","5","5","[c]","[c]"
"In post","2023","HM Land Registry","HM Land Registry","Finance","75","75","48110","43150"
"In post","2023","HM Land Registry","HM Land Registry","Human Resources","100","95","40250","37190"
"In post","2023","HM Land Registry","HM Land Registry","Internal Audit","10","10","[c]","[c]"
"In post","2023","HM Land Registry","HM Land Registry","Legal","285","260","50640","56190"
"In post","2023","HM Land Registry","HM Land Registry","Operational Delivery","5240","4700","29690","28080"
"In post","2023","HM Land Registry","HM Land Registry","Other","30","30","50150","38940"
"In post","2023","HM Land Registry","HM Land Registry","Project Delivery","195","190","39150","39520"
"In post","2023","HM Land Registry","HM Land Registry","Property","20","20","42020","39520"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Commercial","460","450","49940","48460"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Communications","45","45","43790","44330"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Human Resources","160","155","49850","50350"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Intelligence Analysis","430","415","32330","29790"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Internal Audit","60","60","51710","53200"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Operational Delivery","62850","59165","31830","30440"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Policy","285","285","47300","46110"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Psychology","1430","1370","37580","31670"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Security","10","10","40730","37680"
"In post","2023","HM Prison and Probation Service","Ministry of Justice","Statistics","10","10","43580","42120"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Commercial","75","65","40410","42140"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Communications","235","225","49040","43550"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Counter Fraud","2305","2215","35690","34700"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Digital, Data and Technology","2710","2625","43720","42060"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","170","165","49270","42510"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","1105","1035","43420","41780"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Human Resources","865","810","42940","39790"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Intelligence Analysis","230","225","40810","39450"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Internal Audit","60","55","50030","44930"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","International Trade","115","110","39110","35000"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Knowledge and Information Management","35","35","46340","42510"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","2500","2375","38750","35000"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","30190","27270","28460","26920"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","235","225","39530","39450"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","410","370","48830","44930"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Policy","1140","1080","58040","57970"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Project Delivery","2990","2880","48320","42510"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Property","270","260","43220","40790"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Security","215","205","45100","42510"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Social Research","135","125","50180","45170"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Statistics","325","315","49910","45560"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","17380","16460","37930","35000"
"In post","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","4715","4600","39990","35000"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Communications","45","40","43800","37390"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Digital, Data and Technology","20","20","47170","46620"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Economics","170","170","45190","38850"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Finance","80","80","47690","53550"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Human Resources","95","90","42110","39050"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Knowledge and Information Management","15","15","39080","36060"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Operational Delivery","135","130","32580","28590"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Policy","1410","1390","50210","54090"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Project Delivery","20","20","40500","35590"
"In post","2023","HM Treasury (excl. agencies)","HM Treasury","Statistics","10","10","39840","33630"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Commercial","40","35","48170","46780"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Communications","45","45","43090","40790"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Digital, Data and Technology","100","95","40280","35520"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Economics","5","5","[c]","[c]"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Finance","30","25","52210","52280"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Human Resources","55","55","49840","55250"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Knowledge and Information Management","25","20","29960","29930"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Legal","30","30","55130","57570"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","1835","1740","43970","41650"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Policy","70","65","51790","53210"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Project Delivery","45","45","43590","40840"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Property","15","15","32890","30340"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Science and Engineering","515","485","39890","36630"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2023","Health and Safety Executive","Department for Work and Pensions","Statistics","15","15","50100","59400"
"In post","2023","Home Office","Home Office","Commercial","135","130","41090","40750"
"In post","2023","Home Office","Home Office","Communications","145","145","50680","46430"
"In post","2023","Home Office","Home Office","Counter Fraud","195","180","28100","26180"
"In post","2023","Home Office","Home Office","Digital, Data and Technology","1820","1790","52130","48300"
"In post","2023","Home Office","Home Office","Economics","160","160","49480","44170"
"In post","2023","Home Office","Home Office","Finance","320","305","48090","43420"
"In post","2023","Home Office","Home Office","Human Resources","650","620","43510","39190"
"In post","2023","Home Office","Home Office","Intelligence Analysis","1470","1390","30310","27650"
"In post","2023","Home Office","Home Office","Knowledge and Information Management","95","90","42590","39190"
"In post","2023","Home Office","Home Office","Operational Delivery","31020","28845","28920","26290"
"In post","2023","Home Office","Home Office","Operational Research","105","100","49520","44170"
"In post","2023","Home Office","Home Office","Other","1650","1570","34540","31620"
"In post","2023","Home Office","Home Office","Policy","2580","2530","51830","47220"
"In post","2023","Home Office","Home Office","Project Delivery","1790","1755","46520","43210"
"In post","2023","Home Office","Home Office","Property","25","25","45900","43420"
"In post","2023","Home Office","Home Office","Science and Engineering","110","105","50950","43840"
"In post","2023","Home Office","Home Office","Security","360","345","33360","30020"
"In post","2023","Home Office","Home Office","Social Research","175","170","47920","44240"
"In post","2023","Home Office","Home Office","Statistics","135","130","38600","36310"
"In post","2023","Home Office","Home Office","Unknown","190","185","52500","59290"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","20","20","51540","51590"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Communications","10","10","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","30","25","49280","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Finance","5","5","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Human Resources","10","10","45950","37710"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Legal","10","10","46580","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","165","160","48150","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Policy","20","15","50200","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","40","40","48650","51460"
"In post","2023","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","25","25","48980","39000"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","15","15","39720","35460"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Communications","40","40","40860","41240"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","245","245","48800","47840"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Economics","15","15","58780","61660"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Finance","30","25","43540","42620"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Human Resources","55","50","38850","32590"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","30","30","35060","31750"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Internal Audit","5","5","[c]","[c]"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","International Trade","10","10","[c]","[c]"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Legal","60","55","52250","57860"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","635","590","28920","25040"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","20","20","46520","41470"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","110","105","49920","45040"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Project Delivery","35","35","42990","41240"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","365","340","51040","45240"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","15","15","43920","45290"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Communications","5","5","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Legal","40","40","56860","56080"
"In post","2023","Legal Aid Agency","Ministry of Justice","Operational Delivery","1080","1005","29290","25830"
"In post","2023","Legal Aid Agency","Ministry of Justice","Policy","15","15","49450","43650"
"In post","2023","Legal Aid Agency","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Security","5","5","[c]","[c]"
"In post","2023","Legal Aid Agency","Ministry of Justice","Unknown","15","15","33250","34060"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Commercial","20","20","40730","40180"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Communications","20","15","35880","31660"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","85","85","38400","31940"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Finance","40","40","38250","31950"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Human Resources","35","30","34550","31950"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Internal Audit","20","20","39210","32950"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Legal","5","5","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","765","745","33540","31350"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Policy","195","185","40170","39820"
"In post","2023","Maritime and Coastguard Agency","Department for Transport","Property","10","10","[c]","[c]"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Commercial","10","10","40140","33720"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","70","70","43580","41190"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","75","70","53920","54090"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","40","40","43270","41480"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Human Resources","25","25","46600","41690"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Knowledge and Information Management","25","25","42950","41190"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","30","30","43250","41480"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","80","75","70400","69480"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","245","240","42460","33940"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Research","40","40","51050","43270"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","85","80","49510","51050"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","50","50","52070","54090"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Project Delivery","15","15","44000","41190"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","20","15","37350","28500"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","350","340","53040","54090"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Statistics","5","5","[c]","[c]"
"In post","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Tax","[c]","[c]","[c]","[c]"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","20","20","45170","42460"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Communications","35","30","35900","37420"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","335","325","39070","35550"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Finance","25","20","36410","33050"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","70","65","37130","34600"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Internal Audit","5","5","[c]","[c]"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Legal","15","10","41370","45150"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","505","480","35660","37420"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Other","290","275","35230","37420"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Policy","85","80","64860","61220"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","110","105","43060","45150"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Property","20","20","35100","33050"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","755","710","40520","39650"
"In post","2023","Met Office","Department for Business, Energy and Industrial Strategy","Security","20","20","43940","43650"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","1005","970","38060","35650"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","525","510","36600","34300"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Counter Fraud","20","20","51450","46470"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","1875","1835","38180","34300"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","1740","1680","40450","35830"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","3925","3805","35660","33830"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","810","790","39610","37250"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","105","105","37990","34300"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","760","740","31090","27470"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","35","35","67590","72050"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","1600","1400","49860","40590"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Operational Delivery","7905","7515","28220","23300"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","2605","2555","24420","21600"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","1400","1375","48210","45750"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","2760","2700","45460","41800"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","2055","1995","33850","33990"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","1510","1480","37500","33990"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","6340","6210","31960","27500"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","325","315","42600","40290"
"In post","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","35","35","36640","36460"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","270","265","36400","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","190","185","45890","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","1140","1120","49280","51770"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","75","70","46660","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","570","560","44330","41510"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","1110","1075","40510","37680"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","110","105","29000","25480"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","65","60","59700","58740"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","1230","1195","39580","35410"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","100","100","51510","51770"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","170","165","39010","35410"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","915","890","47260","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","355","355","43820","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","385","375","45230","41510"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","95","95","46220","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","115","110","50810","48120"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","135","130","48370","43650"
"In post","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","105","100","40930","35410"
"In post","2023","National Crime Agency","National Crime Agency","Commercial","25","25","47510","47380"
"In post","2023","National Crime Agency","National Crime Agency","Communications","35","35","46360","47380"
"In post","2023","National Crime Agency","National Crime Agency","Digital, Data and Technology","265","255","44670","42240"
"In post","2023","National Crime Agency","National Crime Agency","Finance","60","55","40480","38640"
"In post","2023","National Crime Agency","National Crime Agency","Human Resources","190","180","42610","39780"
"In post","2023","National Crime Agency","National Crime Agency","Legal","50","50","56480","63040"
"In post","2023","National Crime Agency","National Crime Agency","Operational Delivery","4690","4570","42280","40440"
"In post","2023","National Crime Agency","National Crime Agency","Project Delivery","105","100","45710","47380"
"In post","2023","National Crime Agency","National Crime Agency","Property","45","40","46770","45610"
"In post","2023","National Crime Agency","National Crime Agency","Security","100","100","42650","40440"
"In post","2023","National Infrastructure Commission","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2023","National Infrastructure Commission","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","National Infrastructure Commission","HM Treasury","Policy","40","35","56020","53410"
"In post","2023","National Records of Scotland","Scottish Government","Unknown","455","430","38070","34730"
"In post","2023","National Savings and Investments","Chancellor's other departments","Commercial","15","15","46430","50190"
"In post","2023","National Savings and Investments","Chancellor's other departments","Communications","25","25","47510","44300"
"In post","2023","National Savings and Investments","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Digital, Data and Technology","15","15","56960","55180"
"In post","2023","National Savings and Investments","Chancellor's other departments","Finance","25","20","53540","47250"
"In post","2023","National Savings and Investments","Chancellor's other departments","Human Resources","10","10","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Operational Delivery","10","10","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Operational Research","10","10","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Other","65","65","57090","46530"
"In post","2023","National Savings and Investments","Chancellor's other departments","Project Delivery","30","30","52080","51510"
"In post","2023","National Savings and Investments","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","National Savings and Investments","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Northern Ireland Office","Communications","10","10","[c]","[c]"
"In post","2023","Northern Ireland Office","Northern Ireland Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Northern Ireland Office","Northern Ireland Office","Economics","5","5","[c]","[c]"
