"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Black","Human Resources","Outside London","Female","95","95","37860","33210"
"In post","2023","Black","Human Resources","Outside London","Male","40","40","35710","32250"
"In post","2023","Black","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","London","Female","5","5","[c]","[c]"
"In post","2023","Black","Internal Audit","London","Male","10","10","[c]","[c]"
"In post","2023","Black","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","London","Female","385","370","41980","34520"
"In post","2023","Black","Legal","London","Male","140","140","45560","39790"
"In post","2023","Black","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Outside London","Female","120","115","39680","34700"
"In post","2023","Black","Legal","Outside London","Male","45","45","41810","40800"
"In post","2023","Black","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","London","Female","4705","4460","34920","32520"
"In post","2023","Black","No function","London","Male","2280","2235","35520","32520"
"In post","2023","Black","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","Outside London","Female","2820","2605","28960","28120"
"In post","2023","Black","No function","Outside London","Male","1990","1935","31030","28120"
"In post","2023","Black","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","Overseas","Female","35","35","44920","39020"
"In post","2023","Black","No function","Overseas","Male","30","30","[c]","[c]"
"In post","2023","Black","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","No function","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Black","No function","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Black","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","London","Female","310","305","46680","43700"
"In post","2023","Black","Project Delivery","London","Male","125","120","47450","45170"
"In post","2023","Black","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Outside London","Female","160","155","39140","35890"
"In post","2023","Black","Project Delivery","Outside London","Male","130","130","39920","38570"
"In post","2023","Black","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","London","Female","65","65","39650","37080"
"In post","2023","Black","Property","London","Male","40","40","41570","38920"
"In post","2023","Black","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Outside London","Female","40","40","34140","32260"
"In post","2023","Black","Property","Outside London","Male","35","35","36960","34300"
"In post","2023","Black","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","London","Female","55","55","38780","36180"
"In post","2023","Black","Security","London","Male","65","65","35450","31020"
"In post","2023","Black","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Black","Security","Outside London","Male","35","35","30730","27480"
"In post","2023","Black","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Security","Overseas","Male","[c]","[c]","[c]","[c]"
