"Status","Year","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Analysis","East Midlands (England)","80","75","40940","38470"
"In post","2023","Declared non-disabled","Analysis","East of England","270","260","36340","34510"
"In post","2023","Declared non-disabled","Analysis","London","2785","2705","52760","50740"
"In post","2023","Declared non-disabled","Analysis","North East (England)","235","225","40610","37900"
"In post","2023","Declared non-disabled","Analysis","North West (England)","420","405","42390","39620"
"In post","2023","Declared non-disabled","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Scotland","130","125","44430","38470"
"In post","2023","Declared non-disabled","Analysis","South East (England)","640","605","44020","39890"
"In post","2023","Declared non-disabled","Analysis","South West (England)","550","525","42690","39890"
"In post","2023","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Wales","655","625","40210","38340"
"In post","2023","Declared non-disabled","Analysis","West Midlands (England)","130","125","43200","39420"
"In post","2023","Declared non-disabled","Analysis","Yorkshire and The Humber","400","375","45810","43510"
"In post","2023","Declared non-disabled","Commercial","East Midlands (England)","95","95","43170","40450"
"In post","2023","Declared non-disabled","Commercial","East of England","145","135","46590","41200"
"In post","2023","Declared non-disabled","Commercial","London","1155","1135","60850","56080"
"In post","2023","Declared non-disabled","Commercial","North East (England)","80","80","48410","41880"
"In post","2023","Declared non-disabled","Commercial","North West (England)","445","440","49400","42510"
"In post","2023","Declared non-disabled","Commercial","Northern Ireland","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Scotland","190","185","46190","41250"
"In post","2023","Declared non-disabled","Commercial","South East (England)","390","375","43660","40580"
"In post","2023","Declared non-disabled","Commercial","South West (England)","1225","1175","43790","42620"
"In post","2023","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Wales","275","255","37200","32810"
"In post","2023","Declared non-disabled","Commercial","West Midlands (England)","235","230","48580","39640"
"In post","2023","Declared non-disabled","Commercial","Yorkshire and The Humber","345","335","50970","44140"
"In post","2023","Declared non-disabled","Communications","East Midlands (England)","75","75","41860","41000"
"In post","2023","Declared non-disabled","Communications","East of England","50","50","36530","34300"
"In post","2023","Declared non-disabled","Communications","London","1225","1195","50900","46600"
"In post","2023","Declared non-disabled","Communications","North East (England)","90","85","38280","37300"
"In post","2023","Declared non-disabled","Communications","North West (England)","190","175","40730","37710"
"In post","2023","Declared non-disabled","Communications","Northern Ireland","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Scotland","70","70","40030","37020"
"In post","2023","Declared non-disabled","Communications","South East (England)","180","170","37030","34300"
"In post","2023","Declared non-disabled","Communications","South West (England)","205","190","36830","35280"
"In post","2023","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Wales","165","155","37650","32710"
"In post","2023","Declared non-disabled","Communications","West Midlands (England)","95","90","40630","37710"
"In post","2023","Declared non-disabled","Communications","Yorkshire and The Humber","125","115","42810","41050"
"In post","2023","Declared non-disabled","Counter Fraud","East Midlands (England)","670","620","34510","34170"
"In post","2023","Declared non-disabled","Counter Fraud","East of England","465","430","30830","31130"
"In post","2023","Declared non-disabled","Counter Fraud","London","2385","2260","39280","34700"
"In post","2023","Declared non-disabled","Counter Fraud","North East (England)","855","795","32170","28120"
"In post","2023","Declared non-disabled","Counter Fraud","North West (England)","1630","1515","34800","29730"
"In post","2023","Declared non-disabled","Counter Fraud","Northern Ireland","280","265","34830","34700"
"In post","2023","Declared non-disabled","Counter Fraud","Scotland","1140","1045","31490","28130"
"In post","2023","Declared non-disabled","Counter Fraud","South East (England)","840","770","30750","28130"
"In post","2023","Declared non-disabled","Counter Fraud","South West (England)","550","505","33620","28130"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Wales","730","675","31130","28120"
"In post","2023","Declared non-disabled","Counter Fraud","West Midlands (England)","880","810","32750","28130"
"In post","2023","Declared non-disabled","Counter Fraud","Yorkshire and The Humber","1000","920","33590","28130"
"In post","2023","Declared non-disabled","Debt","East Midlands (England)","375","330","23450","22520"
"In post","2023","Declared non-disabled","Debt","East of England","120","100","26810","25610"
"In post","2023","Declared non-disabled","Debt","London","365","330","29780","26920"
"In post","2023","Declared non-disabled","Debt","North East (England)","610","540","23620","22520"
"In post","2023","Declared non-disabled","Debt","North West (England)","490","450","24870","22520"
"In post","2023","Declared non-disabled","Debt","Northern Ireland","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Scotland","840","765","24690","22520"
"In post","2023","Declared non-disabled","Debt","South East (England)","50","40","29470","29730"
"In post","2023","Declared non-disabled","Debt","South West (England)","110","95","23740","21690"
"In post","2023","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Wales","310","285","26050","22520"
"In post","2023","Declared non-disabled","Debt","West Midlands (England)","790","705","23870","22520"
"In post","2023","Declared non-disabled","Debt","Yorkshire and The Humber","675","590","24950","22520"
"In post","2023","Declared non-disabled","Digital, Data & Technology","East Midlands (England)","290","285","39500","37300"
"In post","2023","Declared non-disabled","Digital, Data & Technology","East of England","395","380","36980","34780"
"In post","2023","Declared non-disabled","Digital, Data & Technology","London","3285","3220","51390","48070"
"In post","2023","Declared non-disabled","Digital, Data & Technology","North East (England)","1895","1820","43580","39260"
"In post","2023","Declared non-disabled","Digital, Data & Technology","North West (England)","2525","2455","43150","38840"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Northern Ireland","65","65","35420","34700"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Overseas","55","55","38480","37420"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Scotland","580","565","39550","36470"
"In post","2023","Declared non-disabled","Digital, Data & Technology","South East (England)","980","945","40000","37300"
"In post","2023","Declared non-disabled","Digital, Data & Technology","South West (England)","2740","2635","40890","39650"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Wales","1470","1435","42690","39820"
"In post","2023","Declared non-disabled","Digital, Data & Technology","West Midlands (England)","1220","1190","42630","41000"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Yorkshire and The Humber","1255","1210","44470","41440"
"In post","2023","Declared non-disabled","Finance","East Midlands (England)","215","205","37960","34700"
"In post","2023","Declared non-disabled","Finance","East of England","215","205","40000","37710"
"In post","2023","Declared non-disabled","Finance","London","2030","1975","51050","45960"
"In post","2023","Declared non-disabled","Finance","North East (England)","655","615","40840","38340"
"In post","2023","Declared non-disabled","Finance","North West (England)","1040","985","39510","38070"
"In post","2023","Declared non-disabled","Finance","Northern Ireland","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Overseas","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scotland","650","570","30770","27650"
"In post","2023","Declared non-disabled","Finance","South East (England)","850","810","37690","34300"
"In post","2023","Declared non-disabled","Finance","South West (England)","1025","980","42630","39170"
"In post","2023","Declared non-disabled","Finance","Unknown","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Wales","350","335","37990","34170"
"In post","2023","Declared non-disabled","Finance","West Midlands (England)","430","415","40940","37680"
