"Status","Year","Function_of_post","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","20","20","36830","34170"
"In post","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","1385","1265","40160","35810"
"In post","2023","Project Delivery","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Project Delivery","40","40","47080","50830"
"In post","2023","Project Delivery","Driver and Vehicle Licensing Agency","Department for Transport","Project Delivery","50","45","33810","27260"
"In post","2023","Project Delivery","Driver and Vehicle Standards Agency","Department for Transport","Policy","10","10","34740","31660"
"In post","2023","Project Delivery","Driver and Vehicle Standards Agency","Department for Transport","Project Delivery","35","35","37350","34750"
"In post","2023","Project Delivery","Education and Skills Funding Agency","Department for Education","Project Delivery","15","15","44240","44620"
"In post","2023","Project Delivery","Estyn","Estyn","Inspector of Education and Training","65","65","78210","78500"
"In post","2023","Project Delivery","Estyn","Estyn","Operational Delivery","25","25","33280","30610"
"In post","2023","Project Delivery","Estyn","Estyn","Project Delivery","5","5","[c]","[c]"
"In post","2023","Project Delivery","Estyn","Estyn","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","FCDO Services","Foreign, Commonwealth and Development Office","Project Delivery","80","80","43610","34720"
"In post","2023","Project Delivery","Food Standards Agency","Food Standards Agency","Project Delivery","40","40","44770","41250"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Policy","535","520","50830","51980"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Project Delivery","455","430","54130","54960"
"In post","2023","Project Delivery","Government Actuary's Department","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Actuary's Department","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","HM Treasury","Project Delivery","10","10","53760","51350"
"In post","2023","Project Delivery","Government Legal Department","Attorney General's Departments","Project Delivery","15","15","51830","52790"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","Communications","10","10","38040","37680"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","10","10","36470","36540"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","10","10","40560","37680"
"In post","2023","Project Delivery","HM Land Registry","HM Land Registry","Project Delivery","195","190","39150","39520"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","335","320","36610","34700"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","65","60","46680","42510"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Policy","1140","1080","58020","57970"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Project Delivery","2990","2880","48320","42510"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","675","630","37100","35000"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","240","235","46280","41780"
"In post","2023","Project Delivery","HM Treasury (excl. agencies)","HM Treasury","Project Delivery","20","20","40500","35590"
"In post","2023","Project Delivery","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","10","10","33380","29540"
"In post","2023","Project Delivery","Health and Safety Executive","Department for Work and Pensions","Project Delivery","45","45","43590","40840"
"In post","2023","Project Delivery","Health and Safety Executive","Department for Work and Pensions","Science and Engineering","10","10","50420","46780"
"In post","2023","Project Delivery","Home Office","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Home Office","Home Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Home Office","Home Office","Project Delivery","55","55","54080","54360"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","40","40","48650","51460"
"In post","2023","Project Delivery","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Legal","15","15","55210","59370"
"In post","2023","Project Delivery","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Project Delivery","35","35","42990","41240"
"In post","2023","Project Delivery","Legal Aid Agency","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","45","40","79720","82970"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","165","160","45460","39720"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Research","35","35","51980","54090"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","25","25","52230","54460"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Project Delivery","15","15","44000","41190"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","330","320","53290","54090"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","39670","39320"
"In post","2023","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","Other","45","45","22800","19080"
"In post","2023","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","Policy","25","25","58000","60000"
"In post","2023","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","105","105","42970","45150"
"In post","2023","Project Delivery","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","220","210","38790","38200"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","2760","2700","45460","41800"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","350","345","43660","43650"
"In post","2023","Project Delivery","National Crime Agency","National Crime Agency","Project Delivery","105","100","45710","47380"
"In post","2023","Project Delivery","National Savings and Investments","Chancellor's other departments","Project Delivery","30","30","53380","54480"
"In post","2023","Project Delivery","Northern Ireland Office","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Project Delivery","65","65","50360","45000"
"In post","2023","Project Delivery","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Rail and Road","Office of Rail and Road","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Project Delivery","15","15","42060","41560"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Operational Delivery","20","20","38830","38500"
"In post","2023","Project Delivery","Registers of Scotland","Scottish Government","Project Delivery","20","20","44620","49870"
"In post","2023","Project Delivery","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Project Delivery","165","155","39050","37300"
"In post","2023","Project Delivery","Scottish Prison Service","Scottish Government","Project Delivery","15","15","54110","57150"
"In post","2023","Project Delivery","Serious Fraud Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Serious Fraud Office","Attorney General's Departments","Project Delivery","5","5","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Project Delivery","115","110","42270","38070"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","Department for Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Submarine Delivery Agency","Ministry of Defence","Operational Delivery","370","355","37350","33690"
"In post","2023","Project Delivery","Submarine Delivery Agency","Ministry of Defence","Policy","10","10","[c]","[c]"
"In post","2023","Project Delivery","Submarine Delivery Agency","Ministry of Defence","Project Delivery","530","515","46070","42230"
"In post","2023","Project Delivery","Submarine Delivery Agency","Ministry of Defence","Science and Engineering","805","795","43840","42620"
"In post","2023","Project Delivery","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Project Delivery","55","55","44000","43980"
"In post","2023","Project Delivery","UK Debt Management Office","HM Treasury","Project Delivery","5","5","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","UK Export Finance","Project Delivery","10","10","52850","42950"
"In post","2023","Project Delivery","UK Hydrographic Office","Ministry of Defence","Project Delivery","10","10","52090","52490"
"In post","2023","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","30","45330","36240"
"In post","2023","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","Policy","80","80","48260","43650"
"In post","2023","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","Project Delivery","85","85","48690","50680"
"In post","2023","Project Delivery","UK Space Agency","Department for Business, Energy and Industrial Strategy","Science and Engineering","15","15","51530","50680"
"In post","2023","Project Delivery","UK Statistics Authority","UK Statistics Authority","Project Delivery","280","270","42910","37760"
"In post","2023","Project Delivery","Valuation Office Agency","HM Revenue and Customs","Project Delivery","45","45","48100","40540"
"In post","2023","Project Delivery","Vehicle Certification Agency","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","Water Services Regulation Authority","Project Delivery","15","15","50490","48660"
"In post","2023","Project Delivery","Welsh Revenue Authority","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","Other","5","5","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","Policy","15","15","52250","58290"
"In post","2023","Project Delivery","Wilton Park","Foreign, Commonwealth and Development Office","Project Delivery","20","20","30650","27510"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Communications","5","5","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","10","10","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Policy","5","5","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Property","15","15","72440","57650"
"In post","2023","Property","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","40","40","51900","54030"
"In post","2023","Property","Central Civil Service Fast Stream","Cabinet Office","Property","40","40","29690","30130"
"In post","2023","Property","Charity Commission","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","Department for Business, Energy and Industrial Strategy","Property","10","10","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","Cabinet Office","Property","5","5","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","Ministry of Defence","Property","15","15","31600","27640"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","15","15","55080","55120"
"In post","2023","Property","Department for Education (excl. agencies)","Department for Education","Property","5","5","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","425","405","40470","37300"
"In post","2023","Property","Department for International Trade","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for International Trade","Department for International Trade","Property","5","5","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","Department for Transport","Property","25","25","52780","52760"
"In post","2023","Property","Department for Transport (excl. agencies)","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","20","20","39890","36720"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Property","280","265","44580","40060"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Security","10","10","60320","50830"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Property","Driver and Vehicle Licensing Agency","Department for Transport","Property","60","55","31900","31660"
"In post","2023","Property","Driver and Vehicle Standards Agency","Department for Transport","Property","55","50","33110","31660"
"In post","2023","Property","Estyn","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","Foreign, Commonwealth and Development Office","Property","235","235","43760","42150"
"In post","2023","Property","Food Standards Agency","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","Attorney General's Departments","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Property","Government Legal Department","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","Attorney General's Departments","Property","5","5","[c]","[c]"
"In post","2023","Property","Government Property Agency","Cabinet Office","Communications","5","5","[c]","[c]"
"In post","2023","Property","Government Property Agency","Cabinet Office","Digital, Data and Technology","30","30","54420","55000"
"In post","2023","Property","Government Property Agency","Cabinet Office","Finance","70","65","44720","40000"
"In post","2023","Property","Government Property Agency","Cabinet Office","Human Resources","15","15","40590","38330"
"In post","2023","Property","Government Property Agency","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Property Agency","Cabinet Office","Other","15","15","54100","38340"
"In post","2023","Property","Government Property Agency","Cabinet Office","Project Delivery","40","40","54730","56070"
"In post","2023","Property","Government Property Agency","Cabinet Office","Property","215","210","50910","51020"
"In post","2023","Property","Government Property Agency","Cabinet Office","Security","5","5","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Project Delivery","10","10","[c]","[c]"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Property","95","95","43440","37680"
"In post","2023","Property","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","HM Land Registry","HM Land Registry","Property","20","20","42020","39520"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Property","270","260","43220","40790"
"In post","2023","Property","Health and Safety Executive","Department for Work and Pensions","Property","15","15","32890","30340"
"In post","2023","Property","Home Office","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Home Office","Home Office","Other","45","40","23400","22400"
"In post","2023","Property","Home Office","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Home Office","Home Office","Property","20","20","45760","43310"
"In post","2023","Property","Home Office","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","30","30","30430","25040"
"In post","2023","Property","Maritime and Coastguard Agency","Department for Transport","Property","10","10","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","15","15","36440","28500"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Property","Met Office","Department for Business, Energy and Industrial Strategy","Property","20","20","35100","33050"
"In post","2023","Property","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","2055","1995","33850","33990"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","10","10","34820","31270"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","10","5","[c]","[c]"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","25","25","24510","25830"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","380","375","45270","41510"
"In post","2023","Property","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","30","30","36240","31230"
"In post","2023","Property","National Crime Agency","National Crime Agency","Property","45","40","46770","45610"
"In post","2023","Property","National Savings and Investments","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Property","10","10","32340","27140"
"In post","2023","Property","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Operational Delivery","20","20","44150","35010"
"In post","2023","Property","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of the Public Guardian","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","Scottish Government","Property","15","10","36060","32510"
"In post","2023","Property","Scottish Courts and Tribunals Service","Scottish Government","Property","20","20","45290","48410"
"In post","2023","Property","Scottish Prison Service","Scottish Government","Other","235","230","34600","32930"
"In post","2023","Property","Serious Fraud Office","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Submarine Delivery Agency","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","The National Archives","The National Archives","Property","15","15","40300","36310"
"In post","2023","Property","UK Debt Management Office","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Health Security Agency","Department of Health and Social Care","Property","20","20","42470","39690"
"In post","2023","Property","UK Hydrographic Office","Ministry of Defence","Property","5","5","[c]","[c]"
"In post","2023","Property","UK Statistics Authority","UK Statistics Authority","Property","15","15","38490","37760"
"In post","2023","Property","UK Supreme Court","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Supreme Court","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Valuation Office Agency","HM Revenue and Customs","Operational Delivery","1280","1220","32060","26020"
"In post","2023","Property","Valuation Office Agency","HM Revenue and Customs","Policy","30","30","58610","58970"
"In post","2023","Property","Valuation Office Agency","HM Revenue and Customs","Property","2355","2180","36360","32590"
"In post","2023","Property","Vehicle Certification Agency","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Water Services Regulation Authority","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","Foreign, Commonwealth and Development Office","Property","5","5","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","35","35","45570","40850"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Finance","10","10","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","35","35","39120","33020"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Policy","20","20","41680","39730"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","5","5","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Security","275","260","35620","34320"
"In post","2023","Security","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","655","630","31590","27110"
"In post","2023","Security","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Security","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Equipment and Support","Ministry of Defence","Security","70","70","38480","38790"
"In post","2023","Security","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","20","20","39010","39890"
"In post","2023","Security","Defence Science and Technology Laboratory","Ministry of Defence","Security","90","90","40880","39890"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","10","10","42110","35810"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","Security","10","10","47640","45580"
"In post","2023","Security","Department for Education (excl. agencies)","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Education (excl. agencies)","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for Education (excl. agencies)","Department for Education","Security","10","10","51290","51360"
"In post","2023","Security","Department for International Trade","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department for International Trade","Department for International Trade","Security","25","25","48280","44450"
"In post","2023","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Security","5","5","[c]","[c]"
"In post","2023","Security","Department for Transport (excl. agencies)","Department for Transport","Security","120","120","48230","44820"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Security","150","140","32300","28120"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Other","5","5","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","40","40","45730","41950"
"In post","2023","Security","Driver and Vehicle Licensing Agency","Department for Transport","Security","120","120","28570","25650"
"In post","2023","Security","Driver and Vehicle Standards Agency","Department for Transport","Knowledge and Information Management","30","30","38710","35800"
"In post","2023","Security","Education and Skills Funding Agency","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Estyn","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Security","FCDO Services","Foreign, Commonwealth and Development Office","Security","345","335","37580","35520"
"In post","2023","Security","Food Standards Agency","Food Standards Agency","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Security","Food Standards Agency","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Intelligence Analysis","165","160","48210","43500"
"In post","2023","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Policy","50","45","49530","53500"
"In post","2023","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Security","325","325","51630","46080"
"In post","2023","Security","Government Actuary's Department","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Security","Government Actuary's Department","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Security","Government Legal Department","Attorney General's Departments","Security","10","10","41080","35260"
