"Status","Year","Disability","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Mixed","Project Delivery","Outside London","120","115","41630","38420"
"In post","2023","Declared non-disabled","Mixed","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Property","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Property","Outside London","45","40","34020","32970"
"In post","2023","Declared non-disabled","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Psychology","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Science and Engineering","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Science and Engineering","Outside London","135","130","38320","34440"
"In post","2023","Declared non-disabled","Mixed","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Security","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Security","Outside London","35","35","35760","34970"
"In post","2023","Declared non-disabled","Mixed","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Social Research","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Social Research","Outside London","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Statistics","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Statistics","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Tax","London","35","35","44250","39790"
"In post","2023","Declared non-disabled","Mixed","Tax","Outside London","155","155","36260","34700"
"In post","2023","Declared non-disabled","Mixed","Unknown","London","110","110","47620","41910"
"In post","2023","Declared non-disabled","Mixed","Unknown","Outside London","165","160","40870","34730"
"In post","2023","Declared non-disabled","Mixed","Unknown","Overseas","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Commercial","London","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Commercial","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Communications","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Counter Fraud","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Counter Fraud","Outside London","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Digital, Data and Technology","London","40","40","48700","44980"
"In post","2023","Declared non-disabled","Other ethnicity","Digital, Data and Technology","Outside London","50","50","38600","37680"
"In post","2023","Declared non-disabled","Other ethnicity","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Economics","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Finance","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Finance","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Human Resources","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Human Resources","Outside London","20","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","International Trade","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Legal","London","45","40","57560","57920"
"In post","2023","Declared non-disabled","Other ethnicity","Legal","Outside London","35","30","55110","52360"
"In post","2023","Declared non-disabled","Other ethnicity","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Delivery","London","380","355","34900","32520"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Delivery","Outside London","545","510","28980","28080"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Other","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Other","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Policy","London","165","160","50210","53030"
"In post","2023","Declared non-disabled","Other ethnicity","Policy","Outside London","35","35","45770","49390"
"In post","2023","Declared non-disabled","Other ethnicity","Policy","Overseas","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Project Delivery","London","30","30","57670","58370"
"In post","2023","Declared non-disabled","Other ethnicity","Project Delivery","Outside London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Property","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Property","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Psychology","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Science and Engineering","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Science and Engineering","Outside London","30","30","39440","37420"
"In post","2023","Declared non-disabled","Other ethnicity","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Security","London","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Social Research","London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Statistics","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Tax","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Tax","Outside London","40","40","33030","34700"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","London","40","40","44750","43390"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Outside London","35","35","36090","33830"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Veterinarian","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Commercial","London","30","30","61250","56000"
"In post","2023","Declared non-disabled","Undeclared","Commercial","Outside London","65","60","43570","38470"
"In post","2023","Declared non-disabled","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Communications","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Communications","Outside London","35","30","38790","37010"
"In post","2023","Declared non-disabled","Undeclared","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Counter Fraud","London","85","75","32750","32520"
"In post","2023","Declared non-disabled","Undeclared","Counter Fraud","Outside London","170","150","30040","28120"
"In post","2023","Declared non-disabled","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Digital, Data and Technology","London","100","100","51810","50330"
"In post","2023","Declared non-disabled","Undeclared","Digital, Data and Technology","Outside London","335","325","42720","40690"
"In post","2023","Declared non-disabled","Undeclared","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Economics","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Finance","London","35","35","49040","44140"
"In post","2023","Declared non-disabled","Undeclared","Finance","Outside London","135","125","40400","36770"
"In post","2023","Declared non-disabled","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Human Resources","London","35","30","46440","43650"
"In post","2023","Declared non-disabled","Undeclared","Human Resources","Outside London","110","105","34280","33470"
"In post","2023","Declared non-disabled","Undeclared","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Inspector of Education and Training","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Intelligence Analysis","London","35","30","40950","36310"
"In post","2023","Declared non-disabled","Undeclared","Intelligence Analysis","Outside London","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","International Trade","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","International Trade","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Knowledge and Information Management","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Knowledge and Information Management","Outside London","35","35","29920","29890"
"In post","2023","Declared non-disabled","Undeclared","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Legal","London","75","75","59280","59910"
"In post","2023","Declared non-disabled","Undeclared","Legal","Outside London","75","70","50050","51270"
"In post","2023","Declared non-disabled","Undeclared","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Medicine","Outside London","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Operational Delivery","London","850","780","33890","32520"
"In post","2023","Declared non-disabled","Undeclared","Operational Delivery","Outside London","3540","3165","28840","28120"
"In post","2023","Declared non-disabled","Undeclared","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Operational Delivery","Unknown","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Other","London","45","40","43930","36310"
"In post","2023","Declared non-disabled","Undeclared","Other","Outside London","190","175","28700","25610"
"In post","2023","Declared non-disabled","Undeclared","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Planning","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Planning Inspectors","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Planning Inspectors","Outside London","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Policy","London","285","275","52940","54790"
"In post","2023","Declared non-disabled","Undeclared","Policy","Outside London","130","125","42840","39000"
"In post","2023","Declared non-disabled","Undeclared","Policy","Overseas","40","40","48330","40800"
"In post","2023","Declared non-disabled","Undeclared","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Project Delivery","London","80","75","56530","57500"
"In post","2023","Declared non-disabled","Undeclared","Project Delivery","Outside London","190","180","45340","41800"
"In post","2023","Declared non-disabled","Undeclared","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Property","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Property","Outside London","75","65","36450","34970"
"In post","2023","Declared non-disabled","Undeclared","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Psychology","Outside London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Science and Engineering","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Science and Engineering","Outside London","205","200","41490","40790"
"In post","2023","Declared non-disabled","Undeclared","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Security","London","40","40","43010","39280"
"In post","2023","Declared non-disabled","Undeclared","Security","Outside London","105","105","34500","34640"
"In post","2023","Declared non-disabled","Undeclared","Security","Overseas","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Statistics","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Statistics","Outside London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Tax","London","35","35","46140","42060"
"In post","2023","Declared non-disabled","Undeclared","Tax","Outside London","115","105","41620","35070"
"In post","2023","Declared non-disabled","Undeclared","Unknown","London","55","55","51710","48380"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Outside London","160","155","44730","38630"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Overseas","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Undeclared","Veterinarian","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Commercial","London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Commercial","Outside London","70","65","36870","35610"
"In post","2023","Declared non-disabled","Unknown","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Communications","London","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Communications","Outside London","30","30","38910","38950"
"In post","2023","Declared non-disabled","Unknown","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Counter Fraud","London","40","40","42270","39150"
"In post","2023","Declared non-disabled","Unknown","Counter Fraud","Outside London","145","130","31070","28120"
"In post","2023","Declared non-disabled","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Digital, Data and Technology","London","55","55","47180","45950"
"In post","2023","Declared non-disabled","Unknown","Digital, Data and Technology","Outside London","355","340","40750","37950"
"In post","2023","Declared non-disabled","Unknown","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Economics","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Finance","London","30","30","50770","45540"
"In post","2023","Declared non-disabled","Unknown","Finance","Outside London","115","110","38270","34300"
"In post","2023","Declared non-disabled","Unknown","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Geography","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Human Resources","London","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Human Resources","Outside London","75","70","37010","33470"
"In post","2023","Declared non-disabled","Unknown","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Inspector of Education and Training","Outside London","35","35","62680","66170"
"In post","2023","Declared non-disabled","Unknown","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Intelligence Analysis","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","International Trade","London","35","35","49650","42790"
"In post","2023","Declared non-disabled","Unknown","International Trade","Outside London","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Knowledge and Information Management","London","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Knowledge and Information Management","Outside London","30","30","31030","28120"
"In post","2023","Declared non-disabled","Unknown","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Unknown","Legal","London","85","80","63970","63790"
"In post","2023","Declared non-disabled","Unknown","Legal","Outside London","155","145","53250","54900"
"In post","2023","Declared non-disabled","Unknown","Legal","Overseas","[c]","[c]","[c]","[c]"
