"Status","Year","Ethnicity","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Security","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Department of Health and Social Care (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Education and Skills Funding Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Estyn","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","FCDO Services","Security","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Agency","Veterinarian","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","75","75","50010","50400"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Other","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Internal Audit","20","15","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Legal","30","30","56670","54320"
"In post","2023","Other ethnicity","Government Legal Department","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Legal Department","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Government Property Agency","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Legal","10","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Operational Delivery","90","85","26840","25480"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Crown Prosecution Service Inspectorate","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Operational Delivery","335","320","33530","32220"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Psychology","5","5","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Human Resources","5","5","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Legal","10","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Operational Delivery","90","85","28850","27890"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Policy","15","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Project Delivery","15","15","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Tax","80","80","38690","34850"
"In post","2023","Other ethnicity","HM Revenue and Customs (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Economics","10","10","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Policy","80","80","46650","53550"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Security","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Home Office","Human Resources","[c]","[c]","[c]","[c]"
