"Status","Year","Age","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Water Services Regulation Authority","Science and Engineering","10","10","61860","59950"
"In post","2023","40-49","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Government (excl. agencies)","Communications","55","50","45910","45970"
"In post","2023","40-49","Welsh Government (excl. agencies)","Digital, Data and Technology","85","80","45440","39690"
"In post","2023","40-49","Welsh Government (excl. agencies)","Economics","15","15","60210","63900"
"In post","2023","40-49","Welsh Government (excl. agencies)","Finance","90","90","49610","49370"
"In post","2023","40-49","Welsh Government (excl. agencies)","Human Resources","40","40","36920","39690"
"In post","2023","40-49","Welsh Government (excl. agencies)","Inspector of Education and Training","10","10","37760","36590"
"In post","2023","40-49","Welsh Government (excl. agencies)","Internal Audit","5","5","[c]","[c]"
"In post","2023","40-49","Welsh Government (excl. agencies)","Knowledge and Information Management","35","30","37890","39690"
"In post","2023","40-49","Welsh Government (excl. agencies)","Legal","60","55","64960","63900"
"In post","2023","40-49","Welsh Government (excl. agencies)","Medicine","70","65","49300","45970"
"In post","2023","40-49","Welsh Government (excl. agencies)","Operational Delivery","415","395","41680","39690"
"In post","2023","40-49","Welsh Government (excl. agencies)","Other","195","190","46320","45970"
"In post","2023","40-49","Welsh Government (excl. agencies)","Planning","20","20","48350","42830"
"In post","2023","40-49","Welsh Government (excl. agencies)","Policy","550","530","48140","43660"
"In post","2023","40-49","Welsh Government (excl. agencies)","Project Delivery","45","40","46640","43660"
"In post","2023","40-49","Welsh Government (excl. agencies)","Property","15","15","37910","30610"
"In post","2023","40-49","Welsh Government (excl. agencies)","Science and Engineering","30","30","53900","49370"
"In post","2023","40-49","Welsh Government (excl. agencies)","Social Research","20","15","48810","49370"
"In post","2023","40-49","Welsh Government (excl. agencies)","Statistics","25","25","47740","41700"
"In post","2023","40-49","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Government (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Operational Delivery","5","5","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Tax","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Welsh Revenue Authority","Unknown","5","5","[c]","[c]"
"In post","2023","40-49","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Wilton Park","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Wilton Park","Other","5","5","[c]","[c]"
"In post","2023","40-49","Wilton Park","Policy","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Wilton Park","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Accountant in Bankruptcy","Unknown","25","20","43190","38330"
"In post","2023","50-59","Active Travel England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Active Travel England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Active Travel England","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","15","15","48600","47770"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Finance","5","5","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Human Resources","5","5","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Operational Delivery","280","265","34590","32830"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Animal and Plant Health Agency","Commercial","5","5","[c]","[c]"
"In post","2023","50-59","Animal and Plant Health Agency","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","50-59","Animal and Plant Health Agency","Operational Delivery","535","510","29710","26680"
"In post","2023","50-59","Animal and Plant Health Agency","Other","5","5","[c]","[c]"
"In post","2023","50-59","Animal and Plant Health Agency","Project Delivery","15","15","36610","34570"
"In post","2023","50-59","Animal and Plant Health Agency","Science and Engineering","140","135","35980","33830"
"In post","2023","50-59","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Animal and Plant Health Agency","Veterinarian","70","70","47690","49400"
"In post","2023","50-59","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Attorney General's Office","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Other","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Building Digital UK","Project Delivery","20","20","55800","55200"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Commercial","35","35","66060","56430"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Communications","15","15","47050","40050"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Counter Fraud","10","10","[c]","[c]"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Digital, Data and Technology","145","145","55500","56430"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Finance","30","30","70630","52760"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Human Resources","200","190","45370","41160"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Knowledge and Information Management","15","15","41330","35650"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Legal","15","15","99390","96150"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Policy","40","35","56920","56280"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Project Delivery","20","20","62970","57900"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Property","10","10","80410","62090"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Security","135","130","39190","34320"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Cabinet Office (excl. agencies)","Unknown","410","395","48520","41410"
"In post","2023","50-59","Central Civil Service Fast Stream","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Central Civil Service Fast Stream","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","10","10","32760","30350"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Other","10","10","43170","37670"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","10","10","[c]","[c]"
"In post","2023","50-59","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","95","90","41780","38030"
"In post","2023","50-59","Charity Commission","Communications","5","5","[c]","[c]"
"In post","2023","50-59","Charity Commission","Digital, Data and Technology","15","15","38170","33810"
"In post","2023","50-59","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Charity Commission","Legal","5","5","[c]","[c]"
"In post","2023","50-59","Charity Commission","Operational Delivery","80","75","33580","30170"
"In post","2023","50-59","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Companies House","Counter Fraud","45","45","27330","25610"
"In post","2023","50-59","Companies House","Digital, Data and Technology","60","60","42460","40500"
"In post","2023","50-59","Companies House","Finance","15","15","36260","38800"
"In post","2023","50-59","Companies House","Human Resources","15","15","41770","40680"
"In post","2023","50-59","Companies House","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Companies House","Operational Delivery","145","135","27220","23240"
"In post","2023","50-59","Companies House","Other","5","5","[c]","[c]"
"In post","2023","50-59","Companies House","Policy","10","10","[c]","[c]"
"In post","2023","50-59","Companies House","Project Delivery","5","5","[c]","[c]"
"In post","2023","50-59","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Economics","5","5","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Intelligence Analysis","10","10","67520","61320"
"In post","2023","50-59","Competition and Markets Authority","Legal","15","15","87070","83930"
"In post","2023","50-59","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Project Delivery","95","90","69400","63050"
"In post","2023","50-59","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Criminal Injuries Compensation Authority","Operational Delivery","85","80","28610","25830"
"In post","2023","50-59","Crown Commercial Service","Commercial","70","65","38730","40100"
"In post","2023","50-59","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Crown Commercial Service","Digital, Data and Technology","20","20","43370","41340"
"In post","2023","50-59","Crown Commercial Service","Finance","10","10","63180","65300"
"In post","2023","50-59","Crown Commercial Service","Human Resources","10","10","51620","52990"
"In post","2023","50-59","Crown Commercial Service","Operational Delivery","45","45","49060","52770"
"In post","2023","50-59","Crown Commercial Service","Policy","5","5","[c]","[c]"
"In post","2023","50-59","Crown Commercial Service","Project Delivery","5","5","[c]","[c]"
"In post","2023","50-59","Crown Commercial Service","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","15","15","47710","42940"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Finance","5","5","[c]","[c]"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Human Resources","10","10","[c]","[c]"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Legal","135","125","67620","65280"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Operational Delivery","385","355","31080","29070"
"In post","2023","50-59","Crown Office and Procurator Fiscal Service","Policy","5","5","[c]","[c]"
"In post","2023","50-59","Crown Prosecution Service","Commercial","5","5","[c]","[c]"
"In post","2023","50-59","Crown Prosecution Service","Communications","10","10","42730","42540"
"In post","2023","50-59","Crown Prosecution Service","Digital, Data and Technology","35","35","46670","46200"
"In post","2023","50-59","Crown Prosecution Service","Finance","40","40","34870","28850"
"In post","2023","50-59","Crown Prosecution Service","Human Resources","50","50","48320","41380"
"In post","2023","50-59","Crown Prosecution Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Crown Prosecution Service","Knowledge and Information Management","15","15","42090","39890"
"In post","2023","50-59","Crown Prosecution Service","Legal","1145","1070","60220","58030"
"In post","2023","50-59","Crown Prosecution Service","Operational Delivery","930","860","29730","28850"
"In post","2023","50-59","Crown Prosecution Service","Other","5","5","[c]","[c]"
"In post","2023","50-59","Crown Prosecution Service","Policy","25","25","56480","56960"
"In post","2023","50-59","Crown Prosecution Service","Project Delivery","25","25","41910","40120"
"In post","2023","50-59","Crown Prosecution Service","Property","10","10","34350","33300"
"In post","2023","50-59","Crown Prosecution Service","Security","5","5","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Commercial","10","10","35940","33040"
"In post","2023","50-59","Defence Electronics and Components Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Medicine","5","5","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Operational Delivery","30","30","33520","30060"
"In post","2023","50-59","Defence Electronics and Components Agency","Other","15","15","27530","27130"
"In post","2023","50-59","Defence Electronics and Components Agency","Project Delivery","10","10","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Property","5","5","[c]","[c]"
"In post","2023","50-59","Defence Electronics and Components Agency","Science and Engineering","100","100","30950","30740"
"In post","2023","50-59","Defence Equipment and Support","Commercial","185","180","49920","43640"
"In post","2023","50-59","Defence Equipment and Support","Communications","10","10","41950","38790"
"In post","2023","50-59","Defence Equipment and Support","Digital, Data and Technology","105","105","42130","41750"
"In post","2023","50-59","Defence Equipment and Support","Finance","80","75","56470","51600"
"In post","2023","50-59","Defence Equipment and Support","Human Resources","45","45","49450","41800"
"In post","2023","50-59","Defence Equipment and Support","Operational Delivery","825","810","34760","32070"
"In post","2023","50-59","Defence Equipment and Support","Other","380","365","42530","36080"
"In post","2023","50-59","Defence Equipment and Support","Project Delivery","535","520","49260","44390"
"In post","2023","50-59","Defence Equipment and Support","Science and Engineering","750","740","46550","44310"
"In post","2023","50-59","Defence Equipment and Support","Security","25","25","39460","39620"
"In post","2023","50-59","Defence Science and Technology Laboratory","Commercial","15","15","38120","39890"
"In post","2023","50-59","Defence Science and Technology Laboratory","Communications","10","10","[c]","[c]"
"In post","2023","50-59","Defence Science and Technology Laboratory","Finance","15","15","43880","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Human Resources","35","30","42690","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Intelligence Analysis","5","5","[c]","[c]"
"In post","2023","50-59","Defence Science and Technology Laboratory","Knowledge and Information Management","15","15","41470","39890"
"In post","2023","50-59","Defence Science and Technology Laboratory","Legal","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Science and Technology Laboratory","Operational Delivery","120","120","46190","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Operational Research","50","45","51520","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Other","145","140","57940","59890"
"In post","2023","50-59","Defence Science and Technology Laboratory","Policy","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Defence Science and Technology Laboratory","Project Delivery","125","120","45150","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Psychology","5","5","[c]","[c]"
"In post","2023","50-59","Defence Science and Technology Laboratory","Science and Engineering","520","505","48960","49260"
"In post","2023","50-59","Defence Science and Technology Laboratory","Security","30","30","44070","39890"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","5","5","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","30","30","54280","50760"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","15","15","54800","59480"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","35","35","49750","42990"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","30","30","59120","58430"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","115","115","50930","50680"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","640","625","54810","55350"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","25","25","57010","58260"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","10","10","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Finance","10","10","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Human Resources","10","10","64500","61110"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Other","10","10","28970","28010"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","85","80","53090","53030"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Project Delivery","10","10","50400","53550"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Security","5","5","[c]","[c]"
"In post","2023","50-59","Department for Digital, Culture, Media and Sport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Commercial","55","50","47130","43630"
"In post","2023","50-59","Department for Education (excl. agencies)","Communications","50","50","38670","35640"
"In post","2023","50-59","Department for Education (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Digital, Data and Technology","165","160","46560","47810"
"In post","2023","50-59","Department for Education (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Finance","100","95","46580","44480"
"In post","2023","50-59","Department for Education (excl. agencies)","Human Resources","25","20","44230","37590"
"In post","2023","50-59","Department for Education (excl. agencies)","Knowledge and Information Management","10","10","39580","33910"
"In post","2023","50-59","Department for Education (excl. agencies)","Legal","20","20","54430","55730"
"In post","2023","50-59","Department for Education (excl. agencies)","Operational Delivery","400","390","46410","38790"
"In post","2023","50-59","Department for Education (excl. agencies)","Operational Research","10","10","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Policy","365","350","47430","44530"
"In post","2023","50-59","Department for Education (excl. agencies)","Project Delivery","250","245","54200","54990"
"In post","2023","50-59","Department for Education (excl. agencies)","Property","10","10","58350","57940"
"In post","2023","50-59","Department for Education (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Education (excl. agencies)","Social Research","25","20","48650","47560"
"In post","2023","50-59","Department for Education (excl. agencies)","Statistics","50","45","42260","41450"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","35","35","37550","37500"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","35","35","41920","38200"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","235","230","47370","49400"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","140","135","44270","38620"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","95","95","48320","49400"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","20","20","37910","33540"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","20","20","51740","46220"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","675","655","46360","41020"
"In post","2023","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","130","125","43050","38090"
"In post","2023","50-59","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Communications","10","10","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Digital, Data and Technology","25","25","56100","54250"
"In post","2023","50-59","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Finance","25","25","47950","41750"
"In post","2023","50-59","Department for International Trade","Human Resources","25","25","48650","44560"
"In post","2023","50-59","Department for International Trade","International Trade","350","345","52630","47120"
"In post","2023","50-59","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Operational Delivery","45","45","40390","35680"
"In post","2023","50-59","Department for International Trade","Other","30","30","46690","35910"
"In post","2023","50-59","Department for International Trade","Policy","20","20","50500","55370"
"In post","2023","50-59","Department for International Trade","Project Delivery","25","25","49520","52000"
"In post","2023","50-59","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Security","10","10","53860","55370"
"In post","2023","50-59","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","20","20","49480","45050"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","20","20","58570","54630"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","25","25","47650","43190"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","15","15","56500","63980"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Knowledge and Information Management","10","10","37260","32240"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","130","125","42630","37540"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","25","25","52770","51690"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","245","240","51920","49700"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","25","25","47970","49700"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","25","25","51850","49700"
"In post","2023","50-59","Department for Transport (excl. agencies)","Commercial","20","20","61000","67420"
"In post","2023","50-59","Department for Transport (excl. agencies)","Communications","15","15","46070","44140"
"In post","2023","50-59","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Digital, Data and Technology","35","35","50460","46180"
"In post","2023","50-59","Department for Transport (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Finance","50","45","53930","50580"
"In post","2023","50-59","Department for Transport (excl. agencies)","Human Resources","20","20","55490","55990"
"In post","2023","50-59","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","International Trade","10","10","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Operational Delivery","60","60","38380","34390"
"In post","2023","50-59","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Planning","10","10","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Policy","155","150","53470","55740"
"In post","2023","50-59","Department for Transport (excl. agencies)","Project Delivery","90","85","64170","60430"
"In post","2023","50-59","Department for Transport (excl. agencies)","Property","5","5","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Science and Engineering","15","15","55720","51500"
"In post","2023","50-59","Department for Transport (excl. agencies)","Security","40","40","47520","43750"
"In post","2023","50-59","Department for Transport (excl. agencies)","Social Research","5","5","[c]","[c]"
"In post","2023","50-59","Department for Transport (excl. agencies)","Statistics","10","10","42540","42210"
"In post","2023","50-59","Department for Transport (excl. agencies)","Unknown","155","150","60580","50820"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Commercial","280","265","38910","38470"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Communications","25","25","46460","44360"
"In post","2023","50-59","Department for Work and Pensions (excl. agencies)","Counter Fraud","2220","2060","29440","28120"
