"Status","Year","Disability","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Education","EO","35","30","26900","26940"
"In post","2023","Declared non-disabled","Finance","Department for Education","G6/G7","175","170","57180","52440"
"In post","2023","Declared non-disabled","Finance","Department for Education","SCS level","30","30","86200","77000"
"In post","2023","Declared non-disabled","Finance","Department for Education","SEO/HEO","235","225","37280","37590"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","EO","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","G6/G7","130","130","53580","50330"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","SEO/HEO","145","140","35150","37300"
"In post","2023","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for International Trade","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for International Trade","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","G6/G7","50","45","59430","56630"
"In post","2023","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","SCS level","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities","SEO/HEO","45","45","39010","38700"
"In post","2023","Declared non-disabled","Finance","Department for Transport","AA/AO","30","30","22130","22500"
"In post","2023","Declared non-disabled","Finance","Department for Transport","EO","55","50","27620","27190"
"In post","2023","Declared non-disabled","Finance","Department for Transport","G6/G7","95","95","60530","59370"
"In post","2023","Declared non-disabled","Finance","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Transport","SEO/HEO","145","140","38350","39430"
"In post","2023","Declared non-disabled","Finance","Department for Work and Pensions","AA/AO","135","110","21760","21690"
"In post","2023","Declared non-disabled","Finance","Department for Work and Pensions","EO","180","165","28650","28120"
"In post","2023","Declared non-disabled","Finance","Department for Work and Pensions","G6/G7","365","350","58710","55160"
"In post","2023","Declared non-disabled","Finance","Department for Work and Pensions","SCS level","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department for Work and Pensions","SEO/HEO","910","870","37560","38470"
"In post","2023","Declared non-disabled","Finance","Department of Health and Social Care","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department of Health and Social Care","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department of Health and Social Care","G6/G7","60","60","58250","56540"
"In post","2023","Declared non-disabled","Finance","Department of Health and Social Care","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Department of Health and Social Care","SEO/HEO","55","55","38510","38680"
"In post","2023","Declared non-disabled","Finance","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Food Standards Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","AA/AO","55","55","25830","25700"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","EO","65","60","29120","28280"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","G6/G7","40","40","61440","60400"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","SEO/HEO","80","75","39270","38540"
"In post","2023","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Land Registry","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Revenue and Customs","AA/AO","605","495","22700","22520"
"In post","2023","Declared non-disabled","Finance","HM Revenue and Customs","EO","340","310","28960","28130"
"In post","2023","Declared non-disabled","Finance","HM Revenue and Customs","G6/G7","280","270","63780","61530"
"In post","2023","Declared non-disabled","Finance","HM Revenue and Customs","SCS level","30","30","89610","80970"
"In post","2023","Declared non-disabled","Finance","HM Revenue and Customs","SEO/HEO","670","645","39420","39790"
"In post","2023","Declared non-disabled","Finance","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Treasury","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Treasury","G6/G7","30","30","56720","54440"
"In post","2023","Declared non-disabled","Finance","HM Treasury","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","HM Treasury","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Home Office","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Home Office","G6/G7","80","80","62710","59510"
"In post","2023","Declared non-disabled","Finance","Home Office","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Home Office","SEO/HEO","85","85","40610","39410"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","AA/AO","150","140","22300","22220"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","EO","330","320","28000","27470"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","G6/G7","280","275","61020","59180"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","SCS level","40","40","100510","91770"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","SEO/HEO","795","765","40450","41200"
"In post","2023","Declared non-disabled","Finance","Ministry of Defence","Unknown","45","45","53910","48680"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","EO","75","75","27590","27170"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","G6/G7","140","135","60560","60150"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","SCS level","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","SEO/HEO","250","245","39210","40460"
"In post","2023","Declared non-disabled","Finance","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","National Crime Agency","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office for Standards in Education, Children's Services and Skills","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Gas and Electricity Markets","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Gas and Electricity Markets","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Gas and Electricity Markets","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scottish Government","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scottish Government","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scottish Government","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Scottish Government","SEO/HEO","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","The National Archives","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Export Finance","EO","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Export Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Export Finance","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Statistics Authority","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Statistics Authority","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Statistics Authority","SEO/HEO","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Water Services Regulation Authority","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Water Services Regulation Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Department for Environment, Food and Rural Affairs","AA/AO","720","655","22130","22150"
"In post","2023","Declared non-disabled","Grants Management","Department for Environment, Food and Rural Affairs","EO","375","355","26050","25920"
"In post","2023","Declared non-disabled","Grants Management","Department for Environment, Food and Rural Affairs","G6/G7","50","45","53060","50340"
"In post","2023","Declared non-disabled","Grants Management","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Department for Environment, Food and Rural Affairs","SEO/HEO","235","220","33010","31260"
"In post","2023","Declared non-disabled","Grants Management","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Home Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Attorney General's Departments","AA/AO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Attorney General's Departments","EO","30","30","27910","27760"
"In post","2023","Declared non-disabled","Human Resources","Attorney General's Departments","G6/G7","45","45","58200","55850"
"In post","2023","Declared non-disabled","Human Resources","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Attorney General's Departments","SEO/HEO","80","75","34930","33460"
"In post","2023","Declared non-disabled","Human Resources","Cabinet Office","AA/AO","75","70","21770","21720"
"In post","2023","Declared non-disabled","Human Resources","Cabinet Office","EO","95","90","26630","26300"
"In post","2023","Declared non-disabled","Human Resources","Cabinet Office","G6/G7","185","175","58570","58070"
"In post","2023","Declared non-disabled","Human Resources","Cabinet Office","SCS level","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Cabinet Office","SEO/HEO","260","250","36870","37410"
"In post","2023","Declared non-disabled","Human Resources","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Charity Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Competition and Markets Authority","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Competition and Markets Authority","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","AA/AO","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","EO","35","35","26670","25610"
"In post","2023","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","G6/G7","110","105","57050","55730"
"In post","2023","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Business, Energy and Industrial Strategy","SEO/HEO","150","140","36720","36170"
"In post","2023","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Digital, Culture, Media and Sport","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Education","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Education","EO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Education","G6/G7","40","35","56450","52150"
"In post","2023","Declared non-disabled","Human Resources","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Education","SEO/HEO","55","55","35270","37590"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","G6/G7","95","90","54270","52820"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","SEO/HEO","80","80","35820","37300"
"In post","2023","Declared non-disabled","Human Resources","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","G6/G7","30","30","57490","55500"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for International Trade","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","G6/G7","30","30","57710","54630"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities","SEO/HEO","30","30","35800","34480"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport","EO","65","60","28240","27260"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport","G6/G7","65","65","56670","55740"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Transport","SEO/HEO","190","180","36780","36540"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions","AA/AO","40","35","22190","21690"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions","EO","505","465","28670","28120"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions","G6/G7","215","205","56670","55150"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department for Work and Pensions","SEO/HEO","440","415","36770","34970"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care","EO","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care","G6/G7","50","50","57860","54990"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Department of Health and Social Care","SEO/HEO","55","55","35450","34090"
"In post","2023","Declared non-disabled","Human Resources","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Food Standards Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","AA/AO","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","EO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","G6/G7","65","65","62620","60250"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","SCS level","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Foreign, Commonwealth and Development Office","SEO/HEO","90","90","40450","38560"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Land Registry","SEO/HEO","40","35","41130","39520"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs","AA/AO","60","60","22810","22520"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs","EO","185","175","28410","28130"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs","G6/G7","260","255","62330","58180"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs","SCS level","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Revenue and Customs","SEO/HEO","495","465","38320","35330"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury","EO","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury","G6/G7","35","35","56820","54440"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","HM Treasury","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Home Office","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Home Office","EO","35","35","29330","29980"
"In post","2023","Declared non-disabled","Human Resources","Home Office","G6/G7","90","90","61860","59290"
"In post","2023","Declared non-disabled","Human Resources","Home Office","SCS level","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Home Office","SEO/HEO","135","125","39050","38580"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","AA/AO","355","335","22290","22220"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","EO","890","870","28960","27500"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","G6/G7","230","225","58820","56180"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","SCS level","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","SEO/HEO","1045","1020","38210","36300"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Defence","Unknown","45","40","39750","39130"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","AA/AO","30","25","22560","21780"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","EO","85","80","27570","27110"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","G6/G7","185","180","61780","59590"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","SCS level","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","SEO/HEO","555","540","37770","36940"
"In post","2023","Declared non-disabled","Human Resources","Ministry of Justice","Unknown","30","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","EO","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","National Crime Agency","SEO/HEO","45","40","43380","42240"
"In post","2023","Declared non-disabled","Human Resources","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","EO","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Office of Gas and Electricity Markets","EO","10","10","[c]","[c]"
