"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2023","50-59","Declared non-disabled","Communications","SEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Counter Fraud","AO","25","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Counter Fraud","EO","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Counter Fraud","HEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","EO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","G6","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","G7","60","[c]","55440","54950"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","HEO","30","[c]","33740","34400"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Digital, Data and Technology","SEO","45","[c]","41040","40640"
"New entrant CS","2023","50-59","Declared non-disabled","Economics","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Economics","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Economics","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Economics","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","AO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","G7","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","HEO","5","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Finance","SEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Geography","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","AO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","EO","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","G7","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","HEO","10","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","SEO","15","[c]","[c]","[c]"
"New entrant CS","2023","50-59","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
