"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","Unknown","HEO","LGBO","45","45","35920","34810"
"In post","2023","40-49","Unknown","HEO","Undeclared","80","75","35630","34730"
"In post","2023","40-49","Unknown","HEO","Unknown","360","350","36500","35000"
"In post","2023","40-49","Unknown","SCS level","Heterosexual / straight","215","210","88810","83530"
"In post","2023","40-49","Unknown","SCS level","LGBO","25","25","[c]","[c]"
"In post","2023","40-49","Unknown","SCS level","Undeclared","30","30","89700","82490"
"In post","2023","40-49","Unknown","SCS level","Unknown","75","75","93840","85200"
"In post","2023","40-49","Unknown","SEO","Heterosexual / straight","910","875","46010","44890"
"In post","2023","40-49","Unknown","SEO","LGBO","40","40","45500","43760"
"In post","2023","40-49","Unknown","SEO","Undeclared","80","75","44650","42860"
"In post","2023","40-49","Unknown","SEO","Unknown","280","270","46170","45320"
"In post","2023","40-49","Unknown","Unknown","Heterosexual / straight","50","50","[c]","[c]"
"In post","2023","40-49","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Unknown","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2023","40-49","Veterinarian","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","40-49","Veterinarian","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","G7","Heterosexual / straight","40","40","52090","50820"
"In post","2023","40-49","Veterinarian","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Veterinarian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","SEO","Heterosexual / straight","60","55","39240","38550"
"In post","2023","40-49","Veterinarian","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Veterinarian","SEO","Undeclared","10","10","[c]","[c]"
"In post","2023","40-49","Veterinarian","SEO","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","AO","Heterosexual / straight","55","50","24140","22500"
"In post","2023","50-59","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Commercial","AO","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Commercial","EO","Heterosexual / straight","125","120","28840","28120"
"In post","2023","50-59","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","EO","Undeclared","15","10","[c]","[c]"
"In post","2023","50-59","Commercial","EO","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Commercial","G6","Heterosexual / straight","210","210","75020","71040"
"In post","2023","50-59","Commercial","G6","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Commercial","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","50-59","Commercial","G6","Unknown","30","30","[c]","[c]"
"In post","2023","50-59","Commercial","G7","Heterosexual / straight","325","320","58580","56000"
"In post","2023","50-59","Commercial","G7","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Commercial","G7","Undeclared","45","40","58630","56500"
"In post","2023","50-59","Commercial","G7","Unknown","90","85","58920","56200"
"In post","2023","50-59","Commercial","HEO","Heterosexual / straight","255","240","34610","34170"
"In post","2023","50-59","Commercial","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Commercial","HEO","Undeclared","40","40","35160","34680"
"In post","2023","50-59","Commercial","HEO","Unknown","35","30","35440","34970"
"In post","2023","50-59","Commercial","SCS level","Heterosexual / straight","105","105","116050","110560"
"In post","2023","50-59","Commercial","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Commercial","SEO","Heterosexual / straight","435","430","42850","42620"
"In post","2023","50-59","Commercial","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Commercial","SEO","Undeclared","70","70","43780","42850"
"In post","2023","50-59","Commercial","SEO","Unknown","50","50","43080","42170"
"In post","2023","50-59","Commercial","Unknown","Heterosexual / straight","40","40","50810","45000"
"In post","2023","50-59","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Commercial","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","AO","Heterosexual / straight","40","35","23070","22220"
"In post","2023","50-59","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","EO","Heterosexual / straight","85","80","29000","29270"
"In post","2023","50-59","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","EO","Undeclared","15","15","[c]","[c]"
"In post","2023","50-59","Communications","EO","Unknown","20","20","[c]","[c]"
"In post","2023","50-59","Communications","G6","Heterosexual / straight","50","50","70800","70470"
"In post","2023","50-59","Communications","G6","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Communications","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Communications","G6","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Communications","G7","Heterosexual / straight","85","85","57460","57240"
"In post","2023","50-59","Communications","G7","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Communications","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","50-59","Communications","G7","Unknown","20","20","[c]","[c]"
"In post","2023","50-59","Communications","HEO","Heterosexual / straight","135","130","35640","35060"
"In post","2023","50-59","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","50-59","Communications","HEO","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Communications","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","50-59","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","SEO","Heterosexual / straight","140","140","43240","42510"
"In post","2023","50-59","Communications","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Communications","SEO","Undeclared","25","20","[c]","[c]"
"In post","2023","50-59","Communications","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","50-59","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AO","Heterosexual / straight","350","310","23000","21690"
"In post","2023","50-59","Counter Fraud","AO","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Counter Fraud","AO","Undeclared","85","75","22760","21690"
"In post","2023","50-59","Counter Fraud","AO","Unknown","90","80","23090","21690"
"In post","2023","50-59","Counter Fraud","EO","Heterosexual / straight","1015","955","29040","28120"
"In post","2023","50-59","Counter Fraud","EO","LGBO","35","35","29520","28120"
"In post","2023","50-59","Counter Fraud","EO","Undeclared","150","140","29150","28120"
"In post","2023","50-59","Counter Fraud","EO","Unknown","295","275","29430","28120"
"In post","2023","50-59","Counter Fraud","G6","Heterosexual / straight","30","30","73760","72170"
"In post","2023","50-59","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","G6","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","Counter Fraud","G7","Heterosexual / straight","70","70","57360","57970"
"In post","2023","50-59","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","50-59","Counter Fraud","G7","Unknown","15","15","[c]","[c]"
"In post","2023","50-59","Counter Fraud","HEO","Heterosexual / straight","460","445","35660","34700"
"In post","2023","50-59","Counter Fraud","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Counter Fraud","HEO","Undeclared","85","80","36100","34970"
"In post","2023","50-59","Counter Fraud","HEO","Unknown","130","130","36950","35000"
"In post","2023","50-59","Counter Fraud","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SEO","Heterosexual / straight","185","180","42330","42510"
"In post","2023","50-59","Counter Fraud","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","50-59","Counter Fraud","SEO","Unknown","60","60","43250","42510"
"In post","2023","50-59","Digital, Data and Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","AO","Heterosexual / straight","70","65","23650","22220"
"In post","2023","50-59","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","AO","Undeclared","15","15","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","AO","Unknown","15","15","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","EO","Heterosexual / straight","540","515","29230","28120"
"In post","2023","50-59","Digital, Data and Technology","EO","LGBO","20","15","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","EO","Undeclared","110","105","29640","28120"
"In post","2023","50-59","Digital, Data and Technology","EO","Unknown","125","120","29570","28120"
"In post","2023","50-59","Digital, Data and Technology","G6","Heterosexual / straight","405","400","70570","69730"
"In post","2023","50-59","Digital, Data and Technology","G6","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","G6","Undeclared","65","65","71570","71380"
"In post","2023","50-59","Digital, Data and Technology","G6","Unknown","100","100","69890","67290"
"In post","2023","50-59","Digital, Data and Technology","G7","Heterosexual / straight","1115","1095","56740","56180"
"In post","2023","50-59","Digital, Data and Technology","G7","LGBO","35","35","57950","56820"
"In post","2023","50-59","Digital, Data and Technology","G7","Undeclared","160","155","57200","56410"
"In post","2023","50-59","Digital, Data and Technology","G7","Unknown","225","225","57020","56870"
"In post","2023","50-59","Digital, Data and Technology","HEO","Heterosexual / straight","875","850","35450","34620"
"In post","2023","50-59","Digital, Data and Technology","HEO","LGBO","25","25","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","HEO","Undeclared","155","150","36060","35000"
"In post","2023","50-59","Digital, Data and Technology","HEO","Unknown","175","170","35680","34970"
"In post","2023","50-59","Digital, Data and Technology","SCS level","Heterosexual / straight","110","110","96680","90260"
"In post","2023","50-59","Digital, Data and Technology","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","SEO","Heterosexual / straight","1120","1100","42940","42510"
"In post","2023","50-59","Digital, Data and Technology","SEO","LGBO","30","30","42750","41660"
"In post","2023","50-59","Digital, Data and Technology","SEO","Undeclared","195","190","43320","42990"
"In post","2023","50-59","Digital, Data and Technology","SEO","Unknown","225","220","42870","42140"
"In post","2023","50-59","Digital, Data and Technology","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","G6","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","50-59","Economics","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","G6","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Economics","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","50-59","Economics","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","G7","Undeclared","10","5","[c]","[c]"
"In post","2023","50-59","Economics","G7","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","Economics","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","50-59","Economics","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","SCS level","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","50-59","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","Economics","SEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","50-59","Economics","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","50-59","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","AO","Heterosexual / straight","175","155","23380","22510"
"In post","2023","50-59","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","AO","Undeclared","20","20","[c]","[c]"
"In post","2023","50-59","Finance","AO","Unknown","45","40","24300","22680"
"In post","2023","50-59","Finance","EO","Heterosexual / straight","335","320","28640","27810"
"In post","2023","50-59","Finance","EO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Finance","EO","Undeclared","60","55","28630","28120"
"In post","2023","50-59","Finance","EO","Unknown","50","45","28560","27890"
"In post","2023","50-59","Finance","G6","Heterosexual / straight","210","205","70450","70710"
"In post","2023","50-59","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","G6","Undeclared","25","25","[c]","[c]"
"In post","2023","50-59","Finance","G6","Unknown","25","25","[c]","[c]"
"In post","2023","50-59","Finance","G7","Heterosexual / straight","475","465","56850","56970"
"In post","2023","50-59","Finance","G7","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Finance","G7","Undeclared","55","55","57110","56000"
"In post","2023","50-59","Finance","G7","Unknown","45","40","58720","57970"
"In post","2023","50-59","Finance","HEO","Heterosexual / straight","450","435","35340","34640"
"In post","2023","50-59","Finance","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","50-59","Finance","HEO","Undeclared","60","60","35520","35000"
"In post","2023","50-59","Finance","HEO","Unknown","60","55","36730","35000"
"In post","2023","50-59","Finance","SCS level","Heterosexual / straight","95","90","99040","91390"
"In post","2023","50-59","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Finance","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","50-59","Finance","SEO","Heterosexual / straight","535","520","43450","42930"
"In post","2023","50-59","Finance","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Finance","SEO","Undeclared","80","80","44720","43910"
"In post","2023","50-59","Finance","SEO","Unknown","75","70","43360","42540"
"In post","2023","50-59","Finance","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","50-59","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","50-59","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","EO","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Geography","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","HEO","Heterosexual / straight","30","30","34630","34370"
"In post","2023","50-59","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","HEO","Unknown","10","5","[c]","[c]"
"In post","2023","50-59","Geography","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","50-59","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","50-59","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","AO","Heterosexual / straight","230","215","22790","22220"
"In post","2023","50-59","Human Resources","AO","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","AO","Undeclared","35","30","22560","22220"
"In post","2023","50-59","Human Resources","AO","Unknown","30","25","[c]","[c]"
"In post","2023","50-59","Human Resources","EO","Heterosexual / straight","685","660","29030","27870"
"In post","2023","50-59","Human Resources","EO","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","EO","Undeclared","110","105","29560","28080"
"In post","2023","50-59","Human Resources","EO","Unknown","100","100","29860","29730"
"In post","2023","50-59","Human Resources","G6","Heterosexual / straight","235","235","69490","69710"
"In post","2023","50-59","Human Resources","G6","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","G6","Unknown","25","20","[c]","[c]"
"In post","2023","50-59","Human Resources","G7","Heterosexual / straight","510","500","56120","56080"
"In post","2023","50-59","Human Resources","G7","LGBO","25","25","[c]","[c]"
"In post","2023","50-59","Human Resources","G7","Undeclared","50","50","57300","57510"
"In post","2023","50-59","Human Resources","G7","Unknown","60","60","57610","55780"
"In post","2023","50-59","Human Resources","HEO","Heterosexual / straight","755","735","35260","34300"
"In post","2023","50-59","Human Resources","HEO","LGBO","25","25","[c]","[c]"
"In post","2023","50-59","Human Resources","HEO","Undeclared","90","85","35360","34300"
"In post","2023","50-59","Human Resources","HEO","Unknown","125","120","45160","39300"
"In post","2023","50-59","Human Resources","SCS level","Heterosexual / straight","85","85","92160","84170"
"In post","2023","50-59","Human Resources","SCS level","LGBO","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Human Resources","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Human Resources","SEO","Heterosexual / straight","620","600","42950","41800"
"In post","2023","50-59","Human Resources","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","50-59","Human Resources","SEO","Undeclared","50","50","44350","42510"
"In post","2023","50-59","Human Resources","SEO","Unknown","55","55","43890","42510"
"In post","2023","50-59","Human Resources","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","50-59","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G6","Heterosexual / straight","90","90","82660","82390"
"In post","2023","50-59","Inspector of Education and Training","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G6","Unknown","5","5","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G7","Heterosexual / straight","160","160","74700","77470"
"In post","2023","50-59","Inspector of Education and Training","G7","LGBO","10","10","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","SEO","Heterosexual / straight","140","140","51690","52750"
"In post","2023","50-59","Inspector of Education and Training","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Inspector of Education and Training","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","EO","Heterosexual / straight","340","330","28760","27650"
"In post","2023","50-59","Intelligence Analysis","EO","LGBO","10","5","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","EO","Undeclared","65","65","29260","28480"
"In post","2023","50-59","Intelligence Analysis","EO","Unknown","45","45","28580","27650"
"In post","2023","50-59","Intelligence Analysis","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G7","Heterosexual / straight","40","40","59930","59940"
"In post","2023","50-59","Intelligence Analysis","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","HEO","Heterosexual / straight","130","130","35560","35000"
"In post","2023","50-59","Intelligence Analysis","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","HEO","Undeclared","35","35","35790","35330"
"In post","2023","50-59","Intelligence Analysis","HEO","Unknown","10","10","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","SEO","Heterosexual / straight","85","85","44130","43430"
"In post","2023","50-59","Intelligence Analysis","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","50-59","Intelligence Analysis","SEO","Undeclared","10","10","[c]","[c]"
