"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Overseas","EO","200","200","34890","33510"
"In post","2023","Overseas","G6/G7","1310","1305","61690","59170"
"In post","2023","Overseas","SCS level","290","290","87530","77770"
"In post","2023","Overseas","SEO/HEO","1510","1510","42980","39450"
"In post","2023","Overseas","Unknown","150","150","52350","43590"
"In post","2023","Shropshire and Staffordshire","AA/AO","3050","2825","25350","23230"
"In post","2023","Shropshire and Staffordshire","EO","2450","2280","28910","28120"
"In post","2023","Shropshire and Staffordshire","G6/G7","810","785","61050","57970"
"In post","2023","Shropshire and Staffordshire","SCS level","50","50","98450","94960"
"In post","2023","Shropshire and Staffordshire","SEO/HEO","2445","2350","38660","37680"
"In post","2023","Shropshire and Staffordshire","Unknown","565","515","31070","29050"
"In post","2023","South Yorkshire","AA/AO","2955","2630","23710","22400"
"In post","2023","South Yorkshire","EO","3065","2780","27730","27650"
"In post","2023","South Yorkshire","G6/G7","1475","1415","57430","54260"
"In post","2023","South Yorkshire","SCS level","95","90","82840","77000"
"In post","2023","South Yorkshire","SEO/HEO","3130","2970","36630","37590"
"In post","2023","South Yorkshire","Unknown","600","555","30030","29050"
"In post","2023","Southern Scotland","AA/AO","2520","2250","23470","22520"
"In post","2023","Southern Scotland","EO","1770","1600","29250","28130"
"In post","2023","Southern Scotland","G6/G7","585","565","58560","56780"
"In post","2023","Southern Scotland","SCS level","30","30","82850","79210"
"In post","2023","Southern Scotland","SEO/HEO","1310","1245","38110","36330"
"In post","2023","Surrey, East and West Sussex","AA/AO","2670","2440","26310","24480"
"In post","2023","Surrey, East and West Sussex","EO","2870","2580","29270","28120"
"In post","2023","Surrey, East and West Sussex","G6/G7","680","655","61630","58830"
"In post","2023","Surrey, East and West Sussex","SCS level","55","50","91580","83930"
"In post","2023","Surrey, East and West Sussex","SEO/HEO","1815","1720","38670","37520"
"In post","2023","Surrey, East and West Sussex","Unknown","690","625","31340","29050"
"In post","2023","Tees Valley and Durham","AA/AO","4635","4140","25240","22520"
"In post","2023","Tees Valley and Durham","EO","2540","2310","28430","28120"
"In post","2023","Tees Valley and Durham","G6/G7","675","655","57410","53730"
"In post","2023","Tees Valley and Durham","SCS level","50","50","89850","80950"
"In post","2023","Tees Valley and Durham","SEO/HEO","2020","1930","36930","35070"
