"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","30-39","UK Hydrographic Office","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Policy","G6/G7","15","15","55440","55120"
"In post","2023","30-39","UK Space Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Policy","SEO/HEO","10","10","40610","41360"
"In post","2023","30-39","UK Space Agency","Project Delivery","G6/G7","20","20","54000","54920"
"In post","2023","30-39","UK Space Agency","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Project Delivery","SEO/HEO","20","20","39180","41360"
"In post","2023","30-39","UK Space Agency","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Space Agency","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Communications","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Communications","SEO/HEO","15","15","35040","37690"
"In post","2023","30-39","UK Statistics Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Digital, Data and Technology","EO","35","30","24980","24840"
"In post","2023","30-39","UK Statistics Authority","Digital, Data and Technology","G6/G7","95","90","54950","51460"
"In post","2023","30-39","UK Statistics Authority","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Digital, Data and Technology","SEO/HEO","150","145","36370","37760"
"In post","2023","30-39","UK Statistics Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Economics","G6/G7","15","15","55810","53520"
"In post","2023","30-39","UK Statistics Authority","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Economics","SEO/HEO","10","10","34070","31560"
"In post","2023","30-39","UK Statistics Authority","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Finance","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Human Resources","EO","10","10","24900","24840"
"In post","2023","30-39","UK Statistics Authority","Human Resources","G6/G7","15","10","55420","51460"
"In post","2023","30-39","UK Statistics Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Human Resources","SEO/HEO","35","30","34730","37690"
"In post","2023","30-39","UK Statistics Authority","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Operational Delivery","AA/AO","160","120","21270","21200"
"In post","2023","30-39","UK Statistics Authority","Operational Delivery","EO","105","100","24990","24840"
"In post","2023","30-39","UK Statistics Authority","Operational Delivery","G6/G7","95","90","53750","51460"
"In post","2023","30-39","UK Statistics Authority","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Operational Delivery","SEO/HEO","235","225","34840","37690"
"In post","2023","30-39","UK Statistics Authority","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Policy","G6/G7","10","10","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Policy","SEO/HEO","15","15","34450","32560"
"In post","2023","30-39","UK Statistics Authority","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Project Delivery","G6/G7","40","40","52990","51460"
"In post","2023","30-39","UK Statistics Authority","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Project Delivery","SEO/HEO","40","40","35300","37690"
"In post","2023","30-39","UK Statistics Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Social Research","G6/G7","60","55","52880","51460"
"In post","2023","30-39","UK Statistics Authority","Social Research","SEO/HEO","140","130","36580","39190"
"In post","2023","30-39","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Statistics","G6/G7","75","70","53940","51460"
"In post","2023","30-39","UK Statistics Authority","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Statistics Authority","Statistics","SEO/HEO","105","100","37400","39300"
"In post","2023","30-39","UK Supreme Court","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Supreme Court","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Supreme Court","Legal","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","UK Supreme Court","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Supreme Court","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","UK Supreme Court","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Communications","SEO/HEO","10","10","37420","37240"
"In post","2023","30-39","Valuation Office Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Finance","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Human Resources","SEO/HEO","15","10","38850","39590"
"In post","2023","30-39","Valuation Office Agency","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Operational Delivery","AA/AO","140","130","22560","22520"
"In post","2023","30-39","Valuation Office Agency","Operational Delivery","EO","50","50","26760","26020"
"In post","2023","30-39","Valuation Office Agency","Operational Delivery","G6/G7","25","25","57430","56400"
"In post","2023","30-39","Valuation Office Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Operational Delivery","SEO/HEO","75","75","36860","34450"
"In post","2023","30-39","Valuation Office Agency","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Property","AA/AO","40","35","23090","22520"
"In post","2023","30-39","Valuation Office Agency","Property","EO","95","90","27430","27380"
"In post","2023","30-39","Valuation Office Agency","Property","G6/G7","10","10","59020","58970"
"In post","2023","30-39","Valuation Office Agency","Property","SEO/HEO","195","190","39280","38180"
"In post","2023","30-39","Valuation Office Agency","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Valuation Office Agency","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Vehicle Certification Agency","Science and Engineering","SEO/HEO","30","30","42200","40310"
"In post","2023","30-39","Veterinary Medicines Directorate","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Veterinary Medicines Directorate","Unknown","SEO/HEO","10","10","39840","40260"
"In post","2023","30-39","Veterinary Medicines Directorate","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Policy","SEO/HEO","10","5","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Water Services Regulation Authority","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Communications","EO","10","10","28950","29250"
"In post","2023","30-39","Welsh Government (excl. agencies)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Communications","SEO/HEO","30","30","42090","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Digital, Data and Technology","EO","10","10","29230","29630"
"In post","2023","30-39","Welsh Government (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Digital, Data and Technology","SEO/HEO","25","25","39330","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Economics","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Finance","AA/AO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Finance","EO","10","10","30120","30610"
"In post","2023","30-39","Welsh Government (excl. agencies)","Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Finance","SEO/HEO","30","30","41880","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Human Resources","AA/AO","20","20","24230","24750"
"In post","2023","30-39","Welsh Government (excl. agencies)","Human Resources","EO","10","10","29100","30610"
"In post","2023","30-39","Welsh Government (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Human Resources","SEO/HEO","20","20","39610","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Inspector of Education and Training","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Inspector of Education and Training","SEO/HEO","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Internal Audit","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Knowledge and Information Management","AA/AO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Knowledge and Information Management","SEO/HEO","10","10","38750","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Legal","G6/G7","50","50","60920","63900"
"In post","2023","30-39","Welsh Government (excl. agencies)","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Medicine","EO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Medicine","G6/G7","15","15","62400","63900"
"In post","2023","30-39","Welsh Government (excl. agencies)","Medicine","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Medicine","SEO/HEO","20","20","40690","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Operational Delivery","AA/AO","90","85","25230","25620"
"In post","2023","30-39","Welsh Government (excl. agencies)","Operational Delivery","EO","85","80","29370","30610"
"In post","2023","30-39","Welsh Government (excl. agencies)","Operational Delivery","G6/G7","15","15","62040","63900"
"In post","2023","30-39","Welsh Government (excl. agencies)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Operational Delivery","SEO/HEO","90","90","40620","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Other","AA/AO","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Other","EO","20","15","29700","30610"
"In post","2023","30-39","Welsh Government (excl. agencies)","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Other","SEO/HEO","75","70","42890","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Policy","AA/AO","20","20","25460","25620"
"In post","2023","30-39","Welsh Government (excl. agencies)","Policy","EO","75","70","30030","30610"
"In post","2023","30-39","Welsh Government (excl. agencies)","Policy","G6/G7","60","55","62010","63900"
"In post","2023","30-39","Welsh Government (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Policy","SEO/HEO","180","170","40690","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Project Delivery","SEO/HEO","15","15","39580","39690"
"In post","2023","30-39","Welsh Government (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Social Research","G6/G7","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Social Research","SEO/HEO","25","25","42700","43660"
"In post","2023","30-39","Welsh Government (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Statistics","G6/G7","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Statistics","SEO/HEO","25","20","42570","43660"
"In post","2023","30-39","Welsh Government (excl. agencies)","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2023","30-39","Welsh Government (excl. agencies)","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Welsh Revenue Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Wilton Park","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Accountant in Bankruptcy","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2023","40-49","Accountant in Bankruptcy","Unknown","EO","15","15","31460","31940"
"In post","2023","40-49","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Accountant in Bankruptcy","Unknown","SEO/HEO","15","15","40170","38330"
"In post","2023","40-49","Active Travel England","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Active Travel England","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Active Travel England","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2023","40-49","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
