"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","35","35","86710","79000"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","SEO","75","75","44600","44450"
"In post","2023","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","AO","185","170","23430","23390"
"In post","2023","Declared disabled","HM Land Registry","EO","270","230","28290","28080"
"In post","2023","Declared disabled","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","G7","20","15","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","HEO","130","115","35510","34850"
"In post","2023","Declared disabled","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Land Registry","SEO","75","70","42680","41680"
"In post","2023","Declared disabled","HM Revenue and Customs","AA","90","75","22570","22520"
"In post","2023","Declared disabled","HM Revenue and Customs","AO","1875","1605","22790","22520"
"In post","2023","Declared disabled","HM Revenue and Customs","EO","1435","1305","28950","28130"
"In post","2023","Declared disabled","HM Revenue and Customs","G6","200","190","73180","71300"
"In post","2023","Declared disabled","HM Revenue and Customs","G7","645","615","59130","57970"
"In post","2023","Declared disabled","HM Revenue and Customs","HEO","1560","1465","35730","35000"
"In post","2023","Declared disabled","HM Revenue and Customs","SCS level","30","30","88810","84160"
"In post","2023","Declared disabled","HM Revenue and Customs","SEO","845","800","43350","42510"
"In post","2023","Declared disabled","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","EO","30","30","28120","28130"
"In post","2023","Declared disabled","HM Treasury","G6","35","35","65420","64900"
"In post","2023","Declared disabled","HM Treasury","G7","70","70","54450","54090"
"In post","2023","Declared disabled","HM Treasury","HEO","85","85","34680","33820"
"In post","2023","Declared disabled","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","HM Treasury","SEO","30","30","42150","40720"
"In post","2023","Declared disabled","Home Office","AA","95","80","20700","19500"
"In post","2023","Declared disabled","Home Office","AO","615","545","23330","22400"
"In post","2023","Declared disabled","Home Office","EO","1200","1100","27670","26610"
"In post","2023","Declared disabled","Home Office","G6","90","90","71510","70840"
"In post","2023","Declared disabled","Home Office","G7","265","260","58730","59290"
"In post","2023","Declared disabled","Home Office","HEO","540","510","34290","33770"
"In post","2023","Declared disabled","Home Office","SCS level","35","35","91630","87750"
"In post","2023","Declared disabled","Home Office","SEO","375","370","42240","43210"
"In post","2023","Declared disabled","Home Office","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Ministry of Defence","AA","395","375","21200","21380"
"In post","2023","Declared disabled","Ministry of Defence","AO","1080","1025","24590","22220"
