"Status","Year","Disability","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","445","435","33990","32700"
"In post","2023","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","20","20","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","20","20","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","10","10","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","60","60","46570","43650"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","5","5","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","50","50","44320","41510"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","90","90","41470","41510"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","90","85","39800","37680"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","10","5","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","10","10","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","40","40","48800","43650"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","25","25","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","25","25","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","5","5","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","10","10","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","10","10","[c]","[c]"
"In post","2023","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","National Infrastructure Commission","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Infrastructure Commission","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Infrastructure Commission","HM Treasury","Policy","5","5","[c]","[c]"
"In post","2023","Undeclared","National Records of Scotland","Scottish Government","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Other","5","5","[c]","[c]"
"In post","2023","Undeclared","National Savings and Investments","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","Northern Ireland Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","Northern Ireland Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","Northern Ireland Office","Policy","5","5","[c]","[c]"
"In post","2023","Undeclared","Northern Ireland Office","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office for Budget Responsibility","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Communications","15","15","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Economics","30","30","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Finance","5","5","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Legal","10","10","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Operational Delivery","110","105","55760","57260"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Policy","60","55","59520","57700"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Science and Engineering","20","20","[c]","[c]"
"In post","2023","Undeclared","Office of Rail and Road","Office of Rail and Road","Statistics","10","10","[c]","[c]"
"In post","2023","Undeclared","Office of the Public Guardian","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Public Guardian","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Public Guardian","Ministry of Justice","Operational Delivery","85","80","24350","21780"
"In post","2023","Undeclared","Office of the Scottish Charity Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Operational Delivery","15","10","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Planning Inspectors","30","25","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Operational Delivery","30","30","38160","39590"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Registers of Scotland","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","195","185","25220","22150"
"In post","2023","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Project Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","Scottish Courts and Tribunals Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","15","15","[c]","[c]"
"In post","2023","Undeclared","Scottish Courts and Tribunals Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Scottish Government (excl. agencies)","Scottish Government","Unknown","145","140","47740","42860"
"In post","2023","Undeclared","Scottish Housing Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Scottish Prison Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Scottish Prison Service","Scottish Government","Operational Delivery","10","10","[c]","[c]"
"In post","2023","Undeclared","Scottish Prison Service","Scottish Government","Other","5","5","[c]","[c]"
"In post","2023","Undeclared","Scottish Public Pensions Agency","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","Serious Fraud Office","Attorney General's Departments","Counter Fraud","10","10","[c]","[c]"
"In post","2023","Undeclared","Serious Fraud Office","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Serious Fraud Office","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Serious Fraud Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Social Security Scotland","Scottish Government","Unknown","65","60","30850","29100"
"In post","2023","Undeclared","Standards and Testing Agency","Department for Education","Project Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Commercial","10","10","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Project Delivery","25","25","[c]","[c]"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Science and Engineering","50","45","47350","46210"
"In post","2023","Undeclared","Submarine Delivery Agency","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Teaching Regulation Agency","Department for Education","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","15","15","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The National Archives","The National Archives","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","The National Archives","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Transport Scotland","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Debt Management Office","HM Treasury","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Debt Management Office","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Legal","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Operational Delivery","20","20","[c]","[c]"
"In post","2023","Undeclared","UK Export Finance","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Commercial","30","30","[c]","[c]"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Communications","20","20","[c]","[c]"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Digital, Data and Technology","100","95","50920","51130"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Finance","35","35","49550","46000"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Human Resources","35","35","42630","40880"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Medicine","100","90","109370","118600"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Operational Delivery","750","715","45400","40880"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Property","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Science and Engineering","550","515","47200","44960"
"In post","2023","Undeclared","UK Health Security Agency","Department of Health and Social Care","Statistics","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Digital, Data and Technology","15","10","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Geography","25","25","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Other","10","10","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Hydrographic Office","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","Project Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Economics","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Human Resources","10","10","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Operational Delivery","75","60","27020","21200"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Project Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Social Research","15","15","[c]","[c]"
"In post","2023","Undeclared","UK Statistics Authority","UK Statistics Authority","Statistics","10","10","[c]","[c]"
"In post","2023","Undeclared","UK Supreme Court","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Communications","5","5","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Human Resources","5","5","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Operational Delivery","70","65","34530","32260"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Project Delivery","5","5","[c]","[c]"
"In post","2023","Undeclared","Valuation Office Agency","HM Revenue and Customs","Property","210","190","38500","34450"
"In post","2023","Undeclared","Vehicle Certification Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Vehicle Certification Agency","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Vehicle Certification Agency","Department for Transport","Operational Delivery","15","15","[c]","[c]"
"In post","2023","Undeclared","Vehicle Certification Agency","Department for Transport","Science and Engineering","10","10","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Finance","15","10","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Medicine","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Operational Delivery","45","40","43340","43660"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Other","25","25","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Policy","55","50","43550","39690"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Welsh Government (excl. agencies)","Welsh Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Wilton Park","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Accountant in Bankruptcy","Scottish Government","Unknown","50","45","32300","29100"
"In post","2023","Unknown","Active Travel England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Active Travel England","Department for Transport","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","10","10","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","10","5","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","325","295","31880","32110"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","180","170","26690","24920"
"In post","2023","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","20","20","[c]","[c]"
"In post","2023","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","20","20","[c]","[c]"
"In post","2023","Unknown","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Attorney General's Office","Attorney General's Departments","Legal","15","15","[c]","[c]"
"In post","2023","Unknown","Attorney General's Office","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Attorney General's Office","Attorney General's Departments","Policy","5","5","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Counter Fraud","5","5","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Operational Research","5","5","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Other","10","10","[c]","[c]"
"In post","2023","Unknown","Building Digital UK","Department for Digital, Culture, Media and Sport","Project Delivery","20","15","[c]","[c]"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Commercial","20","15","[c]","[c]"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Communications","40","40","52680","56430"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","105","105","54570","56430"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Economics","5","5","[c]","[c]"
"In post","2023","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","Finance","10","10","[c]","[c]"
