"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","Analysis","SEO/HEO","HEO","120","115","34760","34400"
"In post","2023","Undeclared","Analysis","SEO/HEO","SEO","75","70","42520","43250"
"In post","2023","Undeclared","Commercial","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Undeclared","Commercial","EO","EO","35","35","27800","27400"
"In post","2023","Undeclared","Commercial","G6/G7","G6","55","55","76440","70710"
"In post","2023","Undeclared","Commercial","G6/G7","G7","105","105","59400","56430"
"In post","2023","Undeclared","Commercial","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Commercial","SEO/HEO","HEO","75","70","34460","34300"
"In post","2023","Undeclared","Commercial","SEO/HEO","SEO","110","105","42750","42620"
"In post","2023","Undeclared","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Undeclared","Communications","EO","EO","35","35","29590","28420"
"In post","2023","Undeclared","Communications","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","G6/G7","G7","30","25","[c]","[c]"
"In post","2023","Undeclared","Communications","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Communications","SEO/HEO","HEO","50","45","35400","35000"
"In post","2023","Undeclared","Communications","SEO/HEO","SEO","60","55","42750","41750"
"In post","2023","Undeclared","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","AA/AO","AO","120","105","23240","22520"
"In post","2023","Undeclared","Counter Fraud","EO","EO","370","345","29230","28130"
"In post","2023","Undeclared","Counter Fraud","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","G6/G7","G7","85","80","58960","57970"
"In post","2023","Undeclared","Counter Fraud","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","SEO/HEO","HEO","245","235","35800","35000"
"In post","2023","Undeclared","Counter Fraud","SEO/HEO","SEO","105","100","42930","42510"
"In post","2023","Undeclared","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
